IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2 30>;2 31>;2 41>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30 31>;30 31>30>;30 41>;30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31 41>;31 41>30>;31 41>41>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41 43>;41 44>;41>;41>14>;41>2>;41>30>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>44>;42>;43 44>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
41590-6590;20130201;SUCESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;4;;;;;;;;;;1;;;9;;;;;;;;;;;2;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;6;2;;;4;;1;;;;;42
42004-6402;20130102;SUCESSO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;4;;;;;;1;;;;;;;;;;2;1;2;10;;;3;1;;1;;1;;2;1;;32;;;;6;;2;;;;;2;;;1;;;;;;;;;14;;2;3;3;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;4;;;;;;;;;;3;;;;3;;;;;;;111
42237-6402;20130102;SUCESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;3;7;;;1;1;;1;1;1;;3;;;16;;;;3;;;;;;;;;;1;;;;;;;;;22;;;1;2;;;5;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;9;5;;;3;;1;;;;;93
42250-6402;20130102;SUCESSO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;3;;3;10;;;;;;;;;;;;;;;;1;;4;13;;;1;;;2;;;;5;;;17;;;;3;;1;;;;;6;;;;;;;;;;;;17;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;;1;;;;;3;1;;;;;;;;;;101
42411-7297;20130202;SUCESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;5;;;1;;;;;;;;;;5;;;;2;;;;;;;2;;;;;;;;;;;;3;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;5;;;1;;;;;;;33
43058-6400;20130102;SUCESSO;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;4;25;;;;;;1;;1;;;;;3;;;1;1;2;11;;;2;2;;;;;;2;;;27;;;;4;;1;;;;;4;;;;;;;;;;3;5;119;;2;;2;;;17;;;5;1;;;;;;;;;;5;;7;17;;;10;;7;;;;;33;;;;;;13;;;6;;;;;;;;4;;;;;;;;;;;;11;2;43;17;;;14;;5;;;;;445
43464-6400;20130102;SUCESSO;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;1;;2;11;;;;;;2;;1;;;;;1;;;2;;;10;;;1;;;;;1;;4;;1;15;;;;3;;1;;;;;1;;;1;;;;;;;2;5;85;;3;;3;;;17;;;8;1;;;;;;1;;;;2;;2;8;;;1;;1;;;;;19;;;;;;3;;;2;;;;;;;;3;;;;9;;;;;13;;;;;31;6;;;3;;;;;;;292
43981-6401;20130102;SUCESSO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;5;;1;1;3;11;;;;;;;;1;;;;;;;;5;3;4;47;;;15;6;;4;3;4;;4;2;2;41;;;;24;;8;;;;;;;;3;;;;;;;2;1;36;;1;2;4;;;14;;;6;4;;;;;;4;;;;1;;1;8;;;4;;2;;;;;9;;;;;;2;;;2;;;;;;;;2;;;;9;;;;;6;;;;;;;;;1;;;;;;;323
44022-6590;20130201;SUCESSO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;2;;3;4;1;28;;;;;;1;;;;;;;1;;;1;1;2;43;;;11;4;;3;3;2;;1;1;1;31;;;;16;;4;;;;;4;;;1;;;;;;;;;14;;;1;1;;;4;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;;1;;;;;;;;;;;;;;;;202
44024-6590;20130201;SUCESSO;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;1;9;;;;;;1;;;;;;;1;;;3;2;3;18;;;6;1;;4;;3;;;;;16;;;;7;;3;;;;;4;;;1;;;;;;;3;2;49;;;1;2;;;12;;;2;1;;;;;;2;;;;1;;2;14;;;3;;1;;;;;22;;;;;;6;;;4;;;;;;;;3;;;;2;;;;;1;;;2;;7;1;;;3;;1;;;;;236
44049-6590;20130201;SUCESSO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;2;;7;;;;;;;;;;;;;;;;1;1;;6;;;1;1;;5;2;;;1;;1;11;;;;3;;1;;;;;;;;1;;;;;;;;;32;;;;;;;7;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;14;2;;;3;;;;;;;113
44058-7297;20130202;SUCESSO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;7;;;;;;;;3;;;;;2;;;;;4;17;;;3;1;;4;1;1;;3;;;12;;;;6;;1;;;;;;;;;;;;;;;;;30;;;;3;;;7;;;2;1;;;;;;;;;;;;;3;;;1;;1;;;;;2;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;1;1;11;;;;4;;1;;;;;140
44065-6402;20130102;SUCESSO;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;2;8;;;;;;1;;1;;;;;3;;;3;2;3;13;;;5;3;;2;2;1;;1;;;13;;;;6;;;;;;;;;;;;;4;;;;4;3;52;;1;;1;;;12;;;7;3;;;;;;3;;;;4;;5;17;;;10;;1;;;;;29;;;;;;11;;;3;;;;;;;;3;;;;;;;;;1;;;5;;7;1;;;7;;1;;;;;269
44172-6895;20130201;SUCESSO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;5;1;7;12;;;;;;2;;4;;;;;3;;;2;2;11;14;;;6;5;;2;1;4;;6;1;1;8;;;;2;;1;;;;;;;;2;;;;;;;;;37;;2;5;1;;;10;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;1;1;;;;;1;;1;;;;;170
44195-6402;20130102;SUCESSO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;1;;;;;;;;;;;;2;4;;;1;;;;;1;;;;;4;;;;1;;;;;;;;;;;;;;;;;;;20;;;1;;;;2;;;1;;;;;;;;;;;;;;2;;;1;;1;;;;;2;;;;;;1;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;1;;;;;;;55
44258-7297;20130202;SUCESSO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;1;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;23
44965-7297;20130202;SUCESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;1;1;1;7;;;3;1;;2;1;2;;1;;;6;;;;4;;2;;;;;2;;;;;;;;;;1;1;11;;;;;;;2;;;1;;;;;;;1;;;;1;;1;4;;;1;;1;;;;;3;;;;;;3;;;1;;;;;;;;;;;;2;;;;;;;;;;9;;;;4;;;;;;;83
Total Geral;#N/D;#N/D;558;81;124;105;5743;390;57;88;549;99;140;76;739;65;386;57;100;61;72;72;1616;74;524;212;106;59;59;196;154;80;80;78;238;67;57;355;133;226;57;188;165;368;3494;83;83;71;280;78;285;66;311;66;66;58;105;634;73;146;447;189;508;4056;261;63;1101;435;100;543;281;318;70;582;142;137;4946;291;61;95;2027;153;566;134;73;159;99;455;77;64;432;58;124;488;68;122;68;193;304;10558;105;345;213;611;57;133;2748;71;140;987;437;146;94;67;122;83;455;207;96;63;141;78;203;1817;73;80;1101;79;506;56;218;147;81;2939;312;129;61;82;64;1032;203;86;480;127;197;81;109;69;123;79;566;95;81;106;1164;98;95;61;95;481;86;78;647;331;1798;497;114;59;1198;68;312;143;86;93;66;77752
