IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2 30>;2 31>;2 41>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30 31>;30 31>30>;30 41>;30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31 41>;31 41>30>;31 41>41>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41 43>;41 44>;41>;41>14>;41>2>;41>30>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>44>;42>;43 44>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
39383-6401;20130102;SUCESSO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;6;;;;;;1;;;;;;;;;;1;1;;6;;;2;1;;;;1;;;;;7;;;;3;;1;;;;;1;;;;;;6;;;;;;21;;;;3;;;7;;;3;1;;;;;;2;;;;;;2;9;;;4;;2;;;;;10;;;;;;6;;;5;;;;;;;;1;;;;;;;;;2;;;1;1;9;1;;;2;;;;;;;132
39460-6401;20130102;SUCESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;1;;;;;1;3;;;;;;;;1;;1;1;1;4;;;;2;;;;;;;1;;;2;;;1;;;;1;;7;;1;1;1;;;5;;;3;1;;;;;;1;;;;1;;;1;;;1;;;;;;;3;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;2;2;;;;;3;;2;;;;;59
39676-6030;20130101;SUCESSO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;17;;;;;;;;1;;;;;6;;;;;3;10;;;3;;;2;;2;;3;;2;22;;;;4;;2;;;;;;;;2;;;10;;;;2;2;47;;;1;5;;;13;;;6;3;;;;;;2;;;;2;;;4;;;2;;;;;;;6;;;;;;2;;;1;;;;;;;;2;;;;;;;;;;;;2;2;9;3;;;7;;2;;;;;221
39719-6401;20130102;SUCESSO;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;4;22;;;;;;2;;1;;;;;2;;;;;1;6;;;2;;;2;;1;;6;;1;16;;;;2;;1;;;;;2;;;1;;;3;;;;2;3;44;;;;2;;;6;;;2;1;;;;;;1;;;;1;;1;10;;;3;;2;;;;;20;;;;;;6;;;2;;;;;;;;5;;;;10;;;;;;;;9;4;52;15;;;14;;1;;;;;300
39946-6401;20130102;SUCESSO;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;6;;4;3;16;92;;;;;;9;;11;;;;;26;;;12;7;18;88;;;21;8;;10;7;10;;17;8;5;97;;;;42;;12;;;;;14;;;10;;;8;;;;7;7;256;;6;9;14;;;56;;;24;6;;;;;;7;;;;6;;3;29;;;20;;6;;;;;43;;;;;;15;;;7;;;;;;;;14;;;;31;;;;;14;;;8;3;23;4;;;17;;2;;;;;1218
39955-6401;20130102;SUCESSO;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;5;31;;;;;;2;;4;;;;;10;;;1;1;4;19;;;7;1;;;;1;;4;1;2;25;;;;8;;5;;;;;4;;;2;;;6;;;;2;5;89;;6;1;4;;;24;;;13;5;;;;;;2;;;;2;;3;12;;;7;;3;;;;;24;;;;;;8;;;4;;;;;;;;3;;;;10;;;;;2;;;3;1;;;;;5;;1;;;;;388
39980-6400;20130102;SUCESSO;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;;1;1;2;8;;;;;;2;;2;;;;;3;;;6;4;2;30;;;13;5;;5;2;2;;2;1;1;20;;;;7;;4;;;;;4;;;1;;;13;;;;;1;20;;1;1;1;;;5;;;;;;;;;;;;;;;;1;3;;;1;;;;;;;5;;;;;;;;;;;;;;;;;7;;;;7;;;;;3;;;6;5;2;;;;6;;2;;;;;229
40010-6400;20130102;SUCESSO;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;7;3;3;19;;;;;;1;;3;;;;;2;;;13;9;15;59;;;21;8;;11;6;3;;7;1;1;48;;;;20;;5;;;;;4;;;4;;;16;;;;1;4;133;;3;4;4;;;18;;;5;;;;;;;2;;;;;;1;8;;;2;;1;;;;;22;;;;;;4;;;3;;;;;;;;3;;;;4;;;;;;;;6;2;9;;;;5;;1;;;;;540
40086-6590;20130201;SUCESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;1;7;;;;;;;;;;;;;;;;1;;3;9;;;1;;;3;1;;;3;;;13;;;;3;;1;;;;;2;;;;;;1;;;;;;10;;;;1;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;9;;;;3;;;;;;;79
40093-6590;20130201;SUCESSO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;2;;;;;;;;;;;;;;2;;;;;;;;;6;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;21
