IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
31872-4603;20120102;SUCESSO;2;;;;40;1;;;1;1;;;5;;1;;1;1;;;;;;19;;;6;4;2;;1;1;1;8;;;;;;;;;;2;;;;;;;;;;2;2;;;5;;;4;1;;;2;;2;1;;;;;2;;6;;;;4;1;2;2;1;;;;;2;;;;;;44;1;;3;1;17;;2;9;1;4;1;;;;;;;;;5;;4;;2;2;;;8;1;1;;5;1;1;2;1;;;;;;2;2;;;16;3;;;2;2;1;1;1;;;;;2;;1;1;;;;286
31888-4433;20120102;SUCESSO;3;2;1;1;42;1;;;;10;;;6;6;4;2;2;;;;1;;;9;;;3;;;;;;;;4;2;;;;;;;;24;1;1;1;3;;;;;1;;;;;9;;7;6;;;;1;;;;;1;1;;1;1;8;3;1;1;5;;1;;;1;1;1;1;;1;1;;1;;23;1;;1;1;7;;1;1;1;1;1;1;;1;;1;1;;;3;;3;;;;;;4;;;;1;;;;;;;;2;;3;2;2;1;5;3;;;4;3;3;;;7;4;1;;2;;;;2;;;280
31986-4435;20120102;insucesso;;;;;19;2;;;1;2;;1;;;5;1;3;;;;;1;;4;;1;2;;;;1;1;1;1;1;1;;;;1;1;;;3;;;;1;;;1;;2;;;;;1;;1;7;1;;1;;;;;;3;3;;;;11;2;2;;7;1;;;;3;3;1;;1;;1;1;;;15;1;1;2;;7;1;1;2;;;;;;;;;;;1;2;;1;1;1;1;1;;9;2;;1;4;;;3;;1;;;1;1;;;;;1;1;;1;1;1;;3;2;2;;;;5;;;;1;1;1;187
32015-4917;20120201;SUCESSO;2;1;1;1;41;3;;;1;4;;;;;2;;1;;;;1;;;8;1;;2;1;;;;;;;;;;;;1;1;;;7;1;1;1;3;;;1;;1;1;1;1;;;;;1;;;;;;;;;1;1;1;;;4;2;1;1;1;;;;;1;1;;;;;;;;;34;;1;2;;8;;;1;;;;;;;;1;1;;;1;;1;;;;;;1;;;;;;;;;;;;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;161
32029-4434;20120102;insucesso;2;1;1;1;34;3;;1;1;8;1;1;;;2;;1;;;;;;;7;;;5;2;2;1;2;1;1;;;;;;;1;1;;;14;;;;3;;2;1;;;1;1;1;;;;;1;;;;;;;;;1;1;;;;4;1;;;1;;;;;1;1;1;;;;;;;;13;;;;;6;;;2;;2;1;1;1;;;;;;;4;1;1;;1;1;1;;2;1;1;;2;1;1;2;1;1;;;1;;2;2;1;1;;;;;;;;;;;;;;;;;;;;;169
32030-5061;20120201;insucesso;2;;2;2;115;7;;1;1;6;2;2;2;;14;2;9;;3;;;;;15;;1;5;3;2;1;4;4;3;5;;4;;;;7;6;7;;22;2;2;2;6;2;;2;;2;;;;;4;1;;38;18;;2;8;;2;1;;3;2;;1;2;43;9;2;3;24;6;7;2;1;1;1;4;2;1;2;;;;;62;2;3;4;3;19;2;2;10;;6;4;2;1;;;4;2;;;17;1;12;2;4;3;1;1;29;7;1;3;6;5;;5;4;1;1;1;1;1;2;;;2;11;4;;;;;;;;54;24;14;8;9;3;;;1;;;831
32030-6400;20130102;insucesso;2;1;1;1;61;2;1;1;1;5;1;;;;5;;3;;;;;1;1;16;;1;4;2;2;2;2;2;;3;;1;;;;2;1;4;;8;1;1;1;3;;;1;;2;1;1;1;;1;;1;24;5;;2;1;;;;;1;1;;2;4;18;;;;15;1;1;;;1;1;1;1;1;1;1;;1;1;62;2;;3;3;17;;;2;;2;2;1;1;;;1;1;;;8;1;7;1;2;;;;18;2;2;;3;;;;;;;;;;2;1;1;1;11;5;;;;;;;;2;1;1;;2;1;;;;;;404
32030-7297;20130202;insucesso;3;;3;3;34;2;;;;1;;;;;2;;;;;;;1;;9;;;;;;;1;1;;;;;;;;2;2;1;;11;2;2;2;5;;1;2;;;;;;;;;;6;4;;2;2;;;;;;;;;;10;2;1;;5;1;2;;;;;1;;;;;;;;30;;4;1;;7;;1;5;;3;2;2;1;;;;;;;2;;2;;2;1;;;2;2;;1;2;2;;1;1;;;;;;3;;;3;;;;;;;;;;;;;;1;1;;;;;;208
32035-4114;20120101;insucesso;2;1;1;;39;4;;;;2;;;;;3;1;;;;;;;;12;;;5;4;4;2;;;;;2;3;;;3;1;1;;;4;1;1;;1;;1;;;1;1;1;1;5;;;;2;1;;1;;;;;;1;;;;;6;2;1;;2;1;;;;1;;1;;;2;;;;;28;2;1;2;1;16;1;2;6;;4;2;2;2;2;1;3;2;1;1;3;;2;;1;;;;2;1;;;1;1;;;;;;;;;2;1;1;;6;4;3;3;5;4;;;;45;16;8;3;6;;;;3;5;1;334
32035-5799;20130101;insucesso;3;;2;2;38;7;;;;2;1;;5;2;;;;;;;;;;8;;;6;4;3;2;;;;1;;2;;;;;;;;6;1;1;1;3;;;;;;;;;;7;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;1;;;;8;;;4;;3;2;2;2;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;3;1;;2;1;;;;;;;;;25;5;1;1;2;;;;2;;;194
32035-7114;20130202;insucesso;2;1;;;24;6;1;;2;1;;;7;4;2;;1;;;;;;;6;;;3;2;1;;;;;;;3;;;1;1;1;;;9;;;;2;;;1;;;;;;;9;3;4;1;1;;;;;;;;;;;;;3;1;;;1;1;;;;;;;;;;;;;;11;;2;;;4;1;;2;;1;;;;1;1;1;1;;;1;;1;1;;;;;1;1;1;;;;;;;;;;;;2;2;1;;;;;;;;;2;1;1;1;;;5;1;1;1;1;2;2;159
