IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
30588-4435;20120102;insucesso;1;;1;1;13;;;1;;;;;1;;1;;;;;;;6;;1;;;;1;1;;;;;;;;;;;2;1;1;1;;;;;;1;;;;;;;;3;2;;2;;;;;;;;;;3;;;;2;1;;;;;;;;;;;;;;11;;1;1;;1;1;;;;;;;;;2;2;;;5;;5;;;;;;11;1;;1;1;1;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;93
30588-5490;20120202;insucesso;1;1;;;10;;;;;;;;;;;;;;;;;5;;2;1;;;1;1;;;;;;;;;;;1;;;;1;;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;1;;;;;;19;;;1;;8;;;2;1;1;1;1;;;;;;;1;;1;1;;;;;3;1;;1;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;75
30588-5799;20130101;insucesso;1;;1;1;10;1;1;;;;;;;;;;;;;;;5;;1;;;;3;3;2;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;;;;2;;;;;;;;;;1;1;1;;5;;5;1;3;2;1;;9;1;1;;5;1;1;3;1;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;86
30588-6590;20130201;insucesso;;;;;3;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
30609-5061;20120201;insucesso;;;;;5;1;;1;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;3;;;;1;;;1;1;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26
30639-5489;20120202;SUCESSO;2;2;;;38;3;;7;1;;;;8;1;4;1;1;;;;;13;;2;;;;1;1;1;;;2;2;2;;;;;10;;;;3;;;1;;1;2;2;2;;;;;14;3;;;6;2;4;1;1;;;2;;20;2;;;13;1;5;4;1;;;;;2;;;;;;24;;1;2;1;5;;1;1;;;;;;;1;1;1;;3;;3;;3;2;2;;3;1;1;;3;1;1;2;1;2;2;1;;2;2;2;;;;;;;;;3;3;;;;;3;;3;3;;;;284
30687-4433;20120102;SUCESSO;1;1;;;50;3;;5;2;;3;3;;;;;;;;;7;17;;7;2;2;;2;1;;1;2;3;;;3;3;1;1;14;;;;4;;2;1;;1;1;1;1;;7;1;6;13;2;;;3;;3;1;1;3;2;;;19;3;;2;10;2;3;3;1;3;1;2;2;1;2;10;;9;6;48;;1;;;16;;;4;3;;;;1;;3;3;1;;8;;6;;2;2;;;13;3;2;;5;;;2;;;;2;;1;1;1;;5;2;;;2;1;;1;1;33;16;7;3;6;2;1;1;2;2;;479
30696-4435;20120102;SUCESSO;2;;2;;19;1;;4;;;;;1;;;;;;;;;2;;1;;;;2;2;1;;;;;;;;;;7;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;3;;;;1;;;;;;;;;;;;;;;8;;;1;1;3;;1;;;;;;;;;;;;2;;2;;1;;;;10;;;;3;;;1;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;86
30703-5384;20120202;SUCESSO;2;2;;;84;7;;8;;;1;1;13;;5;;;;1;4;1;13;;5;3;;;;;;;3;3;2;2;;;4;4;21;;;;1;;1;3;;2;1;1;1;;2;;2;45;2;;;18;1;9;7;4;5;4;6;8;50;1;;;31;1;10;4;3;4;3;10;5;6;2;1;;1;1;52;1;2;7;2;24;;4;13;6;4;3;3;1;;3;2;1;;9;;4;;3;3;3;;18;;;;4;;;4;;4;3;4;;2;2;2;;18;1;;;5;4;2;9;7;9;1;;;13;;7;7;;;;721
30705-5489;20120202;insucesso;2;;2;2;26;1;1;2;;;;;;;;;;;;;;6;;;;;;;;;;;1;;;;;;;3;2;2;2;1;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;1;;;;;;;;;1;;;;;;18;1;;;;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;4;;;;2;;;;1;;;93
