IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
31601-6401;20130102;insucesso;4;3;1;1;;118;5;1;1;1;23;4;2;;;22;;10;;3;;;7;;;19;;1;4;;;;2;2;;2;;2;;;1;;;;43;;;;8;1;;3;;;;;;1;;;;48;6;;;;14;2;6;1;;11;5;;2;;53;7;;2;32;3;13;6;1;6;3;10;5;3;2;;;;;53;;;5;4;8;;2;2;;;;;;;;;2;2;1;;12;;9;2;7;3;2;10;5;3;7;3;2;3;1;2;;1;;;4;3;3;1;8;;1;4;;;;;;26;10;3;;4;;;;1;2;1;758
31601-6590;20130201;SUCESSO;2;1;1;1;;72;1;;;;19;;;;;6;;3;;1;1;1;2;;;14;;;2;1;;;3;3;;2;;1;1;;1;1;;;26;1;1;1;2;;;;;3;1;1;1;;;;;11;4;;;1;6;2;4;3;1;1;1;;1;1;14;1;1;;10;2;6;4;3;1;1;3;3;1;;;;;;42;1;1;2;2;4;;1;;1;1;;;;;;;2;2;1;;9;;9;;2;;;14;1;;2;1;;;;;;;;;2;1;1;1;5;1;;;;;;2;;2;1;1;;2;;1;;1;;;382
31673-5384;20120202;SUCESSO;2;2;;;2;48;1;;;1;7;;;;;10;;7;;3;2;1;3;;;11;;;6;2;1;1;;;;1;;3;2;2;2;2;3;3;22;;;;1;;;2;;3;2;2;2;;;;;26;;;;;11;;5;2;;3;2;;1;2;29;;;;20;;8;3;1;1;;5;3;5;;;;;;57;;3;3;1;24;;;;11;;4;2;1;1;2;;3;;;;6;2;3;;1;1;1;10;2;2;4;2;2;3;2;2;1;;;;2;2;2;;3;;;;;;;2;2;14;5;1;1;5;;2;2;;;;488
31694-5384;20120202;SUCESSO;2;2;1;1;;38;1;;;;6;;;;;3;1;1;;;;;;;;5;;;3;3;;;;;;;5;2;1;1;1;1;;;11;1;1;1;2;;;3;;1;2;2;2;;;;;3;1;;;;;;;;;1;1;;;;6;2;;1;3;1;;;;1;1;;;;;1;;1;;8;2;;;;6;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;1;8;2;;;7;7;;1;1;3;;;;2;;1;1;;;;189
31728-4114;20120101;SUCESSO;2;1;1;1;40;101;3;;;;8;1;;;;4;;1;;;;1;1;;;14;;;6;2;2;1;;;;32;3;4;1;1;3;3;;;11;1;1;1;3;;;1;;2;1;1;1;;;;;7;1;;;;;;;;;2;1;;;1;16;3;;;2;;;;;1;1;3;;4;1;7;;3;;36;1;1;2;;15;;1;;5;1;3;2;1;;;;1;;;;3;1;1;;1;1;;1;;;1;;;1;;;;;1;;2;1;1;1;46;3;;;3;2;1;5;3;13;7;4;2;10;1;2;2;1;11;;514
31729-4448;20120101;SUCESSO;2;;1;1;;20;3;;;1;4;;;;;5;2;1;;;;;;;;4;;;1;;;;2;1;1;;;3;;;;;;;12;;;;1;;;;;1;;;;;;;;1;;;;;;;;;;;;;1;;16;2;1;1;1;;;;;;;;;6;;;;;;31;;;;;7;;;;2;;;;;;;;2;2;2;;9;;8;;5;4;4;8;2;1;5;2;1;4;2;4;2;4;;;2;1;;1;2;;;;;;;;;;;;;5;;;;;;;217
31733-6030;20130101;insucesso;;;;;;14;2;;;;;;;;;3;;2;;;;;;;;2;;;1;;;;;;;1;1;3;;;1;1;;;;;;;;;;;;;;;;;;;;7;3;;;;;;;;;;;;;;6;;;;3;2;;;;;;;;;;1;1;;;10;;;;;2;;;;;;;;;;;;;;;;2;;1;;;;;4;;;;;;;;;;;;;;;;;3;2;;;1;;;;;3;;;;7;;;;1;1;1;92
31743-5061;20120201;insucesso;4;2;3;3;;23;;;;;5;;;;;1;;1;;;;;;;;3;;;2;;;;;;;;;2;;;1;1;;;19;1;1;1;;;;;;2;2;2;2;;;;;4;;;;;1;;1;;;;;;1;;6;1;;;3;;;;;;;2;;1;;;;;;29;1;1;3;2;13;;2;1;3;;3;1;1;1;;;1;1;1;;3;;3;;1;;;3;;;1;;;;;;;;;;4;2;2;3;3;;;2;1;;;9;5;38;20;10;;7;;5;2;;;;289
31743-6030;20130101;SUCESSO;3;1;2;2;;16;;;;;3;;;;;4;;2;;1;1;;1;;;2;;;;;;;;;;;;;;;1;1;;;6;2;2;2;2;;;1;;;1;1;1;;2;;1;2;;;;;1;;1;1;;;;;;;4;1;1;;2;;1;1;1;;;1;;1;;;;;;5;;;;;3;;;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;2;2;1;;;;;;1;;3;;;;3;;1;;;;;110
31747-5061;20120201;insucesso;2;1;1;1;;39;;;;;7;;1;5;4;2;;2;;;;;;2;1;14;;;11;5;3;3;1;;;;;;;;2;2;;;29;1;1;1;2;;;2;;4;1;1;1;;6;;4;10;1;;;;;;;;;2;;;;;9;;;;7;1;;;;1;;;;;;2;1;1;1;42;;7;1;;23;5;1;;11;;9;7;5;5;3;;4;;;1;6;4;1;;;;;4;;;2;;;2;;2;;2;1;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;351
