IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
36400-5490;20120202;insucesso;5;2;4;4;;27;1;;;1;3;;;;;;;;;;;;;;9;;;4;2;1;;;;;;;;;;;;;;;;12;4;4;4;5;;1;;;1;1;1;1;;1;;1;1;1;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;28;1;1;;;12;;;5;1;;;;;;;2;1;1;;2;1;;1;;;;1;1;1;1;1;1;;;;;;;5;2;2;4;;;;;;;;;;;;;;;;;;;;;179
36400-5799;20130101;SUCESSO;2;2;;;;47;1;;;;4;1;;6;1;4;;2;;1;1;;;;16;;;6;3;1;;;5;5;3;;;2;1;1;;1;1;;;7;;;;2;;1;;;;1;1;1;;6;3;1;5;3;1;1;3;2;1;;;1;;;;6;;;;4;1;2;1;;;;;;;;;;;;34;2;;1;1;14;;;5;3;1;;;;;;4;3;3;;9;8;;6;5;4;;9;7;3;7;6;;5;5;4;2;1;;2;2;2;;;;;;;;;3;2;2;;;;3;;2;2;1;;;344
36413-5489;20120202;SUCESSO;2;1;1;1;;34;6;;;3;2;;;;;1;1;;;;;;;;17;1;;3;;;;;;;;;;2;2;2;;;;;;2;1;1;1;1;;;1;;;1;1;1;;;;;3;2;;;;;;;;;;;;6;1;;;2;1;;;;;;;;;1;;;;;31;;1;2;1;6;;1;;;;;;;;;1;;;;2;1;;1;;;;1;;;1;;;;;;;;;2;1;1;1;1;;;;;;;3;3;;;;;3;;3;3;;;;175
36430-5489;20120202;insucesso;;;;;;9;1;;;;1;;1;;;;;;;;;;;;3;;;3;2;;;;;;;;;;;;;;;;;2;;;;;;;1;;1;;;;;;;;2;;;;2;;1;;;1;;;;3;;;;2;;2;1;;;;;;1;1;;;;;5;;1;1;1;3;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;56
36444-5490;20120202;SUCESSO;2;1;1;1;;60;3;;;3;4;1;;;;8;1;5;2;1;1;1;6;;26;2;;10;3;3;1;;;;;1;2;1;;;;;;;;10;;;;3;;;1;;1;1;1;1;;;;;13;8;3;3;2;1;1;1;;;;;;18;6;;2;13;8;2;1;1;;;4;3;;2;6;;4;2;69;2;3;5;4;25;;2;11;8;5;3;2;;1;;3;2;2;;6;4;;3;3;2;;5;2;1;4;2;;3;2;2;;1;;2;1;1;1;3;3;;;2;;2;5;4;3;;;;5;;4;4;;4;;503
36510-5489;20120202;insucesso;;;;;;18;2;1;;;1;1;;;;;;;;;;;1;1;4;;;1;1;;;;;;;;;;;;;1;1;;;2;;;;2;;;;;;;;;;1;;1;4;2;;1;1;;1;;;1;1;;;4;;;;4;1;;;;1;1;;;;1;4;;4;2;16;2;;1;1;8;;;4;2;1;;;;;;1;;;4;5;4;;2;;;;12;1;;4;1;;;;;;3;3;;;;;1;;;;;;;;;;;;;;;;;;;;148
36543-5384;20120202;SUCESSO;1;1;;;4;40;3;;;3;7;3;;2;1;6;;2;;;;3;;;8;;;3;;;;;;;;4;;1;1;1;;1;1;2;2;14;;;;4;;1;2;;1;;;;;5;3;1;12;1;;;2;;;;;2;1;;2;16;;;;8;1;1;;;1;1;4;1;;4;2;;;;17;;1;3;;6;;2;2;1;1;1;;;;;;;;;2;2;;;;;;3;1;;;;;;;;;;;1;1;1;;8;2;;;;;;1;1;;;;;1;;1;1;;;;250
36545-5384;20120202;insucesso;3;1;2;2;;19;;;;;9;;4;;;1;;;;;;;;;1;;;;;;;;1;1;1;1;;;;;;;;;;15;1;1;1;;;;6;;1;1;1;1;;;;;2;;;;1;;;;;;;1;;3;;;;2;;1;;;;;1;1;;;;;;;14;;1;;;4;1;;3;1;1;;;;;;3;3;1;;5;3;;1;1;1;;9;1;;1;1;;1;1;1;;;;3;1;1;2;3;1;;;;;;;;;;;;;;;;;;;155
36589-5489;20120202;insucesso;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;4
36589-6895;20130201;insucesso;;;;;;9;;;;;;;;1;1;1;;;;;;;;;4;;;2;;;;;1;1;;;;1;;;;;;;;1;;;;;;;1;;;;;;2;1;;1;2;;;;1;;1;;;;;2;1;4;;;;1;;;;;;;2;1;;3;;;;;16;;;1;;4;;1;2;2;1;1;1;1;1;1;1;1;;;5;5;1;2;1;;;7;3;1;3;2;1;1;;;;;;;;;;3;;2;1;;;;;;;;;;1;;;;;;;118
