IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;42>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
40918-6402;20130102;insucesso;1;;1;;57;2;1;3;;;;5;;4;1;2;;;1;;21;;1;2;1;;;7;5;;;;1;;;;;2;1;1;1;11;;;;1;;1;;;;;;;2;;2;14;6;;;1;5;;3;1;;;1;1;;;;4;15;1;;1;12;4;;4;3;1;;;;2;2;;;;;1;;1;1;59;4;1;2;;1;8;;1;3;;;;;;;;1;1;;;;16;;1;12;;;;;;38;5;2;;2;1;4;1;;2;1;;;;;;;;1;;;;5;1;;2;;2;;1;;;;;;;2;1;;;;;;403
40950-6030;20130101;insucesso;3;1;2;2;48;9;;2;1;;;3;;1;;1;;;1;2;6;;;;;;;3;2;;;4;1;;;;4;2;2;3;3;10;;;;1;;;1;;;;;7;1;1;;34;4;;;1;9;;5;4;;;5;4;;;1;5;23;2;1;;18;1;;7;4;3;;1;1;2;2;2;;;;8;1;6;4;24;2;;;;;3;;;;;;;;;;;;;;;1;5;;;5;;1;1;;;13;2;;;2;1;4;2;;3;2;;1;;1;;1;1;3;1;1;2;10;2;6;;1;3;1;;1;;1;;;;4;1;1;;1;5;3;407
40960-6401;20130102;SUCESSO;1;1;;;20;;;5;1;1;;2;;1;;;;;;;4;;;1;;;2;1;1;1;;;;1;;;;;;;;9;;;;1;;2;;3;;;;;2;;;5;;;;;2;;2;2;1;;;;;;1;;5;;;;4;;;2;2;2;1;;;;;;;;;;;;;12;;;1;;1;4;;;1;;1;1;1;;1;;3;2;2;;;6;;1;5;1;3;;;;5;1;;;;;3;;;;;;;;;;;;1;1;1;;;;;;;;;;2;2;;;;;3;;2;2;;;;158
40963-6400;20130102;insucesso;;;;;25;2;1;1;;;;4;2;2;1;1;;;;;14;;1;6;2;1;2;1;1;1;;;1;1;;;;1;1;;;2;;;;1;;;;1;;;;2;;;;3;2;1;;;1;;;;;;;;;;;1;7;5;;3;3;2;;1;;;;;;;;;;;1;;;;;25;1;1;2;2;1;8;1;1;4;;1;;;;;;3;3;1;1;1;4;1;;3;1;2;2;1;1;6;2;1;1;1;1;2;2;1;2;2;;1;1;1;;;;;;;;2;1;2;;1;1;;1;2;2;;;;;3;1;2;2;;;;223
40983-6030;20130101;insucesso;1;;1;1;42;2;;5;1;1;1;8;;4;1;1;;1;;1;8;;;1;1;1;;;;;;;;1;1;;1;2;2;;;14;;;;3;2;2;;2;;;;7;2;;1;16;2;1;;;5;;;;;;3;3;;;3;1;14;1;1;;8;1;;1;;;;3;3;;;;2;;3;1;;1;1;28;1;2;1;;1;14;1;1;4;;4;3;3;3;3;3;3;3;1;1;2;7;1;1;5;;1;1;1;1;14;1;1;1;;;3;1;1;3;1;;1;1;1;1;2;2;1;;;1;8;;7;;1;1;;;5;2;6;2;;;4;;4;2;;1;1;376
40989-7114;20130202;insucesso;;;;;6;1;1;;;;;;;;;;;;;;3;;;2;2;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;1;;;;3;1;;2;;1;;;;1;1;2;1;1;;;2;;1;1;;1;;;;1;1;1;1;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47
40992-6400;20130102;insucesso;;;;;18;;;1;;1;1;2;;;;;;;;2;3;;1;;;;;;;;;;;1;;;1;;;;;5;;;;;;1;2;2;;;;;4;;3;4;;;;;2;;1;1;;;1;1;;;;;7;;;;3;;;1;;;;;;;;1;2;1;1;3;;2;;12;;;2;;1;3;;;;;;;;;;;1;;;;2;4;;;3;;2;2;;;3;1;;;;;2;1;;2;1;;;;;;2;2;;;;;1;;;1;;;;;1;1;1;;;;4;;1;1;;1;1;138
41089-6400;20130102;SUCESSO;1;1;;;21;2;;3;;;;3;;1;;;;;;;11;1;1;1;1;;;1;1;;;;;;;;;;;;;7;;;;1;;;;2;1;1;1;;;;;2;;;;;1;;;;;;;;;;1;1;6;;;;2;;;1;;;;;;1;1;;2;;;;;;;23;;4;1;;;5;;;3;;;;;;;;;;;;;3;;;1;;;;;;5;;;;;;1;;;;;;;;;;;;1;1;1;;2;;;;2;;;;1;1;;;;;1;;1;1;;;;138
41123-6400;20130102;insucesso;;;;;14;;;;;;;;;;;;;;;1;5;;;3;2;2;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;1;;;;;;1;1;;;;;1;;;;1;;;;;;;1;1;1;1;;;;;1;;;;9;3;;;;;5;;;3;;2;2;2;1;2;1;2;1;;;3;4;;1;2;;1;1;1;;2;;;;;;1;;;1;;;1;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;99
41124-6401;20130102;insucesso;;;;;6;1;;;;2;1;1;;1;;1;;;;;2;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;1;1;1;;;;;1;;;;;;;;;;1;;1;;;;1;;;1;;;;;;;;;;;;;;;;3;;1;;;;2;1;;;;;;;;1;1;1;1;1;1;;2;;;2;;2;2;1;;2;2;1;;;;2;2;1;2;2;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;68
41125-7114;20130202;SUCESSO;1;1;;;15;1;1;3;1;;;1;;1;;;;;;;8;;;1;;;3;;;;;;;;;;;1;1;2;2;5;;;;1;;;;;;;;;1;;;9;;;;;;;;;;;;;;;2;1;9;;;;7;;;;;;;;;;;;;;;;;;;14;;1;2;;2;3;;;;;;;;;1;1;4;3;;;;4;;1;3;;;;;;3;;;;;;;;;;;;;;;;;;1;1;1;;1;1;;;;;;;1;1;;;;;2;;1;1;;;;131
41126-6400;20130102;SUCESSO;1;1;;;31;2;2;3;;;;4;;;;;;;2;;9;1;;1;1;;1;1;1;1;1;1;;1;;;;;;;;4;;;;;;2;;2;1;1;1;;;;;5;;;;;3;;1;;;;;;;;;;6;;;;;;;;;;;;;3;;;2;;2;;;;;26;2;1;1;;;12;;1;7;1;4;3;1;;3;;3;1;1;;;5;;;4;1;2;2;2;;8;2;;;1;1;3;1;;2;;;2;;;;;;1;1;1;;3;;;2;;;;;1;1;;;;;5;;1;1;;;;218
41128-6030;20130101;insucesso;1;1;;;32;3;1;2;1;1;;4;;1;;;;;;;8;;1;2;1;1;2;3;2;1;;1;;2;;;;;;;;5;;;;2;1;;;;1;1;1;2;1;1;;7;1;;;1;1;;;;;;1;;;;;;11;1;;;4;1;;1;;;;;;2;1;;2;1;1;;;;;30;;2;2;;1;12;;1;3;;2;2;1;1;1;;4;2;1;1;;14;1;1;10;2;6;4;2;1;19;6;3;;1;1;9;1;;6;;;3;;2;1;3;3;1;1;1;;5;1;2;;;1;;1;;;;;;;6;1;;;;;;307
41132-6400;20130102;insucesso;1;1;;;41;3;;;;4;1;2;2;;;;;;;3;14;;1;;;;;1;;;;;;2;;;;;;;;4;;;;2;2;1;1;;1;1;1;;7;4;1;4;1;1;;;;;;;;;1;;;1;;;6;2;;2;3;1;;;;;;1;;;;1;;;3;3;;3;2;38;;;1;1;1;3;;;;;;;;;1;;2;;;;5;4;2;;1;;;;;;3;;;;;;;;;;;;;;;;3;;1;1;1;;4;;;2;;1;1;;;;4;1;1;1;2;;;;1;;;222
