IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;42>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>14>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
35718-5384;20120202;SUCESSO;1;;1;1;54;1;;;8;;;;;14;1;6;;2;1;;2;;13;;5;3;2;;1;3;2;1;1;;1;1;1;1;1;;3;3;;3;3;13;;;;2;;1;;1;;;;;;;;14;;;;7;;2;;;1;1;1;;26;1;;1;14;;6;2;;;;;1;3;2;;1;;1;;;;;41;;;3;;1;17;;2;9;1;5;3;1;;2;;5;3;1;;;13;;2;9;1;5;;4;3;3;;14;3;1;;1;1;8;2;1;6;1;5;1;4;;;;1;;;1;2;1;;;;1;;1;1;1;13;;9;6;4;2;;1;1;1;;;469
35751-5490;20120202;insucesso;;;;;6;;;;;;;;;4;;4;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;6;;;;3;;2;;;;;1;3;6;1;1;;6;;3;2;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;59
35751-5799;20130101;insucesso;;;;;18;1;;;;;;;;6;;6;1;1;;;;;5;;2;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;3;;1;1;;;;;2;2;;;7;;;;7;3;1;;;;2;2;;;;;1;;;;;;;21;;;;;;3;;;;;;;;;;;1;1;1;;;3;;;2;;2;2;;;;;2;2;2;;;;2;2;2;;;;;;;;;;;;;2;1;;;;;;;1;;;;;;;1;;1;;;;;136
35754-5489;20120202;insucesso;;;;;28;2;1;;1;;;;;1;;1;;;;;;;5;;1;1;1;1;;;;;;;;;4;;;;1;1;;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;5;;;;2;;;;;;;;;;;;;;;;;;;14;;;;;;1;;;1;;1;1;1;1;;;;;;;;2;;;2;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;7;1;;;;2;2;;;;;;;;;4;1;;;;;;108
35754-6030;20130101;insucesso;;;;;17;1;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;1;1;;;;5;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;1;;;;;13;;;;;;;;;;;;;;;;;;;;;;4;;;4;;;;;;;;11;1;;;1;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;72
35754-6895;20130201;insucesso;2;;2;2;19;;;;2;;1;;;1;;;;;;;;;5;;;;;;;1;1;;;;;;;;;;;;;;;4;2;2;2;;;1;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;16;;;;;;2;;;;;;;;;;;;;;;;3;;;3;;;;;;;;5;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;83
35799-5384;20120202;SUCESSO;2;1;2;2;61;2;;;5;1;;1;;9;1;7;2;;;;;;15;;5;1;1;;2;4;3;1;1;1;;;3;;;;3;3;1;;;13;1;1;1;4;;;;;1;1;1;3;1;;1;11;6;4;1;1;;1;1;1;;;;;21;4;;1;9;5;;;;;;;;1;;;1;;3;2;;1;;48;;2;1;;;12;;;4;;1;1;1;;;;3;2;1;;;11;;1;7;1;4;;2;2;;;18;7;2;;3;2;5;3;2;2;2;2;2;;;1;1;2;1;1;2;6;1;;1;;2;;;1;;18;;10;6;5;11;5;1;;2;1;1;475
35816-5799;20130101;SUCESSO;1;;1;1;12;;;;1;;;;;2;;;;;;;1;;2;;1;1;1;;;;;;;;;;1;;;;;;;;;2;1;1;1;2;;1;;;;;;2;;;;;;;;;;;;;;;;;5;1;;1;;;;;;;;;;2;;;;;2;2;;1;;8;;1;2;;;3;;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;2;1;;;;1;1;;;;1;;;;;1;;;;1;;;80
35864-5384;20120202;SUCESSO;1;;1;1;23;;;;4;;;;;3;;2;;1;;;1;;10;;3;1;1;;;2;2;;;;;;;;;;1;1;;;;8;;;;3;;2;;1;;;;;;;;9;1;;;6;;3;1;1;2;;;;8;1;;;7;1;5;2;;;;;;2;2;;;;;;;;;20;1;;1;;1;6;;1;2;;1;1;;;;;;;;;;3;;;2;;1;;1;1;1;;2;1;;;1;1;1;1;;1;1;1;1;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;180
35866-5489;20120202;SUCESSO;1;;1;1;147;10;;1;5;;;;;75;24;16;6;4;1;;2;;32;;6;2;1;;;1;1;;;;2;2;8;3;3;;4;4;2;2;2;7;;;;;;;;;;;;;1;;;31;16;7;4;6;3;3;1;;2;1;1;3;97;32;;2;25;9;5;2;1;;;;1;4;;;1;1;2;;;;;63;;1;6;;4;11;;1;5;1;3;2;2;;2;;2;2;;;;3;;;3;2;;;;;;;6;3;3;;;;1;;;;;;;;;;;1;;;1;8;4;;2;1;2;1;2;4;3;16;;10;8;5;10;4;4;3;3;;;855
