IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;42>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>14>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
35972-5489;20120202;SUCESSO;1;;1;1;18;1;;1;1;;;;;2;;;;;;;1;;5;;2;1;;;;;;;;;;;;;;;1;1;1;1;1;2;1;1;1;1;;;;;;;;;;;;6;;;;;;;;;;;;;7;2;;;2;;;;;;;;;1;1;;;;2;;;;;10;;1;2;;;3;;1;1;;;;;;;;1;1;1;;;5;;;5;;3;;1;;;;12;1;;;;;5;1;;1;;;;;;;;1;;;1;2;;;1;;;;;;;;;;;;;;;;;;;127
35990-5489;20120202;SUCESSO;1;;1;1;58;3;;;4;4;;;;8;;8;1;3;1;4;;;22;;5;3;2;;1;1;1;1;1;;1;1;5;1;1;;1;1;1;2;2;6;1;1;1;5;;;;;;;;;;;;13;4;1;2;6;3;3;2;1;7;3;;;12;7;;3;10;1;5;2;1;;5;3;;;;;;;;;;;;54;2;1;2;;1;17;;;9;;3;1;1;;;;1;;;;;7;;;5;1;3;;1;1;1;;5;4;1;;1;1;3;3;1;1;;1;;1;;1;1;1;;;1;;;;;;2;;2;2;1;13;;1;;;5;;1;1;1;;;424
36041-5490;20120202;SUCESSO;1;;1;1;24;1;;1;1;;;2;;;;;;;;;;1;9;;3;3;3;;2;1;1;;;;;;1;1;1;;;;;;;2;1;1;1;1;;;;1;;;;;2;;;4;;;;1;;1;;;1;1;;;3;;;;3;;1;1;;;1;1;;;;;;;;3;;3;3;26;3;1;;;;6;;;4;;4;3;3;;1;;3;2;1;;;6;;;5;;3;;2;2;1;;7;1;1;;;;4;1;1;2;;2;;1;;1;;1;;;1;;;;;;;;;2;2;4;;;;;4;;2;2;1;;;210
36054-5384;20120202;SUCESSO;1;;1;1;20;1;;1;3;;;2;;2;1;1;;;;;;;8;;4;;;;;5;4;1;1;;;;;;;;1;1;1;;;8;;;;1;;;;;;;;;3;;2;3;;;;2;;1;1;1;;;1;;4;1;;;3;;2;1;1;1;;;1;;;;;;;;;;;28;2;;;;;12;;;6;;1;;;;2;;3;3;1;;;11;;1;11;1;5;;3;2;1;;22;3;2;;1;1;7;1;;4;1;4;1;3;;1;1;1;;;1;;;;;;;;;2;1;3;;;;;2;;1;1;;;;254
36057-5384;20120202;insucesso;1;;1;1;15;1;;1;2;1;;;;2;;1;1;;;;1;;6;;;;;;1;1;;;;;;;1;;;;1;1;1;;;4;1;1;1;1;;;;;;;;;;;;3;2;;;2;;;;;;;;;5;1;;;3;1;2;;;;;;;1;1;;;;;;;;;14;;2;;;;;;;;;;;;;;;1;1;;;;2;;1;1;;;;;;;;2;;;;;;;;;;;;;;;;;1;;;1;2;1;;;1;;;;;;;;;;;1;;;;;;;100
36057-7297;20130202;SUCESSO;1;1;;;23;6;;4;2;;;;;2;;1;1;;;;;;10;;2;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;1;1;1;;;;;3;2;;1;2;1;;;;;;;;4;;;;3;1;2;;;;;;;;;;;;;;;;;19;;1;1;;1;2;;;;;;;;;;;;;;;;2;;;2;1;1;;;;;;2;2;1;;;;1;1;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;1;1;;;;1;1;122
36058-5490;20120202;SUCESSO;1;1;;;51;9;;4;1;;;4;;5;;2;;;;1;3;;14;;6;2;1;;1;;;;;;1;1;4;;;;;;;;;4;;;;;;;;;;;;;4;;1;11;;;;4;;2;1;;3;2;2;2;16;1;;;11;;4;2;1;;3;2;1;5;4;;1;;;;;;;40;1;;2;;1;12;;;3;;1;1;1;;;;1;;;;;11;;;6;;5;;1;;;;19;1;1;;;;13;1;1;2;;1;;1;;2;1;1;1;1;;4;;;;;1;1;1;;;8;;2;;;4;;;;1;1;;354
36066-6030;20130101;insucesso;;;;;9;;;;;;;;;;;;;;;;;;5;;2;2;1;;1;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;1;;1;;8;;;;;;4;;;3;;1;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;;;;2;;;;1;;;54
36089-5384;20120202;insucesso;;;;;14;1;;;;;;;;3;1;;;;;;;;7;;2;;;;;;;;;;;;;;;;1;1;1;;;3;;;;1;1;;;;;;;3;;;;;;;;;;;;;;;;;4;2;2;;;;;;;;;;;;;;;;1;;;;;17;1;1;;;;4;;;;;;;;;;;;;;;;1;;;1;;1;;;;;;3;;;;;;3;;;;;;;;;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;86
36099-5061;20120201;insucesso;1;1;;;33;;;;2;;2;;;3;;1;;1;;;;;3;;1;;;;;1;1;1;;;;;1;1;1;;1;1;;;;7;;;;1;;2;;2;1;1;1;;;;;5;;;;3;;1;;;;;1;;8;;;;5;;3;1;;;;;;;;;;;1;1;1;;;20;;1;1;;1;7;1;1;1;;1;;;;1;1;2;1;;;;4;;;3;;1;;1;1;;;6;1;;;1;1;2;1;;2;1;1;1;;;1;1;1;1;1;;2;;;;1;;;;1;1;;;;;;2;;1;1;;;;181
36099-6895;20130201;insucesso;1;1;;;15;1;;;;;;;;2;;1;;;;;;;6;;2;;;;1;;;;;;;;;;;;1;1;1;;;2;;;;;;;;;1;1;1;;;;;3;;;;;;;;;;;1;;5;1;;1;3;;;;;;;;;;;;;;;;;;;15;;;2;;2;5;;1;1;;;;;;;;1;1;;;;4;;;4;;2;;;;;;7;;;;;;3;;;1;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;104
36123-5384;20120202;insucesso;;;;;16;2;;;3;;1;;;;;;;;;;;;2;;;;;;;;;;;1;;;;;;;;;;;;5;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;1;;;;;6;;;5;;2;1;1;1;;;;;;;5;1;;;1;;1;;1;1;1;1;1;;;;;;1;;;1;;1;;1;1;3;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;87
36131-5489;20120202;insucesso;;;;;37;3;;2;2;1;;1;;1;;1;1;;;;;1;13;1;7;1;;;1;2;1;1;;;;;1;;;;1;1;;;;5;;;;1;1;;1;1;;;;;2;2;1;9;1;;;;;;;;2;2;;;14;3;;;9;1;;;;;2;2;;;;;;;;2;1;1;1;42;3;2;3;;1;14;;1;5;;3;3;2;2;1;1;2;2;1;;;7;1;;5;;4;;2;;;;6;1;;;;;5;1;;3;1;1;;1;;2;2;;;;;;;;;;;;;;;;;;;;1;1;;;;;;276
36131-6030;20130101;insucesso;1;;1;1;42;3;;2;3;2;;3;;2;;;;;;;;1;16;1;7;6;2;1;;3;2;2;;;;;;;;;1;1;;;;7;1;1;1;4;2;;;;;;;;3;2;;6;2;;1;;;;;;2;;;;8;;;;5;2;;;;;2;;;;;3;;;1;5;1;3;3;52;1;2;1;;1;20;1;;10;;3;2;2;2;1;1;2;2;1;1;;13;3;1;9;1;5;;3;2;1;1;15;2;1;;1;;5;;;3;;2;;1;1;;;1;;;1;1;;;1;;;;;;;;;;;;;;;;;;;347
36131-7297;20130202;SUCESSO;1;;1;1;13;;;;1;1;;5;;1;;;;;;;1;;5;;3;1;1;;;;;;;;;;;;;;;;;;;6;1;1;1;4;;;;;;;;;6;;3;2;1;;1;;;;;;;;;;2;;;;2;1;;;;;;;;1;1;;;;;;;;;5;;2;;;;3;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;1;;83
36137-5384;20120202;insucesso;1;1;;;20;5;;3;2;;;1;1;;;;;;;;;;9;;4;2;;;;;;;;4;;;;;;;;;;;;5;;;;3;2;1;;;1;1;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;1;;;;6;;;2;;;;;;1;1;1;1;1;1;;1;;;1;;1;;1;1;;;1;;;;;;1;;;1;;1;;;;;;1;1;1;;5;;1;;;;;;;;;;;;;;;;;;;;117
36139-5384;20120202;insucesso;1;;1;1;28;;;;2;;;;;7;;4;;2;;;;;2;1;;;;;1;2;2;1;;1;;;1;1;1;;;;;;;7;1;1;1;1;;;;;;;;;;;;18;2;;;7;;3;1;;2;1;1;;18;;;;10;;3;2;;;1;1;;4;3;;2;;;;;;;15;;1;3;;2;4;1;2;;;;;;;;;1;1;;;;4;;1;3;;2;1;1;1;;;5;2;1;;2;2;3;2;1;1;1;1;1;;;2;;1;;;1;7;1;;;;;;;3;3;;;;;;3;;3;3;;;;241
36139-6030;20130101;SUCESSO;1;;1;1;59;;;;3;;;;;8;;1;;1;;;;;6;;1;;;;;7;5;;;2;;;2;;;;2;2;;3;3;11;1;1;1;2;;1;;;;;;;;;;14;1;;;4;;1;1;1;3;2;;;25;;;;7;;2;1;1;1;2;1;;2;1;;2;1;;;;;;23;;1;2;;;4;;;1;;;;;;1;;1;1;;;;12;;;9;2;1;;1;;;;25;4;2;;1;1;3;2;;2;2;;;;;;;1;;;1;7;1;;;;;;;2;2;11;;2;2;2;8;;2;2;;;;342
36145-5384;20120202;insucesso;;;;;17;;;;5;;;;;;;;;;;;;;5;;4;2;1;;;1;;;;;;;3;;;;;;;;;5;;;;;;;1;;;;;;3;2;1;2;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;7;;;1;;;5;;1;3;;1;;;;1;1;1;1;1;;;4;1;;2;;2;;;;;;6;1;1;1;;;4;1;1;;;;;;;;;;;;;1;;;1;;;;;;;12;;3;3;1;3;1;;;;;;126
36159-5490;20120202;SUCESSO;1;1;;;21;;;;1;;;;;1;;;;;;;1;;7;;1;;;;;;;;;;;;4;1;1;;2;2;1;;;4;;;;;;;;1;1;1;1;;1;;;1;;;;1;;;;;;;;1;7;2;;;1;;1;;;;;;;1;;;;;;;;;;25;;;;;;5;;;4;;3;2;2;;;;1;;;;;4;;1;2;;1;;;;;;5;;;;;;1;;;;;;;;;;;1;1;1;;1;;;;;;;;1;1;18;;2;1;1;5;2;1;1;1;2;2;167
36170-5384;20120202;SUCESSO;1;;1;1;11;;;;1;;;;;;;;;;;;;;4;;1;;;;;;;;;;;;;;;;;;;;;4;1;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;4;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;39
36173-5489;20120202;insucesso;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;1;1;;1;;3;;;1;;;;;;;;;;;;;;1;1;;;;1;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;29
36189-5490;20120202;SUCESSO;1;1;;;11;;;;1;;;;;1;;;;;;;;;5;;2;1;;;;;;;;;;;1;1;1;;;;;;;2;;;;;;;;2;1;1;1;;;;;2;;;;1;;1;;;;;1;;2;;;;1;;1;1;;;;;;;;;;;;;;;;15;;2;;;;5;;;3;;;;;;;;;;;;;1;;;1;;;;;;;;1;;;;;;;;;;;;;;;1;1;1;1;1;;;;;;;;;;2;2;;;;;;2;;2;2;;;;86
36194-5489;20120202;insucesso;;;;;19;;;;;;;;;1;;1;;1;;;;;7;;2;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;1;;;;;;;;3;;;;2;;1;;;;;2;;3;;;;3;;2;1;;;;;;;;;;;;;;;;23;;1;1;;1;8;;;3;;1;1;1;1;1;;3;1;;;1;5;;1;2;;;;;;;;2;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;7;;2;;;1;;;;1;1;1;123
36244-5490;20120202;insucesso;1;1;;;42;;;;3;;;1;;;;;;;;;;1;7;1;3;2;;;;;;;;;15;;2;1;1;;2;2;1;;;5;;;;1;;;;3;1;1;1;12;3;;1;16;;;;1;;1;;;;;;3;14;1;;;5;;;;;;;;;2;;;;;4;2;;2;1;32;;1;1;;1;7;1;;3;;1;;;;1;;1;;;;;3;;1;2;;1;;;;;;2;;;;;;1;;;;;;;;;1;;1;1;1;;24;;9;;2;17;16;11;2;1;24;;7;4;;5;;1;1;1;1;1;356
36259-5490;20120202;insucesso;1;;;;25;2;;1;1;;;;;2;;1;1;;;;;;10;;1;;;;;1;1;;;;;;2;1;1;;;;;;;2;;;;1;;;;;;;;;;;;5;2;;;1;;;;;;;;;6;;;;4;2;1;;;;;;;;;;1;;;;;;;42;1;;;;;5;;;2;;1;1;;;1;1;5;4;1;1;;8;;1;5;1;1;;1;1;;;7;3;2;;;;1;1;1;1;1;1;1;;;;;1;1;;;;;;;;;;;3;2;;;;;;3;1;2;2;;1;;194
36259-6590;20130201;insucesso;1;1;;;11;1;;;1;;1;;;1;;;;;;;;;4;;1;1;1;;;;;;;;;;;;;;1;1;;;;6;;;;1;1;1;1;;1;1;1;;2;;2;1;;;;1;;;;;;;;;3;1;;1;1;;1;;;;;;;;;1;;;;1;;1;;4;;;;;;1;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;65
36278-5490;20120202;insucesso;1;;1;1;26;;;;;;;;;2;;2;;;;;;;12;;5;3;2;1;;;;;;;;;1;;;;;;;;;3;1;1;1;;;;;;;;;;;;;13;1;;1;6;;4;2;;1;;1;;9;3;;2;7;;3;1;;;;;;;;;;;;;;;;32;;2;;;;11;;;6;;3;2;2;2;;;;;;;;3;1;;2;;1;;1;1;;;5;1;;;;;4;1;;4;1;3;1;;;;;1;;;1;;;;;;;;;;;;;;;;1;;;;;;;209
36306-5490;20120202;insucesso;1;1;;;12;;;;1;;1;1;;1;;1;;1;;;;;4;;1;;;;;;;;;;3;;;;;;1;1;;;;2;;;;;;1;;;1;1;1;1;2;;;4;;;;2;;1;1;;1;1;2;;3;;;;2;;2;1;1;;;;;1;1;;1;1;;;;;;9;;;1;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;7;1;1;;;4;4;1;;;;;;;;;;;;;;;97
36328-5061;20120201;insucesso;;;;;32;2;;;5;2;;1;;4;1;2;1;;;;;;10;;2;1;1;;1;2;2;1;;;;;1;;;;1;1;;;;12;;;;2;1;;4;1;;;;2;5;4;4;8;2;;;;;;;;3;2;;1;10;2;;;7;1;;;;;1;;;;;1;;;;3;2;;;28;3;2;1;;1;11;;1;3;;3;;;;2;2;5;4;1;;;8;1;;7;1;2;;1;;;;22;3;1;;1;1;9;2;1;3;1;2;1;1;;1;;;;;;5;2;;;;;;;;;3;;2;2;2;1;;;;;;;304
36331-4917;20120201;SUCESSO;3;2;1;1;51;2;;;2;;;2;;9;2;6;2;;;1;;2;13;;2;;;;;2;1;;;;2;2;2;1;1;;6;6;1;1;1;10;;;;2;;;;;1;1;1;;3;;1;14;3;;1;1;;;;;7;2;;;27;7;;;12;3;1;;;;6;2;;1;;;1;1;3;11;;8;3;43;;1;2;;1;10;;1;4;;2;1;;;;;;;;;;3;;;2;;1;;1;1;;;11;2;2;;;;5;2;2;1;1;1;1;;;;;4;2;2;1;3;1;;1;;2;;2;6;6;31;;10;4;2;7;1;3;3;;1;1;454
36347-5799;20130101;insucesso;1;1;;;22;;;;2;;;;;2;;1;;;;;;;9;;3;1;;;1;2;2;2;;;;;;;;;;;;;;3;;;;;;;;;1;1;1;;;;;2;;;;;;;;;;;1;;5;;;;1;;;;;;;;;;;1;1;;2;2;1;;;30;1;;;;;7;;;2;;;;;;;;2;2;2;1;1;6;;;5;;5;1;3;2;1;;5;3;1;1;1;1;5;3;1;3;2;2;2;1;;3;3;1;1;1;;2;;;1;;;;;2;2;;;;;;3;;2;2;;1;;197
36350-5799;20130101;insucesso;;;;;16;1;1;1;1;1;;;;4;2;2;;;;;;;6;;3;1;1;1;1;1;1;1;;;;;1;;;;;;;;;2;;;;1;1;;;;;;;1;;;;2;;;;;;;;;1;;;;6;4;3;3;2;;;;;;1;;;;;;;;1;;;;;22;;1;2;1;;5;1;1;2;;1;1;1;1;;;1;1;;;;1;;;1;1;1;;;;;;1;1;;;1;1;1;;;;;;;;;;;;;;;4;;1;;;;;;;;2;;;;;3;;;;1;;;135
36352-5489;20120202;insucesso;;;;;11;1;;1;;;;;;;;;;;;;;;5;;2;;;;;1;1;;;;;;;;;;;;;;;1;;;;;;1;;1;;;;;;;;1;;;;1;;;;;;;;;2;;;;;;;;;;;;;1;;;1;;1;;;;;18;;1;1;;;7;1;1;3;;1;;;;;;;;;;;2;;;2;;1;;;;;;4;;;;;;2;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;79
36383-5490;20120202;insucesso;;;;;23;;;;2;;;1;;;;;;;;;;;9;;3;2;1;1;;;;;;;;;3;1;1;;;;;;;2;;;;;;;;1;;;;;1;1;;7;1;;;3;;2;1;;1;1;;;5;;;;5;;1;1;1;;1;1;;;;;;;;1;;1;1;17;;;;;;4;;;2;;1;1;1;;1;1;1;1;1;1;;1;;;1;;1;;1;1;;;1;;;;;;1;;;1;;1;;;;;;;;;;3;1;;;2;;;;1;1;17;1;1;;;3;;1;1;;;;159
36400-5490;20120202;insucesso;1;;1;1;10;;;;;;;;;;;;;;;;;;5;;2;1;;;;;;;;;;;;;;;;;;;;3;1;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;1;;;;3;;;1;;;;;;;;2;1;1;;;2;1;;1;;1;1;;;;;1;1;1;1;;;1;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;68
36400-5799;20130101;SUCESSO;1;1;;;33;1;;;2;1;;;;4;;2;;1;1;;;;14;;4;2;;;2;5;5;3;3;;;;2;1;1;;1;1;;;;2;;;;2;;;;;1;1;1;;;;;5;3;1;1;3;2;1;;;1;;;;6;;;;4;1;2;1;;;;;;;;;;;;;;;;21;2;;1;;1;5;;;2;;;;;;;;3;3;3;;;8;;;8;1;6;;5;4;2;;9;7;3;;5;5;7;6;3;5;5;4;4;2;;1;1;1;1;1;;;;;;;;;;3;2;2;;;;;3;;2;2;1;;;289
36413-5489;20120202;SUCESSO;2;1;1;1;22;1;;1;2;;;;;1;1;;;;;;;;11;;1;;;;1;;;;;;;;2;2;2;;;;;;;2;1;1;1;1;;1;;;1;1;1;;;;;3;2;;;;;;;;;;;;6;1;;;2;1;;;;;;;;;;;;;1;;;;;17;;1;2;;1;2;;1;;;;;;;;;1;;;;;2;;;1;;1;;;;;;1;;;;;;1;;;;;;;;;;;2;1;1;1;1;;;1;;;;;2;2;;;;;;2;;2;2;;;;126
36430-5489;20120202;insucesso;;;;;6;;;;;;;;;;;;;;;;;;3;;3;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;2;;;;1;;1;;;;;;;;;;1;;;;;;;4;;1;1;;1;3;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36
36444-5490;20120202;SUCESSO;1;1;;;40;1;;1;2;1;;;;7;1;4;1;1;1;;1;4;16;;6;3;3;;;;;;;1;2;2;1;;;;;;;;;5;;;;2;;1;;1;1;1;1;;;;;12;7;3;2;2;1;1;1;;;;;;16;4;;2;12;7;2;1;1;;;;;3;3;;;;2;4;;3;2;40;;1;5;;4;13;;2;4;2;4;2;2;;1;;3;2;2;;;6;;;4;;3;;3;2;;;5;2;1;;;;4;2;1;3;2;2;1;;;1;1;1;1;1;;3;3;;;;2;;2;2;2;3;;;;;3;;2;2;;2;2;365
36510-5489;20120202;insucesso;;;;;11;2;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;1;;;;;;;;;1;;1;3;1;;1;;;;;;;;;;3;;;;3;1;;;;;;;;;;1;;;;3;;3;2;12;2;;1;;1;6;;;3;;2;1;;;;;;;;;4;1;;;1;;1;1;;;;;1;1;;;;;1;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;85
36543-5384;20120202;SUCESSO;1;1;;;17;;;;5;2;;1;;2;;2;;;;;;;2;;2;;;;;;;;;2;;;1;1;1;;1;1;;2;2;8;;;;3;;1;;;;;;;2;;;8;;;;2;;;;;2;1;;;9;;;;5;;1;;;;1;1;;;;;;;1;2;;;;4;;;2;;;3;;2;1;;;;;;;;;;;;;1;;;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;1;1;1;;3;;;1;;;;;1;1;;;;;;1;;1;1;;;;122
36545-5384;20120202;insucesso;3;1;2;2;15;;;;6;;3;;;1;;;;;;;;;1;;;;;;1;1;1;1;;;;;;;;;;;;;;9;1;1;1;;;4;;;1;1;1;;;;;2;;;;1;;;;;;;1;;3;;;;2;;1;;;;;;;1;1;;;;;;;;;12;;;;;;2;;;2;;1;1;;;;;3;3;1;;;5;;2;3;;1;1;1;1;;;9;1;;;1;1;1;1;;1;1;1;1;;;;;3;1;1;2;2;1;;;;;;;;;;;;;;;;;;;;;136
36589-6895;20130201;insucesso;;;;;4;;;;;;;;;1;;;;;;;1;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;1;;1;;;;;1;1;3;;;;1;;;;;;;;;2;1;;;;2;;;;;6;;;1;;;1;;1;1;;1;;;;;;;;;;;1;;;1;;1;;1;;;;2;1;;;;;2;1;;1;;;;;;;;;;;;2;;2;1;1;;;;;;;;;;;1;;;;;;;53
36615-6895;20130201;insucesso;;;;;19;2;;1;2;;;;;4;1;;;;;;;;7;1;4;1;1;1;;;;;;;;;;;;;;;;;;4;;;;1;;;;2;;;;;;;;2;;;;;;;;;1;;;;7;2;;;2;;;;;;1;;;1;;;1;;;;;;;14;;1;1;;1;6;1;;2;;2;1;1;;1;1;3;3;3;2;;4;;1;3;;3;1;2;1;1;;3;3;2;1;;;3;3;2;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;151
36637-5489;20120202;SUCESSO;1;;;;48;14;;2;3;1;;;;6;;4;;2;;;2;;15;;4;1;1;;;5;5;4;2;;;;2;1;1;;2;2;1;;;6;;;;1;;;;;;;;;;;;11;;;;6;;2;2;2;1;1;;1;15;2;;1;8;;4;;;;1;1;;2;;;2;2;1;1;;1;1;71;2;1;3;;2;19;;2;6;1;4;2;2;;1;;2;;;;;10;;1;7;1;6;;3;2;1;;11;3;1;;2;2;8;2;1;3;1;2;1;1;;3;;1;1;;;3;1;;1;;;;;3;3;;;;;;6;1;3;3;;;;420
36672-5489;20120202;insucesso;;;;;5;1;;;;;;;;1;;;;;;;;;2;;1;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;1;;;;1;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;2;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;2;;1;;;;;;;;;;;;;;;27
36694-5489;20120202;insucesso;;;;;5;;;;;;;;;;;;;;;;;;3;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;2;;;;1;;;;;;;;;1;;;1;1;;;;;;5;;;2;;1;5;;1;2;;1;;;;;;;;;;;1;;;1;;1;;1;1;1;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57
36699-4917;20120201;insucesso;;;;;13;;;;;;;;;2;;;;;;;;;5;;3;;;;;;;;;1;1;;;;;2;1;1;;;;1;;;;;;;;;;;;1;1;;;4;;;;3;;2;1;;;;;;9;;;;4;;3;2;1;;;;;;;;2;1;;2;;2;2;16;1;;2;;1;6;;1;3;;1;1;;;;;;;;;;4;;;3;;1;;1;1;1;1;3;;;;;;1;;;1;;1;;1;1;2;1;;;;;1;;1;;;2;;1;;;;;;;;5;2;;;;3;3;143
36758-5799;20130101;SUCESSO;1;;1;1;8;1;;;;;;;;;;;;;;;;;3;;1;1;1;;;;;;;;;;;;;;;;;;;3;1;1;1;1;;;;1;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;;;10;;1;;;;7;;;5;;3;3;3;;;;;;;;;2;;1;1;1;;;;;;;2;1;;;;;2;;;;;;;;;;;1;;;1;;;;;;;;;2;2;;;;;;2;;2;2;;;;84
36914-5490;20120202;insucesso;;;;;23;;;;;;;;;4;1;3;;;;;;;7;;2;;;;;2;2;;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;10;2;;1;;;;;;2;2;2;;10;1;1;;8;;;;;;1;1;;;;;;;1;;;;;36;;;2;;1;17;;2;5;;3;2;2;2;1;1;1;1;;;;4;1;;4;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;2;;;1;1;2;1;2;2;2;;;;;;4;2;2;2;;;;202
36992-5384;20120202;SUCESSO;1;1;;;28;;;;1;;;;;5;1;3;;1;1;1;1;;10;;4;1;;;1;;;;;;;;1;1;1;;2;2;2;1;1;9;;;;1;;;;2;1;1;1;;1;;1;12;1;;;2;;2;1;1;4;2;;;15;2;;2;9;1;2;2;1;1;2;2;;2;2;;;;;1;;1;;29;;2;1;;1;11;;;3;;1;;;;;;1;1;1;;;5;;;5;;2;;1;;;;17;1;1;;;;2;1;1;1;1;;;;;;;1;1;1;;;;;;;;;;1;1;;;;;;1;;1;1;;;;255
