IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;42>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
28043-4435;20120102;SUCESSO;1;;1;1;13;1;;6;1;;;;;;;;;;;;;1;;1;1;;;;;;;;;3;1;;;;;;;;;7;1;1;1;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;7;;;;2;4;3;1;;;;;;;;;;;;;;67
28092-4434;20120102;SUCESSO;1;1;1;1;27;2;;2;1;;;4;1;3;2;;;1;1;;;10;;3;1;;;1;3;3;;;;;;;;;;1;1;;;4;1;1;1;3;;;;;1;1;1;;;;;6;2;1;;;1;;;;;;2;2;1;;;1;7;2;1;1;6;2;1;1;;;;2;2;1;;;;;;;1;;;;16;;2;1;;1;5;;1;1;;;;;;;;1;1;;;;4;;;4;;1;1;;;12;3;1;;2;2;;2;2;;2;2;1;1;;;;;1;1;1;1;2;;;1;;;;;;;;;;;;;;;;;;203
28101-4434;20120102;insucesso;1;;1;1;10;;;1;;;;;;;;;;;;;;4;;2;2;;;;;;;;;;;;;;;;;;;3;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;41
28101-5384;20120202;insucesso;2;1;1;1;9;2;1;3;;;;;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;6;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;5;;1;1;1;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;50
28136-4114;20120101;insucesso;1;;1;;7;;;1;;;;;;;;;;;;;;3;;2;;;;;;;;;;;;1;;;;;;;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;4;;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;1;;;;;;;37
28146-4435;20120102;insucesso;1;1;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;21
28164-4114;20120101;insucesso;1;;1;1;35;1;1;3;;;;14;1;7;;1;;;;;;11;2;1;;;;;;;;;;2;;1;1;;1;4;4;2;2;5;;;;1;1;;;;;;;;;;;10;3;2;;1;1;;;;;;;;;1;;2;24;5;2;;8;;;1;;;;;;;;;;2;;;1;;1;;22;;;3;2;;1;;1;;;;;;;;;1;1;;;;3;;;3;1;;;;;3;1;1;;;;;;;;;;;;;;;;1;;;1;4;1;;1;;5;2;4;1;1;;;;;1;;1;1;;1;;236
28164-5799;20130101;insucesso;1;;1;1;27;;;2;;;;15;;5;;;;1;;5;;2;1;1;;;;;;;;;1;;;;;;;1;1;;;4;1;1;1;;;;;1;;;;;;;;8;;;;;;;;;;;1;;;;2;;20;;;;8;;;;;;;1;;;5;2;;4;1;;;;;;17;;;2;;;4;;;;;;;;;;;;;;;;1;;;1;;;;;;3;1;1;1;;;;;;;;;;;;;;;1;;;1;3;;;;1;;;;3;3;10;8;6;;5;;3;3;1;;;204
28164-6590;20130201;SUCESSO;;;;;29;1;;3;;;;7;;2;2;;;;;1;;3;;1;;;;;;;;;2;5;5;2;;;;;;;;5;;;;;;1;;1;;;;;;;;7;3;1;;;;;;;;;;;;;1;;13;;;;5;3;1;;;;;;;;2;;;2;1;1;;;;;9;;1;2;;1;2;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;7;1;;;2;6;4;6;;;25;11;5;3;2;;;;2;;;202
28173-4433;20120102;insucesso;2;1;1;;33;3;;8;;;;;;;;;;;;;;8;1;2;1;;;;2;1;;;;;;;;;;;;2;2;13;;;;2;;3;;1;1;1;1;;;;;4;1;;;;1;;1;;;;;;;;;;4;;;;;;;;;;;;;;;;;2;1;1;;;;;17;;1;1;;;5;1;;1;;;;;;;;1;1;;;;5;;1;4;1;2;2;2;1;8;3;;;;;;5;1;;3;1;3;1;1;1;1;;2;1;1;;1;;;1;1;;;;;;;;;;;;;;;;;185
