aluno;1>;2>;3>;5>;6>;7>;13>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>41>;2>41>41>;2>46>;2>46>1>;2 14>;2 14>41>;2 14 41>;2 41>;5>5>;5 14>;6>6>;6>6>6>;6 14>;7>5>;7>5>5>;7 14>;7 41>;14>2>;14>3>;14>7>;14>7>5>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14 30>;14 30>31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 43>;14 44>;14 48>;16>31>;16 31>;16 31>31>;17>30>;17 30>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31 41>;31 41>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>43>;41>43>44>;41>44>;41 43>;41 43>44>;41 44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;
27512-4435;3;15;;4;3;8;;43;3;5;23;32;1;40;;;;3;;;1;1;1;1;4;1;3;1;1;1;6;1;2;3;2;1;;;1;2;2;3;;6;;3;;1;5;3;;;9;1;1;1;;;;3;;1;7;1;2;13;;2;;;;;1;3;1;3;3;6;;7;2;2;1;1;;4;2;;3;1;2;13;4;2;1;1;3;3;;1;7;1;3;1;2;1;5;3;11;4;5;4;2;2;2;;;;;;;;;;;;;;;;;;;1;
31210-5799;1;17;5;4;;3;4;43;2;2;15;21;2;28;3;2;;1;9;;;1;;2;3;1;3;3;;;7;2;1;3;1;2;;;;2;1;;;6;1;2;1;2;7;1;;3;4;3;;;;;;5;1;;5;;;10;1;;;1;1;2;2;1;1;2;2;;;4;;2;1;;2;4;3;;1;1;1;6;;;;;1;5;1;;1;;1;1;2;;3;;9;1;3;3;2;2;;;;;2;;;;;;;1;;;;;;;;1;
28043-4435;2;3;;;;1;;6;;;5;2;;12;;;;2;;;2;2;2;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;1;;;;;;2;;2;;;;4;;1;;;;;;;;;;;;1;;;;;;1;1;1;;4;;2;;1;;;1;;;;1;1;2;1;1;1;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;
21361-4917;2;19;1;13;4;14;;72;7;5;43;60;;47;4;8;2;2;8;4;1;;;;2;5;2;;1;;8;;1;4;2;4;;;1;7;1;3;3;4;;7;5;;17;9;3;1;8;3;2;2;1;;1;10;3;1;17;3;2;23;4;3;1;1;2;4;1;7;1;5;3;6;1;15;2;5;2;;3;8;4;2;7;1;1;24;4;9;4;2;3;8;4;2;4;;1;1;1;2;10;6;13;1;6;6;3;2;;;;1;2;1;;2;1;1;;1;3;1;1;;;;;;
24192-6401;;1;;;;1;;15;;;7;7;;24;1;2;;;3;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;3;1;;;1;;;1;;;1;;1;10;;2;;;1;2;;;;;;1;;2;;1;;;;;;1;;;1;2;1;2;1;;;;;;4;1;;;;1;2;1;6;1;1;1;;;;1;;;;;;;;;;;;;;;;;;;
31317-4114;2;8;2;1;1;6;;26;;;1;3;;21;4;9;;2;3;4;2;;;;2;;;;1;;5;;3;3;;;;;1;1;;2;1;;2;3;1;3;3;;;;3;;;;2;;;1;;;;;;14;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;;;;;1;;1;2;1;1;1;;;;2;2;1;1;;;;;;
31306-4433;1;9;;2;;3;;34;;;10;6;;41;6;3;1;1;1;;;;;;;;2;2;1;1;6;1;2;5;1;1;;;;1;1;;1;;;1;;2;1;1;1;;8;5;3;2;1;;;4;;1;;;;14;;3;1;;;;;;;;;;;4;;3;2;2;;;;2;;2;;3;;2;2;1;;;;;3;1;;1;1;1;2;1;15;2;7;5;2;1;;2;;;2;;;3;3;2;2;2;3;2;2;1;2;1;2;1;
30687-4433;2;15;3;;20;11;;45;1;2;17;23;;35;2;;;2;3;1;1;1;1;2;4;1;2;1;1;1;9;2;1;3;;;11;9;5;;;2;2;4;1;4;;1;6;3;;1;5;1;1;1;;;;4;;;5;;2;15;1;1;;1;;;1;;;1;2;6;2;5;2;3;;;2;2;1;1;2;;1;7;3;1;1;;1;1;1;;8;1;2;2;;1;2;;3;1;2;2;2;1;1;1;;;;;;;;;;;;;;;;;;1;
27350-6401;3;19;;2;4;3;;68;7;8;33;30;;55;11;13;;4;1;;2;2;2;1;2;;2;2;1;1;12;2;4;6;;;1;;1;1;;;;3;;2;1;3;12;6;1;;11;7;4;2;4;2;;11;;1;9;1;3;27;2;3;2;1;5;;3;6;2;3;4;5;2;4;1;;;;;2;2;3;2;1;4;11;2;1;;;1;3;1;;8;;2;1;4;1;3;1;14;;7;5;4;2;2;3;1;1;3;1;;5;1;1;;5;5;3;3;3;2;2;1;1;
17491-6590;2;10;4;;2;1;;22;1;;6;7;;13;1;1;;2;;;2;2;2;1;2;;;;;;7;;3;3;;;;;;;;;;3;;;;;1;;;1;2;2;1;;;;;;;;1;;;6;;;;;1;;1;1;1;;;3;;3;2;;;;;;;;1;;;1;;;;;;3;;;1;;1;;1;;1;1;3;;1;;;;;;;;1;;;;;;;;;;;;;;;;
27889-5061;;6;2;6;;6;;25;2;;5;9;3;16;3;4;1;;;1;;;;;1;1;;;;;5;;1;1;;4;;;;2;;2;1;1;1;1;;1;1;;;1;6;3;;;;;1;1;;;4;;;6;;3;2;;2;;1;1;;;;3;;;;;;;;1;1;1;;;;4;3;;;;;1;;1;;;;;2;;1;1;9;1;6;2;2;;;2;2;;;;;2;1;1;1;1;1;1;1;1;1;1;;;
30586-4434;;3;;2;5;2;;36;3;1;9;15;2;20;10;13;1;;7;2;;;;;;;;;;;1;;1;1;;1;2;;1;1;;;;2;;1;;;5;1;;;5;;;;5;1;;4;;1;8;;1;10;;2;;2;4;3;1;1;;1;1;3;2;2;1;1;1;1;;;;;1;1;2;1;1;;;;;;;1;4;1;;1;;1;;;2;;;;;;;4;1;2;2;2;1;5;3;2;2;6;3;3;2;2;2;2;;;
28164-6590;1;17;2;6;;5;1;35;3;3;31;29;;24;;;1;1;1;;;1;;;1;3;;;;;11;;3;4;3;1;;;;4;3;;;1;;3;2;1;7;5;4;1;2;1;1;;;;;5;1;;8;1;3;11;1;1;1;;;;1;3;1;3;1;3;;14;1;8;5;1;;2;1;3;1;3;2;18;1;10;6;5;1;6;4;;6;2;;;;2;2;1;6;;3;2;;;;;;;;;;;;;;;;;;;;;;1;
21513-6030;1;4;;5;;5;;39;3;4;21;27;;24;;;;1;3;;1;1;1;;;1;1;1;;;3;1;1;1;4;;;;;3;2;2;2;;;;;2;10;5;1;;5;3;1;1;;;;9;3;;11;1;1;12;2;2;1;;;2;1;3;1;2;3;2;;5;;1;;;2;7;2;1;2;1;3;8;1;1;;;3;3;;1;2;;;;;;3;1;8;1;5;3;2;;;;;;;;;;;;;;;;;;;;;;
31155-4433;3;19;2;1;10;8;;49;3;1;10;18;1;39;2;1;;3;2;;1;1;1;4;2;;1;;2;2;8;1;;2;;1;3;3;2;;;1;;6;;3;;1;5;1;;;5;2;1;1;;;;4;;;8;1;2;19;3;2;1;;1;2;;3;;;1;;;2;;1;;;;;;1;;;1;3;;1;1;;;1;;1;5;1;4;1;1;1;3;;9;;5;4;3;1;1;1;;;1;;;;;;;;;;;;;;;2;
22787-4435;1;14;;3;;6;;21;;;10;13;;24;3;4;;1;1;;;1;;1;1;1;4;;;;9;2;3;4;1;1;;;;2;1;1;1;2;;;;1;;;;;3;;;;;;;3;;1;3;;1;9;;;;1;2;;;;;;;;;1;;1;1;;;;;2;2;1;;4;;1;1;1;;;;1;4;1;3;1;1;1;3;2;3;;1;1;;;;1;1;;1;;2;2;;;;;;;;;;;;1;
31336-4434;;5;;;;;;8;;;;;;12;3;6;1;;;;;;;;1;;;;;;3;;1;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;5;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;1;1;1;;;;;1;2;1;2;1;1;1;1;;1;;1;;1;;;;
22423-4434;1;6;;2;;4;1;35;1;;13;18;;23;2;3;;1;8;6;;1;;;1;1;1;;;;5;1;;;;1;;;;1;;;;;;2;;1;9;9;5;;5;1;;;;;5;3;1;1;4;;3;12;2;1;;1;3;2;1;1;1;;;8;3;6;4;4;3;;1;3;2;;1;1;2;11;5;6;4;3;1;2;1;1;4;1;;1;4;1;4;2;4;;1;;;;;1;;;2;;1;;;;;;;;;;;;;1;
27586-4435;4;15;1;2;3;4;5;54;;1;14;19;2;44;12;15;1;4;17;5;2;3;2;2;2;1;2;1;1;1;8;2;1;2;;;;;1;2;;2;;2;;;;4;10;6;;;12;7;3;1;8;2;1;3;;;1;;;18;1;5;2;1;6;10;;;;1;1;3;2;3;1;1;1;1;1;5;4;;3;;5;8;3;1;1;1;5;;;1;2;;;;2;;4;;15;2;8;3;3;2;2;5;2;;1;;;4;2;2;2;3;3;2;3;2;3;2;1;2;
