aluno;1>;2>;3>;5>;6>;7>;14>;16>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1 2>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>41>;2>41>41>;2>46>;2>46>1>;2 14>;2 14>41>;2 14 41>;2 41>;3>2>;3 14>;3 41>;5>5>;5 14>;6 7>;6 14>;6 41>;6 48>;7>5>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>3>;14>7>;14>14>;14>14>14>;14>14>14>14>;14>14>31>;14>14>41>;14>31>;14>31>30>;14>31>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14 30>;14 30>31>;14 31>;14 31 41>;14 41>;14 41>2>;14 41>14>;14 41>31>;14 41>41>;14 41>41>41>;14 41>41>41>41>;14 41 43>;14 43>;14 44>;14 48>;14 49>;16>31>;30>14>;30>14>14>;30>30>;30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>14>14>;31>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31>48>29>;31 41>;41>2>;41>2>14>;41>14>;41>30>;41>31>;41>31>30>;41>31>48>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>41>;41>41>41>43>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41 43>;43>44>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>41>;44>44>;44>44>14>;44>44>44>;44>44>44>44>;46>1>;46>1>2>;48>14>;48>29>;48>48>;49>49>;
23182-4433;;;1;;1;1;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21629-5061;4;18;5;8;2;6;40;3;3;15;21;2;33;7;8;;4;5;;;1;;2;1;3;1;3;2;1;1;1;8;1;2;5;2;2;1;;4;;1;;;4;;;4;1;1;1;2;;;;;;2;;1;3;;1;1;;;1;2;1;9;4;12;2;;;;;;;;;1;;2;1;;4;2;3;1;;1;1;1;;8;;;3;1;1;1;;3;1;7;2;;1;2;1;;1;6;1;5;3;;;;;;1;1;1;2;2;;;3;3;1;1;;;5;1;;;3;2;;;3;;;3;1;;
22271-4917;;3;;2;;1;11;;;3;3;;;2;2;;;1;;;;;;;;;1;;;;;1;;;;;;;1;1;;;;;1;;;;;;;1;2;;;;;2;;;;;;;;;2;3;1;;;;;;;;;;;;2;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;1;;1;;;;;;;;
21894-4114;1;8;;;;1;41;;;3;12;;48;12;11;2;1;1;;;1;1;;;;;1;2;;1;;3;1;;;;;;;;;;;;;1;1;1;;;;;1;;;;1;1;;;9;;5;2;1;1;;;;3;;27;;;;4;2;1;1;1;2;1;;;;;;;2;;;;;;;2;;;;1;;;3;;;2;1;1;;;1;1;;13;;8;6;4;2;2;2;2;3;4;3;7;6;4;3;2;9;6;1;4;2;3;2;2;2;6;2;4;2;;;;;;;
22483-6030;;;;2;;1;12;1;2;1;6;1;9;1;1;;;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;5;2;2;;3;3;;;5;2;1;;;;;;;;;3;;1;;;;;;;;;;1;;;;;;;;1;;3;2;;;;;;1;;;2;2;;;;2;;3;;2;1;;;;;;;;;;;;;;;;;1;;;;;1;1;;;;;;;;;;2;;;
18432-5799;4;11;6;;;2;22;;;6;5;;20;1;2;;4;5;6;;1;;2;1;;;;1;1;1;1;5;1;;2;1;2;1;;;;;;;;1;1;1;;;2;;1;;;;;2;;1;4;;3;1;;;;1;;1;;9;;;;3;2;;;;1;4;3;;1;;1;1;;;;;1;1;1;2;;;1;;1;1;;;;1;;;1;;;;;5;;4;;;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;1;;;3;
21380-4114;2;4;1;;;;17;;;2;2;;8;1;1;;2;;;1;1;1;;;;;3;;;2;1;;;;1;;1;;;;;;;;;;;1;;;;;3;;;;;1;1;;2;;;;;;;1;;;;4;1;2;;1;;;;;;;;;1;;;;;;;;;;;1;1;;;;;;;;;1;2;;3;;;;;1;;;;;;;;;;;;;;;;1;1;1;;1;1;1;;;;1;1;1;1;1;1;;;;;
22607-5384;1;4;;;5;3;24;;;7;7;;10;;;;1;2;;;1;;1;1;;;2;;;;;3;;;;;;;;;2;2;;2;;1;;1;;;;1;11;4;3;5;2;6;5;1;5;2;1;1;;;;;;;;8;;3;;2;1;1;;;;;;;4;3;2;;3;3;;;;1;;6;3;2;;3;1;1;;;;;;;4;;2;1;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
14770-5489;1;4;;;;;9;1;;7;7;;11;;;;1;1;;1;;;;;;;2;;;1;1;2;;1;1;;;;;;;;;;;;;1;;;;;;;;;;2;1;;2;;2;1;;;;3;1;;;4;;;;;;;;;;;;1;;;3;2;2;;1;1;;;;4;;;3;;1;1;;1;;1;1;1;;;1;;;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
22977-4434;3;9;3;3;12;9;44;;3;4;12;1;53;7;6;3;4;12;3;1;2;2;2;;;1;;;;3;1;5;;3;3;;;1;1;1;2;5;2;3;2;1;1;1;;;1;3;1;1;;;;2;;;9;;5;3;1;1;1;1;;3;3;28;;;2;6;3;2;;;;4;;;;;;;;;;2;1;;;;;;;;;;2;3;1;5;;;;;5;;1;16;3;10;6;4;3;2;2;2;3;4;3;5;3;2;1;1;5;4;1;3;3;2;2;2;2;4;1;3;3;1;1;2;3;2;2;
22135-4114;;4;;2;1;2;22;;;11;13;;15;4;3;;;;;;;;;;;;1;1;1;;;1;;;1;;;;1;;;1;;;2;;;2;;1;;;3;;;;;4;2;;4;1;2;2;1;;1;5;2;3;2;6;;;;1;;;;;1;;;;2;2;2;;4;3;1;1;1;1;;6;2;2;2;1;;;;;;3;;;;1;2;;;7;2;3;1;;;;;;;2;1;2;1;1;1;;2;2;1;1;1;1;1;1;;2;1;2;1;;;;;;;
18444-5384;;;;;;;9;1;;2;3;;9;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;1;;7;;;;1;;;;;;;;1;;;1;;1;;;;;;;1;;;1;;;;;;;;;;1;;1;1;;2;;2;2;2;1;1;1;;;1;1;2;2;1;1;;2;1;;1;;;;;2;1;;1;;;;;;;;
21321-4434;3;9;;2;;2;34;;;;4;;27;5;7;;3;;;;2;2;2;2;3;;1;;;1;;4;;;;;;;;;;;;;1;;1;4;3;1;;;2;1;;;1;1;;;4;;3;2;2;2;1;;;3;2;18;3;;;1;1;1;;;4;;;;;;;;;;;;;1;1;;;;;;;;;;;3;3;1;3;;;;;5;;3;2;2;2;1;;;;1;;1;;;;2;;;;;;1;;;;;;;;;;;;;;
21513-5384;;1;;1;;1;13;1;;4;7;1;13;6;10;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;1;;;;;;;1;;;;;;3;2;;1;;;;;;;1;;1;;3;;;;;;;;1;5;;;1;;;;;1;;1;;1;2;1;2;;;;;1;1;;;;;;;;;2;;;1;1;;;;;;;;;;;2;2;;;2;2;;;;;;;;;1;;;;;;;;;;
16014-5799;1;3;;;;;15;1;;7;9;;14;1;1;;1;;2;;1;;1;1;1;;1;1;1;;;;;;1;;;;;;;;;;;;;2;1;;;;1;1;1;;;4;;1;2;;2;;;;1;2;1;1;;8;;;3;1;1;;;;;;1;;;;;;1;;2;1;;1;;2;;;;;1;1;;;;;;;;;4;1;;5;1;3;2;2;;;;;;;;;;;;;1;1;1;;;1;1;1;;1;1;;;;;;;;1;
21955-4603;1;3;4;;8;2;22;;1;3;10;;14;7;8;2;1;12;1;1;;;;;;;3;;;1;1;;;;;1;1;2;;;1;3;3;5;;;1;1;;;1;;4;;;1;;6;2;1;4;1;2;1;1;1;1;;;3;;5;;2;;1;;;1;1;2;2;1;;;;2;1;;;;;;1;;3;;;2;;3;2;3;1;;;;;2;;1;;;4;;2;2;2;1;1;;;1;2;1;4;4;2;2;1;5;3;1;3;;3;1;;;3;1;3;;1;1;2;;2;;
17491-5799;;3;3;;;2;10;;1;2;3;1;9;3;5;;;3;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;;1;;;1;;1;1;1;;;;;;;5;;1;1;;;;;;2;2;1;;;;1;;;;;;;;;2;;;1;;;;;1;;;1;;1;;1;;1;1;;1;1;;;;;;;;;;;;;1;1;1;;1;1;1;1;1;;1;;1;1;;;;;1;;
21283-7297;;;;;;5;16;;;1;5;;17;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;;;2;1;;;;;;;1;;;;;;;;;;;9;;1;;1;;;;;;1;;;;;;;;;1;;;;;1;;;;;;;1;;;3;;;1;;1;1;;4;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22659-5490;1;8;1;;1;;21;;5;6;6;2;18;6;9;;1;5;;;;;;;1;;1;;;;;4;;2;3;1;;;;;;1;;;;;;;;;;;2;1;1;;;1;;;1;;;;;;2;1;;3;3;10;;;1;;;;2;2;4;;;;;;2;1;1;;;;;;;;;;;;;;;3;3;3;;;;;1;;1;1;;;;;;;;;;;;1;;;;4;1;;;;;1;;;1;1;1;;;;;;5;;;
