aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;1 2>;2>1>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2 14>;2 14 41>;2 41>;3>2>;3>14>;3 14>;5 14>;6>6>;6 14>;6 41>;7>5>;7 14>;7 41>;14>2>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>31>;14>31>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14 30>;14 30>31>;14 30>41>;14 30 41>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;16>31>;17 30>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>41>41>;30>48>;30 31>;30 31>30>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>43>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>44>;41 43>;41 43>44>;41 44>;41 48>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>41>;44>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>43>;48>29>;48>30>;48>48>;49>49>;
21629-5061;3;20;8;3;;3;;29;;;;20;13;1;12;;3;4;;3;;;2;2;;;4;3;3;1;3;14;2;3;;1;;1;;;;2;1;1;1;8;1;1;6;6;3;2;;2;;;;;;;5;1;;;2;1;5;1;;;;;1;1;;;;1;;10;1;4;3;2;5;8;6;;;;5;3;;2;11;;5;4;3;6;4;1;;;;;1;1;;;1;1;;1;1;1;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;
22271-4917;1;2;1;;;;;8;;;;2;2;;8;;6;6;;1;;;1;1;;;;;;1;1;1;;;;;1;;;;;;;;;;;;;;;;;6;;5;4;3;;;1;;;;;;2;;1;1;1;;2;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;1;;;;2;1;;6;2;4;3;2;2;2;2;3;3;3;3;;1;;;;;4;;4;4;2;1;1;1;;;1;;5;1;1;5;1;3;1;1;;;;;;
30965-4433;;1;;;2;2;;10;;;;5;5;1;15;;9;10;1;;1;;;;;;;;;;;;;1;;;;;;2;1;;2;1;;;;;1;1;1;;;;;;;;3;1;;;;;1;1;3;;;;1;1;1;3;1;;;;;5;;3;2;;;;;;;;;;;1;4;;4;2;2;;;;;;;;3;1;;;;;1;1;;;;;;;;;;;;1;;;;1;5;1;2;1;2;2;1;;;;;3;;3;1;;;1;1;;1;1;;;;;;;;;
31359-4435;1;3;;;;1;;9;;;;4;5;3;7;;2;2;1;1;2;2;1;;1;;;;;;;1;;1;;;;;;;;;1;;1;;;1;2;2;;2;;1;;;;;;;;;;;;;2;;;;;;1;1;;;;;;;;;;;;3;2;;;;1;;;;3;;;;;3;2;;;2;;1;;;2;1;;;;;2;1;;1;1;1;1;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;
14770-5489;1;6;;2;;1;;10;;;;5;4;;8;;1;3;;1;;;1;1;;1;;3;2;1;1;3;;;;;;1;;;;1;;;3;;;1;3;3;3;;;1;;1;1;;;;;;;;1;;2;;;;;;;2;;;;1;;5;1;4;3;3;;;;1;;;;;;1;3;;3;2;1;;;;;;;;;;;;1;1;1;;;;;1;;1;;;;;;;;;;1;1;1;;;;1;;1;1;1;1;;;;;;;1;;;1;;1;;1;;;;;;
22977-4434;1;12;1;;;1;;30;;2;;30;15;;23;;4;4;1;1;4;3;;;;;;2;1;;;5;3;4;;;1;;;;;;;;;;1;;4;1;;;;6;1;3;2;2;;;9;;2;2;1;;8;1;;;1;1;1;1;2;;2;5;;9;2;4;3;3;;;;3;2;;;;4;2;7;;4;2;1;;;1;;;2;1;3;1;;;1;;1;1;5;2;2;10;2;4;3;2;;1;;1;;;;;1;;1;;;2;;2;2;2;1;;;;;;1;2;;;2;;2;;1;1;;2;1;2;
23182-6030;;;;;;;;6;;;;4;3;;6;;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;1;;;;2;1;1;;;;;;1;;;;;;;3;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;1;1;;;;;;;;;;;2;1;1;;;1;;;;;2;;2;;;;2;;1;1;1;;2;1;;1;1;1;1;1;;;;;;
21321-4434;1;12;2;1;;2;1;31;1;;1;10;12;3;15;;6;9;;1;4;;1;1;;3;;4;1;1;1;7;;1;;1;;;;;;1;;1;5;1;1;3;8;4;3;1;1;2;;2;1;1;1;;2;;;;1;;7;2;;;2;;3;4;2;;;2;1;5;1;1;;;1;3;3;;;1;;;;1;8;;5;1;;2;2;2;2;1;;1;;;2;1;;;;;2;;;2;;1;1;1;;;;;;;;1;3;1;;;;1;;;;;;2;1;;;;1;;;;;;;;;;1;;;;
31316-4434;1;3;2;;;;;5;;;;4;3;1;1;;;;;2;;;;;;;2;1;;;1;1;1;1;;2;;;;;;;;;1;;;;1;;;;;;;;;;;;1;;;;1;;1;;;;;;;;;;;1;1;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31256-5061;;;;;1;2;1;15;;1;;6;8;;15;;2;1;;;1;2;;;;;;;;;;;;;;;;;;1;1;;1;;;;;1;2;2;;1;;1;;;;;;;1;;;;1;1;8;1;;;;;;;1;;1;1;;1;;;;;1;2;;;;;1;;;3;3;1;;;;1;;1;1;;;;2;;;;;1;;;3;2;;;;;;;;;;;;;;1;2;1;;1;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;
