aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2 14>;2 14 41>;2 41>;3>2>;3>14>;3 14>;5 14>;6>6>;6 14>;6 41>;7>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14 30>;14 30>31>;14 30>41>;14 30 41>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>41>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 43>44>;41 44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;48>29>;48>30>;49>49>;
27760-4434;;;;2;3;2;;10;;;;6;6;;11;;2;2;;;1;;;;;;;;;;;;;;;;;;2;1;1;;1;;;;1;;1;1;;;3;2;1;;;;;1;;1;;2;;3;;;;1;;1;;1;;1;;;;;;;2;;;1;1;;2;;1;;;;;1;1;;1;1;;;;;;;1;;5;1;1;;;;1;2;1;1;;;;1;1;;1;1;1;1;1;;;1;1;1;1;1;;;;;1;;
23668-5490;1;6;2;;;;;26;1;2;;18;14;;10;;1;1;1;1;3;;;;;;1;;;;3;1;2;;;2;;;;;;;;;;;;4;6;1;;;3;2;1;1;;;;9;;1;;3;;3;;;;;;;1;6;2;3;1;;;1;1;;1;1;;1;;3;2;;1;;;;;2;;;3;2;;;;;1;;2;1;3;1;1;1;1;1;;;;;;;;;1;;1;1;1;;;;;1;;1;;1;;1;;;3;;
27455-6030;;;;;;;;2;;;;;;;3;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
27455-5061;;2;;;;;;13;1;;;5;5;;18;;2;3;;;1;;;;;;;;1;;1;;;;;;;;;;;;;1;;;;1;1;;;;5;2;;;;;;1;1;;;;;6;;3;;1;;1;1;;;1;;1;1;;2;;1;;;;1;1;3;;1;1;1;;;1;1;1;;;;;;;;;4;2;7;3;1;;;;;;;;1;2;1;1;1;;;;;;;;;;;;;;;;;;;;
15016-4433;;7;;2;;1;;11;;;;1;2;;1;;;;;;2;;;;1;;4;;;;6;;;;;;1;;;;1;;;2;2;;1;3;1;;;1;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22977-5799;;1;;2;;1;;18;;;;8;11;;23;1;4;3;;;;2;;;;;1;;;;;;;;;;;;;;1;;1;;;;;1;4;;;1;5;1;;;;;;4;;1;1;;;10;2;;1;;1;;;1;1;1;;;;;1;1;1;;;2;1;3;3;1;1;;;;;2;1;2;;1;;;1;;1;;6;;5;1;2;2;1;;;1;1;1;2;3;2;;3;;1;1;;1;1;;;1;1;1;1;;;;;;;1;
28164-4114;1;5;;;;4;;20;;;;2;2;;19;;4;5;;1;;;1;;;;;1;;;4;4;4;;;;;;;;;4;3;;;;;1;1;;;;1;;;;1;1;;2;1;;2;;;17;1;1;1;3;2;3;;;;;;;;;1;;;;;;2;1;;;;;;;;1;;;;1;;;;;;;2;;2;;;;;;;;;;;1;;3;1;;1;1;1;1;;1;;1;1;1;;1;1;;;;;;
30985-4433;1;6;1;;2;7;2;25;;1;11;14;19;1;45;2;6;2;2;1;12;2;;;2;;1;1;1;;2;2;4;1;;;;;1;;;3;1;;;1;2;;3;;;3;4;2;;;;;;3;1;;;2;1;12;;1;1;;2;;;;;1;;;;;1;;;;4;2;1;1;1;;;;;;;4;;2;10;4;;1;1;2;1;;4;1;10;1;3;1;1;;;1;;;1;3;1;;1;;1;1;1;1;1;;;2;1;2;1;2;2;;1;9;;1;
22612-4603;1;3;2;;;;;13;;;;7;6;1;10;;3;4;;1;;;;;;;1;;;1;1;;1;;1;1;;;;;;;;1;;;;1;3;1;1;;3;3;2;1;;;;3;2;;1;;;4;;1;;;1;1;;2;1;2;;2;1;;3;2;;;;1;2;;2;;2;2;1;1;1;;;1;;1;1;;;;1;1;1;;3;1;2;1;1;;1;2;2;2;;;;;2;;2;2;2;;;;1;3;;3;;2;1;;1;;;;
27747-5061;2;25;;6;14;6;;33;;1;;16;13;;40;;8;16;1;2;3;;;1;5;;3;1;;1;10;3;10;;;;2;2;2;5;1;;1;7;;;;1;5;3;1;;3;1;;;1;;;4;;1;;2;1;11;;;1;1;1;3;;;;6;;3;;1;4;2;2;;;2;1;;6;;5;2;;2;1;4;2;;;1;;;1;1;;;;;2;;1;1;1;;;1;1;;3;5;3;1;5;1;1;1;1;2;1;;;3;;2;;1;;;2;;;;
22433-4434;;3;1;;;1;;16;1;;;4;7;2;19;;2;4;;;;1;;;;;;1;1;;2;1;1;;;1;;;;;;;;1;;;;1;4;1;;2;2;1;;;;;;1;;;1;;;9;2;1;;;;;;;;2;;2;;;2;1;;;;;1;;2;;2;2;;1;1;3;;1;;1;;1;1;;1;;3;1;4;;3;2;1;;1;1;;;1;1;1;;1;;;;;1;;;;;;;;;;;;;;1;
26940-4435;3;22;2;4;14;9;;75;;;2;83;65;;72;2;14;19;1;3;10;9;3;3;2;;3;5;2;;13;3;5;1;;;2;4;3;1;1;2;1;5;1;2;4;6;17;6;2;;9;2;1;1;3;3;2;18;1;3;4;7;2;21;1;5;2;1;2;5;3;8;3;21;5;10;6;6;13;9;8;4;1;17;12;3;27;2;13;5;5;2;2;7;5;3;;14;3;;1;;;3;8;5;16;1;5;2;;;3;6;3;2;2;4;2;3;7;1;4;3;1;6;;3;1;7;5;4;3;2;2;1;;;2;5;
27780-7297;;;;;;;;2;;;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28173-4433;2;9;1;;1;1;;27;;;;3;4;;14;;9;11;;1;6;2;1;1;1;;1;1;;;7;2;2;;;1;;;1;;;;;1;1;;1;1;1;;;;2;;;;2;;;1;;;;2;2;7;;1;;;1;6;3;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;3;;;;1;;;;;1;;;;;;;2;1;;;5;;;1;1;;;;2;;;1;;;;;;;;;;;1;
27780-5799;;;;;;;;18;;;;3;6;;14;;7;7;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;3;;;1;1;;;1;;6;1;;;2;1;2;;3;;;;;;;1;1;;;;;;1;3;3;;;;;;;;;;3;2;;;;1;2;1;;1;;;;;;;;;;;3;;3;;;;;;2;;1;;1;1;;;;;;;;;;
16014-6590;1;9;1;;;;;16;;;2;2;3;;10;;;;;1;3;3;1;;1;;4;;1;1;7;;;;;1;;;;;;;;3;2;;;3;2;2;2;;3;2;;;;;3;;;;;;;2;;;;;;;1;1;1;2;1;2;1;1;1;;;;;;;1;2;;2;2;1;;;1;1;;;1;;;1;;1;;;;5;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;
26616-7114;1;7;;5;1;5;;27;1;;;6;8;;37;;10;17;1;1;1;;;;;;;;2;1;2;1;1;;;;2;;1;;2;2;1;1;;;1;;1;1;1;;1;;;;1;;;;;;;;;15;;1;2;2;3;4;;2;1;1;1;;;;2;;1;1;1;1;;3;3;1;1;;;;;;;2;;3;1;;2;1;2;1;3;1;8;;2;;;;2;2;;;4;6;4;2;4;;2;1;;;;;;4;;3;;1;;;1;;;;
27928-5384;;2;3;;;;;8;;;;1;2;;5;1;2;2;2;;1;1;;;;1;;;;;2;;;;1;;;;;;;;;;;3;;2;1;1;1;;2;2;1;1;;;;;;;;1;;3;1;1;;;;;;;;1;;;;;;;1;1;;;;1;1;;1;;;;;;;;;;;;;;;;1;1;3;;2;1;;;1;1;1;1;;;;;2;;2;2;1;2;;;;2;2;2;2;1;;1;;;;;
22135-4114;;3;6;2;;1;;21;;;;3;10;1;20;1;1;3;;;1;;;;;2;1;;;;1;;1;;4;;1;;;;1;;;1;1;5;1;4;3;;;;5;3;;;;;;1;1;;1;2;;6;1;;;1;;2;;;;1;;;;;2;1;;;;1;1;3;2;;;;;1;1;;;;;1;;;1;;;;4;1;6;3;1;1;1;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;
27482-4435;1;2;1;;;1;;27;3;2;;24;22;1;37;;;;;1;;;1;1;;;1;;;;1;;;;1;;;;;;;1;;1;;;;;6;2;1;1;4;;;;;;;7;2;1;3;5;2;11;2;;;;;;;2;;8;2;1;1;;7;1;3;1;;4;4;1;10;;4;1;1;3;;4;2;;;5;1;1;1;;1;2;4;2;6;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18444-5384;1;9;;;;;;8;;;;1;2;;2;;;;;1;;;;1;;;;2;1;;6;;1;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
28177-4114;1;10;3;2;3;4;;33;;;;13;15;1;28;1;7;9;4;1;3;;;1;;;4;1;2;;4;;;;1;1;;;1;;1;2;1;1;1;;1;4;7;3;2;;6;3;1;1;3;2;;5;;1;;1;1;5;1;;;;;3;2;2;;2;;2;;;;;2;;;;;1;4;;2;2;;;;2;;2;1;4;1;;1;1;;1;3;1;6;1;2;2;;;;3;;;1;;;2;3;2;3;3;3;4;1;2;1;4;2;4;2;3;2;3;1;;1;;
27403-4435;3;14;1;6;;4;2;54;2;;1;20;26;;59;1;11;18;5;3;5;1;2;1;2;;1;1;2;2;4;2;5;;;;3;;;;2;1;;;;;;2;10;3;;1;5;3;3;2;4;2;;6;;1;;3;2;26;3;;;;;3;2;;;3;;2;2;;1;;2;2;;;;2;8;;3;2;2;1;;3;1;1;1;6;2;;2;;3;2;8;3;9;1;5;3;;;1;2;2;;5;5;5;;7;2;5;2;2;5;;3;1;8;2;3;1;2;;2;1;;;;
31359-6590;;6;2;;;;;14;;;;6;3;;10;;2;2;;;1;;;;;;;;;;3;;1;2;;1;;;;;;;;;;2;;;1;;;;1;1;;;;;;3;1;;1;;;5;;;;;1;1;1;;;1;;;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26930-4433;;4;2;4;;2;;14;;;;11;8;;11;;2;1;;;;;;;;;;;1;;3;;;;;;1;;;;2;;;1;;;;1;1;;;;2;;;;1;;;3;;2;1;5;2;4;;;;;1;1;;;;3;;1;1;;;;2;;;2;2;1;2;;1;;;;;1;1;;;3;;;1;1;;;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22659-5490;;15;7;;;1;;26;;;;13;10;4;25;1;9;15;1;;;;;;4;1;2;;4;;6;;1;1;1;;;;;;;;;3;;3;;2;1;1;;;6;5;4;3;4;3;;2;;;;;;10;;3;2;1;3;3;;;;2;;1;1;;2;1;1;1;;;;;8;;2;1;1;;;2;1;;;1;;2;1;1;1;;3;3;14;2;9;9;5;4;1;3;3;3;;2;;1;8;;7;5;3;3;2;1;2;9;3;6;3;4;3;;;;;;
25326-5490;1;2;;2;1;1;;6;;;;6;4;;4;;;;;1;;;;;;;;;;;1;;;;;;1;;;;1;;;;;;1;;1;;;;1;;;;;;;3;;1;;;;1;;;;;;;;1;1;1;;;;;1;1;1;;;1;;1;2;;1;;;1;1;;;;;1;1;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
28136-4114;1;5;;;;;;8;;;;3;1;;5;;;;;1;;;1;;;;;;;1;1;;;;;;;;;;;;;1;;;;;1;1;;;2;1;1;1;;;;1;;;;;;4;1;1;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;1;1;2;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17491-4917;;2;;2;7;2;;19;;;2;5;5;;16;;4;6;;;10;1;;;;;1;;;;2;1;1;;;;1;;1;1;1;;;;;;1;1;3;1;;1;3;1;1;1;1;1;1;2;1;;1;;;10;1;1;2;;2;1;4;;;1;;;;;2;1;;;;1;1;;2;;1;;;;;2;1;;;1;;;;;;;1;;3;;2;2;1;;1;1;1;;1;3;1;1;2;1;;;;4;2;1;;3;3;;;;;;;1;;1;
27820-4603;1;10;2;;;1;;19;1;1;1;7;7;;16;;4;5;;1;7;;;;;;1;;;;7;;1;;;1;;;;;;;;;;;;3;2;;;1;2;;;;1;;;;;;;;;4;;;;1;1;3;3;1;;3;1;2;1;;;;;;2;;;2;5;;2;2;1;;;2;2;;1;2;;;;1;2;1;2;2;;;;;;;;;;;;2;;1;;;;;;2;;;1;;;;;;;;;1;2;;
27760-6030;;1;;;;;;14;;4;1;15;12;;16;;2;1;;;3;;;;;;;;;;;;1;;;;;;;;;;;;;;;;6;2;;;4;2;;;;;;4;1;1;;;;3;1;;;;;;2;2;1;2;;;;;2;2;2;1;1;;;1;5;2;;;;;;;;;;3;1;;;;1;1;4;2;5;2;2;1;1;1;1;2;1;;;;;;1;1;;;;1;;;;;;;;;;;;1;;;
30588-4435;;3;;;;;;4;;;;3;3;;4;;1;1;;;2;;;;1;;;;;;3;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;1;;;;1;1;1;;1;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;
29016-4114;3;12;4;;;1;;25;;;;5;5;1;28;;9;13;2;3;1;;1;1;;1;2;;;2;5;2;3;;2;1;;;;;;;;;;2;;1;2;;;;5;1;;;1;;;1;;;1;;;13;1;2;;;;1;;1;;2;;;;2;2;2;;;;1;1;;4;1;;;;1;1;;;;1;;;1;1;;1;;1;;8;;6;2;1;;2;4;2;1;1;1;1;;6;1;5;3;;3;1;1;1;7;1;5;1;;;2;2;;1;;
27482-6590;;;;;;1;;11;;;2;3;4;1;5;;1;1;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;1;;;;2;;3;;1;;;;;;;;1;;;;;1;;;;1;;;1;1;;;;;1;;1;;;;1;;;;;;1;;;1;;1;1;1;;1;1;1;1;;;;;1;;1;;;1;1;;;1;1;;;;;;;1;1;1;
23182-4433;;1;;;;;;1;;;;4;2;;3;;;1;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;1;;;;2;;2;1;;;;1;;;;1;;2;;1;1;;;;;;;;1;1;;;;;1;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
27781-4434;;1;;;;1;;10;1;;;5;3;1;9;;4;5;;;;2;;;;;;;;;;;1;;;;;;;;;;1;;;;;;2;2;1;;2;1;;;1;;;2;;1;1;;;2;;2;;;1;4;;;;1;;1;;1;1;;2;1;;;2;;2;;1;1;;;;;;;;;;;;;2;;;;3;;1;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;
21894-4114;2;19;10;2;;3;;38;1;;;17;11;1;16;;4;6;;2;;1;1;;;5;2;2;;2;13;2;3;;1;;1;;;;1;1;1;2;1;9;2;5;6;6;3;;2;1;1;;1;;1;5;;;;3;1;8;1;1;1;1;1;2;;2;;8;1;4;3;2;4;3;;;;;;2;9;;6;4;3;2;1;1;;;;2;1;1;;1;1;1;1;1;6;;3;1;;;;;;;1;2;1;1;1;;1;;;1;1;;;2;1;1;;;;;1;;;1;
27587-4917;;;;;;;;2;;;;1;2;;3;;2;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;2;2;;;1;1;;;;;;;;;1;
28101-5384;;1;;;4;;;7;;;;;;;6;;;;;;1;1;;;;;;;;;1;;;;;;;;1;1;;;;;;;;;;;;;1;1;;;;;1;;;;;;;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
29379-6895;2;8;;;;1;1;17;;;1;3;5;2;16;;3;7;;2;3;2;1;1;1;;3;;;1;5;;;;;;;;;;;;;3;2;;;2;2;1;;1;;;;;1;1;;1;;;;2;1;4;;;;;;;2;;;1;;1;1;;;;;;;;;2;1;;;;;;;1;;1;;2;;1;;;;;;;4;;2;2;1;;;2;2;;;;;1;3;;1;1;;1;;;2;1;;1;;1;;;1;1;;1;
28146-4435;1;3;;;;;;8;;;;;;;13;;2;2;;1;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;5;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;;1;;;;1;;;;;;;;;;;;1;;;;;;;1;;;;
22607-5384;1;6;3;;;;;16;;;;11;8;4;13;;;;;1;;;1;;1;;;1;3;1;2;;;;;3;;;;;;;;4;;;;1;2;1;;;3;1;1;1;;;;4;1;;;;;4;;1;;;;;;4;;6;2;1;;1;3;2;;;;;;;4;1;3;;;1;1;2;1;1;;1;;1;1;;2;;2;1;6;2;4;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30492-5384;;11;2;1;;7;;15;;;1;9;10;;16;;;;;;3;;;;1;;;1;1;;4;2;5;2;;;;;;;;4;5;1;;1;1;;1;1;;;;;;;;;;3;1;;;3;;5;;;;;;;1;1;;1;;1;;;2;2;;;;1;3;;2;;;;;;;;;;1;1;;;;1;;;4;1;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
30988-4603;;7;;1;1;4;2;16;2;;8;6;11;;27;1;5;3;1;;6;;;;;;1;;2;;3;;1;;;;1;;;;;1;1;1;;;;1;2;;;;2;1;1;;1;;;1;;;;1;;5;;1;;;;;;1;;;;;;;1;;2;1;1;1;1;2;1;1;;;;;;1;;1;3;4;;;1;;;;3;;8;;4;1;;;1;1;1;1;1;2;1;;3;;3;2;2;2;;;1;3;2;2;1;2;1;1;;5;;;
27455-7297;1;3;;;1;5;;23;1;;;3;7;;34;1;9;14;2;1;3;;1;1;1;;1;;1;;1;1;1;;;;;;;;;2;4;;;;;;;;;;2;;;;2;;;;;;;;;13;;1;1;1;1;4;1;;;1;;1;;;1;;;;2;;;2;;;;;;;;;;1;1;4;;;;;1;;1;;4;;2;1;1;1;;3;1;;2;2;2;4;4;;2;1;1;2;;;1;2;1;1;1;1;1;1;;;1;;
28164-5799;2;5;;;3;3;;36;1;;;7;14;1;34;;2;5;;2;13;5;1;;;;1;;1;1;;;;;;;;;3;;;1;1;;;;1;4;5;2;1;1;3;;;;1;1;;1;;;;4;;16;1;;;1;1;3;6;2;;2;1;2;;;;;1;;;;;;4;;2;2;;;;1;;3;1;2;;;1;;1;;5;2;6;1;3;2;1;;;1;1;;;;;1;1;;;;;;;;;;;;;;;;;;1;2;
31158-5384;2;6;;;18;1;;22;;;;5;12;;22;;1;1;;3;2;;1;1;2;;;;;2;3;1;1;;;;;6;2;;;;;3;;;;;2;2;1;;3;2;;;;;;3;1;1;;5;;7;;1;;;;;;;;3;;2;1;1;3;3;1;1;;1;;;3;;2;2;1;2;2;2;;4;;2;;;1;;;;4;;10;3;6;4;2;1;1;1;1;1;;;;;1;;1;;;;;;1;1;;;;;;;1;;;;
27002-5489;;2;;;;;;4;1;;;3;4;;6;1;1;1;;;1;;;;;;;;;;2;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;1;;;;;;;;;;2;;1;1;;;;;;;;;;1;;1;1;1;;;;;;1;2;;;;;;;2;1;1;1;;;;;;;;;;;;;1;;1;1;1;1;1;;;1;1;1;1;1;;;;;1;;
16014-5799;;8;1;4;;4;;14;;;;5;3;;10;;;;;;5;4;;;;;4;;2;;5;;;;1;;1;;;;3;;1;2;1;;1;2;3;;;2;3;3;2;;;;4;1;;1;;;;2;;;;;;;3;;;2;;1;1;;;;1;1;;;;1;1;;1;;;;;2;1;;1;;;;1;2;;;;;6;;5;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
28391-5489;;;;;;;;1;1;;;2;2;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;2;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;1;;;;;1;;1;;;;;;;1;;;;;;;;;;;
28256-5061;;1;;;;;;4;;;;;;;8;;1;1;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;1;1;;;;1;;;;;;;;;;;;;;;
22957-6590;;1;;;;;;13;1;;;2;8;;14;;2;3;;;6;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;3;;;1;2;;;;;;;;;;;1;1;7;1;2;1;;1;1;4;;;;;;;;1;;;;;;;1;2;;;;;1;;3;1;;;2;;;;;;;2;;4;;1;;;;1;1;1;1;;1;;;1;;1;1;1;1;;;;2;1;2;1;1;1;;;;;;
30609-5061;;;;;;;;2;;;;;;;1;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;1;1;;;;1;;1;;;;;;;;;;;;;
21955-4603;1;12;6;1;;1;;31;;;;6;8;2;20;1;6;6;4;1;3;;1;1;1;3;2;1;;;7;;1;3;1;1;;;;;1;1;;2;1;1;;1;2;1;1;;5;1;1;;;;;1;;;;2;;7;;;;;;1;;1;;1;;;;1;3;;;;;;;1;5;1;1;;;2;;;;1;1;1;1;;1;;2;1;3;2;4;2;4;2;;;1;2;1;1;1;2;1;;3;1;2;1;;1;;;;3;;2;;1;1;2;;;;;
17491-5799;;1;;;10;1;;6;1;;;3;3;;4;;2;2;;;1;;;;;;;;;;;;;;;;;1;1;2;;;1;;;;;;1;;;;;;;;1;1;;;;;;;;1;1;;;;1;1;;;;;;;;;1;;;;;;;2;;;;;;;;;;;;1;;;;;1;;1;;;;;;;;;;;;;;;;1;;1;1;;;;;;1;;1;;;;;;;;;
27889-4434;1;3;3;;;1;;24;;;;8;4;1;20;4;4;5;1;1;2;;1;1;;1;;;1;;1;;;1;;;;;;;;1;;1;;2;;;;;;;6;4;3;3;1;1;;4;;;1;;;10;;1;;;1;3;2;;;;;;;;1;;;;;;1;;2;;;;;1;;1;1;;;1;;1;1;;2;;2;1;6;;4;4;4;2;2;2;;;1;1;1;;2;;1;1;;;;;3;1;;1;;;;;;;;;
28101-7297;1;3;;1;;2;;10;;;;;2;;7;;;;;1;1;;;;;;;;;1;2;1;1;;;;1;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;2;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
31271-4434;2;23;8;;;5;;45;;;2;12;16;11;22;;7;7;3;2;6;5;1;1;;4;2;;2;1;11;;1;;4;1;;;;;;4;;3;;1;;2;4;3;;;4;;;;2;1;1;;;;;2;;7;;;;;1;3;;2;;;;;;;9;4;;;;3;;1;8;2;;;;7;3;2;1;;2;2;;6;;;1;;3;;2;1;1;1;;;;1;;;;2;;;3;2;1;;;3;1;;;1;;;;;;3;1;2;;;
