aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2 14>;2 14 41>;2 41>;3>2>;3>14>;3 14>;5 14>;6>6>;6 14>;6 41>;7>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14 30>;14 30>31>;14 30>41>;14 30 41>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>41>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 43>44>;41 44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;48>29>;48>30>;49>49>;
30588-6590;;;;;;;;1;;;;;;;;;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;1;;;;;;;;;;;;;
31311-5489;1;13;1;;;1;1;26;;;1;2;1;2;5;;2;2;2;1;2;4;1;;;1;;;;1;10;1;1;;;;;;;;;;;;;;;3;1;1;;;1;;;;;;2;1;;;;;;4;;;1;;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;1;;;;;;;;1;;;1;;;;;;;;;1;;3;
30588-5799;;;;;;;;3;;;;2;1;;6;;5;5;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;1;;1;1;1;;;2;;1;;;;;;;;;;;1;;1;;;;;;;;;1;1;;;;;1;;;;;;;;;;1;;;;3;;1;;;;;;1;;1;;1;1;1;1;;;;;;;;
18432-5799;;9;;;3;2;2;29;;;;27;27;;15;;5;4;;;;;;;;;3;1;;;5;1;2;;;;;1;1;;;;;2;2;;;1;10;4;2;4;1;1;;;;;;9;;;1;6;1;6;;;1;;1;1;;4;3;11;2;5;;3;6;2;2;1;;9;1;1;13;2;8;3;;4;2;6;3;;;3;;;;;;;4;3;2;2;;;;;;1;1;1;1;3;1;;2;;2;2;2;1;1;;;3;1;2;;2;1;;;;;;
21380-4114;;;;;2;1;;6;;1;;1;1;;4;;3;3;;;2;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;;;;;1;1;1;1;;;;;;;;1;1;2;;;1;;2;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;1;1;1;1;;;;;;1;;;;;;;;1;1;;;;;;;;;;;;;;
27482-4917;1;2;1;;;;;9;;;;4;6;;16;;2;3;;1;;;;;1;;;;;1;1;;;;;1;;;;;;;;2;;;;;;;;;2;;;;1;1;;;;;;;;4;;1;;;;;;;;1;;;;1;2;2;;;;1;1;1;3;;1;;;2;1;;;;;3;1;;;;1;1;2;1;7;2;3;1;;;1;2;1;;;;;;1;;;;;;;;2;;;;;;;;1;;;;
30492-4433;;7;1;6;19;9;;46;2;2;;21;30;;44;;13;13;1;;3;5;;;;;1;;;;4;3;3;1;;;1;9;2;2;4;5;1;1;;1;2;1;12;5;4;2;5;1;1;1;2;2;1;10;3;;2;7;;13;1;;2;2;2;4;2;5;2;8;4;4;2;2;5;1;;;;4;2;1;9;;7;3;2;;;4;2;3;1;2;;;;1;;;3;1;11;1;6;2;;;;2;;;1;5;1;2;5;1;3;2;1;5;1;1;1;4;3;3;2;2;2;1;;;;1;
28101-4434;;;;;4;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30705-5489;1;3;1;;;2;;8;;;;9;6;;9;;1;3;;1;1;;;;1;;;;;1;3;1;1;;;1;;;;;;1;1;1;;;;;2;2;2;;;;;;;;;1;;;1;3;2;5;1;;;2;;2;;;;4;;4;4;;;;;;1;1;3;1;4;;3;3;3;;;;;;;3;;;;;1;;1;1;;;;;;;;1;;;;;;2;;;;;;;;;;;;;;;;;1;;;;
21513-5384;1;3;;;;;;14;;;;5;5;1;11;;;;;1;6;;;;;;;;;1;2;2;2;;;;;;;;;;;1;;;;;2;1;;;;;;;;;;;;;;;;8;1;;;;;;2;2;;;;;;;;;;;2;;;;2;;;;;;;;;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
25326-4114;1;3;;2;;2;;18;;;;14;13;;20;;2;5;;1;;;;;1;;;;;1;3;1;1;;;;;;;;1;;;1;;;;1;4;2;1;1;3;1;1;1;;;;4;1;1;;2;;7;1;;;;;1;;1;;4;;1;;;4;2;3;1;;1;1;1;6;;2;1;;1;;2;1;1;;4;1;;;1;;1;1;1;4;;2;1;1;1;;;;;1;2;1;;1;;1;1;;1;1;;;1;;1;;;;;1;;;;
27630-6895;;1;;;5;1;;11;;;;2;5;;9;;2;;;;2;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;1;;;;;;;;;;;1;1;6;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;2;1;;;;;;2;;;2;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
28386-5061;;;;;;;;2;;;;1;3;;4;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;2;1;;;;;1;;;2;;1;;;;1;1;1;;;;;;1;1;;;;1;;;;;;;;;;;;;;;
27630-4114;2;6;1;;;2;;29;;1;;18;18;;30;;1;1;;2;6;1;;;1;1;1;;1;;1;;;;1;;;;;;;;;1;;;1;1;5;2;1;1;5;1;;;;;1;5;1;2;1;2;1;14;2;2;;;;;4;5;1;4;1;2;1;;2;1;3;1;1;5;4;1;5;2;2;1;;;;4;2;2;;5;;;1;;2;;3;1;5;;2;1;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;1;
28062-7114;1;4;6;;4;3;;25;;;;4;4;3;17;4;3;;2;1;2;;;;1;1;2;;;1;1;1;2;1;3;2;;1;2;1;;2;;;;4;1;2;;;;;1;;;;1;;;3;;;1;;;10;;1;;;;;;;;;;;;;1;;;;;;1;1;1;;;;;1;;;;;2;1;;3;1;1;3;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;
21283-7297;;7;4;7;;4;1;26;;;;19;20;1;15;;2;2;1;;2;;;;;2;1;3;;;3;;1;;2;;3;;;;4;;;2;1;1;2;3;8;5;;1;6;3;2;;1;1;;6;1;1;;3;;6;3;2;;;;1;1;5;1;4;1;;;3;8;4;1;1;;4;;;9;3;;;;7;3;2;2;1;;1;;1;1;1;4;;3;1;4;;3;;;;;;;;;;;;1;1;;;;1;;1;;;;;;;;1;;;;;
