aluno;1>;2>;3>;5>;6>;7>;14>;16>;29>;30>;31>;32>;41>;43>;44>;45>;46>;47>;48>;49>;1>2>;1>2>14>;1>46>;1>46>2>;1 2>;1 2>46>;1 2>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>41>;2>41>41>;2>41>41>41>;2>46>;2>46>1>;2>46>1>2>;2>46>1>2>14>;2>46>2>;2 14>;2 14>41>;2 14>41>41>;2 14>41>41>41>;2 14 41>;2 41>;3>2>;5>5>;5 14>;6 7>;6 14>;6 14 48>;6 48>;7>5>;7>5>5>;7 14>;7 41>;14>2>;14>2>14>;14>7>;14>7>5>;14>14>;14>14>14>;14>14>14>14>;14>14>31>;14>14>31>30>;14>14>41>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>31>31>30>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>41>43>44>;14>43>;14>43>44>;14>43>44>44>;14 30>;14 30>31>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>2>;14 41>14>;14 41>31>;14 41>41>;14 41>41>41>;14 41>41>41>41>;14 41 43>;14 43>;14 44>;14 48>;14 49>;16>31>;16 30>;16 30>31>;16 31>;16 31>31>;30>14>;30>14>14>;30>30>;30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>14>14>;31>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>31>;31>31>30>;31>41>;31>48>;31>48>29>;31 41>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>31>48>;41>41>;41>41>14>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>41>43>;41>41>41>43>;41>41>43>;41>41>43>44>;41>41>43>44>44>;41>41>43>44>44>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>43>44>44>44>44>;41>44>;41>44>44>;41 43>;41 43>44>;41 43>44>44>;43>41>;43>44>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;44>45>;44>45>43>;44>45>43>44>;45>43>;45>43>44>;46>1>;46>1>2>;46>1>2>14>;46>2>;48>14>;48>29>;48>48>;49>49>;
22977-4434;;2;3;;;;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22135-4114;;1;;1;5;3;22;1;2;2;7;1;12;1;1;;;;4;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;1;2;2;;2;;;1;;;;1;;8;3;3;1;1;4;4;1;;;;7;2;1;1;;;;;;;;;;;;;6;;2;;2;1;1;;;;;;1;;;1;1;;;;;;;;1;;3;2;1;;;;;;;1;;;2;2;;;4;3;1;;2;3;2;;1;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;2;1;;
18444-5384;;;;;;;6;1;;2;3;;7;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;1;;;5;;;;1;;;;;;;;1;1;1;;;;;1;;1;;;;;;;1;;;1;;;;;;;;;;;;1;;1;;2;;;1;1;1;;;;;;1;1;;;1;1;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
21321-4434;5;7;;2;;1;26;1;;4;7;;20;6;9;;5;;;;1;1;3;2;2;2;2;2;2;1;2;;;;3;1;1;1;2;2;;;;1;2;;;;;;;;1;;;;2;;;;1;1;;;;;2;2;;;;3;;;;;;1;1;1;;;1;;2;1;1;8;1;;;1;;;;;4;;;1;1;1;;;1;;;;1;;1;;1;1;;2;1;;;;;1;1;1;;;;1;2;;2;;;;2;;1;;;;;;;;;;;;;2;2;;;;1;1;3;1;1;;3;1;;1;1;;1;;;;2;1;;1;1;1;;;;;;;2;1;1;2;;;;;
21513-5384;;2;;;;1;12;;2;2;8;;11;4;4;;;;2;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;3;;;1;1;2;;1;1;1;1;;;;;;;;2;;1;7;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;2;;;;;;;1;1;1;2;1;1;;;2;;;1;3;;1;2;2;1;;;;;;;;;;2;2;2;1;1;1;1;1;1;1;;3;3;1;1;1;1;3;1;1;1;4;3;1;1;1;1;1;;;;;;;;;;;2;1;;
16014-5799;1;2;1;;;;10;;;1;3;1;7;;;;1;;1;;;;;;;;;;;;1;1;1;1;1;1;;;;1;1;1;1;;1;;;;;;;;;;;;1;1;;;3;;;;;1;2;;;1;;3;;3;2;2;2;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;1;1;;;;;;;;1;1;1;1;1;;;;;2;1;1;;;;;;1;1;;;3;;1;2;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;
21955-4603;2;9;1;3;;3;21;;1;7;10;;17;3;2;1;2;;4;;1;1;1;;1;1;;;;;4;1;1;1;2;1;1;1;;1;1;1;1;;2;1;1;1;;;;;2;1;;1;2;2;2;2;2;;;;;;3;;;;;2;;2;2;1;;;;;;;4;2;1;;;7;1;;;;;;1;1;;2;;;;;;;;;;;2;;;1;2;;;;;;;;;;;;1;2;;4;1;;1;;;1;2;;;2;1;;;;;1;1;1;;;;1;;;;;1;;1;1;;1;1;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;;;;
17491-5799;;2;2;;;3;5;;;1;1;1;4;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;1;;;;;;;;2;1;;;;;;;;1;;;;;;;;;1;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21283-7297;;;;;;;11;;;1;3;;13;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;1;;1;8;;;;;;;;;2;;;;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;2;;1;1;;1;;1;1;;1;1;1;1;1;1;;;;;;;1;1;1;1;;;;2;;;;1;1;;1;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;
22659-5490;1;4;1;1;7;5;21;;;2;7;1;21;2;;3;1;;6;3;;;1;1;1;1;1;;;;;;;;1;;;;1;2;;;;2;2;;1;;2;4;2;2;1;1;1;;1;;1;;1;1;;;;;2;;;;;1;;1;1;;;;;;;;;;3;;3;15;;;2;1;1;1;;;;3;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;4;;;2;;;;2;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;2;;2;2;
