aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>41>;2>46>;2 14>;2 14 41>;2 31>;2 41>;3>2>;3 14>;5 14>;6>6>;6 7>;6 14>;6 41>;7>5>;7>6>;7 14>;7 14 41>;7 41>;14>2>;14>3>;14>7>;14>14>;14>14>41>;14>31>;14>31>30>;14>31>30>31>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>42>;14>43>;14>43>44>;14>45>;14>49>;14>49>49>;14 30>;14 30 31>;14 30 41>;14 31>;14 31 41>;14 41>;14 41>2>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;16>31>;16 30>;16 31>;16 31>31>;30>14>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>32>;30>32>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>32>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>14>;32>31>;32>31>30>;32>31>30>31>;32>31>30>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 43>44>;41 44>;43>41>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;48>29>;48>30>;48>48>;49>49>;
23182-4433;;;;;;1;;;;;;;;3;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;
23182-6895;;;;;;1;3;;;;2;3;;6;;2;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;2;;;;;;;;;;;;;1;1;;;;;;;;;2;;1;;;;;;1;;;;;;;;;;1;;;;;;;1;;;;2;;;;;;;;;;;1;;1;;;;;;;;1;;;1;1;;;;;;;;;;1;1;;;1;;;;1;;;;;;1;;1;;1;;1;;;1;;;
21629-5061;2;12;;;2;4;29;2;;1;4;9;;22;;8;6;;2;2;;1;1;;2;;1;;1;7;3;1;3;;;;;;1;;;1;2;;;2;;1;3;2;1;1;;;;;5;;3;3;2;1;3;;3;1;;;;1;;;3;;11;2;;2;;;;;1;1;1;;2;1;2;1;;;;;;;;;;;;;2;3;1;1;;;;;;1;;;;;4;1;;;;;;3;1;1;1;1;;4;1;3;2;1;1;;2;2;4;3;1;1;1;1;;2;5;2;1;1;4;;2;2;1;1;1;1;1;1;1;;;;
27781-4434;;1;;;;;6;;;;;;;10;;1;1;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;1;;;;;;;;;;6;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;4;;1;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;
22271-4917;;;;2;;1;4;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
21894-4114;2;11;1;;13;5;25;1;;;5;8;;16;;2;;1;2;3;;1;1;1;1;;4;;1;6;1;2;2;1;1;;2;;3;1;;2;1;1;1;2;;1;4;1;2;;;;;;4;;4;4;3;2;;;;;1;;;3;;;3;1;9;;;1;1;1;;2;;1;;;;;;;;;1;;;;;;1;;1;;1;;;;;;;;;;;;;1;2;;;;;;;1;1;3;;1;;6;1;6;6;4;4;4;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;
27587-4917;;1;;;;;2;;1;;3;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28146-4435;;;1;;;1;7;;;;2;2;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;1;;;;;;;;;1;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;
22977-4434;1;2;;5;;3;20;2;1;;6;10;;26;;3;3;;1;;;1;1;1;;;1;;;2;1;;1;;;2;;;;;1;;1;1;2;;;;;;2;2;;;;;2;;;;;;;;;;;;;2;;1;3;2;12;;1;1;;1;1;1;1;;1;;2;1;;1;1;1;;;;;;;;;;2;;3;;1;1;;;;;1;1;;;;3;;;;;;;;;;;2;1;5;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;;2;2;2;1;1;;2;1;2;1;1;;1;;;;;;
23182-6030;;;;2;;2;6;;;;1;3;;9;;2;6;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;;;3;;;;;;1;;1;;;;;;;;;;;;;;1;;1;;;;;;;;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;2;2;2;;;2;1;1;1;1;;2;1;1;;1;;1;;;;;;
21321-4434;1;7;2;2;8;6;23;1;;;8;11;2;20;1;7;8;2;1;10;1;;;;1;;;3;1;2;1;;2;1;;;2;1;1;1;1;1;3;;;1;1;2;;;2;;;;;;1;;;;;;;1;1;1;2;;;1;1;1;4;2;7;;;1;;2;1;2;3;4;1;1;;;;5;2;1;2;1;;;;;1;;1;2;1;4;;3;2;1;1;;;1;1;;1;;3;;1;1;1;1;1;;;;;2;;5;1;1;;;;;;;2;2;1;;2;;1;;4;3;2;2;2;;4;1;2;1;2;1;2;1;;;2;1;
28164-5799;2;13;1;;1;2;27;;;1;6;9;1;17;;6;6;;2;2;1;1;2;1;1;;3;;;5;2;;3;;1;;1;;;;;1;1;1;1;3;;;1;;4;4;2;;;;2;1;;;;;1;;2;1;;;;1;;;3;;6;1;;1;;;;;2;;;;;;2;2;2;1;3;1;1;1;;1;;1;;;1;5;2;2;2;3;1;1;1;;;;;;1;;1;;;;;1;;;;2;2;5;1;1;1;;;;2;;4;1;;1;1;1;;;3;1;;;3;;1;1;;;;;;;1;;;;
27455-7297;;1;;;5;2;17;1;;2;4;4;1;20;1;5;2;2;;4;4;;;;;;;1;;;;;;;;;;;1;1;;1;;;;1;;1;;;;;;1;1;;1;;;;;;;;;;2;3;3;1;;;;;9;1;;;;;1;1;1;3;1;;;;;1;;;;;;;;;;1;;;;2;;1;;;;;;;;;;1;1;1;;1;;;;1;;;1;1;1;3;;1;1;1;1;1;;;2;1;;;1;;1;2;1;;;;;;;;;;;;;;1;;;4;
16014-5799;1;4;;2;;1;5;;;;5;3;;3;;;;;1;;;1;1;1;;;2;;1;1;;1;;;;;;;;;1;;1;1;1;2;;;;;;;;;;;1;1;;;;;;;;;;;;2;;;1;;1;;;;;;;;;;;;;;1;2;1;1;;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
22957-6590;;2;;1;;1;7;;;;1;4;;7;;3;3;;;;;;;;;;;;;2;1;1;1;;;1;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;2;;3;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;1;1;;;;;;;;;;;;2;;;;1;;;;;;2;;1;;1;;;;;;;;
17491-5799;1;2;;;;2;7;;1;;6;4;;3;1;;;;1;;;1;;;1;;;;;2;;1;;;;;;;;;;;1;;;1;;;;;1;1;1;;;;;;;;;;;1;;;;;;1;1;;1;;1;;;;;;;;;;;;;;1;2;;;1;;;;;;;;1;;;2;;1;;1;;;;;;;;;2;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21955-4603;1;2;;;;;10;6;3;;23;18;;9;;3;5;;1;1;;1;1;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;4;2;2;4;3;4;;1;;;1;;1;1;;2;5;3;1;1;6;;;4;1;;;;;;;10;3;1;6;;;;;;;;3;;;1;1;6;1;;;;;;;;1;1;1;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;1;;;
27760-4434;1;3;;;;;7;;;;4;2;;6;;;;;1;;;1;1;1;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;1;;;;;;;;;;1;;;1;1;4;;;1;1;;;;;;;;;;;1;1;1;;;;;;;;;;;;1;;;;;;;;;;;;;2;1;;;;;;;;;1;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27889-4434;;2;;;;;5;;;;2;3;;7;;4;2;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;2;;;;;;;1;;;;;;;;;1;;;1;;1;;1;;;;;;;;;;;2;1;;;;;;;;;1;;;1;;1;;;;;;;2;;;;2;;;1;;;;;;;;;;;;;;;;;;;
28101-7297;;;;;;;4;;;;;;;9;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;3;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;
24407-6030;2;11;;;;1;27;2;1;;14;20;2;14;;;;;3;5;2;1;2;1;2;;3;;1;5;2;;3;;;;;;;;;;1;;;4;;;;;10;6;;;;;;;;;;;;;;;;;;4;1;;5;;4;;1;;;;;;;1;2;;1;1;2;3;1;1;1;1;;;;1;;2;2;;2;10;2;2;1;;;;1;2;;;;;4;3;1;1;;;;;;;3;1;1;4;;3;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;1;;
27455-6030;;;;;;;1;;;;1;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27455-5061;;5;3;;1;;8;1;;;3;3;1;3;;1;1;;;2;;;;;;1;2;;;2;1;;1;;;;;;1;;;;;;;1;;;;;;;;;;;1;;1;;;;;;1;;;;;1;;;;;2;;;;;;;;1;;1;;1;1;;;;;;;;;;1;;;1;;;;;;;;;;;1;;1;;2;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
27760-6895;;1;;;;;6;;;;;;;7;;;;;;1;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;;;;1;1;;;;;;4;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
15016-4433;;1;;;;;2;1;1;;2;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;1;;;;;;;;;;;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22279-4114;;1;;2;;2;7;;;;2;1;1;6;;1;2;;;;;;;;;;;;;1;;;;;;1;;;;;1;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;1;;;;;2;;;;;;;;1;;;;;;;1;1;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;1;1;;;;1;1;;;;1;;1;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;
22977-5799;;;;2;;2;12;1;;;4;5;;8;;5;6;2;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;3;3;;;;;3;1;1;;;;;;1;;;;;;;;1;;5;;1;2;1;;1;;2;;1;1;;;1;1;1;;1;;;;;;;;;;1;4;1;1;1;;;;;;;;;;;;;;;;;;1;;;2;2;2;;1;;;;;1;;1;;;2;2;2;1;;3;2;1;;2;;2;1;1;;;;;;;;;;
28164-4114;1;8;2;;21;4;24;1;1;2;7;14;4;13;;2;;;2;6;1;;;;1;2;;;;5;;;1;1;;;4;1;4;2;;2;;;;1;;1;2;;7;2;;;;;4;1;2;;;;;;;;;;;;;;2;;5;;1;2;2;;;1;;2;1;;1;1;1;2;1;;3;1;;;1;1;;1;;;5;5;1;2;1;1;;;1;2;1;3;;2;1;;2;2;;;;;;;;3;2;3;1;3;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;;;
27482-5799;;;;1;;1;2;1;;1;1;2;1;1;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
17228-6401;;;;;;;13;1;;;11;12;9;4;;2;3;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;3;2;4;3;2;3;1;1;;;;1;;;;;;;1;;;1;;1;;1;;;;;;1;;1;;1;1;1;1;;;6;4;2;2;4;4;;1;;;;9;1;;;6;4;2;4;3;3;2;2;;;;2;7;6;2;2;;;;1;3;1;2;1;;;;;;1;;2;;;;;;;;1;;;;1;;1;;1;;1;;1;;;;;;
