aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>41>;2>46>;2 14>;2 14 41>;2 31>;2 41>;3>2>;3 14>;5 14>;6>6>;6 7>;6 14>;6 41>;7>5>;7>6>;7 14>;7 14 41>;7 41>;14>2>;14>3>;14>7>;14>14>;14>14>41>;14>31>;14>31>30>;14>31>30>31>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>42>;14>43>;14>43>44>;14>45>;14>49>;14>49>49>;14 30>;14 30 31>;14 30 41>;14 31>;14 31 41>;14 41>;14 41>2>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;16>31>;16 30>;16 31>;16 31>31>;30>14>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>32>;30>32>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>32>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>14>;32>31>;32>31>30>;32>31>30>31>;32>31>30>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 43>44>;41 44>;43>41>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;48>29>;48>30>;48>48>;49>49>;
22483-6030;;2;2;3;;3;5;;;;;;;1;;;;;;;;;;;;;2;;;1;;;;1;1;2;;;;;1;;;;;;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27780-5799;1;3;2;;;;12;1;;1;6;5;;10;;1;1;;1;7;2;;;;1;;;;;2;;;;;2;;;;;;;;;;;;;;1;;;;;;;;1;;1;;;;;;;;;2;;1;;;;;7;;;1;1;;;;;3;1;1;;;1;2;1;1;1;1;;;;;;;;;;2;;2;1;;;;;2;1;;1;1;1;;;;;;;;;;;2;;2;2;1;;;;;;;;;;1;1;1;;;1;;;;;;;;;;;;;1;1;1;1;;
26616-7114;1;5;1;;2;1;16;;;1;1;4;;17;;3;3;;1;2;;1;1;1;;1;;1;;2;;1;;1;;;;;1;1;;1;;;;1;1;;;;;;;;;;3;;2;;;;1;;1;;;;;;;;1;;11;1;;;;;1;;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;2;1;;;;;;;1;;;;1;;3;1;1;1;1;1;1;;;2;1;;;1;;1;;1;;;;1;1;;;;;;;;;1;1;;;
16014-6590;;1;;;;;4;;;;1;3;3;2;1;;;;;;;;;;;;1;;;1;1;;1;;;;;;;;;;;;;;;;1;;2;;;;;;1;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;;;;;;;2;;2;;;;;;2;1;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18432-5799;2;6;2;2;2;3;25;;;;5;9;;11;;4;4;;2;2;;1;1;;1;;2;;1;3;;;;;2;1;;;1;1;1;;1;;;2;;;1;;5;3;3;;;;3;;;;;;;;2;;;;;1;;;2;1;5;;1;1;;;;;2;1;;;;;1;;;;3;1;1;;;;1;;;;1;4;1;;;3;1;1;;1;1;;;;1;;;;;;;;;;;3;1;3;1;;;;;;;;;;;1;1;1;;;1;;;;;;;;;;;;;1;;;;;
21380-4114;;1;;5;;3;9;1;;;2;5;;6;;2;3;;;;;;;;;;;;;1;;;;;;2;;;;;2;;;;;;;1;;;2;1;;;;;2;;;;;;;;;;;;;1;1;1;3;1;3;;;1;;;;;;;;;1;;;;;;;;;;;;;;1;1;;1;;;;;;;;1;;;;;1;;;;;;;;;;;;;1;;;;;;;;;1;1;1;;;;;;2;1;;;;;1;;;;;;;;;;;;
27482-4917;1;3;1;1;;1;7;;;3;2;2;;6;;1;;;1;4;1;;;;;;;1;1;1;;;;1;;;;;;;1;;;;;1;;;;;;;;;;;2;;1;1;;;;;;;;1;1;2;1;;2;;3;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;2;;2;;;;;1;;1;;;;;;;1;;;;;;;;;;;;;;1;1;;;1;
28101-4434;;;;;;;2;;;;1;1;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22135-4114;;;;;;;9;1;;;2;4;;9;3;2;2;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;1;1;;;;;;;;1;1;5;;;1;;;;;1;1;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;;2;;;;;;;;;1;;1;;2;1;1;1;;;;;;1;;;1;1;1;;;1;1;;;;;1;;;;;;;;;;1;1;
27482-4435;;2;;;9;1;14;;;5;3;1;;12;;2;3;;;6;6;;;;;;;;;;;;;;;;2;1;3;2;;;1;1;1;;;;;;;;;;;;1;;1;;;;;;;;;5;5;2;1;2;1;1;8;;;1;1;1;;1;1;2;;;;;;;;;;;;;;;;1;1;2;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;2;;1;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;2;;1;5;
27403-4435;2;14;2;6;;3;40;;;1;15;18;;31;;6;7;2;2;7;;1;1;1;1;1;3;1;1;5;1;2;2;2;;1;;;;;2;;1;;;2;1;1;4;2;5;2;1;;;;9;;3;1;;;1;;2;2;2;;;4;;;3;2;14;;;3;;1;1;1;2;4;;;;;1;4;1;1;4;1;;;;;1;;4;1;;3;;1;;1;;;;3;1;;;;5;;;;;;;3;1;3;;2;;8;1;1;;;;;1;1;2;1;1;;1;;1;1;4;3;2;2;2;1;3;2;2;1;2;1;;1;;;1;;
25326-4114;;;;;;3;8;1;;;2;3;;2;;1;1;;;4;;;;;;;;;;;;;;;;;;;;;;;2;1;1;;;2;1;;1;;;;;;;;;;;;;;;;;;;1;;;2;1;2;;;;;1;;1;1;1;1;;1;1;;;;;;;;;;;;1;;;;1;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
26930-4433;;4;1;;3;2;17;;;;;1;2;13;;1;1;;;;;;;;;1;1;;;4;;;;;;;1;1;1;1;;;1;1;1;;1;;1;1;;;;1;;;3;;;;;;1;;;;;;;;;;;;9;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
27630-6895;;;;;;;3;;;;1;1;;2;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;
28062-7114;;1;;2;;2;17;;;;6;8;;18;;3;3;;;1;4;;;;;;;;;1;;;;;;1;;;;;1;;;;;;;1;;;1;1;;;;;9;;4;2;2;2;;;;;;2;1;2;;1;3;1;7;;;4;2;;;;1;;;;;;1;1;;;1;;;;;;4;;1;1;1;3;;;;1;;;;1;;;3;;1;;;;;;;;1;;;3;1;8;2;3;2;2;2;2;1;;1;;;1;2;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;1;1;1;
27630-4114;;;;2;;2;10;;;;1;4;;12;;3;3;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;1;;;1;;;2;1;;;;;1;;1;1;;;;;1;;;;;;;;1;;7;;2;1;1;;1;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;1;;;2;1;2;;1;1;;;;1;1;2;1;;;;;1;;1;;;;1;;;;;;;;;;;;;;
21283-7297;1;4;;;4;5;13;;;;3;4;;12;;;;;1;;;1;1;1;;;;;;2;1;1;2;;;;;1;4;2;;;2;1;1;;;1;;;;;;;;;1;;1;;;;;;;;;;;2;;;2;2;8;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;1;;1;1;;;;;;;;;;3;1;;;;;;;;;1;1;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
