aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;47>;48>;49>;1>2>;1>46>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14 41>;2 41>;2 46>;2 46>1>;3>2>;3>14>;3 14>;5>5>;5 14>;6>6>;6 14>;7>5>;7>5>5>;7>14>;7 14>;7 41>;8>7>;14>2>;14>3>;14>3>2>;14>7>;14>8>;14>8>7>;14>14>;14>14>41>;14>30>;14>31>;14>31>30>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14 30>;14 30 41>;14 31>;14 32>;14 41>;14 41>14>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;16>31>;16 31>;30>14>;30>30>;30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30 31>;30 41>;31>7>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;32>14>;32>31>;32>31>30>;41>2>;41>3>;41>7>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41 43>;41 44>;41 48>;43>43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>48>;49>48>;
22607-5384;;3;1;3;2;6;;19;1;;;3;8;2;17;;;;;;;1;;;;;;;1;2;1;;;;;;;;;1;;;2;1;;1;2;2;1;2;1;;1;;;3;;;1;;;1;;;;6;4;2;2;2;2;;;;;;2;;2;1;8;1;;3;2;;;;1;1;;;;;1;;;;1;;;1;;;;;1;;;;3;;1;;1;;2;1;;;;6;1;;4;3;3;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14770-5489;;2;;;;;;6;;;;;;;6;;7;8;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;1;1;;;;;;;1;;;;;1;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;3;4;;;2;1;1;;;;;;1;3;;1;;;;;;;;;;;;
22977-4434;;4;;2;1;3;;31;2;1;;19;18;;30;;10;10;;;;3;;;;;;;;;;;;2;;2;3;;;;;;;1;;1;1;;;1;2;;;;;;;;;;1;8;4;;;4;;;;;;4;1;1;;;4;2;2;;18;;4;2;;2;3;2;;1;1;5;4;2;6;2;;1;3;5;;;10;5;2;3;1;1;;;2;;;;;;;;4;;2;3;;;;;;;;;;2;2;2;1;4;1;;2;4;4;2;1;;3;1;;1;4;2;2;;1;;;;;;;;;;
22135-4114;2;4;6;2;1;3;1;27;;;;4;4;2;18;2;4;3;;2;;;;;1;2;1;;;1;;;;;;;;1;1;2;1;2;;;;;2;;1;;1;;2;4;1;1;1;;3;1;1;1;1;1;1;6;3;2;;;;2;2;1;;;1;;;;6;;;1;1;1;2;;;;;2;;;;;1;1;;1;;2;3;2;;;;;;;;1;1;1;;2;;2;3;2;1;5;;2;4;1;;;;;;1;1;1;1;1;;;;3;2;2;2;2;2;;2;;3;2;3;2;2;1;2;1;;1;;;;;
27482-4435;1;13;;7;;9;2;34;;;3;12;10;1;22;2;10;13;;1;;5;1;1;;;;1;;;1;1;1;4;;;1;;;;;;3;1;;;3;2;;1;1;1;3;;;3;;;2;1;1;;;;;8;4;3;1;1;1;1;;;1;;4;;1;;7;;;4;3;;;6;2;;;;;;2;;1;1;;;1;1;3;;;;2;1;1;;1;;;;1;;;1;;;;10;;;6;4;3;3;1;1;1;5;1;;;;;;;4;2;;;;1;;;;2;;;;;;;1;1;;;2;;;
18444-5384;2;3;;;;;;11;;;;2;4;;8;;;;;2;;;2;2;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;1;1;1;1;1;1;;;;;1;1;;1;;5;;1;;;;;;;;;;;;1;;;;;;;;1;;;;1;;3;;1;;;;1;;;;1;;;1;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;
21321-4434;1;6;1;3;9;3;;35;3;1;;14;29;1;18;;2;3;;1;;5;;;1;;;1;1;;1;;;3;1;1;2;;;1;;;2;;5;1;2;2;;;;;2;;;;;;1;;;13;4;;;;;;;;;2;2;1;1;;6;;11;;9;;4;;;;;1;4;;3;;;;1;;;1;;;1;;7;;;;6;3;;;3;;;;;;;;6;;1;3;;1;1;;;;;;;1;1;;;;;1;;2;1;;;;;;;1;1;;;;;;;;;;1;;1;;
27455-7297;1;12;2;2;;5;;38;;;2;7;10;;36;1;12;15;5;1;;4;;;1;;;2;;2;1;1;;8;1;2;3;;;1;;;;1;;;1;;1;1;;;2;1;1;3;;;1;1;;2;;;;5;3;2;2;2;2;2;1;1;;;1;;3;;13;;;;;2;3;;2;;;1;;;;;;1;;;;;3;1;;;;;1;1;3;;;;1;;2;1;2;;2;8;1;1;5;4;3;3;3;2;2;3;1;1;1;3;1;1;2;8;5;3;2;1;6;3;1;2;8;1;4;1;3;1;2;;;1;;1;;;
27403-4435;4;19;4;7;3;9;3;72;2;2;4;14;23;3;50;2;15;21;2;4;;15;5;1;1;2;;1;2;4;2;1;1;9;1;1;4;2;2;;;;1;2;1;;3;1;2;3;2;2;3;;;1;2;1;13;1;2;3;;2;2;6;2;;;;;4;1;1;5;1;3;1;6;1;21;2;;2;;;1;8;7;2;;2;4;3;4;1;;;2;1;2;4;5;1;2;1;2;2;;1;5;;2;;;;;5;1;;;14;;;3;1;;;;;2;3;1;1;1;3;1;2;4;5;4;3;2;2;5;;2;1;9;4;6;2;2;1;2;3;1;1;5;3;2;1;
27002-5489;;;;;11;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21513-5384;;;;;;;;12;1;;;6;5;;11;;1;2;;;;7;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;2;1;1;;;;;;;;;1;;1;;5;;;1;;;;2;4;1;;;3;2;1;;;;1;;;1;3;;2;;1;1;;;1;;;;;;;;1;;1;2;;1;1;;;;;;;;;;;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
25326-4114;1;2;1;;;;;18;;;;1;2;1;23;;9;8;;1;;1;;;1;1;1;;;;1;;;2;;1;1;;;;;1;;;;;;;;;;;;;;;;;1;;;1;;;;4;4;;;;;3;2;2;;;1;;;;7;1;;1;1;1;1;5;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;2;;;;8;;;2;1;1;1;1;1;1;1;;;;4;;;;3;3;2;1;1;1;;1;1;3;;2;;1;;1;;;1;;;;;
26930-4433;;4;;2;1;4;;11;;;;;1;;12;;;;;;;1;;;;;;;;1;;;;1;;1;2;;;;;;;1;;1;;;1;4;4;;1;;;;;;2;1;;;;;;2;1;1;1;1;1;;;;;;;;;;9;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;1;1;1;;2;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22957-6590;;3;2;3;;1;;14;;;;1;1;;11;;2;;;;;;;;;;;;;2;1;;;;;;;;;2;;;;1;;;1;;;;;;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;1;1;;;1;;;;1;;;;1;1;;;;;;;;1;;;;;;2;;;1;1;1;1;1;1;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
21955-4603;1;7;2;;8;2;;17;;;;;;;14;;;;;1;;1;;;1;;;;;;;1;;6;;2;2;;;;;1;;;1;2;;;;;;;;;;2;;;;;;;;;;3;2;2;1;1;1;;;;;;;;;;8;;;2;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;4;;;4;3;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21283-7297;;4;2;4;1;4;;23;;;;3;13;;28;;4;3;;;;1;;;;;;2;;2;;;;2;1;2;3;;;;;1;1;1;;1;2;1;;1;;;1;1;;;;;;;;6;1;;;5;;;;;;1;1;1;;;1;;6;;11;;2;1;;;;;;;;;1;;1;;;;1;;1;;2;;;;4;;2;;2;;;;1;1;2;;3;;1;2;;;1;1;1;1;1;1;;;;;;3;;;;2;1;;;;2;2;1;;1;1;;;;;;;;;;;;;
22659-5490;;1;;4;3;6;;21;3;;;7;12;2;17;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;1;;1;3;2;;2;;;;;;1;;;1;1;;5;3;;;4;1;1;1;1;;;;;;;3;;4;;4;;;1;;;;;;;3;1;;;2;1;2;;;;;1;4;;;1;1;1;;;3;2;;;;;;1;1;1;;3;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
