aluno;32>;1>;2>;3>;5>;6>;7>;8>;41>;42>;43>;44>;13>;45>;14>;46>;48>;16>;17>;29>;30>;31>;32>31>;32>31>30>;1>2>;1>46>;2>1>;2>1>46>;2>2>;2>2>14>;2>3>;2>3>2>;2>41>;2>14>;2>14>2>;2>14>41>;2>14>14>;2>31>;2 3>;2 41>;2 14>;2 14>2>;2 14>41>;2 14>14>;2 14 41>;2 46>;2 31>;3>2>;3>2>14>;3>14>;3 14>;5>5>;5>14>;5 14>;7>5>;7>5>5>;7 41>;7 14>;41>2>;41>2>14>;41>7>;41>7>5>;41>41>;41>41>2>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>43>;41>43>44>;41>44>;41>14>;41>30>;41>31>;41>31>30>;41 43>;41 43>44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>44>;44>44>44>;44>44>44>44>;44>44>44>44>44>;44>44>44>14>;44>44>14>;44>14>;14>32>;14>32>31>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>45>;14>14>;14>14>2>;14>14>41>;14>14>14>;14>14>14>14>;14>48>;14>30>;14>31>;14>31>14>;14>31>30>;14 41>;14 41>41>;14 41>14>;14 41 43>;14 43>;14 44>;14 48>;14 30>;14 31>;14 31>30>;14 31 41>;46>1>;46>1>2>;48>29>;16>31>;16>31>14>;16 31>;16 31>31>;17>30>;30>14>;30>30>;30>31>;30>31>30>;31>41>;31>14>;31>48>;31>30>;31>30>14>;31>30>30>;31>30>31>;31>31>;31>31>14>;31 41>;
21894-4114;1;3;20;;2;;2;;32;1;3;4;1;;32;3;5;;1;2;9;13;;;;;1;;1;;;;1;2;;;;1;;5;11;1;;1;4;3;2;;;;;;;;1;;;;2;;1;;10;;4;3;2;2;1;1;;1;3;1;1;1;2;1;1;;1;1;;;;;1;;;3;;;;;;;4;;2;;;;;;;4;1;;1;1;;;3;;2;14;2;;1;1;1;2;2;2;;1;1;;2;;;;;1;2;5;1;1;;1;1;6;1;3;;1;;2;
21283-6895;;2;9;;1;;2;;14;;;1;;;17;2;2;2;;1;6;11;;;;2;1;1;;;;;;1;;1;;;;4;5;;;;4;;2;;;;;1;;;1;1;;;2;;1;;2;;1;1;;;;;;2;1;1;;;;;;;;;;;;;1;;;;;;;;1;;2;1;;;;;;;;;;;;;;3;3;1;1;8;;;;;;1;2;6;3;3;;;1;1;1;2;1;;1;1;1;;1;2;;5;;1;;3;2;5;
22483-6030;;1;3;;;;;;5;;2;5;;;5;1;;;;;;1;;;;1;1;1;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;1;;1;1;1;;;1;;;1;;1;1;1;1;;;2;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
16014-6590;1;;2;;;2;2;;11;;5;3;1;2;10;;1;;;;;4;;;;;;;1;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;1;1;;;;3;1;3;1;1;;;;1;;1;;2;;;;;;1;1;;;;;;;;;;;;;;;1;;1;;;;;;2;;;;;;1;;;;;4;1;;;1;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;
18432-5799;;2;16;7;;;1;;19;1;1;3;;;38;2;;3;2;;5;6;;;1;1;1;1;2;;2;1;;7;2;;;;1;2;9;2;;1;1;;1;2;;1;2;;;;;;1;;1;1;;;5;1;2;;;;;;1;1;;;;;1;1;;;1;;;;;;1;;;6;;2;2;;;;2;;1;1;1;1;1;;;3;;;2;1;;1;1;;;10;1;;;;1;;1;;;;1;1;;2;1;3;2;2;2;;2;1;;2;;2;1;;1;2;1;1;
21380-4114;;1;4;;;;;;9;;3;6;;;7;1;;;;;;;;;;1;;;;;;;1;;;;;;;2;2;;;;1;;;;;;;;;;;;;;1;;;;2;1;1;;;1;1;1;;;;;1;1;3;2;2;1;3;3;2;2;1;1;1;;;;;;;;;;1;;;;1;1;1;1;;;;;;;;;;;;3;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22607-5384;;1;7;;2;;2;;18;;3;2;;;13;1;;;;;1;4;;;;1;;;1;;;;1;;;;;1;;1;6;1;1;;1;;;;;;;1;;1;1;;1;1;1;;;;8;1;3;1;1;;;1;;;;;2;1;1;1;1;1;1;1;1;1;;;1;;;1;1;;;;;;2;;2;1;1;1;1;1;;;;;;;;;1;1;;6;;;;;1;;;1;;;;;;;;;;;;;;;;1;;1;;;;1;1;;
14770-5489;3;1;2;;;;2;3;4;;;;;;5;1;7;1;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;3;;1;;1;;;;;;1;;;;;;;;;1;;;;;;;1;
22135-4114;1;;4;1;8;1;7;;16;;1;1;;;22;;3;;;1;;2;;;;;;;1;;;;;1;;;1;1;;2;2;;;;1;;;;;;;3;2;2;5;3;1;1;1;;2;2;2;;1;1;;;;;3;;;;1;;;;;;1;;;;;;;;;1;1;;1;;5;5;3;;1;1;;;;;;4;;1;;;2;;1;;;11;2;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;1;1;;
18444-5384;;;1;;3;;1;;6;;4;4;;;7;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;1;;;1;1;;;;;;;;;;1;1;;1;;;;3;;2;2;2;;3;3;1;;2;2;2;;;;;;;;;;;;;;1;1;1;1;;1;;;;;;;;;;4;;1;1;1;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;
21321-4434;;3;16;9;3;1;4;2;26;;4;9;;;40;3;;1;1;;5;7;;;1;1;2;;1;1;;;;3;;;1;;2;4;9;;;;3;2;1;1;;1;2;;;1;1;;;1;2;1;;;6;;4;1;1;1;1;1;2;;;;2;1;3;2;1;;3;1;;;;1;2;;;;;;6;1;2;1;4;1;2;1;1;;;;;3;;;1;;;2;1;;1;10;;1;;1;2;;1;4;2;1;2;1;;1;1;1;1;1;3;;;;;1;;3;1;;;1;1;1;
21513-5384;;1;6;;3;;2;;13;;;;;;12;1;2;;;1;1;2;;;;1;1;1;1;1;;;;2;;;1;;;2;4;1;;;2;;;;;;;;;1;1;;1;1;;;1;1;6;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;2;;1;;;1;1;2;;;;;;;;;1;;;;;;;;;;7;2;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;1;
16014-5799;;2;9;;;;;;13;;;;;;12;2;;;;;4;3;;;;2;2;2;1;1;;;1;4;2;1;;;;2;5;1;;;1;;;;;;;;;;;;;;3;1;;;4;2;;;;;;;;;1;1;;;;;;;;;;;;;;;;4;;1;;;;;2;1;;;;;;;;;;;;;;;1;;1;3;1;;;;;;2;;;;;;;;;;;;;2;;;;;;2;;2;;1;;2;
17491-5799;1;1;10;8;;;;1;12;;1;;;1;17;1;1;2;1;1;4;7;1;1;;1;1;1;1;1;5;4;;6;2;1;1;;2;;4;;;3;;;;6;5;1;;;;;;;;;1;;;;3;;1;1;;;;;2;1;;;;;;;;;;;;;;;;;;5;;3;3;3;;;2;1;1;;;;;;1;7;2;1;1;1;1;1;3;1;;7;;2;;;;;;1;1;;;;1;2;2;2;2;1;3;1;1;1;;3;;3;2;;1;2;2;1;
21955-4603;;1;12;1;2;3;5;;24;;4;4;;;38;1;2;;1;;8;10;;;;;1;;;;;;1;3;;2;1;;;2;7;;1;1;1;1;1;;;;;1;1;1;2;1;;2;1;1;1;1;7;1;4;2;1;2;1;;5;;5;3;1;;2;2;1;1;3;1;1;1;;2;2;;;1;;1;1;;1;1;11;;5;3;;;;;;9;;4;5;2;;;;;;13;2;3;1;2;1;1;2;3;;1;1;;;;;;;1;1;5;1;;2;;;5;;4;;;;1;
22659-5490;1;;;;;;;;3;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
