aluno;1>;2>;3>;5>;6>;7>;8>;41>;43>;44>;14>;46>;48>;16>;49>;17>;29>;30>;31>;1>46>;2>1>;2>1>46>;2>2>;2>2>14>;2>3>;2>41>;2>14>;2>14>2>;2>14>41>;2>46>;2>46>1>;2>31>;2 41>;2 14>;2 14>2>;2 14>41>;2 14>14>;2 14 41>;3>2>;3>14>;3 14>;5>5>;5>41>;5 14>;6>6>;6>6>6>;6>6>6>6>;6>41>;6 41>;6 14>;7>5>;7>5>5>;7 41>;7 14>;7 14 41>;41>2>;41>2>2>;41>2>14>;41>6>;41>7>;41>41>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>31>;41>41>43>;41>41>31>;41>43>;41>43>41>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>44>;41>14>;41>30>;41>31>;41>31>30>;41 43>;41 43>44>;43>41>;43>41>41>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>44>;44>44>44>;44>44>44>44>;44>44>44>44>44>;44>44>44>44>44>44>;44>44>44>44>44>14>;44>44>44>44>14>;44>44>44>14>;44>44>14>;44>14>;14>2>;14>2>2>;14>2>41>;14>2>14>;14>2>46>;14>2>46>1>;14>3>;14>7>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>14>;14>14>2>;14>14>41>;14>14>31>;14>49>;14>31>;14>31>48>;14>31>30>;14 41>;14 41>2>;14 41>41>;14 41>14>;14 41>31>;14 41>31>30>;14 43>;14 44>;14 48>;14 49>;14 29>;14 30>;14 30>41>;14 30 41>;14 30 31>;14 31>;14 31 41>;46>1>;48>29>;16>31>;16 31>;49>48>;49>49>;17 30>;30>7>;30>7>5>;30>41>;30>14>;30>14>41>;30>30>;30>30>14>;30>31>;30 41>;30 31>;31>41>;31>14>;31>48>;31>48>29>;31>30>;31>30>7>;31>30>7>5>;31>30>14>;31>30>30>;31>31>;31 41>;31 41>30>;
13405-5490;6;22;3;4;21;7;3;87;11;14;93;6;11;1;16;1;;21;25;2;2;2;3;1;;3;4;1;;4;4;2;3;8;2;2;;1;;3;;2;;1;2;;;2;3;5;3;2;;;;4;;2;2;1;18;9;7;5;4;2;2;;1;1;5;2;2;1;1;2;8;2;5;3;4;2;2;1;5;3;2;1;1;4;3;2;2;2;1;1;1;2;4;9;1;1;2;2;2;3;3;18;;5;4;4;3;2;1;9;1;2;2;6;9;;2;38;3;5;5;2;1;;4;6;4;;8;;;1;4;2;4;;1;1;4;6;1;1;1;;7;2;4;3;1;;1;;3;;;10;1;1;4;2;2;5;2;
18398-5384;3;22;2;5;1;5;;47;6;4;45;3;1;2;;2;;19;22;2;2;2;3;;2;4;2;1;1;;;3;4;8;;2;;3;;2;;;1;2;;;;;;1;3;;1;1;1;6;2;1;;1;11;6;4;3;3;3;2;1;1;1;4;1;1;;;;3;1;8;1;1;;1;1;1;;;;;;;;;;;;;;;6;1;1;1;;;;1;8;3;2;1;1;1;;;3;1;;;;8;1;3;20;;2;1;4;1;2;3;;;;5;2;;;3;2;;;2;1;;;2;2;2;4;2;;5;;2;1;2;1;3;1;;8;2;2;1;1;3;4;1;
1436-6400;4;29;11;2;29;6;1;46;12;10;57;4;2;1;;1;;9;12;4;2;2;2;1;1;1;8;2;3;1;;1;6;16;2;;1;4;4;;5;1;;1;12;7;4;2;3;5;1;1;2;3;2;3;;1;1;;10;5;4;3;2;1;;1;3;1;6;1;4;4;3;1;1;1;3;1;3;1;2;2;7;6;5;4;4;7;6;4;4;2;2;2;2;3;5;4;;1;1;;;6;;11;1;5;2;1;;3;3;3;;1;;;2;;1;17;;1;;;;;3;;;;2;;1;;1;1;;;;;;;;;;;1;1;;;1;3;;;2;;;4;;;1;;1;3;1;
15247-6400;7;34;3;8;2;10;;83;12;9;84;7;7;4;;2;7;25;39;3;4;2;7;2;1;2;9;2;2;2;1;;6;19;3;;4;4;1;1;1;1;3;3;;;;;1;;4;1;1;4;1;3;2;;1;2;18;12;7;6;5;2;1;3;1;3;6;;1;;;1;4;3;8;6;4;1;1;1;3;;;;;;;;;;;;;;1;10;3;1;1;1;1;;1;10;;4;1;1;1;3;1;9;1;3;2;;8;2;3;32;2;;3;2;2;2;3;;;3;8;2;2;2;7;3;2;5;1;2;;;2;1;1;3;1;1;3;1;2;2;2;2;2;6;5;13;1;1;;3;2;11;3;
17491-6590;1;4;1;2;6;2;;13;1;3;16;1;1;1;;;1;4;9;;;;2;;;1;;;;1;1;;;3;1;1;;;;1;1;;1;1;1;;;;;1;1;;1;1;1;1;1;;;1;1;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;2;1;1;1;1;1;1;1;1;2;;;;1;1;;1;5;1;1;1;;;;;1;1;;;;2;1;;6;;;;;;;;;;1;2;1;1;1;2;1;1;;;;;;;;;1;;;;;;1;2;1;;1;;;;;;;;1;;
