aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>2>;2>14>;2>31>;2>31>30>;2>41>;2>46>;2 14>;2 14>31>;2 14 41>;2 41>;5 14>;6>6>;6 14>;7>5>;7 14>;7 41>;14>2>;14>7>;14>7>5>;14>14>;14>30>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>14>31>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30>41>;14 30 31>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;14 48>31>;14 49>;16>31>;16 31>;17>30>;17 30>;17 30>30>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>41>;30 31>;30 31>30>;30 41>;30 48>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>41>43>44>44>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 43>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;48>14>;48>29>;48>30>;48>31>;49>49>;
22559-5384;;1;;4;;3;;5;;;;6;3;;6;;1;1;;;3;1;;;;;;;;;;;;1;;;;2;;1;;1;1;;1;1;;1;;;1;1;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;3;;3;2;1;1;;1;;1;1;;;;1;;;;2;;;2;;;2;2;1;1;1;;;;;;;;;;;;;;;2;1;2;2;;;;;;;;;;;;;1;;;;;;;;1;1;;;1;1;;;;;;;3;;1;;;
30968-4434;;1;;4;2;5;3;11;;;;;5;1;10;;5;4;1;;;;;;;;;;1;;;;;;;;2;2;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;3;;1;4;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;1;;;1;;4;1;2;;2;1;;1;1;1;2;2;1;;2;;1;3;;1;;;1;;;1;2;1;;;;;;;;;;;;
27512-4435;3;12;;;;2;;23;;1;1;15;13;;10;;1;2;;3;6;;2;1;3;3;1;1;1;2;7;1;2;3;;;;;1;1;4;1;;2;;6;;4;;;3;;;;3;1;1;;;;;;;9;3;3;1;2;3;;1;4;;1;1;;;1;4;2;;;;;1;;1;;;6;;;;;;;4;;3;2;;;;1;2;;1;;;;5;;;3;;;1;;;;;;;1;;3;1;;;;;1;1;;1;;1;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;1;2;;;2;;
28043-4435;2;5;1;;;;;9;;;;1;1;;8;;;;;2;3;2;1;;;1;;;;1;2;;1;1;;;;;;;1;;;;;;;;;;;;;;2;;;;;;;2;;;;;;;;;;1;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
21361-4917;2;12;;1;7;4;;43;;2;1;19;19;;18;;9;7;;2;7;;2;1;1;;3;2;1;2;5;2;;2;;;3;1;1;;1;3;1;1;2;7;;6;;;2;1;;;7;;5;3;2;;;2;;5;1;1;;1;5;;;11;1;3;2;1;2;3;4;1;;;;2;1;1;2;;;9;2;5;1;;;1;2;;1;;;;;4;1;1;;;;;11;;;6;4;1;;;;;;;;1;;;;;2;1;1;;3;2;10;2;7;2;4;3;2;3;2;2;3;2;2;1;2;1;2;4;;3;2;2;2;1;;2;3;2;2;2;2;2;;1;1;1;;1;;
30639-5489;;;;;9;1;;5;;;;;;;4;;4;3;;;;;;;;;;;;;;;;;;4;2;;;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30812-5490;1;7;;7;;3;;41;1;1;1;20;24;;12;;4;3;1;1;19;9;1;1;1;;1;;;;4;1;;1;3;;;3;;;2;2;1;4;;15;;6;;;3;1;;;2;;1;;1;;;1;8;5;2;;1;;5;1;;4;;1;;;1;1;14;4;1;;1;1;1;1;3;2;1;7;1;1;1;1;1;;2;;;;;;;1;1;1;;2;1;1;7;2;2;3;1;1;;;;;;2;1;1;5;1;;;;;1;;2;;5;2;1;1;1;1;1;2;2;2;2;2;2;;;;1;2;;2;;;;;;1;2;;;;;;;;4;;;4;3;
30687-4433;;;;1;;2;;30;4;5;;18;26;;6;;5;10;;;2;;;;;;;;;;;;;;;;;1;;;;2;1;;;9;;6;;;;;;;2;1;;;5;4;2;;;9;5;3;1;1;10;2;1;2;;;;;;4;;;;2;4;3;2;2;2;1;;4;;2;1;;;1;6;;3;;;;;1;2;1;;;1;;10;1;;1;1;;;;;;;4;4;;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;5;;3;3;3;3;;1;;3;3;3;3;3;3;1;;;;;;;
17491-6590;;1;;;;2;;9;;1;;19;14;;11;;1;;1;;1;1;;;;;;;;;;;;;;;;;;2;;;;;1;5;1;1;;;;;1;1;;;;;;;;;1;6;3;1;;1;2;;2;3;;;;;;;;;;;;1;1;1;2;1;;7;1;2;1;1;;1;5;;3;;2;1;1;;3;;4;;1;;4;;;1;1;1;2;1;1;;;1;;;;5;1;;1;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
27889-5061;;3;2;2;;1;2;17;1;1;;14;17;;4;1;1;;;;;3;;;;1;1;;;;1;1;;;1;;;1;;;2;;;2;3;5;1;3;;;;;2;;2;;1;1;;;;;1;1;;;;;5;1;;3;;1;;;;;;;2;;1;1;1;1;2;;;4;;;;;;2;8;1;6;;6;6;5;;5;3;;;2;;11;2;;;;;8;6;6;5;4;2;1;;;;;;;;;;1;1;2;1;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30586-4434;;2;;2;;1;;7;;;;1;1;;7;;3;3;;;1;;;;;;;;1;;;;;;1;;;;;1;1;;;;;1;;;;;;;;;3;;1;;;;;;;;;;;;;;;3;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;4;;1;;1;1;1;2;2;1;2;2;1;;1;;;2;;1;1;1;1;1;;;1;1;1;1;1;1;;;;;;;;
28164-6590;;3;1;3;;3;2;26;1;1;1;12;11;1;14;;8;11;1;;1;;;;;1;1;;1;;1;;;1;1;;;2;;;1;1;1;1;;3;;2;1;;;;;;4;1;1;;3;2;2;1;;5;1;;1;;;;;2;;;;;3;3;;;;1;1;1;1;1;1;;;3;;1;;;;1;4;1;2;1;1;1;1;3;;;1;;1;1;5;1;;1;;;1;1;1;1;1;1;;;;1;;1;;;1;;4;2;3;1;1;;1;1;;1;1;1;1;1;1;1;1;1;;5;;4;4;2;3;2;1;1;4;3;4;3;2;2;1;;;1;;;;
30703-5384;2;13;;;10;2;;53;2;4;;18;21;;32;3;7;6;2;3;7;5;2;1;3;4;1;;1;1;8;;;2;;2;3;;1;;5;;;3;;13;1;3;1;1;1;;;;8;;4;2;2;;;1;2;10;6;2;;1;1;;;11;1;3;2;;;1;2;2;3;1;1;1;3;1;3;2;;2;;;;;;1;7;;3;;;;;;1;;;3;2;;4;2;2;1;;;;;;;;1;;2;1;3;;;;;2;;3;;8;1;3;1;1;1;1;1;;;3;1;1;;2;;;2;1;1;;;2;;;;3;1;1;1;1;1;;;2;;;2;2;
21513-6030;1;8;;;2;3;;20;2;1;;14;18;;17;1;;;;1;2;;1;;;1;2;1;;1;3;1;1;2;;;1;;1;2;1;1;;1;1;8;;5;;;1;1;;;4;1;1;1;;;;;;5;3;2;1;;3;1;;4;;2;;;;;2;;;;1;1;1;1;1;1;1;5;1;2;1;1;1;1;4;;3;2;;;;2;1;;;;;;8;;;4;2;1;;;;;;2;1;;;1;;;;;;;5;2;6;4;3;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
31155-4433;;5;;2;;1;;9;;;;8;6;;14;;2;3;;;;;;;;;;;1;;2;;2;4;;;;1;;1;;;;;;;;;;;;;;;1;;1;;;;;;;2;;;;1;2;;1;5;;;;1;1;1;;;;;;;;;1;;;1;;1;1;;;;;;;;;;;1;1;;2;;;;1;;;;;;;;;;;;;;;2;;;;;;;1;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
22787-4435;;1;;;;;;8;;;1;;1;;11;;3;5;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;4;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;1;;2;;2;1;1;;;;;2;;1;;1;;1;;;1;;;;
22423-4434;;1;;2;3;3;2;9;;;;14;10;7;1;;1;2;;;1;1;;;;;;;;;1;;;;;;2;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;4;1;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;1;6;;3;1;2;1;1;;1;;;;;;6;;;2;;;4;2;1;1;1;;;;1;1;1;7;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27586-4435;2;14;;9;6;10;3;35;;1;;29;15;1;29;;12;8;;2;;;1;;;2;2;2;;2;7;;2;4;2;2;1;6;1;2;1;4;2;1;;2;;2;;;2;;;;4;;1;;1;;;;;6;1;1;;;3;;;10;;1;;1;2;2;;;;;;1;;;1;;;21;;18;14;10;10;1;4;;2;1;;;;;2;1;2;;1;;11;1;;8;6;3;2;1;;;;1;;;;1;1;;1;;1;1;2;2;5;;2;;1;1;1;1;;;3;;;1;5;1;2;1;;1;1;;3;2;;;4;2;4;2;3;2;2;1;;;;;;
