aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>2>;2>3>;2>3>2>;2>14>;2>14>2>;2>31>;2>41>;2>41>41>;2>46>;2>46>1>;2 14>;2 14>31>;2 14>41>;2 14 31>;2 14 41>;2 31>;2 41>;3>2>;3>2>14>;5 14>;6>6>;6>6>6>;6>6>6>6>;6 7>;6 14>;7>5>;7 14>;7 41>;14>2>;14>2>3>;14>2>14>;14>3>;14>14>;14>30>;14>31>;14>31>30>;14>31>30>14>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>48>;14 30>;14 30 41>;14 31>;14 31 41>;14 41>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;16>31>;16>31>14>;16 30>;16 30>31>;16 31>;30>14>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 31>30>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>41>;31>31>;31>41>;31 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41>44>44>;41>44>44>44>;41>44>44>44>44>;41 43>;41 43>44>;41 43>44>44>;41 43>44>44>44>;41 43>44>44>44>44>;41 44>;41 48>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;46>1>;48>14>;48>48>;48>49>;
23182-4433;;;;;;;;4;;;1;3;;1;2;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;1;;1;;;;1;1;2;;;1;;;;;;;;2;;;;;;1;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;1;1;1;1;;1;;1;1;;1;1;1;1;1;1;;1;1;;
23182-6895;1;1;;;2;;;1;;;;;;;;;;1;;;1;;;;;;;;;;;1;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26940-4435;;1;;;;5;3;11;;;3;7;1;15;3;4;1;;;3;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;2;1;;;;;;;1;;;3;;2;1;;;;;;1;;5;2;2;1;1;1;;;;;;;;1;1;;;;;;;;1;2;;1;1;;;;;1;2;;1;;1;1;4;1;1;2;1;;;;;1;1;1;1;2;1;1;1;1;2;;1;1;1;1;1;1;;;;1;;;1;;1;;1;1;;;;;
21894-4114;1;11;;;;1;;23;3;;4;8;;23;15;19;;2;;;;1;;;1;;1;;;1;1;3;;;;2;;3;;;;;;;;;;1;;3;;;;;;2;1;;4;;;;3;;;;;2;1;4;;;1;1;4;;3;1;;;;;3;3;3;;;1;;;;1;3;;2;2;2;;;;1;3;1;1;1;1;1;3;;;;;;1;3;3;1;;;;6;1;;;;2;;6;3;3;;;7;3;2;1;7;7;3;4;4;1;1;1;;1;;;;
24082-4114;;2;1;;;2;;6;;;;1;;4;;;;;;1;;1;1;1;1;1;;;;;;1;;;;;;;1;1;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21283-6895;1;13;5;;3;1;;14;;;3;2;;1;;;;1;2;;1;1;2;1;5;4;;;;;;8;;;;1;;1;2;2;;;;;1;2;;1;;4;2;2;;1;1;;;;;;;;;;2;;;1;;1;;;;;;;;;;;;;2;;;1;;;1;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
22483-6030;;3;;1;;1;;1;;;1;1;;5;1;1;;;1;;;;;;;;1;1;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
16014-6590;;1;;;;;;;;;3;3;;2;1;1;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;1;1;2;1;;;2;;1;;;;1;;;;;;;1;1;;;;;;;;1;1;;;;;;;;;;;;1;1;;;;;;;;1;;;;;;;;;;;;;
26616-7114;;4;3;;3;1;;14;;;2;6;2;15;6;12;1;;;;;1;2;2;2;1;;1;1;;;2;;1;;1;;1;2;1;;2;2;1;1;;;;;2;1;1;;;;1;;;3;;1;;2;2;;;;1;;3;;;1;1;2;;;;;;;;;;;;;;;;;;2;;;;;;;;1;2;1;;1;1;1;3;1;1;1;;;1;2;;;;;;1;;;;;1;;3;1;;;;3;;1;;3;2;;2;1;2;1;1;;;;;;
18432-5799;2;10;3;4;;2;1;19;1;1;5;6;;9;1;;;2;2;4;1;1;;;3;;2;1;;1;1;5;2;;;1;;1;1;1;2;;;;;;2;;;6;;2;2;1;;5;4;2;1;;;;;;1;1;;;;5;;;;;;;1;;;;1;2;1;1;1;1;1;;;;;1;4;2;1;1;1;1;;1;1;;1;;;2;1;1;1;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;
21380-4114;;5;;;;;;13;;;;1;;9;3;1;;;;;;1;;;2;;;;;;;3;;;;;;1;;;;;;;;;;;;2;;1;;;;;;;3;;1;;2;;;;;1;;5;1;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22607-5384;;2;;3;8;2;;2;;;1;1;;5;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14770-5489;;3;;4;1;3;;7;;;4;3;;6;;;;;1;1;;;;;1;;;;;;;2;;;;1;;1;;;1;;;;1;;2;;1;;;;;1;;1;1;;;;;;;;;2;1;;;3;;;;;;1;;;;;;;1;;;1;1;1;1;;1;;1;;;;;;1;1;;;;;;1;1;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22977-4434;1;5;4;;1;3;;26;2;;6;11;;28;6;10;;1;1;;1;;;;;;;1;1;;;2;;;1;1;1;2;2;;;;;;1;1;;2;;;;;1;2;1;2;1;;4;1;1;1;1;;1;2;;4;2;14;3;;;1;2;;1;1;;;1;;1;1;1;1;1;;;;;4;3;;1;1;1;1;;2;1;4;1;2;;2;1;8;1;;3;2;1;;1;;1;1;1;;3;1;1;1;;2;;1;1;1;;;;;;1;2;;;1;;;;;;;;;;
22135-4114;;1;;;;1;;16;1;;2;4;;15;4;6;;;;;;;;;1;1;;;;;;;;;;;;1;;;;;;;;;;1;;1;;;;;1;2;1;;2;;2;1;;;;1;1;2;1;6;;;1;1;1;;1;1;1;1;;;1;;;1;;1;1;1;1;1;2;;;;;;1;;;1;;1;1;2;;3;;;2;2;1;;;;2;2;;;4;2;2;;;;;2;2;;;;3;1;;1;4;3;1;2;2;1;1;;;;;;;
23182-6030;;1;;;3;2;;3;;;1;1;;;;;;;3;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
18444-5384;;5;1;;;;;7;1;1;1;3;;1;;;;;3;2;;;1;1;1;1;1;;;;;4;1;;1;1;2;1;1;;;;;;;;;;;1;1;1;1;;;1;;;;;;;;;;;;1;;1;;;;;;1;;;;;1;1;;;;;;;;;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;
21321-4434;1;14;2;;19;2;;22;1;;4;5;;14;1;1;;1;;;1;1;2;2;2;1;;2;1;;;6;;1;;;;3;2;1;;9;7;4;1;3;;2;2;3;;;1;;;1;1;;4;1;;;;;;2;1;;;6;;;;;;;1;1;1;1;;;2;1;1;1;;;;;1;3;2;;2;1;1;;;1;;1;1;1;;2;;1;;;;;;1;1;1;1;1;1;;1;1;1;1;;;;1;1;1;;;1;1;;1;1;1;1;1;1;;;;;;;;;
