aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;47>;48>;49>;1>2>;1>46>;1 2>;2>1>;2>2>;2>3>;2>14>;2>41>;2>46>;2>46>1>;2 14>;2 14 41>;2 41>;3>2>;5>5>;5 14>;6>6>;6 14>;7>5>;7>5>5>;7>14>;7 14>;7 41>;8>7>;14>2>;14>3>;14>3>2>;14>7>;14>7>5>;14>8>;14>8>7>;14>14>;14>30>;14>31>;14>31>30>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14 30>;14 30 41>;14 31>;14 32>;14 41>;14 41>14>;14 41>31>;14 41>41>;14 41>41>41>;14 41>41>41>41>;14 41 43>;14 41 44>;14 41 48>;14 43>;14 44>;14 44>43>;14 48>;14 49>;16>31>;16 31>;30>14>;30>30>;30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 41>;31>7>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;32>14>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>31>;41>41>31>14>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>41>43>44>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>43>44>44>44>44>;41>44>;41 43>;41 43>44>;41 44>;41 48>;43>14>;43>41>;43>43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>43>;44>43>44>;44>44>;44>44>14>;44>44>14>43>;44>44>44>;44>44>44>14>;44>44>44>14>43>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>14>;45>43>;46>1>;46>1>2>;47>48>;48>14>;48>29>;48>48>;49>48>;49>49>;
21894-4114;2;9;5;;11;3;;19;;;;;3;;12;;2;1;1;2;;1;;1;1;1;;;1;;2;2;1;5;1;1;2;;;2;4;;;;;;;1;2;2;2;;;;;;1;;;;4;;2;1;;;;1;;;;;;;;;4;;;2;2;1;;;;1;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;1;2;2;2;1;;6;1;1;5;1;4;3;3;1;1;1;;;;;;;;;;;;;;;;;1;1;1;1;1;1;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;
27587-4917;;;;;;1;;2;;;;;1;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22607-5384;;;;;1;2;;3;1;;;5;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;1;;;;1;1;;;;2;1;1;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14770-5489;1;3;1;;;;;4;;;;1;1;1;6;;4;7;;1;;1;;1;1;1;1;1;1;1;1;1;1;1;;;1;;;;;;;;;;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;1;;;2;1;;;;;;;;;;;;;;;;;;;2;;4;;;;;;;;;;;;;;;1;;;;;;;;;;;1;1;;;;;;;
22977-4434;3;7;;;2;2;;26;2;;;3;6;2;27;;5;3;;3;1;2;;1;;1;;;;1;;2;2;2;1;2;;;;;1;;;;;;;1;;;1;;;;1;;1;;;;9;1;5;3;;;;;;;;;2;1;2;1;17;1;1;4;3;2;2;1;;2;1;;;;1;2;1;;;;;;;1;1;1;;1;1;;;;1;1;;;;;;;1;;2;3;1;;10;1;;4;;2;;;;;;2;;;2;;;;;2;3;2;1;;1;;;2;;;;;1;;;;;;;;;;;;;;;;2;1;1;2;;2;;;
21321-4434;2;7;;3;3;3;;27;2;;;10;13;;18;;7;11;;2;;9;2;;2;;1;;;1;1;;;3;;1;;1;;3;;2;1;;;;;;;;1;1;;;2;;6;2;;;3;1;1;1;;;;4;2;1;1;;3;;2;;9;;1;1;;;;1;2;;5;2;5;1;1;1;;3;2;2;;;1;;;2;1;4;;2;1;;2;1;;;1;;;;;1;;4;1;1;2;2;1;1;1;;;;;;;;;;2;2;1;1;1;;2;;1;3;;;;3;2;1;1;;2;1;1;2;1;3;1;;1;1;;1;1;;;;;;;3;;1;;;
27455-7297;3;6;1;3;4;4;2;16;2;1;6;15;11;3;10;1;4;6;1;3;;7;1;1;2;2;1;;1;;;2;;2;;;;;;;1;2;;1;;;1;;;;;;2;1;;;4;2;;;;;;;;;;;;;;;5;;;1;2;;;;;;;1;;;2;;1;;2;1;2;3;2;4;;2;1;1;2;1;1;4;;1;1;1;2;1;;3;3;;3;;;1;;1;;;1;;;;;;;;;;;1;1;;1;1;;;;;2;;1;;1;;;1;;;;;;;;1;;1;;;;;;;;;;1;1;1;;;5;1;;;
27002-5489;;;;;8;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22957-6590;;3;;;;;;3;;;;;;;3;;;;;;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21955-4603;;3;;2;3;5;1;29;;;;5;4;2;23;;7;8;;;;2;;;;;;;;2;;;;1;;;;;;;2;2;;1;1;1;;1;;;2;1;1;;3;1;1;1;1;1;6;;4;3;1;1;1;4;4;2;1;;1;;;;10;1;;2;1;1;1;;;2;1;;1;;;;2;;;;;;;2;;2;1;3;2;;;;;;;;;1;1;1;2;;3;3;2;1;9;2;1;6;2;2;1;1;1;1;1;1;1;1;2;2;2;2;1;;1;;;;;;;6;4;4;3;2;4;1;2;;;5;2;2;5;2;2;3;1;2;1;;;;;1;;;;;
23668-5490;;;;;;;;13;;;;1;2;1;14;;8;7;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;2;;2;;;;1;3;2;2;;;1;;;;5;1;;1;1;;1;;;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;2;;;;4;;;2;;1;1;1;1;1;;1;;;1;;;;;;4;;;;1;;;2;2;1;;;1;;1;1;1;2;;;1;;;;;;;;;;;;;;;;
27455-5061;;;;;;;;5;;1;3;7;4;3;4;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;1;;1;1;;;2;;;;;;;;;;;;;;;;1;1;;3;1;;;2;;;;2;;1;;1;;;;;;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
22279-4114;2;4;;;;;;7;1;;;;2;;8;;;;;2;;;;2;;;2;1;;3;;1;1;1;;1;;;;;;;;;;;;1;;;;;;;3;;;;;;2;;1;;;;;;;;;;;;1;;3;1;;1;1;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;3;;;2;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;
15016-4433;;;;2;;1;;4;;;;;2;1;3;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17228-6401;1;3;;;;;;8;;;;1;2;;9;;1;;;1;;;;;1;;1;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;1;1;;;2;;1;;;;1;;;;;;;;1;;5;;;2;1;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;;1;1;;;1;;;;;;;;;;4;;;3;;1;1;1;1;1;1;1;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27553-4434;;1;;;;;;1;;;;;;;1;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;1;1;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;1;;1;1;1;1;1;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
