aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>2>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>31>;2 14 41>;2 31>;2 41>;5 14>;6>6>;6 14>;7>5>;7 14>;14>2>;14>7>;14>7>5>;14>14>;14>30>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41 43>;14 43>;14 44>;14 48>;14 49>;16>31>;16 31>;17>30>;17 30>;17 30>30>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>41>;30 31>;30 31>30>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41 43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;46>1>;48>14>;48>31>;49>49>;
30687-4433;1;4;;2;14;3;;50;3;3;;18;22;;36;7;7;1;2;1;3;1;1;;2;;1;;;2;;;;1;1;4;3;1;1;;2;1;1;;11;1;4;2;1;;;11;4;2;;1;;1;10;4;1;1;3;;;19;1;5;;;2;;2;1;2;1;2;1;3;3;2;2;;1;;;1;6;2;;;;;2;;;2;;5;3;3;1;1;;;;;;;1;;1;1;3;;;;1;;1;;8;;4;;1;;;;2;1;4;2;2;2;3;2;1;1;2;;;4;1;2;1;2;1;;;;1;
17491-6590;1;3;2;;4;1;;19;;;;8;9;;23;;;;1;1;;;;1;;;1;1;1;;;;;;;;1;;;2;;;1;;3;;2;;;;;;;;;;;;4;1;;;1;;;10;1;;;;;;;;;;;;1;1;1;2;;;;;;1;;;;;;2;1;1;;;4;;;1;;;;;;;;1;1;;;;;;;2;;2;1;3;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;1;1;;;
27889-5061;;3;;;;;;19;2;;1;8;15;3;3;;;;;5;3;;;;;1;;;;1;1;;;;;;;;;2;;;1;1;6;;4;;;2;;1;1;1;1;;;1;1;;;1;3;;1;2;;;;;;2;;2;2;;;;2;1;1;;;;;;;4;;;;;;1;;;2;1;6;2;1;;;;3;;;;;2;;;1;1;;2;1;;;;;1;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;1;1;;
30586-4434;2;8;;;14;2;;33;1;;;2;9;;18;;;;2;7;2;;1;2;4;1;1;1;1;5;;;;;;5;2;;;5;;;3;;3;;1;;;;;5;3;1;1;;;1;;;;;1;;1;10;;3;;;;3;1;1;1;;;;2;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;3;;1;;;;2;;2;;6;1;3;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;2;3;;1;
28164-6590;2;9;;1;;;;47;6;5;2;45;45;;10;11;19;;2;15;;2;1;;1;3;1;1;;5;1;;1;1;1;;;;;;;;2;;18;1;5;;1;;;3;1;;;4;2;;14;5;1;3;12;4;;2;;;;3;8;6;;4;5;4;5;4;3;3;1;14;2;8;5;4;2;8;2;;;;1;6;;1;1;1;13;;;6;3;2;;;;;;7;1;1;5;;;;1;1;;3;2;3;;2;;2;1;;;1;1;1;1;1;1;6;3;3;1;2;1;3;4;2;4;2;2;1;;1;2;;
30703-5384;2;21;;4;20;5;;77;2;5;;55;57;5;35;5;7;1;2;3;6;;;2;1;4;3;2;2;11;2;1;1;3;2;5;3;1;2;5;3;;3;;21;1;13;;5;1;3;5;2;1;;1;;;21;4;3;3;22;5;4;17;3;1;;;3;3;3;;1;3;4;2;5;2;1;11;1;5;2;2;1;8;5;;;;1;7;1;;3;2;24;2;1;6;3;1;3;1;;;;8;4;3;;9;2;4;1;1;2;4;1;8;;5;;3;3;2;1;1;1;1;1;;;2;;;;1;;;1;1;1;1;1;1;2;;2;2;
21513-6030;1;13;2;4;6;7;;35;;;2;14;19;;28;2;2;;1;14;2;1;1;3;3;3;3;;;2;;1;1;3;1;1;1;3;1;7;4;1;4;1;7;;2;1;1;;1;7;3;2;1;;;1;1;;;;1;;;10;;3;;;;8;;;;;;;4;2;1;8;3;5;4;3;;1;1;;;;;3;2;;2;;12;1;;8;4;4;1;1;;;;1;;;1;;;;3;2;;5;2;11;3;4;2;3;1;;;1;1;2;2;1;;2;1;;;2;2;;1;1;;;;;;2;;2;
31155-4433;;7;;2;;2;;24;;;3;5;15;;39;7;8;;;5;1;;;1;;;1;;;3;;1;;4;1;;;1;1;;1;1;;1;3;;1;1;;;;4;2;1;;;;;;;;;2;;2;11;2;1;;;3;2;;;;;;;2;;;2;;1;;;;;;;;;1;;;;;;3;1;;1;1;;;;;;;1;;1;3;9;1;;2;;1;6;2;6;;5;;1;1;;;1;;1;;;4;1;1;1;1;1;1;;1;;1;;1;;;;;;
22787-4435;;1;;;16;3;;32;;1;;17;19;1;14;7;7;1;;2;;;;;;1;;;;1;1;;;;;3;3;;1;;1;;;;15;;10;6;;;;2;;;;2;;;6;3;2;;;;;5;2;1;;3;2;1;;;;1;1;1;7;6;6;1;;;;;;3;2;;;;1;;;;;;11;7;5;;;;;;;;;;;;1;1;;1;;;;2;1;3;;1;;1;1;1;1;;;;;;2;1;1;;;1;;;1;;;;;;;;1;;
22423-4434;2;13;8;11;8;8;4;38;;;;18;16;8;10;3;4;;2;1;1;;;1;1;1;;1;1;7;1;;;;3;1;3;5;;3;4;2;3;;2;;1;;;;;2;1;;;;;;4;1;;;1;;;4;;1;;1;;;;;;;;;1;;;4;;;;;1;9;5;2;1;1;;2;1;;;;11;1;;3;;;6;3;1;1;1;;;;1;1;1;8;;;1;1;1;5;1;2;;1;1;1;1;1;1;1;1;1;;2;1;;;;;;1;;;;;;2;;;;
27586-4435;1;25;;9;9;5;2;48;;;;20;21;3;29;7;10;1;1;3;;1;1;2;8;;5;;;17;;2;1;3;3;3;1;3;;7;2;1;1;1;6;;4;;;4;1;6;2;2;1;2;1;;8;3;2;1;4;1;;6;;1;;1;4;3;;;;;;;1;;;4;1;1;;;1;11;7;7;6;5;;5;3;;;;11;1;;1;;;8;7;7;5;4;4;1;;;2;;2;1;;;2;2;5;2;4;2;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;;;;;
