aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;2 46>;3>2>;3>14>;3 14>;5>5>;5 14>;6>6>;6>6>6>;6>6>6>6>;6 14>;7>5>;7>5>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>14>;14>30>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 43>;14 44>;14 48>;16>31>;16 31>;16 31>31>;17>30>;17 30>;17 30>30>;30>2>;30>14>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>32>;30>32>31>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31 41>;31 41>30>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 43>44>;43>44>;43>44>44>;43>44>44>44>;44>14>;44>14>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;49>49>;
31469-6895;5;19;2;;;;;42;2;2;7;9;;24;14;27;3;5;;;2;2;1;3;2;1;;4;;2;1;1;12;1;;1;;;2;1;;;1;;;;;;;;;;;4;2;;;;1;;4;3;;;;;7;3;2;1;6;6;;;;;2;;10;1;2;;11;;2;1;1;1;2;1;;;2;;;;;;;1;;;;;;1;;;2;4;;1;;;;;;1;;1;1;1;;;2;;1;1;1;;5;;3;2;1;1;1;1;4;4;1;1;3;1;12;6;2;6;1;2;9;4;5;1;3;3;3;2;1;;;
31311-6030;;7;3;1;6;5;;25;;2;7;9;3;9;3;3;1;;;1;;;;;;1;1;;;;;;6;1;;1;1;;1;;;;1;;1;;;;3;;;2;;2;;2;2;;1;;1;;;;3;3;2;;;;;;;3;;;3;1;3;;;1;2;;;;;;1;;1;2;;;;;;;;;;;;1;1;;;;;3;1;;;;;;;1;;;2;;3;2;;1;;;;;1;;1;;;;;;1;1;;;1;;1;;;;;;;;;;;;;;;;1;
31570-5490;6;15;11;6;9;7;1;46;1;;8;5;;32;10;12;2;6;8;4;5;2;1;3;2;2;4;1;;2;4;4;7;1;;2;;;3;1;;;6;;2;3;1;1;1;4;;2;1;5;;2;;;2;2;2;1;;;;;3;1;;;4;3;2;1;;;3;1;18;1;1;2;4;1;1;1;1;;;;;3;2;;1;1;1;1;;;;;;;;;;1;;3;2;;;;;;;1;1;;1;;;;2;;2;;1;;5;;;;;;;;1;1;1;1;4;1;5;3;;3;;1;4;1;1;1;1;2;6;5;1;1;;
31694-5384;1;7;2;;;1;;23;3;4;23;21;1;13;5;6;;1;1;;;;;1;;1;;1;3;2;;;2;;;2;1;;3;1;;1;1;;;;;;;;;;;3;;;;;1;1;9;5;1;1;;;3;1;;;1;;;4;3;2;4;;4;;1;;3;;1;2;1;1;3;1;;3;6;;1;1;1;1;1;9;3;1;;1;1;1;2;;2;11;2;2;1;1;1;4;1;3;2;1;2;1;1;1;1;;1;1;1;1;4;1;1;1;1;1;;1;2;2;1;;2;;2;1;;2;;1;1;1;;;;;1;;;;;
31784-4448;4;11;5;4;1;4;4;37;5;;17;20;9;24;11;18;3;8;7;2;3;1;;;;1;1;2;;1;4;3;3;;;1;;;3;2;1;;1;2;;1;;;;2;1;;;;;1;1;;2;;3;2;1;;4;2;3;2;;;1;1;1;2;;;4;2;13;1;;1;4;1;3;2;;;;;;1;7;;3;3;2;2;;2;1;1;;5;2;;1;;;8;;3;2;2;1;;;1;1;;4;;3;3;;;;;1;1;2;;;;;;;;2;1;1;1;2;1;5;4;3;2;1;;6;1;3;1;1;2;3;3;;1;1;
18607-4917;1;11;;;;;;11;1;1;6;6;;7;2;3;;1;;;;;;;;;;2;1;1;;;3;;;;2;1;;1;;;;;;;;;;;;;;2;1;;;;;;3;1;;;;;;;;;1;;;1;;;1;;2;1;;;;;1;1;1;1;1;1;2;;1;;;;;;;1;;;;;;1;2;1;;1;;;;;;;;3;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
28250-4917;3;13;1;15;1;10;;46;1;2;44;37;1;40;9;9;2;3;2;2;1;1;1;1;;3;1;2;1;2;2;2;5;1;;1;;;1;1;;1;;;5;;;;;5;;;3;2;1;;2;1;1;2;16;13;11;8;;;5;3;2;1;4;1;;10;6;5;3;;11;3;1;;3;;1;;;2;1;1;1;4;26;1;20;15;12;10;;11;8;7;1;;;4;4;2;1;27;1;20;17;13;10;2;1;5;4;1;3;2;;;3;2;;2;6;5;10;1;5;3;3;2;1;1;2;1;1;;1;;3;3;1;2;;1;5;1;3;1;2;1;3;1;1;;;
29016-5061;3;7;2;6;;3;2;36;1;;15;14;;37;10;7;2;3;1;4;2;1;;1;1;1;1;4;;;2;2;1;1;;;;;1;;1;;1;;1;;;;;2;;1;1;4;3;1;1;1;1;;4;3;1;1;;;8;3;1;1;2;2;2;4;;;2;;19;1;3;;3;;1;1;1;;;;1;2;2;;1;1;1;;1;6;3;1;2;;;1;6;2;;6;2;1;1;1;1;3;2;2;;;1;1;;;3;;1;1;2;2;8;;2;1;1;1;;1;2;1;1;3;5;3;5;2;1;3;;1;2;;1;;;1;2;2;;;3;
31400-4448;2;5;;;5;3;1;38;2;1;10;16;3;34;9;9;;2;5;2;;1;1;1;1;1;;;;;;;3;1;;1;;;1;1;;;;;;4;3;2;1;;;1;1;2;;;;;;;5;3;;;;;2;;;;4;3;1;2;;;4;2;16;1;;2;3;2;1;1;1;1;1;1;;1;2;;1;;;;;2;1;1;;2;1;1;2;;;6;;2;1;;;2;1;4;3;;3;;1;1;1;;;;1;;5;;3;2;2;2;1;;2;1;;;2;;4;2;1;4;1;1;3;2;2;1;;;;;1;2;1;
31384-5061;2;6;;;7;1;;9;;;;;;6;1;1;;2;1;;;1;;;;2;;;;;2;1;5;2;;1;;;1;;;;;;;2;1;1;1;;;;;2;;;1;;;;;;;;;;1;1;1;;1;;;;;;;;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;1;1;;;;1;1;1;1;;;;1;1;;1;;;1;1;;;;;1;;;;;
