aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;2 46>;3>2>;3>14>;3 14>;5>5>;5 14>;6>6>;6>6>6>;6>6>6>6>;6 14>;7>5>;7>5>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>14>;14>30>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 43>;14 44>;14 48>;16>31>;16 31>;16 31>31>;17>30>;17 30>;17 30>30>;30>2>;30>14>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>32>;30>32>31>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31 41>;31 41>30>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 43>44>;43>44>;43>44>44>;43>44>44>44>;44>14>;44>14>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;49>49>;
31747-5799;;7;1;;;;;14;1;;3;6;;11;1;1;;;2;;;;;;;;1;2;1;1;;;3;;;;1;;;;;1;;;;;;;;;;;;2;1;;;;1;;2;1;1;1;;;4;3;2;1;;;;1;;;2;1;7;;1;;;;1;1;1;;;;;1;2;1;2;1;;;;;;;;;;;;;1;2;;2;2;1;;;;1;;;1;;;;2;;;;1;1;4;;3;2;2;1;1;1;1;1;1;;;;1;1;1;;;;1;;1;;1;;;;;1;;
31805-6895;;2;1;2;;1;2;16;;1;11;8;4;15;;;;;4;1;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;1;1;;;1;;1;1;1;1;1;4;1;;;2;2;1;;;;;;1;3;1;1;2;1;8;1;;;;1;;;;1;1;1;;;7;;7;4;2;2;2;3;3;2;;4;3;;;;3;5;;5;5;2;;1;1;1;;;2;2;4;3;;;;2;1;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;
31806-5490;1;4;1;2;;1;;17;;;15;11;7;12;;;;1;1;;1;;;1;;;;2;;;;;2;;1;1;1;1;1;1;;;1;2;;;;;;1;1;;;1;1;;;;1;;1;1;;;5;5;1;1;;;;;;6;;;1;1;7;1;1;;;;;;;;;;;2;5;2;3;3;2;2;3;4;3;3;1;3;3;;1;1;1;6;1;4;3;3;2;1;1;1;;;1;;7;4;;1;;;2;1;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;
21361-4917;3;32;;11;5;9;;47;2;;13;32;;62;10;16;;3;6;;2;1;1;1;1;6;;7;3;4;2;2;14;1;1;2;1;4;9;;;;;1;3;4;4;4;1;5;1;1;3;6;;;;;3;;1;1;1;1;;;4;3;1;1;;;;2;;;5;;13;;1;4;5;3;;2;;;;;2;;3;;3;2;2;2;;;;;;;;1;3;1;2;6;;3;3;2;2;;;3;;3;7;;;;2;1;1;;7;1;23;3;12;8;4;3;3;1;2;1;1;1;3;;1;1;1;2;;;3;1;1;1;;;2;2;1;;;
30639-5489;1;11;7;;;;;22;;1;11;10;1;19;3;5;;1;1;5;;;;;;1;;2;;;1;1;6;1;;1;;;3;;;3;3;;;;;;;;;;;1;;2;;;2;;3;2;;;;;2;2;1;1;;;2;3;1;1;;;6;;;;;;;;;1;1;1;;1;3;1;3;2;2;1;2;5;3;1;2;;;1;;2;1;8;;3;3;2;2;4;2;5;5;;1;1;1;;;;1;1;1;;3;;1;1;1;1;1;1;1;;;;;;;;;;;;1;;;;;;1;;;;1;
31292-5384;2;25;22;6;;5;;60;;;12;13;7;32;10;15;3;2;4;2;;2;2;1;1;2;7;10;;2;;;14;1;;2;1;;3;;7;5;6;1;2;;;;;3;1;;2;5;3;14;3;3;4;;3;2;;;4;4;13;7;5;3;3;2;;4;;;1;;18;;3;;5;;;;;;;;1;4;1;;;;;;1;5;3;;2;1;1;;1;;4;7;4;;;;;5;3;1;;;1;;7;5;2;;5;;2;1;8;1;6;4;2;2;1;2;7;6;4;;;;7;5;3;6;3;;7;3;6;;5;3;;;2;;;
24192-6401;2;11;;;;;;29;1;;4;6;1;12;5;5;;2;4;2;;2;2;;;3;;2;;;1;;7;2;1;2;;1;2;;;;;;;;;;;;;;;3;;;;;;;3;3;;;;;4;2;;;3;;1;1;1;1;3;2;7;;1;;2;4;1;;;;;;;1;;;;;;;;2;2;;1;;;;;;2;3;1;;;;;1;;;;1;2;;;;1;;1;;;;2;;1;;;;;;1;;;;2;;;;;2;;;2;2;2;2;1;;;;2;;1;
31317-4114;2;15;2;;18;4;;30;1;;4;7;;22;6;10;;2;1;;;;;1;;1;1;3;;;1;1;6;1;;;;;4;1;;2;;;;7;4;3;2;;;2;;3;1;2;1;;1;;1;;;;;;3;2;1;1;2;1;;;;;2;;5;;;;4;1;1;;;;;;;1;1;;1;1;;;1;2;1;;;;;;;;;2;1;1;1;1;;;;;;;2;;;;3;;1;;1;1;6;1;3;2;1;1;1;;1;1;;1;3;1;2;;;1;;;2;1;;;;;2;;;;;
30812-5490;6;33;;4;2;6;;67;1;;13;29;;28;1;;;6;7;3;1;1;1;4;1;;;3;1;1;1;1;21;;5;5;1;5;5;3;;;;2;1;1;1;1;1;2;2;2;1;2;1;;2;1;1;1;6;3;1;1;;;8;5;2;2;;;1;4;;;16;3;15;1;1;;;4;1;1;1;;;;1;2;4;;4;1;1;;1;1;1;1;;;;1;3;2;2;6;1;3;3;;;;;5;2;;3;;;;3;;4;;6;3;8;3;3;3;2;2;2;;1;;;;;;;;;;;;;;;;;;4;1;2;1;3;
27350-6401;3;17;6;2;22;6;3;44;3;1;12;17;9;42;8;10;2;4;5;1;1;1;;;;2;2;3;;1;2;1;9;1;;3;;;3;2;2;1;1;1;1;8;3;3;4;1;1;1;1;3;2;1;2;;2;;1;;;;5;4;8;2;2;;1;;1;3;;;3;1;19;;2;1;4;;2;2;1;1;1;1;;;4;;2;2;1;1;1;4;2;1;1;1;1;;2;2;2;5;;3;2;1;1;2;1;2;;1;3;;7;4;2;2;;;;;8;;4;1;;;;1;3;2;1;;1;;3;2;1;1;;1;2;;1;;;1;1;1;;1;;
31451-4448;6;30;3;5;29;13;;89;10;7;59;67;5;73;16;14;5;6;5;;2;3;3;4;3;4;1;4;3;3;2;2;10;;2;3;2;3;8;1;1;1;1;1;1;7;2;1;2;1;;2;2;4;;1;4;;6;4;16;11;4;;;;12;3;1;;1;1;;18;6;5;17;4;30;1;5;1;3;1;4;5;1;5;6;4;2;5;17;2;2;1;1;1;5;18;8;4;1;2;2;2;8;1;5;31;2;10;2;1;1;4;2;7;4;;10;3;5;3;7;2;2;3;5;;18;2;8;5;3;2;2;1;5;2;2;;4;;7;5;3;4;2;1;8;3;6;3;3;3;3;2;3;1;;
17491-6590;1;12;8;;;1;;30;1;1;23;16;;14;2;;1;1;8;;;1;;1;1;;;;3;;;;8;;;;;;2;;1;;4;;;;;;;;;;1;1;;6;;;1;1;10;6;3;3;;;2;1;;;;;;3;2;1;1;;6;;1;2;;3;1;;;1;;;;3;13;3;11;9;7;7;;5;1;1;;;;1;;;1;12;;7;6;5;4;2;;2;1;2;1;1;;;1;;1;1;2;2;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27889-5061;1;2;1;;1;1;;11;1;1;6;6;1;8;1;3;2;1;;;1;;;;;;;1;;;1;1;2;;;1;;;1;;;1;;;;;;;1;;;1;1;;;;;;;;1;1;;;;;1;;;;;;;2;;;;;5;;;;1;;1;1;1;;1;;;1;2;;;;;;1;2;1;;1;1;1;1;;;;4;1;2;;;;1;1;1;;;2;1;1;1;;;;1;1;1;;;;;;;;;;;;;;;1;;;1;;;;;;;;1;1;1;;;;
31462-4448;;11;;9;14;8;3;25;;;5;5;2;3;2;3;2;;2;;;;;;;1;;;1;;;;8;1;;;;;;;;;;2;4;;;;4;5;1;2;;2;;;3;1;2;;3;1;1;;;;1;1;;;2;2;;2;;;;;2;;1;;1;1;;;;;;;;;1;;;;;;1;3;1;;1;;;;;;1;2;;1;;;;1;1;1;1;;;;2;;;;;;;;2;;1;;;;;;;;;;;;2;1;;2;;;1;1;;;;1;;;;1;;
28164-6590;3;21;1;2;5;3;1;46;2;2;9;16;1;42;10;15;1;3;;1;1;1;;1;1;1;1;1;1;1;1;1;15;1;;4;;1;6;;;1;;1;;3;3;;1;;;1;1;2;;;;;1;1;3;1;1;;;;7;3;1;;2;;1;3;;;3;2;13;2;1;3;5;;2;2;2;2;1;1;;3;2;;;;;;;2;1;;;;;;1;;1;4;2;1;;;;;;4;2;1;6;;1;1;;;2;;4;;11;1;3;2;2;2;2;2;3;1;1;1;3;1;3;3;1;2;1;2;4;1;2;1;1;1;1;1;1;;;
30703-5384;1;14;4;5;;4;;73;4;3;45;43;7;57;17;22;1;2;3;7;;1;1;1;1;;1;3;1;3;;;6;;1;1;3;1;1;;;2;1;1;1;;;;;3;1;;;1;1;1;1;1;6;1;12;7;3;3;2;1;10;5;4;2;3;1;3;5;1;1;8;3;18;2;;2;6;;3;2;1;2;1;;2;1;15;;10;9;3;2;2;9;5;1;;5;3;2;2;5;2;23;;9;6;5;1;5;2;6;5;1;11;;4;2;3;2;;;10;5;10;1;5;3;3;1;1;;1;1;;4;6;4;8;4;1;4;3;1;5;1;1;1;1;1;;;1;;4;
21513-6030;1;6;;;9;5;;18;1;;5;6;;20;7;10;;1;;;1;;;1;;;;1;;;;;3;;2;1;;2;1;1;;;;;;3;2;1;1;;;3;2;1;;;;;;1;1;;;;;;4;2;2;1;1;1;;1;;;2;1;7;;3;2;1;;;1;;;;;;;1;;;;;;;;;;;;;;1;2;;1;;1;;;;;;;;;2;;;;;;;;;;7;;3;2;1;1;1;;;;;;1;;1;;;;;1;1;;;;;;1;1;;;;
31729-4448;1;20;5;3;2;7;1;35;;;8;9;2;30;7;3;;1;3;;1;;;;;3;1;7;1;2;1;1;10;3;;1;1;;5;;2;1;;3;;1;;;1;3;3;2;2;8;3;2;2;1;2;;3;2;1;1;;;12;6;2;1;;;;4;1;;1;;8;1;2;1;;1;;;;;;;1;2;3;;3;1;1;1;;1;;;;1;;3;;;1;5;1;3;3;1;1;;;;;1;1;1;;;2;3;1;1;4;2;13;2;7;2;2;1;1;3;5;2;2;;;;2;2;2;2;;;2;1;2;1;2;;1;1;;;;
31219-5490;;7;4;4;;5;3;36;;;4;12;11;48;8;9;1;;3;;;;;;;;;1;;2;;;6;;;2;;;3;;;;;1;;;;;;3;1;1;1;;;2;;;1;;;;;;6;6;9;3;3;1;1;1;;2;;;2;1;17;;2;2;4;1;;;;;;;;1;1;;;;;;;;;;;1;1;;;;3;2;1;1;;;;;;1;;1;1;;9;2;;1;4;;1;;9;;7;6;4;1;1;;1;;;;3;;2;1;;2;2;;3;2;1;;1;1;;;;;;
31728-4114;5;24;13;2;6;4;;70;;;10;13;1;55;7;10;2;5;20;6;1;1;1;3;1;1;2;3;;1;1;;15;1;;3;;;5;2;2;;6;;1;1;;;1;1;;1;1;2;;5;2;;2;;5;1;;;;;8;4;1;;1;1;4;5;1;;1;;25;1;2;;1;8;;;;;;;;;3;;2;1;;;;2;1;;;;;3;;;2;5;;3;2;1;;1;1;1;;1;2;;1;;;2;1;;5;3;13;2;6;3;1;;;1;2;1;1;2;3;2;4;2;1;1;1;;2;1;1;1;;1;2;1;1;4;4;
