aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>41>;2>41>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14 41>;2 31>;2 41>;2 46>;3>2>;3>14>;3 14>;5 14>;6 14>;7>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>14>;14>14>41>;14>31>;14>31>30>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>49>;14 30>;14 30 41>;14 31>;14 31 41>;14 32>;14 41>;14 41>2>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;16>31>;16 31>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>32>31>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>32>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>14>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41 43>;41 44>;43>44>;43>44>44>;43>44>44>44>;44>14>;44>44>;44>44>14>;44>44>44>;44>44>44>44>;46>1>;46>1>2>;46>2>;48>29>;48>48>;49>49>;
28101-4434;;4;1;;;;7;;;;2;3;;2;;;;;;;;;;;;;;;;1;;;;;3;;1;;1;;;;1;;;;;;;;;;;;1;;;;;;;;;;1;;1;1;;2;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22135-4114;2;6;;;;;11;1;1;;9;7;;8;;3;4;;2;;;;2;1;2;2;1;1;;;;;;;3;;1;1;1;;;;;;;;;;1;;;;;;1;;;;;;;;;;2;1;3;3;;6;1;1;;;1;;1;1;;;;;;1;;;1;;;;;;;1;1;;2;;;;1;;;;1;;;;;4;1;;;;1;;;1;1;;;;;;;;;;;;;;2;;;;;;;;;;;;1;;;;
27482-4435;1;5;4;4;10;5;25;1;3;9;11;12;1;18;;2;1;;1;14;10;;;;;;;;;;1;;1;1;1;;;;;;1;;3;;3;1;2;1;2;;;1;;;;;;;4;2;1;;;7;5;;7;;;8;1;;1;1;;;;;4;1;;;;1;1;1;1;;;;;;1;3;;;;;;;;;;;;;;1;2;1;;;1;;2;1;;;1;;4;;3;;;;;;1;1;;;1;1;;;;;;;;;1;;;5;2;5;
27403-4435;4;14;1;;;;56;;1;1;11;15;6;88;;5;8;;4;7;1;3;2;1;2;1;1;1;;5;3;3;3;2;4;;;;1;1;1;;;;;;;;5;3;1;;4;2;;;1;;17;9;7;4;2;;4;1;3;1;1;26;1;;5;1;1;1;1;1;3;;;4;4;3;1;;4;3;1;1;;;1;1;1;1;7;2;1;;2;1;;;2;;1;;;4;1;1;3;2;2;;1;1;1;;30;;21;13;9;6;5;5;1;1;1;1;2;1;3;3;2;2;6;1;3;2;3;3;1;;1;;
25326-4114;7;10;5;;;;16;1;2;4;4;8;3;13;;1;1;;6;4;;2;4;3;7;4;3;2;3;1;;;2;2;2;1;;1;;2;4;;;;;;;;2;;3;;;;1;;1;1;3;1;;;1;;;;2;1;;7;1;;;;;;;1;;;1;1;1;2;1;;;;;;1;;;;;;;;;;;;;;;;;;2;3;;1;2;;1;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;4;2;3;4;;;
26930-4433;1;8;1;;;;23;1;;;3;9;;13;;1;1;;1;1;;1;;;;;;1;1;2;;;1;1;6;1;;;;;;1;;;;;;;4;1;1;;2;1;4;;;;3;1;;;;;;;2;1;;6;;1;;;;;;1;1;1;1;2;1;2;;;2;2;2;2;;;;1;;2;3;1;1;;2;2;2;;2;1;;;;2;;;;;1;;2;;2;1;2;;;;;;;;;1;;;;;;;;;;;;;1;1;;;;;
27630-6895;;3;1;;;1;11;;;;6;7;;11;;3;4;;1;;;;;;;;;;1;;;;;;3;;1;1;1;1;;;;;;;;;;;1;1;;;1;;;;1;;;;;;1;;3;3;;4;;;;;;;;;;;;1;1;2;;;1;;;;;;;;;1;1;;;;;;;;;;;;;4;;;;;;;;;;;1;;;;;;;;;;;;2;;;;;1;4;1;4;1;;;;;;;
27630-4114;2;5;1;6;2;4;19;1;;;9;11;3;21;;1;;;1;;;;;;;;;1;;;;;;;;;;;;1;;;;1;1;3;1;1;;;;2;1;;1;;1;;2;1;1;1;;;2;1;3;1;;8;;;1;;;;;;;1;;2;;3;3;1;;;;;2;1;1;;2;1;4;;2;2;;;;;2;;;;;6;2;;2;2;;;1;2;1;;2;;1;1;1;;;;;1;;;;;;;;;;;;;;;;;;;
28062-7114;2;13;2;;1;3;25;;;1;8;12;2;19;;7;6;;2;3;1;;1;1;2;1;1;2;1;3;;;;;5;1;1;1;2;;;1;1;;;;1;1;4;1;;;1;;4;4;;;3;1;;;2;;1;;3;;;6;1;;2;1;;;;2;;;;2;1;3;2;1;3;1;1;1;1;;;;;1;6;2;3;2;3;1;1;1;;;;;1;2;;1;;;1;;;;3;3;7;2;3;2;1;1;;;2;4;1;1;1;;3;1;;3;1;1;;;;;2;1;;;
21283-7297;;2;;2;4;2;17;1;;;5;9;2;18;1;5;7;2;;7;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;;;;;2;1;;2;;;;1;;;;1;;1;1;4;2;1;6;;;1;;1;1;1;2;3;1;;;;3;;;1;;;;;;1;1;1;1;3;;2;;;;;;1;1;;1;;3;1;1;;;;;;1;1;;4;;;;;;;;;2;2;;1;1;4;3;2;2;4;1;2;2;;;;;1;;
