aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>41>;2>41>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14 41>;2 31>;2 41>;2 46>;3>2>;3>14>;3 14>;5 14>;6 14>;7>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>14>;14>14>41>;14>31>;14>31>30>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>49>;14 30>;14 30 41>;14 31>;14 31 41>;14 32>;14 41>;14 41>2>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;16>31>;16 31>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>32>31>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>32>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>14>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41 43>;41 44>;43>44>;43>44>44>;43>44>44>44>;44>14>;44>44>;44>44>14>;44>44>44>;44>44>44>44>;46>1>;46>1>2>;46>2>;48>29>;48>48>;49>49>;
23182-4433;2;6;;;;;5;1;;;2;4;;3;;;;;2;;;;1;1;2;1;1;2;;3;;;1;1;3;2;1;;2;1;;;;;;;;;3;3;;;;;2;1;;;;;;;;;;;;;;1;1;;;;;;;;;1;1;1;;;;;;;;;;;;;;1;2;1;;;;;;;1;;;;;1;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;
23182-6895;;2;;;;;8;;1;;4;4;2;4;;;;;1;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;1;;;;;;3;2;;;;;;;;;1;;1;;1;2;;1;;;;;;;;;;1;;1;;;;;;;1;;;;;;2;;1;;;;;1;;;;;;1;1;1;1;;;;;1;1;1;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
21629-5061;4;22;1;;2;3;46;1;;2;8;12;;32;;9;9;;4;4;;1;3;1;2;2;1;2;;7;;;2;1;7;1;;1;4;;;;1;;1;;2;;7;3;;1;6;2;6;2;;;7;3;3;2;3;;5;;;;;13;;;2;;;1;1;4;3;1;1;3;1;2;;;1;1;;;;;1;;;2;4;2;2;;;;;;1;;;;;2;;;;;1;1;2;;3;1;6;3;4;3;1;1;;;1;3;2;;2;1;2;1;1;3;1;1;1;1;1;1;1;1;1;;
27781-4434;2;7;;;;;11;;;;3;3;;16;;;;;2;1;;;1;;2;1;;1;;1;;;;;2;;;;1;1;;;;;;;;;2;;;;1;;;;;;3;2;1;;;;1;;1;;;3;1;;;;;;;;1;;;;;1;1;;1;;;;;;1;;;;2;;1;1;;;;;;;;;;;;;;;2;;1;;1;1;8;1;2;;;;;;;;;;;;;;;;;;;;1;;;;;;
22271-4917;;;;;;;7;;;;;2;;6;3;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;;5;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;;;;;;;;1;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
21894-4114;1;7;1;;18;5;32;;;;2;3;;25;;;;;1;1;;;1;1;1;1;1;;1;2;;;;;4;;1;1;2;;1;;;;5;;;;;;;3;2;1;1;;;;6;5;5;4;;;2;;1;;;13;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;2;1;;1;;10;1;10;6;5;5;5;2;;;;;;;;;;;;;;;;;1;;;;
27587-4917;;;;;;;2;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;;
22977-4434;2;8;1;7;;6;41;3;1;;10;15;;47;;8;9;2;2;;;;2;2;1;1;1;1;;3;;;;;4;;2;;2;;1;;;3;;2;1;2;1;;;2;1;;5;5;;;5;1;;;1;;2;1;4;2;;23;1;2;3;1;1;2;1;3;;2;2;1;1;2;2;1;1;;;;;;;;2;1;7;1;2;2;;;;;1;1;;;;3;;;;;2;1;;;4;3;9;1;2;1;1;1;1;1;2;2;1;2;4;2;4;4;3;3;4;2;3;1;;;2;;;;
23182-6030;;1;;;;;5;;;;1;4;;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;3;;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;
21321-4434;2;14;3;5;4;8;31;1;;;7;11;2;26;;6;5;;2;3;1;;1;1;;;;3;;1;3;3;2;1;7;;3;;4;;2;;;2;1;2;2;;1;;1;1;1;1;4;3;;;3;;;;;;1;1;4;1;;13;;;1;;1;;1;1;1;;1;2;;3;2;1;1;1;;;1;;1;1;2;1;5;;3;2;1;1;;1;1;;;1;;3;;;1;1;2;;2;1;2;1;4;2;2;;;;;;;1;1;1;2;;3;1;;;1;;;;1;;1;;1;1;
27455-7297;;2;;;6;2;29;1;;5;8;6;1;28;2;7;8;3;;9;7;;;;;;;;;;1;;;;;;;;;;;;;;2;;;;2;;;1;;;1;1;1;1;2;;;;;6;3;2;1;1;;16;2;;;;1;2;2;4;4;1;;;;2;;;;;;;;;1;1;2;;3;;2;;;;;;;;;;1;2;1;;1;;2;;;1;1;1;3;;1;1;1;1;1;;;2;1;;3;2;1;;;;1;;1;1;;;;2;1;6;
16014-5799;1;3;;;;;16;1;;;12;13;1;3;;;;;1;;;;1;1;1;1;1;;;1;;;1;1;2;;;1;;;;;;;;;;;1;;;;1;;5;3;;;;;;;;;3;;8;;1;2;;1;;;;;;;;1;;1;;3;1;1;1;;;;;;;2;;1;6;;;;1;;;;3;2;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;
22957-6590;;3;1;3;;2;11;;;;1;4;;10;;3;3;;;;;;;;;;;;;;;;;;3;;1;;1;;;;1;2;;;2;1;;;;;;;;;;;;;;;1;;1;;2;1;;5;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;;1;1;;;;;;;;;;1;2;;2;1;;;2;;1;1;;;;;;;
17491-5799;1;4;2;2;1;2;15;;;;4;7;;8;;1;;;1;;;;;;1;;;1;;1;;;;;2;1;;;;1;;;2;1;1;1;;;2;1;;;1;;4;2;;;2;;;;;;1;;1;1;;4;;1;1;;;;;;;;;;;;;;3;1;1;;;;1;;;1;3;;;;2;1;1;;1;1;;;;1;;;;;;;;;3;1;3;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;
21955-4603;3;14;4;;;2;21;8;2;;22;21;;12;;2;1;1;3;2;;1;1;;3;1;;1;;6;2;2;;;7;;;1;1;2;2;;3;;;;1;1;2;;2;;4;;1;1;;;2;1;1;;;;4;1;5;2;;4;;;;;1;;2;;;1;3;2;;4;1;;3;1;;;;;;10;2;1;6;1;1;;;;;;1;;;1;2;5;1;;;;1;;1;1;;;3;;2;1;1;1;;;;;;;1;;;;;;;;;;2;1;;;;;
27760-4434;;;;;6;1;6;;;;;;;5;;1;2;;;3;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;1;;;;1;1;1;;1;;1;;;;;;1;;
