aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14>14>;2 14>31>;2 14 41>;2 31>;2 41>;3>2>;5 14>;6>6>;6>6>6>;6>6>6>6>;6 7>;6 14>;6 41>;7>5>;7>6>;7>14>;7 14>;7 14 41>;7 41>;8>7>;14>2>;14>2>14>;14>3>;14>7>;14>8>;14>8>7>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>49>;14 30>;14 30>31>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;16>31>;16 30>;16 31>;16 31>31>;30>14>;30>14>31>;30>30>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>30>31>30>;30>31>;30>31>30>;30>31>30>31>;30>41>;30 31>;30 31>30>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>43>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>44>;41>44>44>;41>44>44>44>;41 43>;41 43>44>;41 43>44>44>;41 44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;43>44>44>44>44>44>44>44>;43 44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>14>43>44>44>;44>41>;44>41>41>;44>43>;44>44>;44>44>14>;44>44>14>41>;44>44>14>43>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;44>44>44>44>44>44>44>;46>1>;48>14>;48>48>;49>48>;
28164-4114;2;11;2;7;;5;2;19;2;;7;10;;21;2;2;;2;3;2;1;1;1;;1;1;1;1;1;1;7;;1;1;5;;5;1;1;;;;;;;4;;;;;1;2;2;;1;;2;2;1;3;;1;1;1;;;;;;;;;1;1;1;;;10;1;1;;;;1;2;1;1;2;1;2;;1;1;1;1;1;;2;1;;1;1;;;2;;4;2;1;1;1;1;;2;1;;1;;;;;1;1;1;;3;;3;4;1;1;;;;;;;1;;;;;;1;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;1;1;
27482-5799;;1;;1;;1;;3;;;2;2;;3;3;2;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;1;;;;1;;1;;2;1;1;1;1;;;;;;;;2;1;2;;;;;;;;;;;;1;;1;;;;1;;1;;;;;;;1;;2;1;1;;;;;;;;;;1;1;;1;;;1;1;1;;1;;1;1;1;;1;1;;2;1;;1;;;1;1;;;2;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;
17228-6401;;;;;2;;;6;;;;1;;4;3;3;1;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;1;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;1;2;1;1;1;1;;;2;;2;2;1;;;;2;2;;2;1;1;1;;1;1;;;;;1;
27747-5061;2;12;4;2;1;4;1;28;;;6;10;;21;10;16;2;2;;;;1;;;1;1;;1;1;1;7;;;;1;;3;1;1;;;;1;;;1;;;;;1;1;;;1;1;1;1;;3;;1;;5;3;1;1;;6;5;4;2;;3;;1;;8;;2;1;1;1;3;;;;;;;;1;1;1;1;;;;;;;1;;;2;2;1;;;;;;;;;;;;1;;;1;;;;2;2;;6;1;2;1;;;;;;2;1;;3;1;;3;3;1;1;9;3;7;3;1;1;1;1;;6;1;4;3;3;2;2;1;8;3;1;1;4;;2;;1;1;1;1;;;;
31410-6400;;2;;;;;;5;;;;;;5;3;6;1;;;1;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;2;2;1;;3;;1;;;;;;;3;1;1;1;;;;;3;2;1;1;1;1;;;;;;;;;;
18444-4114;;2;;2;;3;;12;;;3;5;;11;;;;;;;;;;;;1;1;;;;1;;;1;;;;;1;;;;;;;1;;1;;;;;;;;;;;;4;;2;;4;3;2;2;2;;;;;;1;1;2;;6;1;3;3;;;;;;;;;;;3;1;;;1;;2;;;;;;;;;3;;3;1;;;;3;1;;;;;;;;1;1;;1;;1;6;;6;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27780-7297;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24082-4114;1;2;;;;;;7;;;;1;;8;3;4;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;1;5;;1;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;;;;;;;;;1;1;1;1;1;1;;1;;1;1;;;;;1;;;;;;;;;2;;;;2;;;;;;;1;;;;
21283-6895;1;7;2;;;;;14;1;;5;6;;6;3;3;;1;;;1;1;1;;1;2;;1;;;6;;1;;1;1;1;1;;;;;;;;;;;;;;;1;;2;;;;1;1;;1;;3;3;;;;;;;;;1;;3;;3;;1;1;;1;1;;;1;;;;;1;1;;;;;;;;;1;;;1;;2;;;;;;;2;2;;;;;;;1;;;;1;1;;3;1;1;;;;;;;;;;1;1;1;1;1;1;;1;;1;1;1;1;1;1;;;;;;;;;;1;;;;1;;1;;1;1;1;;;;;
22483-6030;;2;;;;;;4;;;;;;3;1;1;;;;;;;;;;;;;;;2;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30588-6590;;;;;;;;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;
27780-5799;1;3;;;;;;13;1;;11;11;1;4;2;1;1;1;1;;;1;;;;;1;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;1;;;;;;;;;;;4;2;3;;2;1;;;;1;1;;1;;1;1;;;3;2;1;1;1;1;4;2;1;;4;;;;;3;;1;;2;2;1;2;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;
31311-5489;;4;1;;;3;;13;1;;4;5;;7;2;6;1;;2;1;;;;;;1;1;2;;;1;;;1;;;;1;;;;;;;;;;;1;;1;;1;;;1;;;1;3;1;2;1;2;2;1;;;1;1;1;1;1;3;1;1;;2;;;;;;4;1;1;;1;1;1;;;;;;;;2;;;;;;1;1;1;2;1;;;1;;;2;1;;;;;;;1;;2;;;;;3;;2;;;;;;;1;1;1;;;;1;;;1;1;;1;1;;;;;;1;;;;;;;;2;1;;;2;1;;;;;;;1;1;1;
26616-7114;;2;1;;7;2;1;9;1;;2;8;;12;;;;;;;;;;1;;1;;;;;2;1;;;;;;;;2;2;1;;2;1;;1;;1;1;1;1;1;1;;;1;1;;1;;;;;;;;;;;;;;1;;2;;3;;;;;;;;1;;1;1;;;1;;;;;;;;;;;;1;;;1;;1;;;;;3;1;;;;2;;;;;;;1;;;2;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16014-6590;;;;;2;1;;4;1;1;1;3;;2;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;1;;;;;;;;;1;;;;1;1;1;;2;1;1;;;;;;;;;;1;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;1;1;1;1;;;;;;1;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
30588-5799;;;;;;;;1;;;;2;;6;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;1;;;2;;;;;;;1;;2;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18432-5799;;7;1;;2;3;;16;1;;4;13;1;17;5;5;;;;4;;;;1;;4;;1;;;1;;;;;;1;;;1;;;;1;;;;2;;;;;3;2;;1;;;1;4;;1;1;7;3;3;1;;1;1;;;;2;;2;;7;;4;2;;;;;;1;;;;;1;1;1;1;1;1;2;1;;1;;;;5;3;2;;1;1;1;;;;;;3;;3;;;2;2;;;5;5;;7;5;4;4;1;1;2;3;2;3;2;2;1;1;1;;;;1;3;;3;3;3;2;2;1;;3;1;1;1;;1;1;3;4;2;1;1;4;2;4;2;3;3;1;;;;;
21380-4114;;3;1;;;4;1;10;;;4;4;2;2;2;3;;;;;;;;;;2;1;;;;2;;;1;;;;1;;;;;;;;;;3;1;1;1;1;1;1;;3;;;1;3;;3;2;;;;;;1;;;;;;;2;;1;;;;;;1;;;;;;2;;1;;;;;;2;2;2;;;;;1;;3;1;;;2;2;2;2;1;2;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;
27482-4917;;1;;;;;;9;1;;4;3;;5;4;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;3;;2;;;;;;;1;1;;;;1;;1;;1;;;;;1;1;;1;1;;;1;1;3;1;;;;;1;1;;;;;;;;3;1;3;1;;;;1;1;;1;;;;;;;;;1;;1;3;;1;;;;1;2;;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27928-5384;;2;1;;;1;;4;;;;;;3;1;3;;;;;;;;1;;1;;;;;2;1;;;;;;1;;;;;;;;;;;;;1;;1;1;;;;;;;;;;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;1;1;1;1;1;1;;;;;;;;;1;1;;;;;;;;2;2;;;;;;;1;1;1;;;;;;;;;;;;;
31444-5061;;7;;2;1;4;1;24;1;;8;10;;21;10;15;1;;2;1;;;;;;;1;;;;6;;;1;1;;1;;1;;;;;;1;1;;2;1;;1;;;;;1;;;1;1;1;;;4;2;2;1;;1;;;;1;1;1;3;1;5;;;;;;6;1;;1;1;;1;;1;;;;;;1;;;;3;;2;2;1;1;1;;;;;;;;;1;;2;;;;;;;2;;;6;2;4;2;1;;3;3;2;3;2;;3;2;1;5;3;2;;6;1;3;2;2;1;1;1;;2;1;;;;1;;1;4;1;1;;2;;2;;1;1;1;;;;1;
22135-4114;;5;;2;12;3;;7;;;1;2;;2;;;;;3;2;;;;;;;;;;;1;;;;1;1;2;;1;1;;;2;2;;1;;;2;;;;;;;;;;;1;;;;;;;;;;;;;1;1;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30705-5489;1;3;1;3;2;2;;4;;;1;1;;7;;;;1;1;;;;;;1;;;1;;;2;;;;;;1;1;1;2;1;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;2;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31469-6030;2;8;3;;4;3;2;29;2;;8;18;4;23;6;5;;2;2;;1;1;1;1;2;;;1;1;1;3;;;;2;;4;2;;1;1;1;;;;;;1;1;1;1;2;1;;1;;2;2;4;3;;3;;4;1;1;1;1;1;1;;;;;;3;1;13;;2;;3;3;1;2;2;;1;1;2;;2;;;;;;;;;;3;1;;1;;6;1;1;;;;;1;;2;;;5;;3;;;2;;2;1;1;3;1;1;1;1;1;1;1;;1;;;1;;;5;1;;;2;1;1;1;1;;;;;2;1;;;;;;;2;;;;1;;1;;;;;1;;;;
18444-5384;1;6;;;;;;10;;;2;2;;3;;;;1;;;1;1;1;2;;1;1;;;;5;2;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;2;;1;;;;;;;;;;;;1;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28177-4114;1;3;;;13;3;;11;;;5;4;1;10;2;1;;1;;;;;;;;;;1;1;1;;;;;;;;;;6;2;1;;2;;;1;;1;1;1;;2;;;1;;;;1;;;;;;;;;;;;;;2;;1;1;4;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2;1;;;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
31359-6590;1;10;;;;3;;22;;;;1;1;22;4;3;1;1;;;;;;2;;4;;;;;7;1;1;;3;;3;;;;;;;;;;;;3;3;3;;3;2;;;;;3;;;;;5;3;1;1;1;2;1;1;1;;;;;;14;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;3;;;;;4;;2;1;1;1;;1;1;2;2;1;;;;2;;;;2;;1;1;1;1;1;1;;1;1;1;1;1;;;;1;1;1;1;1;1;1;1;1;1;1;;;;;
21513-5384;;2;1;;2;1;;8;;;4;3;;5;1;;;;;;;;;;;1;;;;;2;;1;;2;;2;;;;;;1;1;;;;;;;;;;;1;;;;1;1;;1;1;2;2;;;;;;;;;1;;1;;2;;;;1;1;;;;;;;1;1;;;;;;;1;1;;;;;;;;3;1;;;1;1;;;;;;;;;;;;1;;;;;3;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25326-4114;;;;;13;1;1;7;;;;1;;3;5;5;1;;1;1;;;;;;;;;;;;;;;;;;;;5;3;3;;3;1;;;;;;;1;;;;;1;1;1;;;;;;;;;;;;;;1;;;1;;1;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;1;;2;1;1;;3;;1;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;
27630-6895;;;;;1;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
28386-5061;;1;;;;;;2;;;5;4;2;1;;;;;;;;;;;;;;;;;1;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;1;;;;;;2;;;;1;;;;;;;;;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27630-4114;;1;;;5;3;2;8;;;2;5;2;7;2;3;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;2;;2;;;;;2;;;;;2;2;;;;;;1;1;;;;;;;;;;;2;;2;;;;;;1;;;;;;;;1;;;;;;1;;;1;1;;1;;;1;;1;;;;;1;1;;;;1;;;;;;;1;;;2;1;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28062-7114;;4;;;6;2;;12;;;;1;;6;3;7;;;;;;;;;;;;1;;;4;;;;;;;;;2;;;2;2;1;;;;1;;1;;;;;;;;;;;;;3;1;1;1;1;;;;;;;;1;;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;1;1;;;;;1;1;1;;;;1;;;1;2;;2;1;1;1;;;1;1;1;;;;;;;5;1;1;;3;1;2;1;2;;;;;;;
21283-7297;1;4;;3;5;6;;20;1;1;5;10;;8;2;5;;1;5;3;;;;1;;1;;;1;1;3;;;;;;;;2;;;;;3;;;2;1;1;;;;1;;;2;;;1;7;4;3;1;2;1;;;;;;;;2;1;1;3;;1;;;;;;1;1;1;;1;1;2;2;;;;;;;3;1;1;;;;;5;1;4;2;;;2;1;1;3;1;;;1;2;1;;;1;1;1;;;;1;;1;;;;1;1;1;1;1;1;1;1;;1;1;1;1;2;;2;1;1;1;1;1;;1;1;;;;;;;2;1;1;;1;1;1;1;1;1;1;1;3;1;1;
22659-5490;1;9;;2;;1;;19;1;;23;19;;19;3;2;;1;2;;1;1;1;1;;2;1;1;;;6;1;;1;1;2;1;;1;;;;;;;1;;;1;1;1;;3;1;;;;;1;5;;3;;1;;;;;1;;;;;2;1;4;1;6;;;;;;;1;1;1;;;2;1;5;3;3;2;;;6;1;;1;1;;2;1;;8;;3;3;2;1;;4;2;;2;;4;;;1;;;;3;;1;6;1;1;;;;;;;;;;;;;2;;;;1;1;;;;;;;;1;;1;;;1;1;;1;;;;;;;;;;;;1;;;
