aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14>14>;2 14>31>;2 14 41>;2 31>;2 41>;3>2>;5 14>;6>6>;6>6>6>;6>6>6>6>;6 7>;6 14>;6 41>;7>5>;7>6>;7>14>;7 14>;7 14 41>;7 41>;8>7>;14>2>;14>2>14>;14>3>;14>7>;14>8>;14>8>7>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>49>;14 30>;14 30>31>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;16>31>;16 30>;16 31>;16 31>31>;30>14>;30>14>31>;30>30>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>30>31>30>;30>31>;30>31>30>;30>31>30>31>;30>41>;30 31>;30 31>30>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>43>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>44>;41>44>44>;41>44>44>44>;41 43>;41 43>44>;41 43>44>44>;41 44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;43>44>44>44>44>44>44>44>;43 44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>14>43>44>44>;44>41>;44>41>41>;44>43>;44>44>;44>44>14>;44>44>14>41>;44>44>14>43>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;44>44>44>44>44>44>44>;46>1>;48>14>;48>48>;49>48>;
23182-6030;;1;;;;;;3;;;1;1;;4;2;4;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;1;1;;1;;;;1;;;;;;;;;;;
30492-5384;;1;;;2;;;8;;;2;4;;13;4;6;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;;;;;;;;;;;;;;1;;;;;5;1;1;1;1;1;1;1;1;;1;;;;4;;2;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;2;;1;;;;;1;;2;;;3;2;2;2;2;1;;;;2;2;2;2;1;1;2;2;1;2;4;1;4;3;3;2;2;2;;1;1;1;1;1;1;1;;4;1;1;;3;1;3;1;2;2;2;;;;;
27455-7297;1;8;1;4;;3;;19;;;9;11;;12;5;8;;1;;;1;1;1;;;;;1;;;4;;;;1;3;2;;2;;;;;;;2;;;1;1;2;;1;;;;;;2;2;;;;1;1;;;;;;;;;2;;3;1;3;;;;;1;5;;;;;;2;;2;2;1;1;1;1;1;1;1;;2;;2;2;;4;1;2;2;1;;;1;1;;;;2;1;;1;1;;1;2;;1;2;;;;;;;1;;2;;;1;1;1;2;1;1;;1;;1;1;;;;;1;1;;;;;;;;3;1;;;2;;1;;1;;;;;;;
28164-5799;;10;3;2;;1;1;19;;;8;11;;11;1;1;1;;6;2;;;;;1;;1;;;;6;;;;;;1;;;;;;;;;1;;;;;;1;;;2;;1;1;1;;;;;1;1;;;;;;;;1;2;;3;1;5;;;;;;1;2;;;;;;;3;;;;;;;;;;1;1;;;;6;;2;;;;;;;;;;4;2;;1;;1;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
31158-5384;3;13;4;;8;5;;23;;;3;6;;16;7;7;1;3;5;;3;1;1;1;1;;;1;2;;5;1;;;1;;4;;;1;1;;3;2;1;;1;;1;;1;;1;;3;;;;;3;2;1;;3;2;;;;3;2;2;2;;;;;;7;1;;;;1;4;2;;;;;2;;;;;;;;;;;1;;;;2;1;1;1;;;;;;;;;;1;;;;;;;;1;1;;3;;1;;;;;;;4;2;1;;;;1;;;1;4;1;2;2;1;;;;;1;;1;1;1;;;;2;1;;;2;1;1;1;;;;1;;;;
31476-6401;;2;;;;;;14;;;4;3;;9;7;8;;;1;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;;;2;;;;4;;1;;1;2;6;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;1;;;;;;1;1;2;1;1;1;;;2;1;;;2;1;1;;;;;;1;1;1;;;;;;;1;;;;;;;;;;;;1;;;
27002-5489;;1;;;2;2;;3;;;5;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31410-5384;1;3;;;;;;8;1;;1;3;1;7;;;;1;1;1;;;;1;;;1;;1;1;3;1;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;1;1;1;1;;;;;;;;;1;;3;;1;1;;;;1;1;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;1;;;;;;;;;;;;;2;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
31256-5061;;;;3;2;3;1;5;1;;3;6;1;10;2;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;;1;2;;1;1;2;;;;;1;1;1;1;;;;;;;;;;;;1;;1;;1;1;;;;;;;;;3;3;3;;;;;1;1;3;;;;3;3;3;1;1;1;1;;2;;;;;;;;;;1;;;;;;;;;;;;1;1;1;2;1;1;1;1;1;1;1;1;;;;1;1;;1;1;1;2;1;;3;;;;1;;1;;;;;;;;;
16014-5799;1;2;;;;;;3;;;;1;;1;;;;1;6;3;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;3;2;
31165-4448;1;8;3;;5;3;;20;1;5;1;9;1;12;3;3;1;1;7;2;;;;;;1;;2;1;1;6;;1;;1;;1;;;2;2;2;1;1;;;1;;;;;;;;1;1;;;1;2;;;;2;1;1;1;1;;;;;;;;3;;6;1;1;;;2;3;3;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;3;1;;;;1;;;3;;;4;2;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;1;1;;;
28391-5489;;;;;;;;1;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;3;2;2;2;1;1;1;1;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28256-5061;;2;;4;;2;;5;;1;3;2;1;1;;;;;1;;;;;;;;;;;;2;;;;;;;;2;;;;;;;2;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;1;;;;;1;;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22957-6590;;2;2;;;;;8;;;;1;;9;2;3;;;;;;;;1;1;;;1;;;2;;;;1;;1;1;;;;;;;;;;;;;;;;;2;;;;1;;;;;1;;;;;1;1;1;1;;;;;;4;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;;;2;;;;;;;;;;;;1;1;;2;1;1;1;1;;1;1;1;1;1;1;;1;;1;1;1;;;;1;1;;1;1;;1;;1;1;1;;;;;
30609-5061;;;;;;1;;3;;;;;;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17491-5799;2;4;;;;;;8;;;;1;;7;;;;2;1;;2;1;1;;;;;;;;3;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28101-7297;1;8;2;2;;1;1;12;;;4;2;;1;;1;;1;;;1;1;;3;;;;;;;5;3;;;;;;;1;;;;;;;1;;;;;;;4;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
24407-6030;2;11;;;6;2;1;25;1;;4;7;;14;7;8;3;2;2;2;;;;2;;2;;;1;1;7;;2;;;;;;;3;2;;;2;;;;;;;;1;1;;;;1;1;2;1;;;;4;1;;;;2;1;1;1;;2;;1;;2;;;;;;;;1;;1;1;;;1;1;;;;;;;;;;;;3;1;;;;;;;;2;;;2;1;2;;;1;;2;;2;;;1;;;;;;;;;1;1;;2;2;2;3;2;2;;5;1;3;3;1;1;1;1;;4;1;;;;;;;3;3;1;;3;3;1;1;1;1;1;1;;1;;
30588-5490;;;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23668-5490;2;6;1;;;3;1;13;;;;;;9;1;1;;2;;;2;2;2;;;1;;;;;4;;;;2;;2;;;;;;;;;;;;1;;;;1;1;;;;;1;;;;;3;2;;;;1;1;1;1;;;;;;8;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;;;;;;1;1;1;;;;;;;;1;;1;1;;;;;;1;;1;1;;;;;1;1;;1;1;1;;;;;;;;;;
27455-6030;;;;;;;;2;;;;;;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;1;;1;;;;;1;;;;;;;;;;;;;;;;
27455-5061;1;2;;;;;;8;1;;2;4;;6;1;;;1;;;;;;1;;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;3;1;;;;;;;;;2;;;;2;;;;1;1;;;1;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;1;;;;;;;2;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
27760-6895;;;;;;;;9;;;7;8;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;8;;4;;1;;;;;;;;;;6;4;;;1;1;;;;;1;;;;;;1;1;1;;;;;;4;3;;;;;;;;4;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22279-4114;;2;;2;;1;;5;;;1;;;6;1;2;1;;;;;;;;;1;;;;;1;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;3;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;1;;1;1;;;;;;;;;;;1;;;1;;;;1;;;;;;;;;;;
31437-6590;1;4;;;1;2;;6;;;1;1;;3;3;3;;1;2;;1;1;1;;;;;;;;3;;;;;;;;;;;;;;;;1;;1;;;;1;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;;1;;1;;;;;;2;1;;1;2;1;1;;1;;;;;;;
22977-5799;1;6;;;;;;9;;;1;2;;12;4;4;1;1;;;1;1;1;;;1;;;;;3;;;;2;;4;;;;;;;;;;;;;;;;1;1;;;;;1;;;;;2;1;;;;1;1;1;;;;;;;4;;1;1;;;;;;;;;1;;1;;;;;;;;;;;;;;;1;;1;;;;;;;;;;1;;;;;;;;;;1;;1;;;;;;;;;;;;;3;;;1;1;;1;;;;;;1;2;;;;;;;;1;1;;;1;;;;;;;;;;;
