aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>2>14>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14>14>;2 14>41>;2 14 41>;2 31>;2 41>;3>2>;5>5>;5 14>;6>6>;6>6>6>;6 7>;6 14>;6 41>;7>5>;7>6>;7 14>;7 41>;8>7>;14>2>;14>2>14>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14 30>;14 30>31>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;16>31>;16 31>;16 31>31>;30>14>;30>14>31>;30>30>;30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30 31>;30 31>30>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;31 41>;32>31>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41>44>44>;41 43>;41 43>44>;41 43>44>44>;41 44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;44>44>44>44>44>44>;46>1>;46>2>;48>14>;
28027-4114;1;9;;;;;;9;1;8;7;;10;1;3;1;1;;;;1;;;;;3;1;1;;;1;;;;1;1;2;;;;;;;;;;;;;;5;2;;;;;;;2;1;1;1;;;;;;;1;;1;;1;4;;;;;;1;;;;;2;;1;;;;;;;;;;;3;1;;;;;;;;;2;;3;;2;;2;2;;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;
28198-5490;2;8;3;7;;4;;26;1;7;9;2;23;4;2;;2;1;3;2;1;1;;;2;1;;;1;;2;;;;;;;2;3;;;;;;;4;;1;;;2;;2;;;;;;9;1;1;;;;;;;;2;;3;;1;10;;3;1;;1;;;;;;1;;2;2;;1;;;;;;1;;4;1;2;2;;;;;2;;2;1;2;;2;;2;6;2;3;1;;;;1;2;;1;;1;1;;;1;;;;;1;1;;;;;;;;;;;1;;
23182-6895;;4;1;;;;;7;;2;3;;8;2;2;;;;;;;;1;;1;;1;1;;;4;;;;1;;1;1;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;1;1;1;;;;;;2;;;;;;1;;;;;;;;;;1;;;;;;;;1;;;;;;2;1;2;;;;;;1;;;3;1;;;;;;;;;1;1;2;1;1;;1;1;1;1;1;1;;1;;1;1;1;;1;1;1;;;;
21629-5061;1;10;1;5;7;6;;62;1;32;34;3;17;2;2;;1;1;1;1;;;;;1;5;;;1;;6;;4;;1;;1;;1;2;;;;2;1;3;1;1;;;4;1;;5;11;18;7;2;3;1;1;1;1;1;1;;;;13;;6;1;;7;;1;;;;1;;;;;10;9;2;;;5;2;1;7;1;;6;4;11;6;1;;5;2;3;;;;3;2;2;;2;;1;3;;1;1;1;1;1;;;;1;1;2;1;1;;1;1;1;1;1;1;1;;;1;1;1;1;1;1;1;;1;1;
31456-4917;2;3;2;;2;2;;13;;2;3;1;9;2;1;;2;2;2;1;1;1;1;;1;;;;1;1;1;;;;;;;1;;;;;;1;;;;2;1;;1;;;;2;2;2;;3;;1;1;1;1;1;;;;;;;;;4;;1;;2;2;;2;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;3;;2;2;2;2;2;;;;;;2;;;;;;;;;1;1;;;1;1;1;1;1;1;;1;;;
22271-4917;;1;;;6;1;;2;;;;;3;;;;;;;;;;;;;;;;;;1;;;;1;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21894-4114;1;8;;2;21;4;;15;1;4;6;;9;2;4;;1;5;2;1;;;;;;;;;;;2;;;;1;1;3;;;1;6;4;3;4;2;1;1;2;;;;;;;;2;1;;;;;;;;;1;;;2;;2;;1;4;;;;;;2;2;;1;;;;;;;;;;;;;1;1;2;;;;;;;;;;3;;;;;;;1;;1;;;;;;1;;;;;;;;1;;;;;;;;;1;;1;;;;;;;;
27587-4917;;1;1;;;;;3;;;;;1;;;;;;;;;;;;;;;;;;1;;;;1;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28101-5384;2;5;;1;;1;;9;;;;;10;;;;2;1;;;;;;;;;;;1;1;3;;;;1;;2;;1;;;;;;;1;;;1;;1;;;;;;;;1;;;;;;;;;;;;;;;6;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
29379-6895;1;5;1;3;2;3;;12;;1;3;;19;4;5;;1;1;;;;;;;;;;1;;;2;;;;;;2;1;;1;2;1;;;;1;;1;1;;;;;1;;;;;2;;2;;;;;1;;;;;;;;7;;1;1;1;1;2;1;;;;;;1;;;;;;;;;;;1;;1;;;;;;1;;1;;;;1;;;6;1;2;;;;;1;2;;;;2;;;2;;;;;;;;;2;;;;;;;;;;;
