aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>2>14>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14>14>;2 14>41>;2 14 41>;2 31>;2 41>;3>2>;5>5>;5 14>;6>6>;6>6>6>;6 7>;6 14>;6 41>;7>5>;7>6>;7 14>;7 41>;8>7>;14>2>;14>2>14>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14 30>;14 30>31>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;16>31>;16 31>;16 31>31>;30>14>;30>14>31>;30>30>;30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30 31>;30 31>30>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;31 41>;32>31>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41>44>44>;41 43>;41 43>44>;41 43>44>44>;41 44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;44>44>44>44>44>44>;46>1>;46>2>;48>14>;
27455-6030;;;;1;;;1;4;1;2;4;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;1;;2;1;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;1;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27455-5061;1;6;;3;2;4;1;14;1;6;6;;12;1;1;;1;;;;;;;;;;2;;1;1;3;;;;;;;;;1;;;2;2;;2;;2;1;1;1;;;;;1;1;;3;2;1;;;;;;;;3;1;;;;3;;;;;;;;1;1;1;;;1;1;;1;1;;;;;1;;2;;1;1;;;1;;;;1;;;;2;;;2;;1;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;1;;;
27760-6895;1;3;;1;;1;;3;;1;1;;4;;1;;1;;;1;1;1;1;;;;;;;;1;1;;;;;1;;;1;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;1;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22279-4114;;2;;5;3;4;;11;;3;1;;9;1;2;1;;3;1;;;;;;;;;;;;2;;;;;;;;;;1;;;1;;4;;;2;;;;;1;1;1;1;;2;;1;1;;;;;;;2;;;;;3;1;;;;;1;2;;;;;;1;;;;;;;;2;;;1;;1;;;;;;;;;;;;1;;1;2;;2;;;;;;;;1;;1;1;;;1;1;1;;;;;;1;1;;1;;;;;;;1;
31437-6590;;1;;;;1;1;5;;2;4;1;4;1;1;;;1;;;;;;;;;;;;;1;;;;1;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;1;;;;;;;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;
22977-5799;1;7;;2;;2;;18;1;22;14;;12;;;;1;1;;1;1;1;1;;;2;;1;;;4;1;;;;1;;;;1;;;;;;;;1;1;;3;1;;1;2;7;2;;;;;;;;;;;;4;1;5;2;1;4;;;;;;;1;1;;;3;1;1;;;4;;;;;2;1;;6;;;;1;;5;2;;;2;;1;;1;;;5;;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
28164-4114;1;17;6;6;;3;1;26;;9;11;;27;2;2;;1;6;;;;;2;;1;1;;1;1;1;10;1;;1;1;;3;2;3;1;;;;;;2;;;1;1;1;;2;;;2;1;;3;;1;;;;;1;;;2;1;4;;2;8;;1;;;;;2;;;;1;1;3;;;1;1;;1;1;;;;5;1;2;;;;;;;;4;;2;1;;;;5;;3;1;1;1;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;1;;;
17228-6401;1;2;;5;;2;;12;;8;8;1;11;2;3;;1;3;1;;;;;;;1;;;1;1;;;;;;;;;1;2;;;;;;1;;;1;;2;1;;1;;3;1;1;;;;;;;;;;;1;;1;;;3;;;;;;1;;;;;1;;2;;2;3;2;2;3;1;1;;;3;;1;;2;2;;;;2;1;;;;1;;;1;;;;;;;;;;;;2;;;;;;;;;;;;;1;;1;;1;1;1;1;;2;
27482-5799;;2;;1;;1;;9;;3;3;;8;6;2;;;;;;;;1;;;;1;1;;;1;;;;;;;;1;;;;;;;1;;;;;;;;1;1;2;1;;3;1;1;1;1;1;;;;;1;;2;;1;3;;;;;1;;;;;;1;;1;;1;1;;;;;;1;;2;1;1;;;;1;;;;1;;;;1;1;;3;;1;1;1;;;2;4;1;1;;1;1;;;2;;;;;;;;;;;;;;;;;;;
27747-5061;3;13;;2;;1;;75;3;33;45;3;52;16;20;2;3;3;;1;1;;;;;1;2;;1;1;9;;;;3;1;4;;;1;;;;;;1;;;;;;;;1;2;22;9;2;10;1;5;2;2;1;1;8;7;6;19;8;11;;4;22;2;3;1;1;2;6;1;1;3;1;3;2;7;2;2;12;7;2;11;3;;4;2;14;;4;1;4;2;2;2;2;1;6;;1;1;6;3;;12;2;5;2;1;1;;;4;3;3;1;5;3;1;;11;8;3;1;1;6;1;4;1;10;3;4;;2;1;1;2;1;;
31410-6400;1;5;2;;;1;1;15;2;5;11;4;13;4;6;;1;1;1;1;1;1;;;1;;;;;;1;;;;;1;;2;;;;;;;;;;;;1;;;1;1;1;4;1;;4;;2;2;1;1;;;;;;;2;1;1;4;2;;;;;2;1;2;1;1;;;1;;1;3;1;;3;1;;3;2;3;;;;1;1;3;;2;;1;3;;;3;;;7;1;5;3;2;;;2;2;2;1;1;1;1;1;;4;2;2;2;1;1;;;1;2;;2;;2;1;1;;1;;
18444-4114;2;15;3;;;;;30;1;8;12;;17;3;4;;2;;;1;1;1;1;1;1;3;;1;1;1;11;;1;1;2;1;2;2;;;;;;;;;;;;;2;;2;;3;5;4;;5;;5;1;1;1;1;;;;3;;4;1;;8;2;2;2;;1;1;;;;;2;1;2;1;;1;;;1;;1;3;1;6;1;2;1;1;;2;1;;;1;;1;;5;2;3;8;2;3;2;2;2;2;;;;1;1;1;1;1;1;1;1;1;1;1;;;;;1;;1;;1;1;1;1;1;;
27780-7297;;;;;;;;1;;2;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;1;1;;1;;;1;1;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24082-4114;;2;;1;;1;;10;;3;4;;15;6;8;1;;;;;;;;;;1;;;;;;;;;;;1;;1;;;;;;;;;;1;;1;1;;;;;;;3;;1;;;;;1;1;1;;;;;;4;;;;;;3;;;;;1;;1;;;;;;;;1;;;2;;1;;;;;;;;1;;;;1;;1;1;1;;;;;;;;;;;3;;;1;1;1;;;;1;;;1;2;1;2;;;;;;;;
21283-6895;;3;1;;3;7;1;26;1;9;13;2;9;4;7;;;5;3;;;;;;;2;1;;;;2;;;;;;;1;;;;;1;2;;;;1;1;1;1;1;;4;1;10;6;3;2;;1;;;;;1;;;1;1;6;4;;2;;;;;;2;1;1;1;1;4;2;1;;;4;3;3;;;;6;1;7;3;;;3;3;6;2;;1;1;1;;1;;;;1;;1;;;;;1;1;1;1;1;2;1;1;1;2;2;1;1;1;2;1;1;;2;1;1;1;1;1;1;;;3;
22483-6030;;3;;;;;;6;;1;1;;4;1;1;;;;;;;;;;;;1;1;;;3;;;1;1;;1;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;1;;;;;;;;3;;1;;;;;;;;;1;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30588-6590;;1;;;;;;1;;1;1;;3;2;1;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;1;1;1;;;;;;;1;;1;;;;;;;;
27780-5799;1;5;2;;5;3;;15;;2;2;;12;2;2;2;1;4;1;1;;;;;1;;;;1;;3;;;;;;;1;;;2;1;;1;1;;3;1;;;;;1;1;;1;1;;2;;;;;;;1;1;1;;;;;;4;;;;;;1;2;;;;;;1;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;2;;;;;;;;1;1;;;;;;1;1;1;1;;;1;;1;;1;1;1;1;;;;;;1;
31311-5489;1;6;;;;1;;22;2;12;13;1;8;1;1;;1;4;2;;1;;;;;2;1;1;;;4;;;1;1;1;2;;;;;;;;;;;1;1;;1;1;;;;4;3;2;2;;;;;;;1;1;1;4;1;5;1;1;3;1;;;;;;2;;2;;;;2;1;;3;2;;;;;2;;3;;;;2;1;2;;;1;2;;;1;1;;;1;;;;;;;;;;;;;;;;1;1;1;1;1;1;;1;;1;1;1;1;1;1;1;1;;2;
26616-7114;1;7;1;;25;4;3;30;2;;10;;19;12;12;3;1;2;3;;;;1;1;;1;;;;;6;1;;;1;;1;;;;11;7;;7;2;;1;;;3;1;1;;;2;1;;;4;;1;;;;;3;2;2;;;3;;;4;;;;1;1;2;1;2;2;2;;;;;;;;;;;;3;1;;;;;;;3;;1;;2;;;2;1;;;2;;1;;;;;1;3;2;1;1;4;1;1;;6;3;3;1;;5;2;1;2;4;3;3;3;1;;;;;;
16014-6590;;;;;3;;;8;;;1;;5;5;3;1;;1;3;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;1;;;;;;;2;2;2;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;2;1;1;1;2;;2;;2;2;1;1;1;1;1;;;;
30588-5799;;2;;;1;2;;10;;1;3;;7;2;3;;;1;;;;;;;;;;;;;2;;;;1;;1;;;;1;1;;;;;1;1;;;;;;;;3;1;;2;;1;;;;;1;1;1;;;;;;5;1;;;;1;1;1;;;;1;;;;;;;;;;;2;1;1;1;;;;;;;;;;;;;1;1;;1;;;;;;;;1;1;;;;;;1;2;1;1;1;;1;;1;;1;1;1;1;1;;;;;;
18432-5799;2;14;;2;;4;1;41;1;17;22;2;23;1;1;;2;;;1;2;1;2;;;2;2;;;;9;2;;;1;;2;;;1;;;;;;1;;1;;;2;;;;1;11;6;;7;;7;5;3;3;3;;;;7;3;7;1;;10;3;2;2;;;;;;;;;;8;5;2;4;1;;1;;;3;;10;;7;4;;;5;3;3;;1;1;2;2;3;;2;11;;8;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;;
21380-4114;1;3;;2;;1;;11;;4;7;1;5;;;;1;;;1;1;1;1;;;1;1;;;;3;1;;;;;;;;1;;;;;;1;;;;;1;;;1;;5;2;;1;;1;1;1;;;;;;1;;;;;1;;;;;;;;;;;2;;1;;;;;;1;1;;1;;3;2;;;;;;;;;1;;;;;;;2;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
27928-5384;1;7;;;;;;8;;1;;;;;;;1;;;1;1;;3;;;;;;;;5;3;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
27482-4917;;6;;;;;;13;1;7;8;;6;2;5;;;;;;;;;;;1;2;;;;3;;;;1;1;1;;;;;;;;;;;;;;2;1;;;1;4;2;;;;;;;;;1;1;;2;;4;1;1;3;;;;;;1;;1;;;1;1;4;1;;1;1;;1;;;;;3;1;3;1;;;1;1;1;;1;;;1;1;;1;1;;1;;;;;1;1;;;;;;;;1;;;;;1;;;;3;1;2;;1;1;;;;;
31444-5061;4;18;9;;4;2;2;56;5;14;25;9;51;13;11;;4;4;;3;2;2;2;;4;;;1;2;1;9;1;;1;4;;5;3;;;1;1;;;;;;;;2;1;;3;;3;3;1;;7;1;2;1;1;1;1;1;1;;4;;5;2;1;22;;2;;2;3;2;2;4;4;3;2;;2;;;;;;3;1;1;2;;5;1;1;;;;7;;;1;7;6;;2;1;;1;8;1;2;1;1;1;1;1;2;1;;;7;;;1;4;2;1;1;;3;1;;1;5;;1;;1;;;1;2;;
22135-4114;3;15;;3;12;5;;19;;;2;;6;;;;3;2;;2;2;1;;;;6;1;;2;1;9;;3;;1;;1;;1;;3;1;;2;;3;;;;;3;2;;4;4;1;;;;;;;;;;;;;;;;;;3;;;;;;;2;;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;
30705-5489;1;13;2;;3;3;;15;;;3;1;6;2;1;2;1;1;;;;;;;;;;1;1;1;8;;;1;1;;2;;;;;;2;1;1;;;;1;;1;;1;;;;;;1;;1;1;1;1;1;1;;;;;1;;;4;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;1;;;1;1;1;1;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;;
31469-6030;;16;;;;;;30;;8;8;;29;9;11;;;1;;;;;2;1;;1;;3;;;7;1;;2;;1;5;;;;;;;;;;;;;;2;1;;;;1;;;7;1;1;;;;;;;;3;;1;;;13;;3;;1;2;8;;;;;;;2;1;;;;;1;;2;;;1;;1;1;;;;;;;1;;2;;3;;1;8;1;1;1;1;1;;2;3;2;1;;2;1;;1;3;1;;;;1;1;;2;1;;;;;;;;;1;
18444-5384;1;7;;3;3;4;;11;1;;3;;;;;;1;;;;;;2;1;;3;;;;;4;;1;;;;;;;2;;;;2;;;2;1;;;2;;;3;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28177-4114;2;11;1;6;1;4;;29;;25;14;4;18;1;1;1;2;3;3;;;;;;;1;1;;2;2;8;;;;2;;2;;;3;;;;1;;2;;1;1;;;;;2;;3;1;;3;;2;1;;;;;;;9;2;1;;;7;;1;1;;;;;;;;;;7;3;1;4;1;;2;;4;;;3;;2;2;;;;;;;2;3;2;;;;;4;;2;;;;;1;1;1;;;;;;;1;;;;;;;;;;;;;;;;2;;;
31359-6590;2;15;2;;2;2;;28;1;4;4;;19;10;18;1;2;2;1;2;2;2;;;1;1;;1;;;10;;1;1;;;2;;;;;;;;1;;1;1;;;3;;;1;2;;;;3;;1;1;;;;3;1;;;;;;;4;;;;;1;5;;;1;;1;;1;;;;;;2;1;1;1;;2;1;;;;;;;;;1;;;1;;;;4;;1;;;;;2;2;1;2;1;4;2;1;;6;4;2;1;1;4;1;2;1;6;2;3;2;1;1;;;;;
21513-5384;;3;;;;;;15;;3;3;1;18;;;;;;;;;;;;;1;;;;;3;;1;;2;;2;;;;;;;;;;;;;;;;;;2;1;;;4;1;3;1;1;1;1;;;;1;;;;;10;;2;1;;;;;;;;1;1;;;;;;;;;;1;;1;1;;;;;;;;;2;;;2;1;;1;6;1;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25326-4114;;5;;;;;;19;;3;4;;20;5;10;1;;1;;;;;1;;;1;;;;;3;;1;;1;;1;;;;;;;;;;;;;;;;;;1;;;;4;1;1;;;;;1;;;1;;2;;1;9;;;;;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;1;1;2;;1;1;1;;;2;;;;;;;;1;1;1;1;2;1;1;1;2;1;1;;;2;;;;4;1;4;1;1;1;1;;;;
27630-6895;;3;3;;1;4;;4;;1;4;;10;1;2;;;;;;;;2;;2;;;;;;3;1;;;1;;1;2;;;;;;;1;;;1;4;;1;;2;;;;;;;;;;;;;;;;;;1;;1;2;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;2;;;;1;;1;2;1;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;
28386-5061;;;;;1;1;;6;;1;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;1;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27630-4114;1;11;4;;7;6;3;14;;3;7;2;12;5;10;1;1;;;;1;;;;1;1;;;;;5;;;;;;2;1;;;1;1;1;;2;;2;;1;3;1;1;1;;1;;;;1;;1;;;;;;;;;;2;;;3;;;;1;1;2;;;;;;;1;;;1;;;1;;1;;;1;;1;;;;1;1;;;1;;;;1;;;3;1;1;;;;;;1;1;1;1;2;1;1;2;2;2;1;;;1;;;;2;;1;;;;;;;;
28062-7114;1;21;4;6;;3;2;22;2;9;12;;23;5;5;;1;1;;1;1;1;3;1;1;4;2;3;;;9;1;;1;5;1;6;1;;2;;;;;;3;;;;1;6;2;1;;1;2;1;1;4;;3;2;1;1;1;;;;1;1;1;;;9;1;1;1;;1;1;;2;1;1;1;;1;1;1;3;1;;;;1;1;;5;1;1;1;1;1;3;1;3;1;1;;3;;4;;3;7;2;6;2;1;1;1;;;;1;1;2;1;1;;3;1;1;1;1;;;;2;1;;1;;1;1;1;;;;
21283-7297;;4;1;4;;1;;26;;25;24;1;14;4;5;;;;;;;;;;;;;;;;3;;;;3;;3;;;1;;;;;;1;;;;;1;;1;1;1;9;4;3;2;;2;;;;;3;3;2;6;2;1;;;4;;;;1;1;1;;;;;7;5;6;;4;11;8;5;12;6;1;1;;15;7;;;8;5;2;1;;;3;;;;;;;4;;1;;;;;;1;1;;;1;;;;3;2;;;;1;;;;3;1;;;;;;;;;
22659-5490;1;13;7;1;;3;1;23;;4;5;1;14;1;2;;1;1;;1;;;2;2;3;4;;;1;;8;2;;;3;1;4;4;;1;;;;;;;;1;1;;2;2;5;;1;;;;2;;;;;;;1;;;3;;1;;;7;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;2;1;1;;;;;1;;1;1;1;1;;;;;;;;;;;;;;;;1;1;;;1;1;1;1;;;;;;;
