aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>14>;2>31>;2>46>;2>46>1>;2 14>;2 14 31>;2 14 41>;2 31>;2 41>;5>5>;5 14>;6>6>;6 14>;6 41>;7>5>;7>5>5>;7>14>;7 14>;7 41>;14>2>;14>7>;14>7>5>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>49>;14>49>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 44>;14 48>;14 48>31>;14 49>;16>31>;16 31>;17>30>;17 30>;30>14>;30>14>31>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>31>30>14>;30>31>30>31>;30>32>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>31>;31>41>;31 41>;41>14>;41>31>;41>31>30>;41>31>30>30>;41>31>31>;41>41>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 44>;43>14>;43>41>;43>44>;43>44>44>;43>44>44>44>;44>14>;44>43>;44>44>;44>44>14>;44>44>44>;46>1>;48>30>;48>31>;48>48>;48>49>;48>49>49>;49>48>;49>49>;
27350-6401;1;5;;5;;4;48;1;1;21;33;2;24;4;3;1;1;3;1;;1;;1;1;3;;;;;2;1;;;;4;2;;2;;1;1;1;2;16;10;;1;5;4;2;2;2;;;;;;;1;;4;2;2;;;11;3;;12;3;2;;1;2;;;;;1;1;4;;6;1;1;7;5;1;1;;1;;3;;3;16;2;3;1;6;4;7;5;1;;1;1;5;3;1;;6;1;1;2;1;1;1;2;1;1;;1;;;1;2;1;;;;2;;;1;;;;;;1;;
26940-4917;;;;2;4;2;20;;1;3;6;;15;3;2;;;;2;;;;;;;;;;;;;2;1;1;1;;1;1;;;;;3;3;;;;;;1;5;2;2;1;2;1;1;1;1;1;1;;;;;1;;;9;1;;2;;;;1;;;1;;1;;1;;;1;1;;;;;;;;1;2;;;;1;1;2;1;1;;1;1;2;1;;1;2;;;2;1;1;1;2;1;1;1;;;;;2;2;2;2;;2;2;2;;;;;;;;1;
13405-5490;5;18;1;9;22;8;64;;1;18;38;;36;4;2;1;5;11;12;3;1;2;2;1;10;;2;1;3;2;2;6;5;3;6;2;;;1;2;3;1;2;15;4;;1;2;1;5;4;1;1;;;;;;8;8;5;1;;2;;8;2;1;13;3;2;1;1;6;1;2;;;;1;2;;4;2;;5;4;;1;;1;;3;1;3;11;2;3;2;3;3;12;3;3;5;6;;8;4;;3;6;1;;3;2;;;;;;;3;;;;;;;1;;;;;2;;1;2;2;2;3;9;
20796-4435;1;4;;4;1;10;24;1;;16;12;;17;3;3;;1;1;;;;;1;1;3;;2;;2;2;2;;1;1;2;2;3;5;4;1;2;2;2;2;1;;1;;;1;;;;;;3;1;1;;;3;1;;;;1;;;9;;;;2;;;;1;;;;4;;5;1;1;4;2;;1;;1;1;;;1;9;1;4;1;2;1;1;1;;;1;;4;2;;;1;1;;;;;;1;;;1;1;;1;;1;1;1;1;1;1;;1;1;1;;;;;;;
24082-4603;;;;;;;3;;1;3;2;;6;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;3;;;;;;;1;;;1;;;;;;;;;;;;;;;1;;1;;;;;;;;;;1;;;;;;1;;;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
21513-6030;;2;;2;2;2;30;1;2;11;19;;17;9;11;;;7;4;;;;;;;;;;;;1;;1;;1;;;1;;;1;1;2;7;3;;;;;2;1;1;;;;5;4;4;3;3;4;1;;;;7;1;2;9;2;;;3;6;1;;1;;2;2;2;1;4;;;1;;;;;1;;;;1;7;;1;;1;;3;;;3;3;;2;;;2;3;;;;;;2;3;3;3;;1;;1;1;8;7;2;1;3;7;1;2;;1;1;1;3;3;1;4;
22787-4435;1;3;5;;;;15;2;1;10;10;2;11;;;;1;2;;1;;1;;;1;;;;1;;;;;;;;;;;;;;;3;2;;;;;1;3;2;1;1;;;;;;;2;1;1;;;3;1;;4;;;1;;;;;2;;1;;2;;2;;;3;1;;;1;;;;;2;6;1;1;;;;3;1;;;1;;2;1;1;;5;;;3;3;1;;;;;;;;;;;;;;;;;;;2;;;;;;;
18607-4917;;;;1;1;2;1;;;2;1;;1;;;;;;;;;;;;;;;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22423-4434;;;;3;;2;11;1;;1;6;;13;4;8;;;3;1;;;;;;;;;;;;;;;;2;;;;1;;2;2;1;;;;;;;;4;1;1;1;1;;;;;;;;;;;2;;;4;;;1;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;;2;1;;;3;2;1;1;1;;;2;1;1;1;2;;1;;3;2;2;2;;3;1;2;;;;1;1;;1;;
27586-4435;2;9;1;2;;1;20;1;;10;14;1;16;3;3;;2;2;;;;;2;2;5;1;1;1;1;;1;;;;1;;;;;;1;1;2;4;2;1;;1;1;;3;1;1;;;;;;;;2;1;1;;2;1;;1;9;2;1;2;1;1;;;1;;;;1;1;1;;;3;3;;1;;1;;1;2;;5;1;;;2;2;2;;1;1;5;1;5;2;;1;4;2;1;2;1;;;;;;;2;2;;;1;1;1;;1;1;;1;2;;;;;;;;
