aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3 14>;5>5>;5 14>;6>6>;6>6>6>;6>6>6>6>;6 14>;6 41>;6 48>;7>5>;7>5>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>45>;14>49>;14>49>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 43>;14 44>;14 48>;16>31>;16 30>;16 30>31>;16 31>;16 31>31>;17>30>;17 30>;30>2>;30>14>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>32>;30>32>31>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>44>;41 43>;41 43>44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
31510-5489;;1;;;;1;;7;;;;;;8;6;7;1;;;;;;;;;;;;;;;1;;;1;;;1;;;;;;;;;;;;1;;;;;;;1;;;;;;;1;1;;1;;;;;;;;;;;;;;2;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;1;3;1;2;;1;;;1;;;;1;1;;;;;;1;;;;;;;;;
31469-6895;3;5;5;3;4;3;;18;1;;6;4;;14;3;3;;3;5;3;3;2;2;2;1;1;1;;1;3;3;1;;;;;;1;3;;1;1;;;;;;2;;;1;2;;;;;;2;1;;;;;1;;;2;2;1;;1;;;;;;;2;;;8;1;;;;1;;1;;;1;1;;;;2;2;;1;1;1;1;;;;;;;;;;;;;3;2;;;;;;;;1;1;;;;;;;;2;;;;1;;1;;;;;;;;;;;1;;2;;1;;;2;;2;;;2;1;1;1;1;;;3;3;1;;;;3;;
31311-6030;1;2;;;2;3;1;22;1;;4;6;;19;8;8;;1;3;1;;1;1;1;1;;;;;;;2;1;;1;;;1;;;;2;1;1;;;;;;1;1;1;;;;;;3;2;;;;;2;1;1;4;3;2;;;;;;;;;1;1;1;10;1;1;1;1;3;2;;;;;;;;;1;;;;;;;;;;;;;;1;;1;;;3;;;;;;;;;2;1;;;;2;;;;;;;;1;;2;;1;1;;;2;1;;;;1;;4;1;2;1;;3;;;;1;3;2;2;1;;;;;;1;;;;;;
31570-5490;3;17;5;2;6;7;1;43;;1;12;11;2;28;3;1;2;3;7;5;1;;2;;1;;;;1;1;;9;;;3;;;5;1;;1;1;;;1;1;;1;;1;2;2;;1;2;;3;6;2;;;;;6;4;2;;;;1;4;3;6;2;1;;;;;;18;1;4;3;;;4;;;;;;;1;;1;2;;1;;;;;4;3;;1;;;2;1;;;2;6;1;2;1;;;;2;1;1;;1;;;;;2;1;1;3;1;;3;2;7;2;5;3;1;1;1;;;;;1;;1;;;;;;;;;;1;;;;;;1;2;1;;2;;;2;4;
31694-5384;3;5;3;2;1;2;2;12;3;;16;11;5;4;1;3;1;6;4;1;2;1;1;;;1;1;;;3;2;;;;;;;1;;1;;1;;;;;;1;;;;;;1;1;;;3;2;1;;3;2;1;;;;;;;1;1;3;1;1;;;2;;1;3;;1;;;1;1;2;1;1;1;;;;;;8;;6;4;3;3;1;3;2;1;;4;3;;1;1;;;5;;5;4;2;1;1;1;1;;;2;;1;1;;4;4;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;;;;;1;1;
18607-4917;;1;;;;;;4;;;3;5;;4;3;5;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;;;;;1;;;1;;1;;;2;1;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;;;2;;;1;;;;;;;1;;2;;;2;1;;;;;1;;;;2;;1;;;;;1;1;;;;1;1;1;2;;;;;;;;1;;1;;1;;;;;;;;;1;;;;
28250-4917;1;8;1;;;;;26;1;3;27;23;;10;3;3;;1;1;;1;;;;1;1;1;2;;1;1;3;;;;;;1;;;;;;;;;;;;;;4;1;;;;1;13;8;1;;;;2;;;;;;;;;7;4;2;;1;2;;;2;;;;1;2;1;1;1;1;;;2;3;;2;10;2;3;2;;;3;12;5;1;3;;;1;;5;1;5;15;;3;2;2;;;8;3;;;;;;3;1;;;;;2;1;1;1;;;;;;;;;;;1;3;1;1;;;;;;;;;;;;;;;;;1;1;;;;;;;
29016-5061;1;11;3;;;1;;26;;;4;3;;13;6;6;1;1;1;3;;1;1;1;1;1;3;;1;;;6;;;1;;;1;1;;;;;;;;;;;;;3;1;1;;;1;;;;;;;2;;;1;1;1;;1;1;;;;;;;;;8;;;;1;2;;;;;;;;;1;;2;;1;1;1;;1;2;2;2;;;;;;;1;;2;;2;1;1;1;;;;1;;;;;;;;;2;;;;;;1;;1;1;1;;1;1;1;1;;3;;3;;3;2;1;1;;1;;1;3;1;2;1;1;1;1;;;;;;;;1;
31400-4448;4;11;1;6;7;7;;33;1;;4;7;1;13;12;21;5;4;3;;1;2;3;2;1;;2;;1;1;1;6;1;;;;;;;2;2;;;;2;;;2;1;1;;4;2;;5;1;4;4;2;1;;;;6;2;1;5;5;4;3;;;;;;;;;;;5;1;2;2;;9;1;1;;;1;1;;;;;2;;;;;;;1;;;;;;1;1;;;2;4;;2;;;;;;;3;2;;1;;;;1;;;;1;;1;;4;;2;1;;1;3;3;1;1;;1;;11;3;6;2;2;6;1;4;1;2;8;4;4;1;2;2;4;2;1;1;1;;;;;
31384-5061;;;;2;;1;;6;1;;8;8;1;;2;3;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;1;;1;2;2;1;;;;;;;1;;;;;;3;1;1;1;;2;1;;;;;;1;1;;;1;;1;;;;;2;3;1;1;1;1;1;1;4;2;2;;;;;;3;;;5;;2;1;1;1;1;2;;1;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;1;1;;;;;;1;;;;;;;;;
