aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3 14>;5>5>;5 14>;6>6>;6>6>6>;6>6>6>6>;6 14>;6 41>;6 48>;7>5>;7>5>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>45>;14>49>;14>49>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 43>;14 44>;14 48>;16>31>;16 30>;16 30>31>;16 31>;16 31>31>;17>30>;17 30>;30>2>;30>14>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>32>;30>32>31>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>44>;41 43>;41 43>44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
21361-4917;2;15;;6;5;4;;29;2;;9;20;;21;9;15;;2;6;;2;;;;3;;3;2;1;1;1;6;1;1;;1;3;2;;1;1;4;4;4;1;;;2;1;1;;2;;;;;1;3;2;1;1;;;1;;;1;1;;;;;2;1;1;1;;4;1;;5;;1;;3;2;3;;1;;2;;;;2;;2;;2;2;2;2;;1;1;;;;;;1;2;;1;4;;2;2;2;2;2;;;2;1;;2;;4;;;;;;1;;3;;9;2;3;3;1;1;1;1;1;1;1;1;;2;;1;1;;1;;;1;;4;1;1;1;;;;2;2;;;;2;;;
31292-5384;1;6;;;28;4;;14;;;1;3;;13;3;4;;1;1;;;1;;;1;;;;;1;;2;1;;;;;3;;;;12;7;5;4;2;1;;;1;;1;;;2;;;;;;;;;1;1;1;1;;;;;;;;;;;2;;;3;;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;4;;3;2;1;1;1;1;1;;1;2;1;2;;1;;;1;;1;;;1;1;;;;;;;;;;;;;;
30639-5489;;;;;;;;6;;;10;6;;6;5;8;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;1;;1;;;;;1;;;;;;;1;3;;;;;;;;;;1;6;;3;3;1;1;;;;;;;;;;;1;;3;;3;1;1;;;;;1;;;;;2;1;;;;;;1;2;1;1;1;;;;;1;1;;;1;1;1;3;;1;;;;;;1;;2;;;;;;;;;;;;;;1;
24192-6401;2;11;1;3;;1;;19;;;6;6;;8;6;3;2;2;1;;1;1;;;;;4;1;;2;1;5;;1;;;1;1;;;1;;;;;;;1;;;;4;2;1;;;2;2;1;;;;;2;2;1;2;;;;;;2;;;;;1;;;4;1;;;2;1;;;;;;;;;;1;3;1;2;;;;1;1;;;;;;;1;1;;;4;;2;2;;;;1;;;;;;;;;;;1;1;;;2;2;2;1;1;1;;1;1;1;1;1;;;;2;;2;1;;1;;;;1;2;1;1;;;;;1;1;;;1;;;;
31317-4114;;5;;;15;1;;7;;;3;4;1;1;;;;;1;;;;;;;;;;;;;4;;1;1;;1;1;;;;4;1;1;2;;1;;;;;;;;;;;2;2;1;;;;;;;;;;;;;1;1;1;;;1;;1;1;;;;;;;;;;;;;;;;3;;;;;;3;3;1;1;1;1;1;;;1;;;3;;2;;;;;2;1;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30812-5490;2;16;;;1;2;;30;;;8;13;;23;5;11;;2;3;1;;1;1;1;2;;4;2;3;;;9;2;2;1;1;2;3;;;;;;;1;;;;;1;1;6;3;;;;;3;1;;;;;5;3;2;1;1;;;1;1;3;1;1;1;1;4;;1;6;;;;1;4;1;;;;;;;;2;3;4;2;3;1;;;;2;2;1;;;;;;2;1;;5;2;3;2;1;;;1;1;;;;1;;3;1;;;1;;;1;1;1;3;;2;1;1;;1;1;1;1;;1;;3;;1;1;;;;;1;;1;;1;;;;;;;2;;;;1;1;
27350-6401;2;7;2;;10;4;1;24;1;;3;5;;20;7;11;5;2;2;;1;;;;;;1;;;;;4;;1;2;;1;3;;;;2;1;1;4;3;1;;;2;3;;;1;;;;1;1;;;;;;;;1;1;;3;;;;;;;;1;;1;9;;;;1;2;1;1;;;1;1;;;;1;1;;1;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;;1;;;;;;;;2;1;1;;;;;;;;;;1;2;1;3;1;;;;3;;;;;3;2;3;2;1;1;2;1;1;;;;;;;
31451-4448;1;14;3;;22;2;;44;1;;8;10;;40;13;15;1;1;2;;1;;1;;1;1;7;;;;;7;;;4;1;;5;1;;;9;4;3;3;1;1;;;1;1;5;2;2;;;4;2;1;;;;;5;2;1;5;4;1;1;;;3;;;1;2;3;;;17;1;;;1;4;;1;;;1;1;;;;2;2;1;1;;;;;2;1;1;;;;;;2;2;2;4;1;1;;;;;1;;3;2;;1;1;2;;;;3;;3;;1;1;6;;2;;;2;4;2;1;1;1;5;1;8;3;2;2;1;4;2;2;2;;2;2;2;2;1;1;1;1;1;;;;;;;
17491-6590;1;9;6;;;;;22;;1;19;11;;7;;;1;1;6;;;1;1;1;;;;2;;;;6;;;;;;1;4;;;;;;;;;;;;;1;;4;;;1;7;4;2;2;;;2;1;;;;;1;;;3;2;1;;;1;;;4;;1;;;;2;;;;;;1;;;3;12;3;10;8;6;6;;2;1;1;;;;1;2;;;;9;;6;5;4;3;3;;;1;1;;;1;1;1;;;1;;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;
27889-5061;;5;;5;1;3;;12;2;;8;9;;14;6;8;3;;1;;;;;;;;;;1;;;1;;;1;;1;1;;;2;;;;;;;2;;;1;;;;;;2;;;;;;;4;2;;4;2;2;;;;1;;;;;1;;;3;;;;;2;;2;2;2;1;1;;;;1;1;;1;;;;;3;1;;;;;2;;1;1;;3;1;;;;;;;;2;1;;2;;1;;;;1;1;1;;1;1;4;1;1;;;1;2;2;2;1;;;;4;2;4;1;;3;;1;1;1;6;1;3;1;2;2;2;;;;;;1;;;
31462-4448;2;10;11;;6;4;3;22;;;3;2;2;6;3;2;2;3;3;;;1;;;;1;2;;;1;;5;;;1;;;2;2;;;1;1;;1;;1;;;1;1;;;7;;;;2;1;1;1;;;1;;;;;;2;;;1;;;;;;;;5;;1;;2;1;2;;;;;;;;;;2;;2;1;1;1;;;;;;;;;;;;;2;;2;2;1;1;1;;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;1;;;;;;
28164-6590;2;7;;10;;6;1;19;;2;24;18;;16;3;2;;2;1;;1;1;1;;;;2;1;1;1;1;1;;;1;;;2;;1;2;;;;;;;4;1;;1;;;;1;;2;5;5;4;2;;;3;1;1;;;;;;;5;1;1;1;;3;1;;4;2;;;;1;;;;;;;2;1;;1;12;1;8;8;7;6;;3;3;2;1;;;1;;2;1;1;14;;9;7;7;5;5;1;;3;3;;;;;;;;1;1;2;;4;3;2;;1;1;1;;2;;;;;1;;;;;;;;;;;;;;;;;;;2;1;1;;;;;;
30703-5384;2;14;3;4;8;5;;39;5;3;30;32;4;38;9;13;;3;3;1;1;1;1;1;;1;;;2;1;1;8;;1;1;1;1;2;1;1;1;;;;2;2;1;3;1;1;3;;;;1;1;;9;4;2;2;;;7;1;;1;1;1;;;;3;1;;1;1;6;;4;10;2;1;;3;5;;2;2;1;3;;2;1;1;;9;;7;4;1;1;2;6;2;1;;4;1;1;1;2;3;1;17;;6;5;3;;;2;1;3;2;1;1;;9;2;2;2;1;;2;2;5;2;9;1;;;;;2;2;;;2;4;2;6;1;3;2;1;3;2;;;1;3;2;2;2;1;1;;1;1;1;;;;;;
21513-6030;;3;;2;4;2;;14;1;;15;9;;22;4;6;;;11;2;;;;;;;;1;;;;1;;;;;;1;;;;1;;;1;2;2;1;;;1;;;;;;;2;1;;;;;4;1;1;;;;;;;1;;;;1;1;;;6;1;1;1;;1;4;1;1;1;;;;;;;4;;3;2;2;2;;2;2;2;;;;;1;1;3;;5;;2;2;2;2;2;;;1;;;1;;1;1;;;;;;1;2;1;1;;1;1;;;2;1;1;1;1;1;1;2;;2;1;;1;;;;;3;1;1;;;;;;;;;1;2;1;1;
31729-4448;;4;;;;;;15;;;4;3;3;13;;;;;2;2;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;2;;2;;;;1;;;;7;;;;;;1;;;;;;;;;;;;;;;;;1;;;;1;1;;;;1;;2;;;;;;;1;;1;1;2;;;;;2;1;1;;;;2;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;
31219-5490;1;6;1;;8;2;;14;1;;4;4;;11;4;7;;1;2;;;;1;;;;1;;;;;3;;;1;;;2;;;;1;;;;;;;;2;1;;;1;;;;1;;;;;;1;1;1;2;1;;;;;1;;;;1;;;;4;;;;;2;1;1;1;1;;;;;;1;1;;1;1;;;1;2;1;;;;;;1;;1;;2;1;1;1;1;;;;;;;;;;1;;;;1;;1;;1;1;2;1;1;1;;;1;1;;;;1;;1;;;;;1;;1;1;;2;1;;;;;;1;;;;1;;;;
31728-4114;1;9;1;11;1;8;4;52;5;6;18;23;10;26;5;8;2;1;12;;;1;1;1;;;2;;;;;4;;;;1;;;1;4;3;;;;1;;;7;4;1;;4;2;;6;4;1;13;3;;;2;2;5;2;2;2;2;1;;;;2;;;;;3;2;;10;1;1;;1;3;3;5;2;2;3;3;5;5;;4;5;1;2;1;;;1;7;2;1;1;2;2;;;1;;6;6;2;2;2;1;;;1;1;8;;5;;3;1;1;4;1;;1;2;1;2;;6;1;4;3;1;;1;1;1;1;;;;4;1;3;3;1;2;1;;;1;3;;3;;1;1;1;;;;6;1;1;;;
