aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14 41>;2 41>;5 14>;6>6>;6>6>6>;6 7>;6 14>;6 41>;7>5>;7 14>;7 41>;14>2>;14>7>;14>7>5>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>49>;14 30>;14 30>31>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;16>31>;16 30>;16 31>;16 31>31>;17>30>;17 30>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31 41>;31 41>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41>44>44>;41 43>;41 43>44>;41 43>44>44>;41 44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43 44>;44>14>;44>14>41>;44>14>43>;44>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;48>14>;
31311-6030;;2;1;2;8;5;2;13;1;;1;5;;12;2;2;;;2;;;;;;;;;;;;;;1;1;1;;2;5;1;1;;1;;;;;;;1;;;;;;;;;;;;2;;1;5;;;;;;;1;1;1;;;;;;;;1;;;;;;;;;;;1;1;;;1;;;;;;;;3;;1;;1;;;;;;;;;;;;;1;;2;1;;;1;;;;;;;;;;;;;;;;;;;;
27706-4435;1;7;2;;5;3;;20;;;5;6;;19;2;2;2;1;9;;;;;;1;;;;;4;2;4;;1;1;1;2;;;2;1;1;;;1;1;1;;2;;;;;;;;2;;2;1;3;;1;8;;1;;;;;1;3;;;;;;;1;;;;;;;;1;;;3;3;;1;;;;;;;;1;;1;2;;;;1;;1;;1;;;;;;;;;;;1;;;;1;1;;;;;;;;;;1;;;;;;;;1;
18607-4917;;;;2;;1;;8;;;5;7;;7;3;4;1;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;1;;;2;1;;;1;1;1;;2;1;;;1;;;1;;;;;;1;1;;;;;;;;;;2;;2;1;1;;1;;;1;;;2;;;2;2;1;;;;;1;3;1;;1;;1;1;;1;1;;;;;;1;1;1;1;1;1;1;;3;2;2;2;2;;1;1;;1;;2;1;2;1;2;1;2;;;
28250-4917;1;2;;;;;;11;1;;4;6;;14;2;3;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;1;;;1;2;1;;;;;;;;;1;2;;;2;1;1;;6;;;;1;;1;1;1;1;;1;1;;;;;;;;;;;;;;;2;1;2;;;;;;;;2;2;;1;;;;;;1;;1;;;;;;1;1;;;;2;;;;;;;;;;;;;1;;1;;1;;;;;;;
29016-5061;;4;;2;;2;;16;;;5;6;;18;5;5;1;;;;;;;;1;1;;;;3;1;2;1;;;;;;1;;;;1;1;1;2;;;2;1;1;;;;;;2;;;1;2;;1;10;1;2;1;1;;1;;;;;;;;;;;1;;1;;;;;;;;1;;3;;;1;1;;;;1;1;1;1;;;1;;;2;1;2;;1;1;;;;1;;2;1;3;2;1;;2;1;;;;;;;;1;;2;;;;;;;;;
31191-4434;1;4;2;6;2;5;;38;2;;9;10;3;39;8;10;2;1;;;1;1;1;;3;;;;;;;;2;;;;2;1;3;2;2;3;;;2;2;2;;5;3;3;2;2;1;1;;1;;;1;1;;1;17;;1;;1;;2;3;;2;1;;;;;;;3;;1;1;1;;3;1;1;;1;3;6;;;2;1;1;2;1;;;;5;1;2;;3;1;1;1;9;;4;3;3;1;1;2;1;1;1;2;1;1;1;4;4;3;3;1;;2;1;1;1;1;5;2;4;1;4;1;2;;;
30777-4433;;2;;;5;1;;21;2;;;5;;14;11;13;1;;;1;;;;;;;1;;;1;1;1;;2;;;1;;;;;1;1;;;1;;;4;;;;5;1;1;;;;;;1;;;7;;2;;;1;2;4;;1;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2;;;1;;;;;2;;;;;;;4;1;2;2;2;2;2;1;5;3;2;2;;2;5;1;2;;1;3;3;2;2;2;2;;;;
23467-4433;;;;2;;1;;6;;;1;3;;5;1;1;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;2;;1;3;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;;;;;;;;;;1;;;1;;;;;;1;;;;;;;;;;;;;;;
30940-4435;1;7;;;3;4;;64;1;;11;35;;28;6;6;1;1;3;;1;;;;;1;;1;;5;;;;;;1;1;2;;1;2;1;2;;3;15;5;3;2;;;;2;1;1;;3;1;;;23;5;3;13;1;;;;;;;1;1;;1;1;;;5;1;5;3;3;2;1;1;1;1;1;;;2;5;1;1;3;1;1;;;6;;1;4;;;;1;;3;2;4;;2;1;1;1;;;;3;3;5;3;3;;3;3;2;2;2;;4;;1;;;4;2;3;1;3;1;3;;1;
27352-6401;1;4;;;;1;;14;;2;3;1;;11;3;4;;1;;;1;1;1;;;;;;;3;2;2;;;;;;;;;;1;1;;1;1;1;;2;1;;;2;;;;1;;;;;;;8;;1;;;;;1;;;;;;;1;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;1;;;;4;;2;1;1;1;1;1;1;;;;;;;2;;;;;;2;;1;;1;2;1;1;1;1;1;;;;
