aluno;1>;2>;3>;4>;5>;6>;7>;8>;9>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;46>;47>;48>;49>;2>14>;6>6>;7>5>;7>14>;8>7>;9>11>;11>9>;14>2>;14>7>;14>8>;14>11>;14>14>;14>14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>31>48>;14>32>;14>32>31>;14>38>;14>38>14>;14>38>33>;14>41>;14>41>41>;14>48>;14>49>;16>31>;16>31>30>;17>30>;17>31>;17>31>31>;29>48>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>48>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;34>38>;36>34>;36>34>37>;36>36>;36>36>34>;36>37>;36>38>;37>34>;37>36>;37>38>;38>14>;38>14>31>;38>33>;38>36>;39>38>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>13>;48>14>;48>29>;48>30>;48>30>30>;48>31>;48>48>;49>14>;49>48>;
33790-4224;1;3;;1;;;2;1;1;1;;22;1;6;;;11;18;;3;3;4;3;5;;21;;1;;5;1;;;;1;1;1;1;1;;1;;4;2;1;5;;1;;;;;;;;2;1;1;9;3;;;1;;2;4;1;;3;;;6;2;1;1;;;;;;;2;;;;;6;;3;1;1;;;;1;3;1;1;;1;;;;;;;2;2;1;;1;;;;2;1;;1;1;1;;3;;;;1;1;4;;1;;;2;;1;;1;2;1;1;
32366-4429;;;1;;;;;;;;;18;2;1;1;;11;15;2;1;1;2;;3;;9;2;;;3;2;;;;;;;;;;;;1;;1;5;;;;;;1;1;;;;;;2;;;;2;2;;1;1;;3;1;;4;2;2;1;1;;;;;;;1;;;1;6;1;2;1;1;;;;;3;1;;;1;1;;;;1;;1;;;;;;;;;1;;;;2;1;;;;;;;1;;;;;1;;;;;1;;1;
31993-4428;2;10;2;2;;15;2;1;1;4;5;81;3;29;;6;29;73;7;7;7;12;5;18;4;48;4;2;;34;6;;2;;;;;1;3;1;;1;3;;;24;;10;1;6;;3;1;1;1;3;;1;13;2;9;1;3;2;10;19;8;;6;6;5;9;3;3;1;;;3;;;;3;8;2;1;;21;1;7;2;;1;;;1;14;3;5;;;4;1;2;2;1;;1;1;2;3;4;2;5;2;3;1;2;;;4;;5;1;2;2;1;1;7;;4;3;3;6;4;3;1;2;5;1;4;
28236-4429;;;;;;;2;;;;;52;2;6;4;;42;44;2;1;;;;2;1;1;1;;;6;;;;;;;;;;2;;;3;;3;37;8;28;12;3;4;4;2;;;1;;;1;1;;;2;1;6;;;;17;10;7;5;3;1;1;1;;6;4;2;2;;9;7;5;;35;14;4;1;1;5;3;1;;4;2;;2;;6;;2;2;;;;;;;;;;;;;;;;;;1;;;;;;1;;1;;;2;;2;1;1;;;;
27813-7111;1;4;;;;;;;;2;;21;;1;;5;4;8;;;;;;1;;;;1;;9;;1;;;;;;;3;;;2;4;;2;7;;3;1;1;1;;;;;1;1;;;;4;;;;;1;;;1;;;2;;2;1;1;;1;;;;2;1;;;;3;1;1;1;1;1;;;;1;;;;;2;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;2;5;2;;;1;;;
31591-4428;1;5;;5;1;;3;2;;;;57;2;;;1;16;36;7;2;2;6;2;7;1;51;;1;;3;6;;;;1;1;;;2;2;1;;;;;13;4;7;;;4;;;;;2;1;;21;2;;4;2;1;;;;1;;;;;;;;;;11;8;6;5;;9;3;2;4;15;;;;;11;8;4;;;;;3;;1;;;7;;;1;1;;1;1;;;;1;1;;;;3;2;1;2;1;;3;;7;1;1;;;;1;;;;;4;;
31588-4429;1;12;4;2;;9;9;10;1;6;2;89;4;7;;3;17;48;5;5;5;9;4;17;5;35;7;1;1;6;2;;1;;1;5;1;;6;2;7;2;16;3;3;17;3;2;1;;;4;;2;1;5;1;2;11;3;1;1;4;1;3;4;;1;3;;;6;1;3;2;2;;1;1;;;1;8;;;1;7;2;4;2;2;1;1;;1;9;1;4;;3;;;;2;3;1;2;1;2;1;;;;;1;2;;2;2;2;;4;2;3;1;2;1;8;1;2;1;1;1;;;;;;;;
31701-4429;1;4;1;;;5;5;;;5;;48;2;1;;2;11;27;3;3;3;6;2;9;;15;;1;;6;1;;;;4;;;;4;3;;4;1;;;16;;2;1;;;5;2;2;2;6;1;2;5;2;;1;2;1;;1;;1;1;1;;1;;1;1;;;;;;;;;;;;6;1;;;;;;;;5;;;1;;3;;2;;2;2;1;1;;1;2;;1;;2;;;1;;3;;2;2;;;;;5;;2;;;;2;2;;;3;1;;
29688-4224;1;3;;;;;1;;1;2;;40;3;4;2;;10;27;1;3;3;10;2;8;;21;;1;;1;;1;;;;;;1;2;;;1;;;;11;2;4;;1;;1;;;;4;;2;4;2;;;3;;;4;;;;;;4;;3;2;1;;;;;;;6;3;2;;8;;2;1;;;;;;4;1;;;;;;;1;;;;;;1;1;;4;;2;1;1;1;;;;3;;;;1;;6;;2;1;;;;;;;;;;
15183-6547;;5;;;;1;2;;1;2;;39;2;1;;;10;22;;2;2;2;2;6;;23;;;;4;;1;;;;;;1;5;1;;1;;;;10;;3;;1;1;1;2;;;2;;;14;2;;;2;;;1;;;2;1;;2;1;2;1;1;;2;1;;;;1;1;1;;5;;1;1;1;2;1;;;4;;2;;1;3;;2;;;;2;1;;;;;;;1;;1;;1;;;2;;;;1;;4;1;;;;1;;2;1;1;;;;
30688-4429;1;8;1;;;;3;4;1;1;;45;1;1;;;3;7;3;7;7;8;5;11;5;;;1;;4;2;3;;;;3;;1;3;;4;;9;1;;3;;2;;1;;;;2;2;3;2;1;;;;2;1;;;1;;;;;;1;;1;;;;;;;;1;1;1;1;;3;;1;1;;;;;1;;;;;;1;;;;2;1;3;1;2;1;6;2;3;3;2;1;1;1;;4;1;6;;3;;;;;;;;;2;;;;;1;2;;
21782-5786;;1;;;;;;;1;2;;19;1;1;;;5;8;;;;;;4;;9;;;;;;;;;;;1;1;;;;;1;1;;6;1;2;;;1;;;;;2;2;;2;1;;;1;1;;1;;;3;3;2;;;;;;;1;;;;;1;;;;4;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;1;2;;1;1;;;;;;;;;;
31572-4428;;2;;;;;;;;1;1;27;4;1;;7;7;23;1;;;;;2;;14;;;;10;;;;;;;;;;;;;2;;;7;;1;;;;;1;1;;1;;;4;1;;;4;;1;;;2;2;;;1;;1;;;;;;;;1;1;1;;;3;1;;;;;;;;2;;;;2;7;3;;;;;;;;;;;;;;;;;;;;;;;;2;1;4;1;2;;1;;7;1;;;3;;;
32995-4428;;4;;;;;;;;;;35;;2;;;1;15;;3;2;5;2;9;;10;;;;;;1;;;;;;;4;;;;14;1;4;10;4;;;;;5;;;;1;1;;5;;;;;;;2;1;;1;1;;;;;;;;;;;;;8;5;;2;1;1;;;;;;;;9;1;1;;;;;;;;;2;1;;;1;;3;1;1;;2;;;4;1;;1;;1;;;2;;;;;;;;;;;;;
31470-4224;2;10;;;9;;7;;1;2;;53;1;4;2;;18;30;2;3;3;7;2;11;2;37;;2;;2;2;1;;6;;;1;1;3;4;;;1;;1;10;1;5;;1;;1;;1;;4;;2;15;;;;1;1;1;3;;;4;1;;3;1;2;1;1;1;2;;;;;4;1;1;2;14;2;1;;;1;;;;1;1;;;;;;;1;;;1;;2;;3;2;;;;1;;;;2;1;3;3;;;2;2;2;;1;;;1;;;;;;1;;
35659-6547;;2;;;;1;3;;1;2;;29;2;4;;;7;18;2;2;2;3;2;4;1;6;;;;2;1;;;;1;;1;1;1;2;;2;1;;;10;;2;;;1;1;2;;;2;1;1;2;1;;1;1;;1;3;;;1;;;3;1;3;2;1;;1;1;;;;1;;;;5;;1;1;1;1;1;;;4;2;;1;;2;;2;;2;;1;1;1;;2;1;1;1;1;;;;1;1;;1;1;;;;;1;;;;;;;2;2;;;;;
27770-4224;;1;;;1;2;3;;;;;6;;;;;1;4;;;;;;;;1;;;;;;;1;;;;;;;2;;;;;;2;1;;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;;;;;;;;;1;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;
31734-4428;1;4;;;;1;1;;1;2;;18;4;4;;;18;26;;4;4;8;3;8;;25;;1;;5;;;1;;;;;1;2;;;;1;;1;3;;1;;1;;1;;;;2;;1;1;;;;4;2;;4;4;;;;;5;;3;3;1;1;2;1;1;1;1;1;;;;10;;3;2;2;1;1;1;1;7;2;2;;2;2;;1;;;;1;1;;3;2;;3;1;3;;2;;;1;;2;;;;4;1;6;2;1;;;;;1;;;;;;
15735-5786;;1;;;;;1;1;1;2;;37;2;9;1;;29;36;1;3;2;2;2;5;;31;;1;3;21;4;;;;;;;1;1;;;1;16;3;7;18;1;6;;1;;2;2;1;1;1;1;;10;3;;1;2;;6;2;;;3;1;;7;;3;1;1;;4;2;;;8;2;2;;;19;1;4;2;1;3;1;;4;4;2;;;;5;;1;;1;;1;1;1;;;;;;1;1;;1;1;2;1;3;;;1;5;3;8;1;1;;;2;;3;1;2;3;;1;
31856-4429;1;13;1;4;2;2;3;;1;2;4;85;7;12;;10;61;66;2;6;5;14;3;14;6;23;2;1;3;27;2;2;;1;1;;;1;7;2;;2;10;2;2;32;1;8;;6;;5;5;;;3;1;1;10;1;2;2;7;3;3;9;1;1;10;1;1;34;3;20;10;6;5;7;1;;;1;6;2;1;2;28;2;16;8;3;;;;;10;7;1;;2;12;6;4;1;1;;2;1;;3;2;;2;1;2;1;2;;;1;;6;4;3;2;3;1;4;;3;1;4;3;7;5;3;1;;;2;
