aluno;4>;6>;7>;8>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;47>;48>;49>;6>6>;8>7>;14>7>;14>8>;14>14>;14>14>14>;14>14>31>;14>31>;14>31>14>;14>31>14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>42>;14>48>;14>49>;16>31>;16>31>14>;16>31>30>;16>31>31>;16>31>48>;17>30>;17>30>30>;17>31>;28>30>;29>4>;29>30>;29>48>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>30>;30>32>;30>48>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>41>;31>41>41>;31>48>;31>48>29>;31>48>30>;31>48>48>;32>14>;32>14>31>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;36>34>;36>34>37>;36>36>;36>37>;37>34>;37>36>;37>38>;38>14>;38>33>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;47>48>;48>13>;48>14>;48>29>;48>29>48>;48>30>;48>30>30>;48>31>;48>48>;48>48>48>;49>14>;49>48>;
31701-4429;;5;3;;;;25;1;1;;2;6;18;1;1;1;2;1;2;;14;;;5;;;;1;;;;;11;;;;;;;;3;;2;1;1;1;4;;1;;;;;1;;1;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;3;;;;;;2;;2;;;;1;1;1;1;;;;;1;;;;;1;;;;4;;1;;;;;2;1;2;;;3;1;;;
32897-4912;;;;1;;;2;;;;;;1;;;;;;1;;2;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
15183-6547;;;;;;;19;1;1;;;7;13;;;;;;1;;10;;;2;;;;;;;;;6;;;2;;;;1;1;;1;;;1;7;;1;;;;;1;;;;;;;1;;;;;1;1;;;;;;;;;1;;1;;;;;;;;;;;3;;;;;;;1;1;;;;;2;;1;;1;;2;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;1;;;;;
29688-4224;;;;;;;21;3;2;1;;9;20;1;1;1;4;1;3;;13;;;1;;;;;;;;;9;1;1;4;;1;1;;1;;;;;1;3;1;2;;;;;3;2;;1;;;;2;;;;;;;;4;;3;2;1;;;;;;;;;;;;4;3;2;;7;;;2;1;;;;;;;;;4;1;;;;;;;;;1;1;;;;;;;;1;1;1;;;;1;;1;;4;;1;1;;;;;;;;;;;;;
31256-5102;1;;;;;;9;;;;;;3;;1;1;2;1;2;;1;;;1;;;;;;;;;3;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
30688-4429;;;3;4;;;20;1;;;;2;3;1;3;3;3;3;3;1;;;;2;2;;3;;4;4;;;2;;;2;;1;1;;;;;1;1;1;;;;;;;2;1;1;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;1;1;1;1;;2;;;1;1;;;;;;;;1;;;;;;;1;;;1;;;1;;;;2;3;2;2;1;;1;;1;3;;;;;;;;;;2;;;;;;1;;2;;
21782-5786;;;;;2;;15;1;1;;;4;6;;;;;;2;;9;;;;;;;;;1;1;;5;1;;2;;;;1;;;;;;1;2;1;1;1;;;;1;;1;;;;;1;;;;;3;3;2;;;;;;;;1;;;;;;;;;1;;;;3;3;3;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;2;;1;1;;;;;;;;;;;;;
30609-5102;;;;;;;1;1;;;;2;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31572-4428;;;;;;1;20;4;1;;7;7;21;1;;;;;1;;10;;;10;;;;;;1;;;7;;;1;;;;;;;1;1;;;3;1;1;;;;;4;1;;;3;1;;;;;1;2;2;;;1;;1;;;;;;;;;;;;;1;1;1;;;3;1;;;;;;;;;;;;2;;;;1;1;7;3;;2;;;;;;;;;;;;;;;;;;2;1;4;1;2;;;1;;7;2;1;;;3;1;;;
32995-4428;;;;;;;14;;1;;;1;11;;;;;;;;3;;;;;;;;;4;1;3;8;3;2;;;;;;4;;;;;;3;;;;;;;;;;;;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;6;4;;1;1;1;1;;;;;;;;;;;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31470-4224;;;;;;;18;1;;;;10;11;1;1;1;3;1;5;2;10;;;;2;;;;;1;;1;6;1;;3;;1;;;;;;;;;5;1;;;;;;1;;1;;;;;;;;;;2;1;;3;1;2;1;1;;1;2;1;;;;;;;;2;1;1;1;7;1;;1;;;;1;;;;;;;;;;;;;;;;1;;;;;;1;1;1;;;;;;1;1;;1;1;1;;;;;;;;;;;;;;1;;
35659-6547;;1;1;;;;11;2;1;;;2;7;;;;;;;;4;;;1;;;;;;1;;;4;;;1;;;;1;;;1;;;;;;;;;;;1;;;1;;;;1;;;;;;;;1;;1;;;;;1;;1;;;;;;;;;;;1;;;;;;;1;1;;;;;2;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
27770-4224;;2;3;;;;6;;;;;1;4;;;;;;;;1;;;;;1;;2;;;;;2;1;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;
31734-4428;;;;;;;11;3;;;;11;11;;1;1;1;1;3;;11;;;1;;;;;;1;;1;3;;;1;;1;1;;1;;;;;2;1;;;;;;;3;1;1;1;;;;;;;;;;;;2;;1;1;;;;1;;1;1;1;;;;1;1;;;;6;;;1;1;1;;1;1;1;1;;1;3;2;;;;;;;;;;;;;;;;;;1;1;1;;;1;1;;3;1;4;2;;;;;;;;;;;;;;;
15735-5786;;;1;1;2;;11;1;;;;7;11;;;;;;;;11;;1;9;3;;;;;5;1;3;5;;;;;;;;1;;2;;;;2;;2;;;;1;1;1;;;;;;;;;;;1;;;3;;1;;;;;2;;2;;;;;;3;1;1;;;7;1;;2;1;;;1;1;;;;2;1;1;;;;;3;;1;;;;;;;;;;;;;;;;;;;2;1;3;;;;1;;;;;2;1;1;;;;;
