aluno;1>;2>;3>;4>;5>;6>;7>;8>;9>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;46>;48>;49>;2>14>;5>5>;6>6>;6>6>6>;7>5>;11>9>;11>14>;14>2>;14>7>;14>11>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>48>;14>32>;14>38>;14>38>14>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>31>;28>30>;29>48>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>31>;31>32>;31>38>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;34>38>;36>34>;36>34>37>;36>36>;36>37>;36>38>;37>34>;37>38>;38>14>;38>14>31>;38>31>;38>33>;38>36>;38>38>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>29>;48>29>48>;48>30>;48>48>;48>48>48>;49>48>;49>49>;
31077-4428;1;6;;;4;13;7;;1;5;;78;4;4;1;;29;60;;3;2;14;2;11;;46;;1;3;;;4;8;6;4;1;;1;4;1;3;1;28;2;12;1;7;1;1;4;;1;;2;2;;15;2;5;1;;;3;2;1;1;3;;;9;5;2;13;2;6;2;1;1;1;5;2;;1;;7;2;1;22;3;2;10;4;1;1;4;2;13;5;5;;;6;1;;1;;;;1;;;;2;;;;1;;;5;2;2;3;;1;2;6;;15;;2;1;;;;2;1;1;;;
31444-4428;4;15;;;3;;5;;1;1;1;91;6;11;3;1;34;47;3;3;3;9;3;13;;50;;4;8;3;1;3;;;3;1;1;5;1;;4;1;16;1;8;1;1;1;1;;;1;;5;1;;19;2;2;;;3;6;2;6;1;5;1;;4;;;16;2;8;4;3;1;3;8;4;3;1;1;9;3;2;19;1;;4;3;1;;3;2;4;;;3;;1;4;;4;2;1;1;2;2;;1;1;;;2;;;1;2;;4;1;1;;;8;2;6;;;;;1;;5;1;;2;1;
31644-4428;;4;3;;;;2;;1;2;2;29;3;4;;1;32;29;7;2;2;2;2;8;4;20;;;9;;1;;;;;1;1;1;1;1;;;8;;4;;;;3;;;;1;;;;7;;1;;2;;3;1;3;;1;;;4;;;8;;7;6;3;2;1;9;5;2;;3;3;;1;16;3;;2;1;1;1;5;3;;;;2;;;2;;2;1;4;4;;;1;1;2;1;1;;;;2;;;1;;1;1;;;;1;;;;;;;5;;;;;
31952-4224;1;4;1;;;;1;1;;1;;41;3;1;;4;19;23;1;4;3;4;3;8;2;41;1;1;7;1;;;;;;;;2;;;6;1;7;;;;;;;1;;;;3;;1;8;;2;2;;1;2;;;;1;;;;;;7;;4;;;;2;2;;;1;1;1;;;4;;;2;1;;;;;2;;;;;4;4;3;;;;;2;1;;1;1;;;2;;2;;1;;1;2;1;;;2;1;8;;3;1;;4;;1;1;1;;;
34561-5102;1;9;3;1;3;;3;;1;7;5;133;6;26;7;7;68;74;29;5;5;18;10;22;6;63;2;1;61;3;1;2;;;2;1;2;4;2;3;11;2;35;6;18;1;2;2;5;4;2;;8;15;2;3;32;2;10;1;27;2;6;4;22;3;4;5;1;14;4;2;6;;3;;;;1;14;9;5;3;4;13;2;2;45;9;3;6;3;;;12;8;7;4;;8;;;1;;;10;20;15;2;2;;3;4;;5;2;1;;1;6;1;;4;2;3;3;8;3;18;2;3;1;34;5;1;;4;1;1;2;
32508-4429;1;5;;;1;;5;4;1;3;;72;1;7;;3;19;45;3;3;3;3;2;8;1;29;;1;10;;1;1;;;1;1;1;2;3;1;;;25;1;5;;2;1;;2;;4;;2;;;6;1;;;;;1;;2;;5;;;;;;5;;2;1;;;;;;;;;6;2;;7;;;2;1;1;;;;4;1;1;;1;3;5;2;3;;;;1;1;1;1;2;1;1;1;;;1;1;;;3;1;;;1;;5;;;;3;2;;3;3;2;;;
35816-5786;1;5;;;;7;6;1;1;5;;60;3;16;;8;62;58;4;7;6;12;6;15;1;21;;1;13;1;1;;1;1;;1;3;3;;3;6;3;30;;18;2;;;1;3;1;;1;4;;1;4;;;;3;;3;1;10;4;6;;4;10;2;2;6;;3;2;1;;1;2;2;1;1;1;7;1;;31;3;;1;1;1;;1;1;8;1;1;;4;1;2;1;;2;1;;1;1;3;2;4;3;;2;;1;3;4;2;;7;3;1;1;3;;3;;1;;2;7;3;2;4;1;1;;
31191-4429;1;11;;;3;;7;;1;34;;134;5;7;4;;35;78;;3;3;7;2;22;;55;;1;17;14;2;2;;;3;1;10;8;2;26;8;2;43;3;13;1;7;3;2;4;1;1;;7;2;;13;;6;3;;8;5;3;1;1;6;2;;5;2;1;16;1;8;3;2;2;5;7;4;;6;2;7;;;29;2;;14;7;3;2;2;;9;6;3;;3;4;2;;1;;;;1;;;1;;;1;2;1;2;;7;2;2;2;2;;2;5;;25;2;12;4;3;;;2;5;4;6;8;
31164-4429;1;4;;;;4;4;2;1;5;;46;4;8;;;10;34;1;6;6;6;5;15;;28;;1;4;;;;;;;1;3;;2;3;1;;10;1;3;1;;;;;;;;6;3;1;9;;4;1;;;4;1;1;1;7;;;4;;;;;;;;;;;;;;1;9;3;;7;2;;;;;;;;3;;1;1;;;1;;;;1;;3;2;1;2;2;;;3;1;2;;5;2;2;5;;1;;3;1;6;2;1;;3;;;;1;1;;;
29485-5786;1;6;5;;;18;2;;1;4;;86;5;16;;;46;60;2;5;5;8;5;14;4;24;;1;2;3;4;;9;4;;;1;1;1;2;8;;34;4;13;;6;2;;7;5;;2;7;;2;14;2;1;;;2;5;1;10;5;6;;;13;5;3;17;6;9;6;5;3;;2;;;2;1;11;3;1;26;2;;13;6;3;3;1;;9;5;1;;;;;;;;2;2;2;2;1;2;2;1;1;4;;2;;2;1;;5;2;;;4;2;3;1;;;1;;;;;;1;2;
