aluno;1>;2>;3>;4>;5>;6>;7>;8>;9>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;46>;48>;49>;2>14>;5>5>;6>6>;6>6>6>;7>5>;11>9>;11>14>;14>2>;14>7>;14>11>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>48>;14>32>;14>38>;14>38>14>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>31>;28>30>;29>48>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>31>;31>32>;31>38>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;34>38>;36>34>;36>34>37>;36>36>;36>37>;36>38>;37>34>;37>38>;38>14>;38>14>31>;38>31>;38>33>;38>36>;38>38>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>29>;48>29>48>;48>30>;48>48>;48>48>48>;49>48>;49>49>;
23467-4429;1;7;;;;16;3;;1;4;15;53;2;8;;;15;33;;3;3;10;2;14;;16;;1;18;;1;;2;;;1;1;3;1;1;2;;19;1;5;3;;;1;;;1;;6;1;1;8;;6;4;10;;2;2;4;2;4;;;6;3;3;3;;2;1;1;1;1;4;3;;;1;5;1;1;10;4;2;1;1;1;1;1;;;;;;1;;1;;1;;;;;;1;2;;;2;1;2;1;;1;1;;3;;;;1;;9;1;6;2;1;;;1;;;;;
35944-5786;1;6;;1;;;1;;1;7;1;89;3;12;2;1;88;94;;3;3;22;3;7;;39;;3;12;1;2;;;;;;;4;1;3;1;;38;;25;;13;8;;3;1;;;3;;1;17;2;5;1;1;;3;2;10;5;2;2;;17;4;3;40;6;24;12;5;2;7;10;7;1;3;7;4;;;61;2;;31;18;10;5;2;1;7;5;2;;;3;1;;1;;;;3;2;;;2;;2;3;1;1;1;2;1;1;3;1;;;4;1;8;;1;;3;1;;4;3;2;;1;
31210-4224;1;7;;1;2;;3;2;1;5;1;72;3;5;;6;20;42;4;6;6;14;7;17;2;18;1;1;9;1;3;1;;;1;1;2;5;1;3;6;1;27;1;7;1;1;1;;4;1;3;3;5;1;1;6;;2;1;1;;3;;2;2;3;;;6;1;;4;2;2;1;1;;;1;;;;;5;2;;10;1;;2;2;1;1;;;5;1;1;2;;5;7;5;1;1;2;1;2;1;3;1;4;2;5;2;1;1;2;5;2;;5;1;1;1;4;;8;2;5;1;;6;;1;1;;;;
31742-4912;1;3;1;;;;;;1;2;;22;1;7;;;11;15;;3;3;3;2;8;1;1;;1;3;;;;;;;1;;2;;1;2;;4;;3;;1;;;;;;;4;1;2;1;;;;;;1;;3;;4;;;;;;4;;1;;;;;;;;;1;1;;;6;;;2;1;;;;;3;1;;;1;;1;;;;;;1;;1;1;2;1;1;;1;1;;2;;;2;1;;;;;;;;;1;;;;;;;;
15016-4428;;4;;;;;;;1;1;;24;2;;;;3;18;;3;3;11;3;5;;9;;;;;1;;;;;1;1;1;;;2;1;8;;;;;;;1;;;;3;1;2;4;;4;4;;;2;;;;;;;1;;;2;1;1;1;1;1;;;;;;;1;;;2;;;1;;;;;;2;;1;;;2;;;;;;;2;;1;;1;1;2;;2;2;;2;1;;3;;;;4;1;5;4;5;4;;;;;;;;;
31255-4224;1;7;;1;;28;5;3;1;9;;51;3;6;;1;20;35;;3;3;28;2;7;;37;;1;2;;;;14;3;;;2;1;1;4;1;;8;1;1;;;;;;;;;;;;8;1;2;1;;;3;2;2;;4;;;3;;;4;2;2;;;;;5;1;1;;;3;;;7;;;1;1;;;3;;3;;2;;1;2;1;;1;;;;1;1;1;1;3;1;5;1;;;;1;1;;2;;;1;1;;12;;4;1;;1;;1;1;;;;
31747-4428;1;4;;;;;2;;1;5;;46;2;3;;2;9;30;;5;5;12;3;12;;25;;1;4;;;;;;;1;;2;;4;2;;11;;;;;;;2;;1;;3;;2;8;1;4;1;;;2;;;;3;;;;;;6;;3;2;2;2;;;;;;1;6;;2;1;;;;;;;;;5;;1;;;4;2;1;1;;;;1;;2;2;2;2;;1;1;1;1;1;;1;2;2;1;1;2;;10;1;2;2;;2;;1;;;;;
32071-4224;1;10;3;;9;9;14;4;1;10;;151;2;5;1;;47;94;3;4;4;10;3;23;7;44;1;1;10;3;2;7;2;;8;1;1;7;8;6;3;1;56;4;18;2;5;1;1;4;1;;;5;1;;13;;3;1;;2;2;1;2;1;3;;;8;2;2;10;2;3;2;2;2;;1;;;2;1;7;;2;32;3;;8;2;1;1;1;;8;2;3;1;;5;3;;1;1;;;1;;2;1;3;2;1;;;1;;6;4;;2;2;1;1;1;;12;1;1;;2;;;1;1;1;2;;
30777-4429;1;21;;2;2;;4;;1;3;3;124;4;12;5;2;58;96;2;7;6;9;5;27;4;66;5;1;34;6;;1;;;2;;;12;2;1;10;4;42;2;8;1;1;;;6;1;1;;11;1;1;19;1;6;2;;4;4;3;7;2;5;4;;7;4;;9;1;;;;;;2;1;;3;4;11;3;1;28;2;;5;;;;1;1;10;2;1;1;2;2;6;;5;;1;;4;;;1;2;;;1;4;3;;4;1;3;5;1;;3;4;2;13;3;6;3;4;1;;7;2;;2;;
30996-4224;1;12;1;;;4;8;2;1;6;;79;5;14;2;1;35;60;3;4;4;18;3;10;1;31;;1;15;2;;;;;;;1;6;5;3;4;1;14;1;6;1;2;1;;1;;2;1;4;2;1;8;;2;1;1;2;4;2;9;2;4;1;;6;3;3;15;3;7;3;2;2;1;7;4;;1;2;3;1;1;18;1;1;8;5;2;2;1;1;4;2;1;1;;2;10;1;7;1;2;;;;1;1;2;1;3;1;;2;1;2;;1;2;;;;1;1;7;;3;1;2;1;;9;1;;;;
30993-4224;2;10;1;;1;;3;1;1;3;;73;4;3;1;1;21;33;1;3;2;7;2;7;1;31;1;2;3;2;2;;;;;1;;5;3;1;4;1;14;;5;1;3;1;;1;;;1;2;;1;8;;2;;;2;4;2;2;2;1;1;1;6;;;7;2;2;2;2;1;1;1;;;1;;3;;;15;2;;6;2;2;2;;;2;;;;;2;2;1;;;1;;;;1;;1;1;1;1;;1;1;1;;;2;2;;;;;5;;;;;1;1;;;;1;2;
31488-4224;1;7;1;;4;;5;;1;1;3;65;3;3;;6;14;35;2;4;4;14;3;8;;32;1;1;10;6;2;;;;3;1;;3;1;;3;;19;5;5;3;;;1;;;1;;4;1;2;18;;3;1;;3;3;;;;3;;1;3;1;1;;;;;;;;3;2;1;;;7;;1;9;3;1;;;;;3;2;1;;;2;;;3;3;;2;;;1;;1;;1;;2;1;3;1;1;4;1;;4;;1;2;2;;4;1;1;;;6;1;;1;1;3;;
31601-4224;1;8;;2;;9;8;5;1;9;;59;3;6;;3;22;50;4;4;4;12;3;14;;33;;1;7;;;;3;2;;1;;1;1;2;1;;16;;5;;;;1;6;1;;1;4;;;7;;;;;;3;;;;5;;;;;;3;;2;1;1;1;;1;;;1;;2;1;;14;;;1;;;;1;;10;3;4;1;3;;1;1;;;3;2;1;;1;;1;1;3;1;1;2;1;1;;2;3;1;;;1;;;;;;;3;;;3;1;;;
31142-5786;;;;;;14;5;;1;6;;30;1;7;;;17;18;1;2;2;2;2;3;;13;;;5;;;;6;3;;;1;;3;2;1;;5;;4;;;;;;;;1;2;;1;7;1;2;1;;;;;5;1;2;;;1;;;2;;;;;;;1;1;;1;1;;;;11;;;2;;;;1;1;2;1;;;;;;;;;;;1;1;1;;1;1;;1;;;;;;1;2;;;;2;1;4;1;2;1;;;;;2;1;;;
10461-4428;1;7;;;1;;2;;1;5;;98;4;7;1;;29;66;3;5;5;6;7;14;1;54;;3;8;;1;1;;;1;1;;3;1;2;8;4;33;;10;1;2;1;1;2;;;;5;;;14;1;2;;;;4;4;3;1;3;1;;5;2;1;10;1;6;3;3;2;1;6;3;;2;2;3;;;20;2;1;7;6;3;3;2;1;6;1;;;;5;1;;1;1;2;;3;3;;2;2;;;3;;;2;2;;;5;1;3;;7;;13;3;4;1;2;;;2;2;1;;;
31155-4429;1;8;;1;2;;2;;1;2;6;71;2;5;;6;17;33;;3;3;5;3;11;;26;;1;13;9;;2;;;2;1;;4;1;;6;2;12;1;3;1;;;;1;;1;;5;1;;8;;5;2;1;7;2;1;;;5;;;2;1;;2;;;;;;;;;;;2;6;2;1;6;2;1;;;;;;;1;;;;;;2;;1;;;;;;1;2;1;;;1;;1;;2;1;1;2;1;1;;5;1;11;3;7;;3;1;;1;;;8;;
31524-4429;1;5;;1;;20;3;3;1;3;;46;5;2;;1;18;24;6;5;5;7;4;12;;33;;1;2;1;;;12;6;;;2;1;2;;2;1;11;1;6;2;1;;;1;;;;3;;3;10;1;1;;;1;5;3;1;1;1;;;4;1;1;2;;1;;;;;;;;1;;2;;;9;2;1;1;;;;;;1;;;2;;;1;1;;2;;;2;2;2;1;2;1;;2;1;;2;3;1;;5;1;1;1;2;;2;1;;;;1;;;;;;;
31549-4428;2;12;;2;;10;4;1;1;4;;77;7;7;4;37;15;73;4;7;6;8;5;24;1;61;1;2;51;2;;;1;;;1;;3;1;;7;4;31;1;;;;;;7;;12;;3;;1;19;;5;2;1;;6;;3;1;3;4;16;4;4;;3;1;1;1;;;;;;;;2;2;1;1;1;;;;;;;;;24;;3;2;3;4;28;24;;;1;;2;1;3;1;4;3;;2;1;1;2;1;;5;6;1;4;1;4;;22;2;9;6;1;36;16;;8;;1;1;
30594-4428;1;11;4;;;;1;;1;4;;64;2;6;;;19;27;7;2;2;4;1;9;3;28;1;1;4;2;2;;;;;;;4;1;3;1;1;14;2;3;;;;1;1;;;;8;4;2;14;;6;1;;1;2;1;2;;4;;;3;2;;3;;2;2;;;;2;1;;;;3;;1;9;2;2;2;1;1;;2;1;2;;;2;;;1;;1;2;4;2;;;1;1;2;1;1;;;;;4;;;2;;;1;1;1;7;1;1;;2;;;1;3;3;1;2;
31760-4428;2;10;;1;;;4;;1;7;1;85;6;4;2;1;36;65;1;4;3;3;2;8;;78;1;3;16;1;1;;;;;1;1;;1;5;9;1;28;;10;3;;;2;5;;2;;;;;23;3;5;1;;;5;1;2;;2;2;;7;2;2;10;;6;5;4;2;1;4;3;;1;4;5;4;1;21;4;1;3;3;2;2;3;2;9;1;3;;3;3;7;;4;1;;;2;;;1;2;;;2;2;1;;2;1;1;2;;;1;8;1;20;1;5;;;1;;8;8;6;1;1;
31133-4429;1;7;6;1;;12;6;1;1;7;1;124;4;6;;1;22;61;14;5;5;70;4;13;5;42;1;1;25;3;;;2;2;;1;;1;2;3;4;1;18;;2;;1;;;5;;1;9;2;;1;11;;;;6;2;4;1;2;;4;;;2;1;;9;1;2;;;;;;;;1;1;4;;;15;;;7;2;;;;;9;3;1;;;2;4;;1;2;12;3;1;;1;2;2;;14;1;;2;;3;;;4;1;1;2;3;1;3;1;;;2;1;;2;5;1;1;1;
27959-4912;2;10;;;1;8;4;;1;3;;49;2;7;1;;25;36;;4;4;6;3;9;;17;;3;;;1;1;3;1;1;1;;4;3;1;1;1;21;1;15;1;3;;3;;;;;2;;;8;1;;;;;2;;3;;4;;;6;3;1;4;;1;;;;;4;2;;1;;4;1;;21;5;2;4;1;;;3;1;4;1;;;;1;;;;;;;2;1;2;;2;2;2;1;1;;2;3;2;;3;;;;3;1;1;;;;;;;;;;;;
31469-4224;2;15;1;;3;7;12;2;1;7;;126;4;8;1;;68;87;3;3;3;7;2;13;1;52;2;2;17;2;;3;;;3;1;1;6;3;4;10;3;36;3;11;;2;;4;3;1;3;1;4;;;19;1;6;2;3;1;4;4;2;1;6;1;;13;2;;18;4;9;7;6;6;2;13;4;1;1;2;10;4;1;41;6;2;9;4;2;1;8;1;9;4;1;;1;4;8;;5;;1;;3;;;;;;;;1;2;;2;1;2;2;3;;1;7;3;14;;5;1;2;;;9;;;;;
31677-4224;;2;;;;;1;;1;2;;39;3;2;1;3;5;30;;2;2;2;2;10;;15;;;5;;;;;;;1;;2;;1;3;2;17;3;3;1;;;;;;1;;3;1;1;7;;1;;;;3;;;;2;;1;2;;;;;;;;;;;;;;;5;1;3;3;1;;;;;;;;1;;;;2;1;3;3;;;;;2;;;;;;;1;2;2;;3;;;2;;;;1;;2;;1;;;3;1;;;;;;
29683-6547;1;12;9;1;1;;5;6;1;3;;83;3;10;1;1;35;50;13;3;3;9;3;10;6;32;8;1;20;4;3;;;;1;;;1;1;;8;1;16;3;5;1;2;1;1;1;;2;6;1;1;;16;2;3;2;1;3;3;;8;1;2;;1;2;;;7;;4;2;1;;2;4;1;;;3;6;2;;15;1;;4;2;2;1;1;;3;;1;1;;1;8;;4;2;9;1;1;;1;1;;;1;1;1;2;;3;;;3;3;;3;3;2;8;;4;3;4;1;1;7;4;3;2;1;
30796-4429;1;3;2;;;8;2;;1;3;;61;4;7;1;;42;69;10;3;3;14;2;8;;30;;1;4;;1;;2;1;;1;;2;;;1;;22;3;7;;1;;3;1;1;;;2;;1;10;;3;1;;;3;1;4;;3;1;;;;;9;;1;;;;2;13;6;4;;;11;2;2;30;;;7;;;;10;6;9;3;;2;1;2;2;;1;3;6;5;;;1;1;3;1;2;1;1;;;1;;;3;;1;;;;5;;3;2;;;;1;1;1;;;
30816-5786;1;6;1;;;16;3;;1;3;;62;3;15;;;38;50;;3;3;3;3;9;2;25;;1;3;2;;;10;4;;1;1;2;2;3;5;2;24;;11;;1;1;;3;2;;;5;1;3;11;2;3;1;;2;3;;10;3;5;;;3;;;1;;1;1;;;;4;;;1;1;3;;1;22;;;1;1;1;;2;;5;3;2;;;2;2;;1;;;;;;2;1;2;2;2;1;;1;2;3;2;1;3;;1;;2;1;7;;4;1;2;;;1;1;;2;2;
32380-4224;;3;;;2;;2;;1;4;1;55;3;4;;;32;38;4;4;5;17;4;17;;35;1;;13;1;1;2;;;2;1;;;2;2;2;1;17;;8;1;;;;3;1;2;;3;;;10;1;3;1;1;;3;1;;;4;;;3;1;;12;2;7;5;3;1;1;2;1;;1;3;1;;;19;1;;6;4;2;1;;;3;1;;2;;;4;;3;3;1;;3;1;2;;3;2;2;2;1;1;2;2;;1;4;7;;1;2;;6;;2;;;;;5;4;3;1;;
31423-4429;1;10;;2;2;72;12;1;2;6;1;109;5;22;3;8;82;103;4;4;2;7;1;10;3;66;1;1;18;5;;1;38;23;2;2;;4;7;2;7;4;40;;11;;5;5;1;3;1;;3;2;1;1;18;1;7;2;1;4;5;1;11;1;11;1;2;3;;;22;1;11;1;;;2;7;4;;3;4;4;;;33;1;;11;7;1;;1;;14;3;;;1;5;6;2;2;;2;;;;1;1;2;1;;;;;;3;;;3;2;1;2;9;3;17;3;5;;;8;2;4;4;2;1;2;
28381-4428;;1;;;;;;;1;3;;23;2;4;;;9;17;;4;4;4;3;10;2;12;;;6;;;;;;;1;;1;;;;;6;;3;;3;3;;;;1;;5;1;1;10;1;5;2;;;2;1;;;4;;;2;1;;5;;4;1;1;;;;;;1;1;2;1;;7;1;;4;3;1;1;;;2;1;;;;;2;;;;;;2;2;1;1;2;1;1;2;;;1;2;1;;4;;;;2;1;5;1;2;;;;;1;2;1;;;
27889-5102;1;5;;;;;1;;1;2;;36;2;2;;;7;21;2;2;2;7;1;5;;11;;1;;;;;;;;1;;2;1;1;2;1;13;;2;;1;;;;;;;2;;2;5;;;;;;2;1;;;2;;;1;;;1;;;;;;1;2;1;;;;3;;1;4;1;;1;;;;1;1;;;;;;;;;;2;;;1;;1;;1;1;3;;2;;1;;;;2;1;;;1;;1;;;;;;;;;;;;
27512-4224;1;8;;;;2;2;;1;4;;62;4;12;2;;31;48;2;6;6;33;5;23;;17;;2;9;;1;;2;2;;1;1;3;2;3;;;24;;15;3;3;2;3;3;;;;5;;1;7;;;;;;4;2;6;2;6;1;;9;5;4;8;3;4;2;;;1;5;2;;1;2;5;2;;24;4;2;5;2;1;;3;1;4;1;2;;;1;2;;;2;;;1;;4;1;5;4;7;1;2;1;2;5;1;1;5;4;2;;2;1;3;1;;;2;;;1;2;;;;
35962-5102;1;11;8;1;4;1;6;5;1;1;1;115;4;9;;5;19;48;10;8;8;11;6;19;4;31;4;1;6;3;;4;;;4;1;;3;2;;14;2;22;3;6;2;1;1;2;;;2;3;7;1;2;13;;4;;1;;4;1;5;2;4;;1;9;1;;3;;1;1;;;1;3;2;1;;;11;2;3;14;6;1;2;1;1;;3;2;2;;;4;;1;2;2;;7;1;1;5;2;3;;4;2;;2;2;1;1;6;;;6;2;;3;3;;9;;1;;1;5;1;;1;;1;;
22566-4428;;2;3;;1;;2;;1;3;;28;;3;;1;6;15;5;5;5;9;4;11;1;12;;;5;1;;;;;1;1;;;1;1;2;1;7;1;3;1;;;1;;;;4;1;;;3;;;;1;;;;2;;1;;1;2;;;;;;;;;;2;1;;2;;2;1;;4;2;;;;;;2;1;3;;;;2;;2;;1;;2;;4;3;;1;2;;;3;1;1;1;1;1;1;5;;;;1;;1;;1;;;1;;1;3;3;1;1;
35876-4912;1;8;;;;;3;1;1;6;;80;4;6;;;21;57;4;6;6;8;5;12;;52;1;1;3;1;1;;;;;1;1;4;1;3;2;;23;5;8;;2;;4;;;3;2;2;1;1;20;2;4;1;;1;4;2;1;;5;;;2;;;7;1;;;;;3;12;7;3;1;2;19;4;2;15;1;;4;;;;9;6;1;;;;;2;3;;;3;;;2;1;2;2;4;2;1;1;;1;2;4;1;;4;;1;;6;2;10;1;2;;;;;2;1;;;;
32107-5786;;6;1;1;;;2;;1;7;;55;5;18;3;2;65;71;2;6;6;12;6;19;2;39;1;1;3;;1;;;;;1;1;1;;1;;;25;1;16;;3;;1;1;1;;;2;;;9;1;2;;;;5;3;10;4;8;;;6;2;1;22;1;11;6;5;3;3;9;3;;4;;5;1;2;38;;;11;6;2;2;5;1;3;2;1;;;1;2;;2;;1;1;3;1;2;1;3;2;1;4;1;3;1;1;1;2;5;;1;;4;2;7;;;;;;;2;;;;;
35880-6547;;3;;;1;;2;;1;2;;36;;;;3;11;14;;;;;;4;2;28;;;5;;;;;;1;1;;2;1;1;1;;7;;1;;;;;1;1;1;;2;1;;15;2;5;4;1;;;;;;;;;3;;;1;;;;;;;;;;;;1;1;;7;3;;;;;;;;1;1;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;3;2;2;7;;4;2;2;1;;;;;;;
35745-4912;1;7;;;;10;5;;1;4;;112;3;10;2;1;53;81;;3;3;9;2;10;1;45;1;2;5;;1;;8;5;;1;1;4;4;1;20;5;51;6;21;6;5;4;4;3;2;2;;5;3;2;19;1;2;;1;;3;2;5;2;4;1;;15;6;3;20;4;12;5;4;3;2;9;4;3;;;20;8;2;35;7;4;13;10;5;4;7;4;10;3;;;;3;3;;3;;;;1;1;;1;1;;2;2;;1;;6;3;;3;1;;1;5;2;4;1;;;;1;;3;;;;;
31451-5102;1;5;;;;;;;1;1;;75;4;5;2;;21;30;;3;3;9;2;9;;45;;1;;1;1;;;;;1;1;2;;;3;1;16;;7;4;;;1;3;1;;;4;2;1;18;1;6;2;;;3;2;2;;3;2;;10;1;;4;1;3;3;;;;3;2;;4;;3;1;1;15;8;1;4;3;3;;2;1;5;4;2;;;2;;;;;;;;;1;1;2;1;4;1;1;;1;3;;;3;;;;2;2;12;1;4;1;;;;;;;;;
19653-6547;2;7;;;;;;;1;2;;28;2;9;1;;24;23;;6;6;6;6;9;;17;;3;1;;;;;;;1;;1;;1;;;8;;5;1;;;;;;;;;;;7;1;2;1;;;2;1;6;;3;1;;3;1;1;3;;;;;;;1;1;;3;;;;;11;2;;;;;;1;1;1;;;;;2;;;;;;;1;1;3;;2;2;1;3;1;2;3;2;;2;4;;;1;2;;5;1;1;1;;;;;;;;;
11823-6547;1;6;;;;;;;1;5;;54;4;14;1;;47;52;;5;5;6;5;12;;27;;1;1;1;1;;;;;;1;;;2;;;24;1;11;2;1;;;6;3;;;6;;1;9;2;2;;;1;4;1;11;1;3;1;;4;2;1;9;;6;5;1;;;1;;;2;;7;2;;28;3;2;6;3;3;1;1;;9;6;;;;4;;;;;;;2;1;3;;4;3;3;2;;1;4;2;;3;5;2;2;;6;3;5;2;1;;;;;;;;;1;
35979-5102;;7;;;4;;4;2;1;5;;51;3;2;;;19;34;4;5;5;7;4;13;;42;1;;6;1;;2;;;3;;2;3;2;1;3;;12;;6;;4;4;;;;;;3;;;13;1;4;;;;3;1;1;;1;;;3;;;12;3;10;8;4;3;1;1;1;;3;1;3;;;13;;;9;8;6;3;;;6;2;1;;1;4;1;;1;1;3;1;3;1;1;1;3;1;3;1;2;1;2;3;1;1;4;1;3;1;5;;9;1;2;1;1;;;1;;;;;
31458-4224;1;5;;;3;8;5;7;1;2;;48;3;2;1;;12;28;14;3;1;2;1;6;1;15;4;1;3;;;3;;;3;1;1;3;1;2;6;;5;;;;;;;;;;10;2;1;2;4;1;1;;1;;2;1;;;2;;;1;;;6;1;6;5;4;2;;2;1;;;;2;;1;10;;;5;5;4;4;2;1;3;1;2;1;;;;;;1;9;5;1;;;;;;;;1;1;;2;;;2;1;;1;1;;3;;;;1;;;;1;;;;
32082-4428;1;10;;5;5;3;5;;2;6;2;77;3;11;7;27;34;87;4;4;3;4;3;20;1;56;1;1;44;3;1;2;1;;4;2;2;3;1;6;;;22;1;3;;;;;1;;4;1;5;3;;13;1;6;2;3;;3;;3;;8;1;6;1;;;10;;4;2;1;1;;8;3;1;1;;3;1;;17;;;4;;;;3;1;9;2;1;1;2;6;14;12;1;1;2;;1;;1;1;2;1;;;1;;1;5;1;2;2;;2;2;6;2;27;2;13;6;1;24;6;1;3;1;2;1;
31136-4428;1;16;1;;5;;11;;1;5;;117;4;5;;;53;89;1;4;4;20;3;26;;54;1;1;3;1;2;1;;;5;1;1;11;3;3;2;1;53;;26;3;15;9;2;6;;;;12;;1;16;;6;2;;;4;;2;;3;;;13;5;5;34;7;20;8;4;2;1;5;2;;;;7;3;1;40;4;1;24;14;6;3;2;;12;1;;;2;6;1;;1;;;;3;2;;;;;3;3;1;1;1;2;1;5;4;3;;;5;2;17;2;9;4;;;;2;;;;1;
31158-4224;;3;;2;;4;11;13;1;5;1;112;6;11;1;4;49;77;12;4;4;9;2;16;1;62;5;1;25;4;;;1;1;;1;;1;2;1;11;2;26;3;8;1;2;1;3;5;1;2;4;10;3;2;24;1;5;1;2;;5;3;4;2;5;1;;8;2;1;14;1;3;2;1;;2;8;5;1;2;5;11;4;1;31;2;;9;3;2;1;5;3;15;2;4;2;;3;6;1;1;2;5;4;;;2;2;4;2;1;;;;2;5;3;1;3;3;1;1;5;1;19;3;3;1;5;4;;4;2;;;2;
31589-4224;1;6;3;3;;;;1;1;4;2;42;4;5;;8;10;30;12;5;5;11;4;12;4;36;2;1;11;3;1;;;;;1;1;4;;3;3;;9;3;1;;;;1;;;2;3;6;2;2;12;;3;1;1;;4;;3;;3;;1;;;;1;;1;1;;;;1;1;1;;1;8;1;;3;;;;;;;1;1;2;;;3;;;6;5;1;1;10;2;1;1;2;1;4;2;1;2;;1;1;4;2;1;5;;;;1;;8;1;3;2;1;8;1;1;1;;2;1;
32229-5102;1;3;;3;;;1;;1;3;;59;2;12;;2;46;44;1;3;3;11;2;7;;36;;1;24;2;;;;;;1;;;1;;1;;7;1;2;;1;;;;;1;;2;;;9;;3;;2;;2;1;9;1;3;;1;2;1;1;16;;8;3;2;;1;6;5;1;1;12;4;1;;22;;;10;6;2;1;1;1;2;1;;;;1;3;;;;;;;;2;1;2;1;3;;;;;1;;1;1;;;1;4;1;14;1;4;2;1;;;2;5;3;1;2;
31728-4224;1;13;1;8;;25;17;9;1;8;48;144;5;10;6;43;42;125;11;4;4;65;3;26;3;21;1;1;79;11;3;;10;3;;1;;7;7;2;4;;52;2;7;;;;1;6;1;23;3;12;2;;8;;4;1;19;1;4;;4;;5;5;6;5;1;;9;1;2;;;;1;7;3;1;3;4;5;1;;14;1;;3;1;;;1;1;18;1;1;3;3;3;46;25;4;4;5;;3;2;1;;3;1;19;2;2;;1;3;;6;1;1;;2;5;;10;4;2;1;2;34;2;4;7;4;3;2;
27547-4428;1;7;14;;1;;1;;1;4;;69;4;7;3;;35;48;2;5;5;8;3;18;15;37;2;1;1;;2;1;;;1;1;1;6;;2;11;1;17;3;9;2;2;2;3;1;;;1;9;2;3;11;;4;2;;;4;3;3;;4;1;;6;1;1;10;;8;3;2;2;1;9;7;3;3;;4;2;;20;6;1;5;3;;;6;5;5;3;;1;;1;;;;;2;1;2;2;;;2;;2;3;2;1;;5;1;3;4;3;;2;5;;12;3;8;3;;;;;1;;;;
31144-4224;1;2;;;;;;;1;2;;36;3;3;;3;1;22;;6;6;10;5;16;;19;;1;3;;;;;;;;;2;;;4;;9;1;1;;;;;1;;1;;6;1;2;2;;2;;;;1;;;;3;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;4;;1;;;2;3;2;;;;;2;2;1;2;3;1;;4;;2;1;4;1;;4;5;;;3;;16;3;10;9;;3;;;1;;;;
21206-5102;;6;;;;3;5;3;1;3;;109;4;5;;;46;50;3;4;3;8;2;10;1;54;2;;4;;1;;1;1;;1;;4;2;2;2;;20;;8;;3;2;;3;1;1;1;1;;;21;1;6;2;;;4;2;1;;3;;;2;;;19;1;8;2;1;;2;5;1;;2;1;4;2;;20;1;;8;4;2;1;;;7;1;;;;3;1;;;1;;;;;2;1;3;2;;;;;;1;1;;4;1;;4;4;1;13;;3;1;1;;;1;2;2;;;
31566-4428;;2;;;;;;;1;1;;15;1;;;;4;10;1;3;1;2;;4;;11;;;4;;;;;;;;;2;;;1;;2;;1;;;;;;;;;1;;;6;1;1;1;;;1;;;;;;;;;;1;;1;1;;;;;;;;;1;;1;2;;;;;;;;;1;;;;;1;1;;;;;;;;;1;;;;;;;;;;;3;1;1;;2;;3;1;2;;;;;;;;;;
30807-4429;1;13;;1;2;4;5;;1;6;1;117;3;6;1;2;57;105;;5;5;19;5;20;;38;1;1;11;;4;;;;1;1;;9;1;1;4;3;58;20;20;8;4;;;3;;2;;11;2;3;15;1;2;1;;;3;2;3;1;3;1;;9;6;3;5;;;;;;;15;11;4;;1;28;16;6;49;9;6;4;;;;12;10;3;;1;;1;;5;;2;;;;;;2;1;3;1;1;1;2;1;;6;1;5;5;1;;3;3;2;6;1;2;1;2;2;;4;4;2;;;
27847-4428;1;10;;;;;2;;1;4;1;57;3;1;;1;9;28;;8;8;21;8;23;2;19;;1;10;;1;;;;;1;3;5;1;4;10;2;21;8;3;;;;2;1;1;2;;14;4;5;10;1;2;1;2;;3;;;;1;;;1;;;3;;2;1;1;1;;3;;;;1;9;2;2;5;;;1;1;1;1;2;;2;1;;;1;1;5;;;;;;3;3;2;3;7;2;2;3;;;5;9;4;1;8;1;3;2;1;;6;;4;3;3;1;;1;1;1;;;
31704-4428;1;8;;1;;2;4;1;1;3;2;71;3;15;6;2;44;62;11;3;3;8;2;10;;41;1;1;20;6;1;;;;;1;1;6;;1;6;2;21;2;6;1;2;1;2;1;;;1;2;1;1;14;1;4;;3;4;3;2;8;;7;;;1;;;20;;12;7;2;2;4;10;7;3;;5;6;4;;22;1;;10;7;4;;7;3;6;2;2;4;1;3;3;;3;2;9;3;2;1;;;;;1;2;2;1;1;3;1;1;1;;;2;2;1;12;;3;1;1;1;;7;5;1;3;2;
