aluno;4>;6>;7>;8>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;41>;42>;47>;48>;49>;6>6>;14>8>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>31>48>29>;14>32>;14>32>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>14>;16>31>30>;16>31>48>;17>30>;17>30>31>;17>31>;28>30>;29>14>;29>30>;29>48>;29>48>29>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>41>;30>48>;30>48>30>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>14>31>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;36>34>;36>34>37>;36>36>;36>37>;37>34>;37>38>;38>14>;38>14>31>;38>33>;38>36>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>13>;48>14>;48>14>31>;48>29>;48>29>14>;48>29>30>;48>29>48>;48>29>48>29>;48>30>;48>30>30>;48>48>;48>48>48>;49>14>;49>48>;49>49>;
35906-5102;1;;3;;;1;50;3;;;2;38;50;5;1;1;5;1;3;29;1;;12;5;;;1;;29;3;15;2;9;4;1;;;1;1;;1;1;;6;1;1;1;;1;2;;2;;;;;;;;;;5;4;2;19;3;8;7;5;1;1;1;2;;1;6;;3;1;;;1;1;4;2;3;1;;1;26;2;2;14;6;5;3;3;2;;2;3;;;1;3;2;;2;1;;3;2;1;1;;1;;4;1;;1;1;1;;;2;1;5;;2;1;;3;1;2;;;;;3;2;5;2;1;3;2;
32024-4428;;;;;;;36;3;3;1;3;26;36;2;3;2;4;2;3;15;1;;16;3;;;4;2;14;2;5;1;3;;;;;1;;;;;;5;;3;;6;3;3;;2;1;2;1;1;;;1;1;;8;3;1;11;2;3;2;2;1;1;1;3;1;3;7;2;2;;1;;;2;4;1;5;3;1;;20;3;1;10;3;2;2;2;;;2;3;;2;1;2;3;;3;;;2;2;1;;1;1;1;;;1;1;1;;3;;2;2;7;2;1;;;3;2;3;;1;1;;5;;4;2;;2;;
32377-4429;;;1;2;;;18;2;1;;1;1;10;3;1;1;1;1;3;18;2;;2;2;;1;;;3;1;;;;;;;;;;;2;1;1;6;;1;;1;1;2;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;1;;;;;;;;1;1;1;;;;;;;;1;1;;2;1;1;;;;3;;;;;;;1;;;;;;;;;1;;;
29648-5786;1;1;1;;5;1;25;3;2;;1;20;32;6;1;1;1;1;5;22;;;5;;;;3;;6;;2;;;;;2;;;;;2;1;4;5;1;;;;;3;;1;;1;1;1;;;;;;1;;;7;;4;2;1;1;;;1;;;6;;;;;;2;;1;;;;;;15;;;5;3;2;1;3;;;1;6;2;;1;3;3;;2;;;3;2;1;1;;;;;1;;;;;;;1;1;;;;;;2;;1;;;;;2;;1;1;;;;
30904-4428;;;;;;;41;3;2;;4;16;30;8;1;1;2;1;3;12;1;;4;1;;;;;17;1;7;2;1;1;2;2;;;3;3;4;3;2;6;1;2;1;1;;3;1;1;;1;1;1;;3;2;1;1;8;6;4;2;1;1;;;;;;;;;9;1;5;;2;2;3;;;;5;2;2;1;13;4;3;2;1;;;6;4;2;;5;;;5;1;3;3;;1;;5;4;1;1;;1;;;1;;1;2;1;1;1;1;;6;;3;1;;1;1;4;2;2;1;1;;;1;;1;;;
31116-4429;;2;1;;;;22;3;2;;;14;24;;1;1;1;1;3;19;;;3;;;;1;1;8;1;2;;1;1;;2;2;;;;;;1;5;;1;;;;3;1;;;;;2;;;;;;;;;5;;3;3;2;1;;1;1;;;2;;;;;;;1;;;3;;;;7;;;3;2;2;1;;;;;2;2;;;;3;;3;;;;;1;1;;;;;1;;1;;;;;3;;2;1;;;;;;;;;;;3;;;;;;;
28531-5102;;2;1;;;;34;2;2;;;21;26;;1;1;8;1;6;18;;;;;;;1;;18;1;15;;4;1;2;1;1;;;;;;3;6;;;;;;1;;;;2;;;;;;;;1;1;1;6;;1;1;1;1;;;;;;2;;;;;;;;;;1;;;;17;;;6;1;1;1;2;;;;4;1;;;2;;;;;;;;;;;;;4;1;1;;2;;1;;1;;2;;1;1;;;;;;;;;;;;;;;;
30799-4224;1;2;5;7;;2;93;4;5;2;1;57;82;10;3;3;4;3;9;42;;1;12;2;;3;1;1;46;8;26;9;8;3;3;5;2;1;1;;1;1;5;25;4;8;2;1;;4;;1;;4;;1;1;;;;;21;10;8;14;4;5;2;1;1;1;2;4;1;;15;1;8;1;4;3;3;2;1;;13;5;2;4;45;12;5;13;5;2;1;11;7;3;1;10;6;2;5;1;5;;1;5;4;6;3;;;3;3;3;1;;;3;3;2;3;1;6;2;9;1;2;1;1;4;1;;;;;;1;;;;1;1;1;
31771-4429;;10;2;1;;;21;3;1;;;8;18;;1;1;2;1;3;18;;;4;;2;1;;;6;1;1;;;;1;;;;;;;;2;6;1;1;;1;;3;;;1;;;;;;;;;2;1;1;;;;;;;;;;;;1;;;;;;;1;;;2;;;1;3;1;;;;;;1;;;;3;1;1;;;2;;1;;;;;;;1;1;1;;;;;1;1;1;1;3;1;2;;;;;2;1;;;;;;1;;1;;;;;
30588-4224;1;12;2;5;;;39;3;1;;19;3;34;3;2;2;3;4;5;16;;4;26;7;2;4;3;1;14;1;;;;;;2;;;5;3;1;1;2;6;;;;1;3;3;;1;2;;;1;;7;2;7;7;1;;;1;;;;;;;;;;1;1;;;;;;;;1;;7;1;;1;1;;;;;;;;;;;3;;1;2;;14;13;;1;;2;;;;1;1;1;;1;1;1;;;2;;3;;1;;1;1;;6;2;19;7;1;7;7;;;5;1;1;6;2;
31496-4224;;2;1;;;;33;3;1;;;15;28;4;3;3;13;3;8;25;;;2;1;1;;3;;11;4;1;;1;;;;;;;;;;2;4;;1;1;2;1;3;2;1;;;;1;;;;;;1;;;6;;;;;;;;;;;2;1;;;;;;;;;10;3;;;4;1;;2;;;;1;;;;2;;;2;2;;;;4;3;;;;;2;3;2;4;1;;1;2;;2;;3;;5;;3;1;;1;;;;;;;;;;;1;;;
31732-4224;;;1;1;;;21;6;1;;1;16;24;2;3;3;4;3;6;24;;1;10;1;;;;;8;1;2;;1;1;;;;1;2;1;;;1;6;;2;;1;;5;2;1;1;;;1;;;;1;;2;;;6;1;3;;;;;;;;1;;;;;;;;1;2;2;2;1;;;5;;;2;1;;;;;;1;3;;1;;1;6;1;2;;;1;;1;;2;1;1;;1;1;;1;;3;;1;;5;;;;;2;;1;;;;;4;1;;;;;;
31762-4429;2;3;1;2;;1;37;5;4;5;1;22;32;7;1;1;4;1;2;20;1;;8;3;;2;1;1;19;1;3;1;;;1;;;2;3;;1;;;;;;;;;5;2;2;;2;;2;3;;;;;5;;;9;1;1;1;1;1;;;1;;;5;;2;;1;1;;;1;1;3;1;1;;11;1;;3;;;;3;1;1;;1;;;5;2;5;1;;6;6;;;;;;;;;1;1;;;;;;;;3;;;;;;;1;;;;;1;1;;;2;;;
35812-5102;1;2;1;;;2;16;4;;;2;3;12;;1;;4;;2;19;;;3;1;1;;;;4;;1;;;;;1;1;;;;;;2;5;;1;;;;4;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;3;;;;;;;;;;1;3;2;1;;;2;;;;;;;;;;;;2;;;;;;1;;2;;3;1;;;2;;;;;;;;;;;;1;;;
35699-5102;2;;2;;;2;36;3;7;;8;17;26;5;1;1;3;1;3;11;1;2;13;3;;;3;;5;;3;;1;1;1;;;;1;;2;2;1;4;1;;;;1;3;;;;7;2;;;;1;4;1;;;;3;;1;;;;;;;;;3;;1;;;;;;1;;1;;;;9;;;2;1;;;1;;;;1;;;1;1;3;3;;2;1;2;1;;;;;;1;1;1;;;;1;;2;1;3;1;1;1;1;1;1;7;;1;4;1;;;;;;2;1;
31831-4428;;;;;;;29;2;2;2;;22;28;12;3;3;3;3;4;13;3;2;4;2;;;2;;9;;4;;;;;;;1;;;3;3;1;7;;3;2;;;2;;2;;1;;1;2;;;;;2;;;1;;;;;;;;;;;5;;4;;;;3;;1;;1;;;;13;2;;;;;;3;2;;;;;;4;1;2;;1;4;;9;3;1;1;2;3;2;1;1;;1;1;1;1;;2;1;6;1;2;;;1;;;;;;;1;;1;;1;1;1;
35788-4912;;7;4;;3;;55;5;3;;;22;44;4;1;1;8;2;4;22;;;2;;4;;1;1;23;3;7;1;2;1;1;1;;2;1;;;;1;9;1;4;3;;;4;;4;;2;2;1;;;;;;6;2;;4;1;2;2;1;;;;;;;4;;1;;;;1;1;;;6;2;;1;18;5;;3;1;1;1;1;;;;5;1;;3;3;1;;1;;;4;3;;;1;1;1;2;;;1;1;;1;;3;;7;1;5;4;;;;;;;;;1;;;;;;;
27953-4428;;;;;;;12;1;1;;;4;10;;2;2;5;2;3;11;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;1;;;;;;;;;;;;;;1;1;1;;1;;;;;;1;1;1;;2;;;;;;;1;1;1;;;;;;;;;;;;;;2;2;;2;;1;2;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;
31365-4428;;;;;;;12;3;3;;3;12;23;1;3;3;4;3;6;13;;;4;1;;;;;1;;;;;;;;;1;;;;;2;3;;;;;;3;;2;;2;;1;;;1;;;1;;;4;;2;1;;;;1;1;;;1;;;;;;1;;;;1;;;;5;;;1;1;1;;;;;;2;;;;2;3;3;;;;1;;1;;;;;1;3;3;;2;;2;1;;;2;;;;;1;;3;;;;;;;;;;;;
17555-6395;;;;;;1;3;1;;;;;3;;;;;;;;1;;1;;;;;;2;;;;;;;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
31453-4429;1;4;4;1;;;57;5;10;1;1;38;55;1;2;2;6;2;6;17;;;2;;2;;4;2;22;5;11;4;2;;1;;;;;;;;3;8;1;3;3;1;;5;;5;;7;6;3;;;;;;7;4;1;6;2;1;;;;;1;3;2;;21;2;15;1;9;8;;;1;1;8;5;2;3;33;5;2;4;1;;;14;8;7;1;;;;1;;;;;1;1;;;2;1;;;;1;1;1;1;3;1;2;;1;;9;1;4;2;;;;1;;;;;1;1;;;;;;
35920-4912;1;9;4;1;2;1;55;3;2;1;4;28;36;3;1;1;3;1;5;20;1;;10;2;1;;1;;18;;4;1;1;1;;3;1;1;4;2;2;2;1;9;;1;;1;2;3;1;1;;1;;1;;2;1;1;;4;2;1;9;;6;2;1;1;;1;1;;;1;1;;;;;;;1;1;5;3;;1;13;3;2;3;3;1;1;;;;1;3;1;1;;1;5;3;1;;;3;3;;;;1;;;;;;;;1;1;1;;3;1;1;1;1;1;;4;1;1;1;;2;2;1;;;;1;
31776-4224;3;5;3;9;;3;48;3;2;1;4;12;41;10;3;3;3;3;7;19;1;;13;3;2;4;5;1;11;;1;;;;;3;1;1;1;;7;6;1;3;;;;;1;3;1;;;;;2;;;;;;;;;2;;1;1;;;;;;;;1;;;;;;;;2;2;2;1;;;8;;;1;;;;;;;1;10;2;3;;3;2;;;1;;8;1;2;1;1;1;1;;1;1;1;1;;2;;2;;5;1;2;1;1;;;1;;;;;3;1;;;;1;2;
32097-6395;;;;;;;18;2;2;;;8;18;;1;;;;2;4;;;;;;;4;3;14;;4;;2;1;;1;;1;;;;;;1;;;;;;2;1;1;;1;;1;;;;;;1;;;4;;1;;;;;;1;1;;1;;1;1;;;;1;;;1;;;;6;;;4;1;;;;;;;2;1;1;;1;;;;;;;;;;;;;;;;;;;1;;;;1;;1;1;;;;;;;;;;;;;;;;
14770-4429;;;;1;;;18;2;1;;;13;22;2;3;3;3;3;5;17;;;4;;;1;9;2;6;;2;;1;1;;1;;;;;1;;1;5;;2;1;;;2;;;;;;1;;;;;;3;1;1;5;;4;2;;;;1;1;;;2;;;;;;;1;;;1;;;;5;;;2;1;1;;1;;;;5;2;2;;;3;;2;1;;1;;;;2;2;2;;1;1;1;1;;3;;1;;3;;1;;;;;;;;;;2;1;;;;;;
35937-4912;;;2;;8;;64;4;3;;;22;45;3;2;2;2;2;7;22;;;2;;;;;;27;;9;1;2;1;2;4;1;;;;;;3;11;3;;;;;4;;3;;2;;1;;;;;;3;1;1;7;;3;1;1;1;;1;2;;;5;2;1;1;;;;;;;2;2;;;17;1;;7;3;1;1;3;1;;;5;1;1;2;3;;;;2;2;1;;;;1;1;1;2;1;1;;3;1;1;;3;1;;;;;;;;;;;;;;;1;1;;;;
31522-4224;;;;1;;;44;3;3;3;9;27;33;11;1;1;2;1;5;11;;;17;4;;;8;3;21;1;11;1;3;1;1;;;;4;;2;2;2;5;1;3;1;;3;3;;2;1;2;;1;2;;;;;5;1;1;6;2;1;1;;;;;1;;;3;;;;;;3;;3;1;3;1;1;;15;1;;3;1;;;1;;;2;2;;;4;;9;2;2;8;4;2;;;;1;1;1;;;;1;1;;1;;1;;5;;1;;;;;8;;;;;3;;2;;2;;2;
31170-4224;;;2;;;1;47;4;8;1;4;30;48;;1;1;1;1;4;21;;;7;1;;;7;4;25;8;14;3;2;2;;1;1;;1;;;;;7;;1;1;;;4;;1;1;5;2;3;1;2;;;;6;3;2;3;;3;3;3;3;;;;;;8;;5;;2;2;;;;;11;7;5;1;23;3;1;2;2;2;2;4;2;2;;2;2;;;;4;3;;;;;;;;1;;;;;;;1;;1;;3;;4;;1;1;;1;;4;1;;;;;;;;1;;1;
