aluno;4>;6>;7>;8>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;41>;42>;47>;48>;49>;6>6>;14>8>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>31>48>29>;14>32>;14>32>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>14>;16>31>30>;16>31>48>;17>30>;17>30>31>;17>31>;28>30>;29>14>;29>30>;29>48>;29>48>29>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>41>;30>48>;30>48>30>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>14>31>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;36>34>;36>34>37>;36>36>;36>37>;37>34>;37>38>;38>14>;38>14>31>;38>33>;38>36>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>13>;48>14>;48>14>31>;48>29>;48>29>14>;48>29>30>;48>29>48>;48>29>48>29>;48>30>;48>30>30>;48>48>;48>48>48>;49>14>;49>48>;49>49>;
31958-4429;;;5;;;3;32;3;1;;10;1;23;4;2;2;3;3;5;15;;;11;1;;;1;;11;;;;;;;2;;2;2;2;1;;3;8;3;3;;;1;3;1;;;;;1;;4;;6;5;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;1;;;;;;;;;;;5;;;2;5;7;6;;1;1;1;;;;2;1;1;;;;1;1;;2;;7;;9;4;3;1;1;;;10;4;;6;5;;;3;1;;1;1;
32885-4429;;;1;1;;;11;2;1;;3;;11;2;1;1;1;1;1;21;1;;5;;;;5;;2;;;;;;;2;;;;;;;;3;1;;;;;2;1;;1;;;1;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;7;;;;;3;2;;;;1;;1;;;;;;;1;;;;;;1;;5;;4;3;;1;;3;1;;1;1;;;2;;;;;
35558-5102;;;2;1;;;70;4;5;1;4;40;46;2;1;1;2;1;8;18;2;;6;;;1;2;2;28;1;18;;6;2;;1;;;;;1;1;5;6;1;3;2;;;4;1;3;;5;;;1;1;2;1;1;11;;;17;6;5;2;;;;1;1;1;;1;;1;;1;;1;;1;;4;1;1;;28;2;;11;2;1;;1;;;1;3;;1;;;2;2;;1;;1;1;;;;1;;2;1;;;1;;1;1;6;2;7;5;2;1;;;;4;1;2;1;1;;;;;;;;
35067-4912;1;;2;1;2;;50;3;4;;1;21;31;5;2;2;3;2;5;30;1;;3;1;;;2;;16;1;4;;1;;;;;;;;;;;8;;;;1;;3;;1;;3;3;1;;;;;;1;;;7;;;;;;;;1;1;1;4;1;2;;1;1;1;1;1;;2;;;;10;1;;2;;;;1;1;;;2;;;1;1;1;1;;2;1;1;;1;1;;;;;2;1;1;1;1;2;;1;1;3;;;;;;;1;;;;;;;;;1;;;
31380-4428;1;;;;;2;68;3;2;;2;20;45;3;3;3;3;3;8;30;1;;5;5;;;5;1;24;2;8;1;;;3;;;;1;;;;4;8;1;1;1;2;1;3;3;;;1;1;1;;;;;;2;1;;;;;;;;;;;;;12;2;9;;6;5;1;;;;10;2;;;18;2;1;;;;;9;7;5;;1;;;;;2;;;1;1;1;;1;1;1;;;;2;1;1;;;3;;2;;5;;2;2;1;;;1;;;;;;;;;4;;;
35908-4912;6;;;1;2;10;32;2;1;;16;9;28;8;3;3;5;3;7;18;2;;27;5;;1;2;1;14;3;;;;;;1;;;6;3;5;3;1;10;;5;1;1;2;2;1;;1;;;1;;4;2;6;1;2;1;;2;;;;;;;;;;;;;;;;;;;1;;7;1;;2;1;;;;;;;;;;;2;;;1;;13;7;;1;;6;;1;1;1;2;1;;1;;1;2;2;2;1;2;;6;2;1;;6;9;3;13;2;;3;;;;3;1;1;;;
33521-4429;1;;;3;;1;15;1;;;;4;13;3;1;1;3;1;5;10;;1;5;4;;2;5;;1;;1;;;;;;;;;;2;2;2;4;;2;;1;1;1;1;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;1;;;3;;;;3;;;1;1;;;;;;;;;;;1;2;;;1;;2;;;;;;;;1;1;;2;;1;1;1;;2;;;;;1;;;;;;;;;;;2;;1;
27908-4428;;;;;;;36;4;3;2;;89;32;2;2;2;2;2;4;19;;1;4;;;;3;1;19;3;14;4;9;6;2;;;;1;;;;1;5;;1;;1;;3;;2;1;2;1;1;2;;;;;8;5;3;34;3;19;15;6;5;4;2;2;1;;13;4;7;2;4;4;1;;;;7;3;2;1;26;6;4;13;9;6;2;8;5;3;;1;1;;1;;2;;2;1;1;1;;;;2;2;2;1;;;1;2;1;1;;;;3;;;;;1;;;;;;;2;1;;;;;;
20415-4224;1;22;5;6;;1;58;3;3;2;3;30;52;15;1;1;6;1;5;20;1;;8;1;12;4;5;3;18;2;6;1;4;2;1;;;;2;2;3;2;2;6;;2;;2;;3;;3;;2;1;1;1;1;;;;7;3;2;18;5;8;4;3;3;3;3;4;1;1;8;;4;1;;;4;;1;1;4;1;;;23;3;1;15;6;4;3;3;2;;;2;1;1;4;1;3;3;;3;;9;4;;;1;1;1;1;;;1;1;;1;1;;;7;;2;1;1;;;3;1;;;;1;1;;;1;;;
30940-4224;;;;;;;56;4;4;1;2;30;57;2;1;1;10;1;4;19;;1;7;;;;1;1;34;1;12;1;7;2;3;2;1;1;1;;;;;7;2;;;1;;4;;2;1;3;1;1;;;1;;;5;3;2;18;3;7;3;1;1;1;1;4;2;1;10;1;5;2;;;1;;2;;5;2;;1;23;1;1;16;6;3;1;3;2;;1;5;2;1;1;2;3;1;1;1;1;1;;;;;;;2;1;1;;1;;;;3;3;4;;2;1;;1;1;2;;1;;;1;;1;1;;;;
32422-5102;;;;;;;12;2;;;;5;6;;1;1;3;1;2;3;;;1;;;;2;;4;1;2;;2;;;;;;1;;;;1;;;;;;;2;1;;;;;;;;;;;1;;;4;1;1;;;;;;1;1;;1;;1;1;;;;;;;1;1;;;3;;;3;1;;;;;;;;;;;;1;;1;;;;;;;;;;2;1;1;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;
31876-4429;2;7;5;2;;1;30;4;3;2;2;55;44;;2;2;1;2;5;25;;2;14;2;2;1;5;;12;;5;;1;;;2;1;2;;;;;1;6;;3;1;;;4;;3;;2;1;1;1;;;;;2;;;19;1;9;7;5;3;2;1;2;1;1;7;1;4;1;;;;1;5;4;1;;;;25;;;7;2;1;1;2;;;3;7;1;;;3;;;;;;;;;;2;1;1;;;;1;;;1;;3;;7;1;1;;;;;1;;;;;5;;1;;;1;1;
35990-5102;;;1;;;;54;3;;;;17;25;;1;1;3;2;5;25;;;4;;;;4;1;15;2;8;;3;2;3;2;;;2;;;;2;15;2;4;1;;;3;;1;;;;;;;;;;3;;;7;2;4;2;;;;;;;1;8;4;5;1;4;2;;;2;;9;4;1;2;16;1;;7;4;2;;7;4;3;1;3;;1;;;2;;2;;;;;;;;;;3;1;1;;2;;1;;3;1;9;;2;1;;1;;;;;;;2;;;;;;;
31580-4429;;;1;;;4;49;3;9;1;9;54;49;6;1;1;3;1;3;22;2;;11;1;;;2;;30;1;18;;16;9;2;4;1;2;3;1;3;2;2;11;;4;1;;;3;;1;;7;;2;;1;4;2;1;4;2;1;36;1;21;13;9;8;6;2;3;1;2;5;;2;2;;;1;2;3;;7;3;;3;33;;;25;16;10;7;2;1;;;5;2;2;2;3;5;1;1;2;1;5;3;;;1;1;1;;;;;;;;1;5;;8;2;3;1;3;;;7;1;3;1;;1;;1;;;1;;
32577-6019;;;1;;2;;23;4;3;1;1;24;29;1;2;2;2;2;4;19;;;2;;;;;;13;;5;;2;;2;1;;1;1;;;;;3;;;;;;3;;1;;2;2;1;1;;;;;1;;;11;;5;2;1;;;;1;;;7;1;3;1;1;1;;5;1;;3;1;1;1;17;;;8;3;2;1;3;1;1;1;3;2;1;1;2;1;;1;;;1;1;1;;;1;;;;1;;;;2;;2;1;4;1;;;;;;1;;;;;1;;;;;;;
27973-4428;;;;;;;19;2;2;;;14;20;;1;1;4;1;4;12;;;1;;;;;;6;1;3;1;1;1;1;1;;;;;;;1;5;;1;;;;2;;;;1;;1;;;;;;3;;;4;;2;2;1;;;;;;;3;1;1;1;;;;;;;2;1;1;;7;2;;2;2;2;1;2;;;;3;;;;;;;;;;;;;;1;;;;;;;1;1;1;;1;;2;;;;;;;;;;;;1;;;;;;;
35999-5102;;;;;;;24;3;;;;26;24;1;1;1;6;1;5;23;1;;2;;;;2;;9;;5;;2;;;;;1;;;;;2;2;;1;1;1;;3;;3;;;;;;;;;;2;1;;13;1;6;2;;;;;;;1;1;;1;1;;;;2;1;;2;1;1;;16;1;;9;3;1;;;;;;2;1;;;2;;;;;;;;;;1;1;1;2;;;1;;;;;3;1;8;1;3;2;;;;;;;;;;;;;;;;
34876-6019;;;;;1;;8;2;1;;;3;7;;3;3;3;3;4;10;;;2;;;;;;1;;1;;;;;;;;;;;;;3;;;;;;2;;;1;;;1;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;;2;;;;;3;3;;1;;;3;;1;1;;2;;;;3;;1;;;;;;;;;;2;1;;;;;;
27769-5102;;;;;;;18;3;;;;12;16;;;;;;;21;;;3;;;;1;;6;;3;;1;1;;;;;;;;;;4;2;;;;;3;1;;;;;;;;;;;1;;;3;;1;1;1;;;;;;;;;;;;;;;;;3;2;1;;4;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2;;;;;1;1;;;;;;2;1;;;;;;
31986-4224;;4;2;4;;2;62;3;2;2;1;34;50;17;1;1;3;1;7;19;;2;12;3;;2;2;2;29;2;10;4;1;;3;7;2;1;1;;3;3;3;5;;3;2;2;2;3;;2;1;1;;1;2;;1;;;8;5;3;7;1;4;2;1;1;;1;2;2;2;13;;11;;7;6;4;;4;2;5;3;2;;28;6;5;4;2;1;;11;10;7;1;10;3;2;8;2;4;;2;1;;11;4;1;1;;1;;;1;;;2;1;;1;2;2;7;1;2;1;;2;2;;;;;;6;3;3;3;1;2;2;
32128-4224;1;;1;;;3;15;5;1;1;1;6;20;1;1;1;2;1;3;9;;1;7;;;;1;;5;2;1;;;;;;;;1;;;;1;1;;;;;;5;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;4;;;1;2;;;;;;;;;;;;;;;;3;;2;;;;;;;;1;;;;;;1;1;1;1;;;4;;1;;2;1;1;1;;;;;2;;;;;;;
30900-4429;;1;4;5;;1;49;3;5;3;4;70;51;3;1;1;1;1;5;27;;;13;3;;2;5;2;22;;13;;4;2;1;1;1;;1;1;1;1;3;11;3;6;1;1;1;3;;2;1;4;1;1;3;1;;;;3;3;1;20;1;11;6;1;1;1;1;2;1;;6;;3;1;;;;1;1;;2;2;2;;28;;;11;7;5;1;2;1;;1;3;2;;;1;5;3;3;1;;1;1;1;1;;;;;1;;1;;;1;;6;2;12;3;2;;;1;;4;1;;;;4;;3;;1;2;2;
26766-5786;;4;3;1;13;;242;5;24;10;;129;181;1;2;2;6;2;7;22;1;2;20;13;1;;11;4;141;17;78;13;15;5;14;22;5;;1;;;;4;13;4;4;3;;10;5;1;3;;18;3;6;5;;;;;47;23;14;33;6;9;4;2;1;1;;4;1;;29;3;13;6;1;;1;;5;1;45;19;10;2;109;33;14;27;6;4;2;21;9;1;5;32;10;5;;1;3;;2;1;1;;;1;;1;;;1;1;1;;2;;2;;5;1;8;1;5;3;;3;1;;;;;;3;1;3;1;3;6;6;
31772-4224;;;;1;;;18;2;5;;4;8;16;6;;;;;;24;;;5;2;;;;;6;1;1;1;;;;;;;2;;2;1;;8;1;1;;;;2;1;;;4;;1;;;;1;;2;1;;2;1;;;;;;;;;;;;;;;;;;;;4;3;1;;1;1;1;;;;;;;;;3;;1;1;;2;;;;;5;;;;;;;;;;;;;;;1;;2;;;;;;;2;;;;;;;;;1;;2;
33483-4912;;;4;;3;;42;3;4;2;18;17;35;3;1;1;3;1;6;14;;;21;2;;;5;1;11;;1;;1;1;;1;;2;2;2;;;4;4;2;1;1;1;1;3;;1;2;3;1;1;1;4;6;8;6;2;;;5;;2;1;1;1;1;;1;;;4;;1;;;;1;;4;;2;;;;4;;;1;1;;;;;;;2;;;;5;11;11;;1;;1;;1;;;;;;;1;;4;2;1;;3;;6;;4;4;;2;;18;4;6;7;6;;;;;;1;;
35491-4912;;;1;;3;1;46;3;2;;1;45;49;4;3;3;4;3;7;15;2;1;5;2;;;2;1;14;;8;;1;1;;1;;;1;;2;;2;9;;3;1;2;2;2;;2;;1;;1;;;;1;;4;1;1;8;;5;2;1;1;;2;3;3;;12;;11;4;4;3;;;1;;3;1;;;27;1;;5;3;;;10;9;3;1;1;1;1;;;1;;1;2;;1;;1;1;2;3;2;;1;;1;2;;2;;1;;6;1;1;;;1;;1;;;1;;1;1;;;1;;2;
27766-4429;;10;2;;;;18;1;2;;;3;6;;1;1;5;1;2;14;;;2;;1;;1;;2;;;;;;;1;;;;;;;;7;;;;;;1;1;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;1;;;;;;;;;;;1;;;;1;;;;;;;;;;;1;;;;;;;;;;1;;1;1;;;;1;;;;;;;1;;;;;;;
31563-4224;1;;1;1;;2;41;3;1;;1;18;29;2;1;1;1;1;4;32;;1;8;2;;;;;12;1;3;;1;1;2;4;;;;;;;1;7;;1;1;2;1;3;1;2;;;;1;;;;1;1;5;2;;6;2;3;1;1;1;1;2;2;;1;6;3;2;1;1;;;1;1;;7;2;1;2;9;3;2;3;3;1;1;2;2;1;;5;1;;;4;1;;;;;;;;;1;1;1;1;;;;1;;1;;3;;5;1;2;1;1;3;1;1;;;1;1;;;3;;;1;;
16627-6547;;;1;;2;;9;;;;;3;4;;;;;;1;6;;;5;1;;;1;;;;;;;;;;;;;;;;;3;1;2;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;1;;;1;;;;;;;;;;;;;;1;;;1;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;1;1;;1;1;
31410-4428;;;;;;;24;5;3;1;1;16;26;5;1;1;2;1;3;17;;;2;1;;;;;5;;;;;;;;;1;;;4;3;1;6;;1;;;;3;1;1;;2;2;1;1;;1;;;;;;3;;3;2;2;2;2;2;2;1;;5;;1;1;;;;;;;4;1;;2;8;;;2;2;1;1;;;;;3;1;;;1;1;;1;;;4;2;;;1;1;1;;;;1;;;1;;4;2;3;3;1;;;;;1;;1;;;1;1;;;;;;
31755-4224;1;1;4;;;;28;3;2;;1;17;35;7;1;1;5;1;4;19;;;3;2;;;;;10;2;;;;;;1;;;1;;;;1;7;;1;1;;1;3;;1;1;1;;1;;;1;;;1;1;;1;;;;;;;;1;1;;6;;4;;2;1;1;;1;;6;4;;;11;1;1;;;;;4;2;1;;1;;;4;1;2;;;2;;5;2;;;1;1;1;2;;;;;;;1;;;1;;1;1;;;;;;;;;1;;1;;2;;;
31802-4224;2;6;3;2;;3;37;2;1;;13;7;45;2;1;1;8;1;7;26;;;26;1;;;3;2;19;1;;;;;;5;;1;2;1;1;;;4;;4;;;;2;;;2;;;1;;2;1;2;1;1;;;2;;1;;;;;;;;1;;;;;;;;;1;;1;1;;;3;;;2;1;;;;;;;9;1;2;;1;15;7;;;;;;1;1;;1;;;1;;;;;;;3;;10;1;1;;1;2;1;12;2;1;2;1;1;;3;;;;1;
20475-5786;;;1;;4;;29;4;3;1;1;17;24;1;1;1;2;1;4;19;1;;1;1;;;2;;10;1;3;;2;1;;1;;1;;;;;2;10;3;2;;;1;4;2;2;;2;;1;;;1;;;3;1;1;4;1;3;1;;;;;1;1;;3;1;2;1;;;1;;;;5;3;;1;10;1;;2;2;1;;1;;;;2;2;;;3;;;;;;1;;1;;;;;;1;1;;1;;1;;5;1;6;;;;;;;1;;1;;;;;;;;;1;
30774-4428;1;;;;;;148;2;8;1;6;71;120;2;;;;;1;29;1;1;47;9;;;15;3;84;9;54;18;18;11;7;4;2;;7;;1;1;1;12;1;1;1;19;7;2;;1;;6;1;2;1;2;1;3;;40;17;12;27;14;20;14;5;1;1;6;9;6;2;18;7;13;8;3;1;;1;10;2;25;9;5;1;67;23;10;25;19;14;5;10;7;1;9;11;4;;1;1;9;;3;1;;2;;;;;;;;;;;1;;;;2;1;3;;1;;;24;8;6;2;1;2;;5;2;8;1;1;6;8;
35547-4912;1;;;;4;;34;4;1;1;1;43;32;1;1;1;18;1;3;19;;;8;;;;2;1;12;1;6;1;2;1;1;;;;1;;;;1;7;;1;;;;4;1;3;;;;1;1;1;1;;;2;;;15;;6;3;1;1;1;;1;1;1;5;1;3;1;2;1;;;4;;7;2;1;2;15;2;;3;1;1;;3;1;;;;;;;;3;;2;;;1;1;1;;;;;;1;1;;1;1;;;;;2;;;;;;;1;1;1;;;3;;2;1;;;;
33161-5102;;;;;;;6;2;1;1;;9;7;1;3;2;3;2;4;;;;1;;;;;;3;;2;;;;;;;;;;;;1;;;;;;;2;;1;;1;;;1;;;;;1;;;3;;2;2;1;1;1;;;;;;;;;;;1;;1;;;;;;4;;;2;1;1;;;;;1;;;;;;;;;;;1;1;;;1;2;1;;;;1;1;1;3;1;;;;;;;;1;;;;;;;;;;;;;;
31604-4224;1;4;1;;;2;23;3;6;4;8;21;29;1;1;1;2;1;4;14;1;;14;2;3;;2;2;15;1;6;1;1;;;;;1;7;3;;;1;1;;1;;;;3;1;;1;5;1;1;3;2;4;;;4;4;1;3;;;;;;;;1;1;;2;;1;1;;;;;2;;3;1;;;11;1;1;3;;;;;;;1;3;1;1;;1;10;6;2;;;;;;;1;1;1;;;;1;1;1;1;;1;;1;1;;;1;2;1;8;2;3;;;3;;1;;1;1;;
27965-4912;;8;2;;3;;29;2;1;1;;19;23;;2;2;2;2;7;13;;;5;;1;;;;8;;4;;2;2;1;1;1;;;;;;3;9;4;;;;;2;;1;;;;1;;;;;;;;;9;;5;3;1;1;;;1;;;4;;;;;;;;;;;;;;11;;;4;2;1;;3;;;;4;4;;;;;;;;;;;1;;;1;;;;1;;;;2;;4;;;;;;;;;;;;;;;;5;1;;;;
28056-4429;;;;1;;1;19;1;2;;;4;16;;2;2;3;2;5;15;;;3;;;;;;8;;3;;1;1;;1;;;;;;;;5;1;;;;;1;;1;;;;2;;;;;;1;1;1;2;1;2;1;;;;;;;1;1;;1;1;;;;1;1;;1;;;1;4;;;2;2;1;;1;1;;;3;;;;2;;;;;;;;;;2;2;2;;;;1;;;1;1;1;1;1;;1;1;1;1;1;;;;;;;;1;;;;;
31746-4224;;;1;3;;;52;4;4;2;;16;34;8;2;2;5;2;6;23;4;;11;1;;3;2;;18;2;3;3;;;;1;;2;5;;6;3;2;10;1;;;1;1;4;1;1;;3;;1;1;;;;;7;3;1;5;1;1;1;1;;;;;;;1;;;;;;;1;;;6;3;2;;7;4;1;;;;;1;;;;4;;;2;2;7;;4;3;1;4;1;2;1;;1;;;2;1;;2;2;2;;3;;3;1;;;;2;1;;;;;;4;3;2;2;;;;
31319-4428;;;;;;;20;2;1;;;6;13;6;1;1;2;1;7;17;;;1;;;;1;;2;;;;;;;;;;;;;;2;7;;1;1;;;2;;1;;;;1;;;;;;1;;;3;1;2;2;1;;;;;;;;;;;;;;;;;;;;;3;;;1;1;1;1;;;;;;;;3;;1;;1;1;;4;2;1;1;;;;;1;;1;2;;1;;1;;2;;1;;;;;;;;;;1;;;;;;;
30824-4429;;3;5;1;;;50;3;9;1;;33;52;1;1;1;4;1;5;33;2;;2;3;;;2;;29;5;15;2;3;2;4;3;;;1;;;;3;5;1;2;;;2;3;;2;;8;4;1;1;;;;;5;2;1;9;;2;1;1;;;;2;2;1;10;1;7;2;2;2;;;1;;7;2;1;1;26;4;1;7;2;1;1;6;2;2;;4;;1;;3;2;;2;;;;;;;;;;3;1;1;;3;1;1;;3;1;7;;2;2;;;;;;;;;2;1;1;1;1;;1;
31083-4429;1;;;;;2;37;3;2;;7;28;28;4;3;3;6;3;9;33;;1;8;3;;;2;;11;;6;1;3;2;1;1;1;;2;1;1;;3;15;1;3;2;1;;3;2;;;1;;1;;1;2;1;;5;1;;19;4;12;7;3;1;;;3;1;1;8;;5;2;1;;;;1;;3;1;1;;16;1;1;9;6;3;2;3;2;1;;1;1;;2;;2;1;;4;2;;;2;2;1;1;1;1;2;;3;1;1;3;;2;1;6;;3;;1;1;1;5;1;1;;;;;1;;1;3;;
31727-5786;;1;1;1;3;1;23;3;7;1;;14;17;3;3;2;2;2;4;12;1;;4;1;;1;4;2;7;1;1;;;;;;;;1;;2;1;1;5;;;;;;2;1;;;5;;2;1;;;;;2;;;2;;;;;;;;;;;3;1;1;;;;;;2;;2;1;1;1;3;;;;;;;;;;;2;;;1;;1;;1;;;2;1;;;1;2;1;;;;;1;;2;;;;1;;1;;1;;;;;;;;1;;;;;1;;
30662-4224;;7;2;;;;35;3;1;;;10;21;;;;;;1;17;;;2;2;2;;2;1;8;;3;1;1;;;1;;;;;;;;7;1;;;;1;3;1;1;1;;;1;;;;;;3;1;1;4;1;1;;;;;;;;;;;;;;;;;;;3;1;;;4;1;;2;;;;;;;;2;;1;;1;1;;1;;;;;;;;;;;;;;1;1;;;1;;;;;;;1;;;;;;;1;;;;1;;1;
35950-4912;1;;;1;4;3;32;3;2;1;3;16;20;2;2;2;5;2;5;10;2;;5;1;;;2;;8;1;2;;1;1;;1;;;1;;;;1;3;;2;;;1;3;1;1;;;;1;1;;;2;1;2;1;;6;1;4;;;;;;1;;;1;;;;;;;;1;;2;1;;1;5;;;3;3;;;;;;;3;;1;;;1;;1;;;;;;;2;2;2;;;;1;1;;1;;;;3;;;;1;;;2;;;1;1;2;1;;;;;1;
31464-4429;1;13;2;1;;1;26;2;4;3;1;19;28;2;3;3;3;3;5;8;2;1;7;1;1;1;2;1;13;1;1;;;;;4;1;;1;;;;1;2;;1;;;;2;;;;3;3;1;3;;;;;3;1;1;2;;1;;;;;;;;;5;1;5;1;3;2;;;2;1;4;2;;;10;3;1;1;1;;;3;2;;1;7;2;;;1;2;;2;;;;;2;;1;;;;;2;;1;1;2;;1;;6;1;2;;;;;1;;;;;3;;3;1;;;;
31570-4224;;;1;1;;1;40;4;3;2;;23;36;4;1;1;1;1;5;24;1;;3;1;;1;2;1;17;1;3;;1;1;;;;3;;;;;2;7;;2;;;1;4;2;1;;1;;2;2;;;;;4;;;8;1;6;4;2;;;1;2;;;3;;2;2;;;1;;;;4;2;1;;12;1;;4;2;2;1;1;1;;;2;1;;;5;;;;;;2;1;;;1;1;1;;;;1;1;1;1;;3;1;5;2;;;1;;;;;;;;;;;;;1;;
31392-4429;;1;1;;;;34;3;2;;;12;24;;1;1;1;1;3;24;;;2;;;;;;11;1;6;3;1;;;;;;;;;;1;7;;2;;;;3;;3;;;;2;;;;;;6;3;2;4;2;2;;;;;;;;;;;;;;;;;;;1;;;;9;4;3;3;2;;;;;;;3;2;;;1;1;;1;;;;;;;;1;;;;;;;;1;;2;;4;;;;;;;;;;;;1;1;;;;;;
31826-4428;;;;;;;27;1;2;;;9;14;2;1;1;2;1;3;20;;;;;;;1;;3;;;;;;;;;;;;;;;10;;1;1;;;1;;;;1;;1;;;;;;1;;;3;;2;;;;;;;;;1;;1;;;;;;;;1;;;1;4;;;2;2;;;;;;;;;;;;;;;1;;1;1;1;;;;;;;1;;1;1;1;;;;2;;2;1;;;;;;;;;;;;;;;;
31031-4224;1;;1;3;;1;62;5;9;5;9;53;60;7;3;3;5;3;6;26;1;;14;4;;2;4;;24;;16;1;4;1;5;;;;4;3;1;1;1;10;1;1;1;;1;5;;1;3;7;2;2;4;4;3;2;;6;3;3;9;1;1;1;1;1;;1;1;;;15;1;7;;4;4;1;;;;2;;;1;33;4;2;6;1;1;1;10;6;3;;3;1;;3;;11;7;1;2;1;4;2;2;2;;2;;;3;1;1;2;1;2;;3;1;5;;2;;;4;2;9;3;3;2;;1;;;;2;2;2;
32948-4428;;;;;;1;30;3;1;;9;16;32;;2;2;5;2;6;13;;;15;1;;;1;1;18;;4;;;;1;4;;1;1;1;;;1;2;;2;;1;;3;;;;;;1;;2;2;4;4;1;1;;5;;2;;;;;;;;;4;;3;1;;;;;3;;1;1;1;;8;1;1;1;;;;1;1;;2;5;;;;1;6;4;;;;;;1;1;1;1;1;;1;;;;;1;2;3;;6;3;2;2;1;;;9;2;2;3;3;;;1;;;;;
32933-4428;;;;;;;13;2;1;;4;5;14;7;1;1;2;1;3;12;3;;5;;;;;;1;;;;;;;;;;;;2;1;1;3;;1;1;;;2;;;;;;1;;;;3;1;;;;4;;3;1;;;;;1;;;1;;;;;;;;;;;;;;1;;;1;1;;;;;;;3;1;;2;1;3;2;;1;;5;;;;;1;;;;;;;;;1;;;4;;2;;;;;3;;;2;1;;;2;2;;;;
31306-4429;;;1;1;;;38;3;9;1;2;25;41;4;2;2;2;2;3;24;2;;3;;;;3;;13;1;4;;;;2;1;;1;1;1;2;1;;7;;;;;;3;;1;1;5;3;4;;1;;1;1;;;;3;;;;;;;;2;1;;11;1;8;1;1;;;;;;4;2;1;1;16;;;2;;;;5;4;1;;3;;1;1;1;2;2;;1;;3;1;2;2;;1;;;2;;1;;;2;;;;1;;;;;;;2;1;;1;1;1;1;;;;;;
10546-4428;;;;;;;19;3;1;;;12;23;2;3;3;3;3;6;16;;;2;;;;;;8;;1;;;;;2;;1;;;;;2;3;1;;;;;3;;1;1;;;1;;;;;;;;;11;;8;5;3;2;1;;1;1;;2;;2;1;;;;2;;;1;;;;6;;;4;3;3;1;1;1;;;5;1;;1;3;2;;2;;;;;;;2;2;2;;1;1;1;2;;2;;4;;5;2;1;;;;;;;;;;2;2;;;;;;
31400-4224;;5;5;;;;34;3;2;;;21;35;;1;1;1;1;2;30;;;4;;;;3;;13;;4;;2;1;1;;;;;;;;;9;;2;1;;;3;;1;1;1;;1;;;;;;4;1;1;11;2;6;3;1;;;1;1;;2;3;;;;;;;;2;2;1;;;;13;1;1;5;4;1;;2;;;1;2;2;;;;1;;1;;;;;;;;;;1;1;1;;;;1;;1;1;5;;1;;;;;;;;;;4;2;;;;;;
35729-4912;;5;1;;7;;56;5;4;;;45;58;1;1;1;2;2;6;11;;;3;;1;;1;;19;3;7;2;1;;;1;1;;;;;;3;2;;1;;;;5;;1;;3;;1;;;;;;9;5;2;15;2;6;2;1;1;;;1;;;7;1;1;;;;;;;;4;1;;;22;5;2;5;2;;;2;;;;9;4;;;2;1;;;;;;;;;1;;;1;;;;;;;;2;;3;2;1;;;1;;;;;;;1;1;1;;;;;
28391-4428;;;;;;;9;2;1;;1;4;7;;3;3;4;3;6;4;;;2;;;;1;1;5;;1;;;;;;;;2;1;;;2;1;;;;;;2;1;1;;;;1;;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;2;2;1;;2;1;;;;;;;;;;;;;;;2;1;1;;;;;;;3;3;3;2;;;2;1;;2;;;;1;;;;;1;1;1;1;;;;1;1;;;;;;
