aluno;1>;2>;3>;5>;6>;7>;16>;17>;30>;31>;32>;41>;43>;44>;46>;48>;49>;2>2>;2>41>;2 30>;2 31>;2 41>;5>5>;6>6>;7>5>;30>30>;30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 31>30>;30 41>;31>30>;31>30>30>;31>31>;31>41>;31 41>;31 41>30>;31 41>41>;41>2>;41>30>;41>31>;41>41>;41>41>41>;41>41>41>41>;41>43>;41>44>;41 43>;41 44>;43>44>;43>44>44>;43 44>;44>44>;44>44>44>;
30940-4435;6;28;3;4;1;5;1;1;19;22;1;69;11;17;7;2;;1;2;1;2;4;2;;2;7;2;;;4;2;2;1;11;3;;2;3;2;;4;3;1;16;4;1;1;2;;5;4;4;1;9;4;
31522-4917;;1;2;;;;1;;9;12;3;14;;;;;3;;;;1;;;;;1;1;3;;;1;;1;5;1;5;;1;;;;;1;3;1;;;;;;;;;;;
42250-6402;2;10;;;3;;1;;13;17;;17;;;2;1;1;;;3;;3;;1;;1;;2;;;1;;4;3;1;6;;5;;;1;;3;;;;;;;;;;;;;
30968-4434;1;5;;2;;2;;;11;9;;10;;;;;;2;1;2;2;1;2;;1;2;;;;;1;;;4;1;;;2;;;;;;1;1;;;;;;;;;;;
31601-6590;3;13;4;3;8;3;3;;8;19;2;24;2;4;3;1;1;2;2;;1;3;;1;;2;1;;;1;;;;3;1;1;1;5;;;1;;;4;;;;;1;;;;;1;;
27889-5061;1;3;;3;;2;;;7;5;;7;1;1;1;;2;;;;1;;1;;1;;;;;;;;;3;;;;;;;;;;2;;;;1;1;;1;;;;;
36139-6030;5;14;;;7;5;7;3;31;42;4;51;10;14;5;7;2;;1;2;1;4;;;;5;;3;1;2;7;1;8;9;1;2;4;10;1;3;;1;4;14;2;1;2;1;2;5;2;1;;4;2;
35990-5489;2;8;;5;4;5;7;;24;30;1;53;5;5;2;9;4;2;2;2;2;4;3;;1;5;;2;1;2;5;3;9;10;1;5;3;7;2;;2;2;5;11;4;1;1;;2;1;1;;;;;
40169-6400;1;7;4;3;;5;1;2;9;8;11;37;2;3;1;12;6;1;;;;1;1;;2;2;2;1;1;;;;3;1;1;2;2;;;;;1;2;8;4;1;1;;;;2;;;1;1;
40777-6400;2;16;;1;;1;;;8;14;;67;;;2;;;;1;;;5;1;;1;1;1;;;3;;;5;4;1;;4;6;3;3;2;3;5;17;8;4;;;;;;;;;;
30703-5384;2;25;;4;;2;3;4;28;38;;50;8;14;2;3;;1;2;3;5;3;1;;2;2;2;5;2;3;5;1;10;9;1;7;6;11;2;3;2;2;5;14;5;3;1;1;2;4;1;;2;2;1;
40960-6401;1;5;;4;;2;;;5;4;;32;1;;1;2;;1;;;;;;;2;;;;;1;;;3;2;;;1;3;1;1;;1;;11;3;3;;;1;;;;;;;
38975-5384;4;17;1;2;7;5;;;5;8;;41;6;6;4;1;1;3;2;1;1;4;1;1;;;;;;1;1;;;1;;;1;3;;;1;;3;6;2;1;2;1;2;5;1;;;1;;
30926-4433;3;16;15;6;1;6;3;2;29;43;13;42;4;2;3;1;4;3;;5;6;2;1;;;6;3;11;6;1;7;3;2;15;2;4;1;5;3;;;3;1;8;1;;1;;;;1;;2;1;1;
1436-6400;1;3;1;2;2;1;;;7;8;;45;;;1;3;4;;;;;1;;1;1;2;;;;;1;;1;2;1;;1;3;;1;1;1;;6;2;;;;;;;;;;;
31369-4433;1;12;;;;;;2;13;14;;18;4;7;1;;;;;;;;;;;4;2;;;2;;;1;8;3;;;;;;1;;;6;1;1;;;;;1;1;1;2;1;
43464-6400;3;11;1;;31;3;2;1;10;15;;85;8;19;3;9;13;2;1;1;;2;;6;;1;;;;1;2;;;3;1;1;1;4;;1;3;;3;17;8;1;1;2;2;5;1;1;2;3;2;
30745-5490;3;14;;1;24;11;3;;14;20;;43;9;17;3;2;;;;;1;;1;10;1;1;;3;;3;2;1;4;3;;2;1;4;1;1;;1;1;13;2;1;2;;3;4;1;;1;4;1;
31313-6401;1;10;;3;;5;2;;27;34;;41;3;12;1;8;6;;;3;2;1;1;;1;8;5;4;2;2;5;4;4;17;5;3;3;6;1;1;2;2;3;7;2;;;;1;;2;;;;;
31673-5384;;1;1;8;3;5;;1;9;22;;31;11;22;;3;2;;;;;;1;;3;3;;1;;;2;1;1;4;1;2;2;4;;1;;;3;7;3;2;2;2;;5;8;5;4;9;4;
42237-6402;;1;;1;9;3;;;7;16;;22;;;;1;;;;;;;1;5;1;1;1;1;1;1;;;3;3;;;1;3;;;;1;2;5;2;1;;;;;;;;;;
28092-4434;3;8;;2;6;4;;;2;6;;26;1;;2;1;;1;1;;;;2;;1;1;;;;1;1;1;1;2;;;2;2;1;1;1;1;1;6;5;;;;;;;;;;;
31529-4917;1;10;1;;;1;2;3;45;31;3;29;16;20;2;2;2;;1;2;;2;;;;14;4;6;2;4;9;4;9;14;6;3;4;8;3;2;;6;3;10;1;;4;3;4;6;2;1;;7;1;
30739-4434;1;23;;8;;5;1;;5;18;;53;5;15;1;3;;4;3;2;1;9;2;;1;;;2;;1;1;;3;2;;;3;13;2;3;6;2;2;15;8;4;1;;1;4;2;;1;2;;
36787-6401;3;11;11;;;;;;2;9;;21;4;5;3;1;3;1;5;;;4;;;;;;;;;;;;2;;1;2;2;;;1;;1;8;2;1;1;1;1;1;2;1;1;3;1;
35558-5384;2;23;1;9;6;9;1;;20;16;4;72;17;29;2;6;2;2;3;3;;8;2;2;;1;1;2;;2;;;7;5;1;1;3;3;;1;1;;3;19;4;2;4;3;3;8;8;4;3;8;3;
41089-6400;1;10;;1;4;2;;1;5;5;;11;;;1;1;;1;;1;1;;1;1;1;;;;;;;;1;2;;1;;;;;2;;;2;1;1;;;;;;;;;;
41289-6400;2;6;2;;1;1;1;;9;16;2;24;2;3;2;9;2;3;1;1;1;1;;;;2;;1;;1;2;1;1;2;;2;1;3;;1;1;2;2;6;2;1;;;;;;;1;;;
31759-4917;1;2;;1;4;1;2;1;6;8;;8;4;11;1;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;1;3;1;;1;1;;
30808-4435;3;12;;;;;1;;6;11;1;17;6;9;3;2;;2;1;;;;;;;3;;2;2;;2;2;;5;1;2;;1;1;;1;1;1;4;1;;1;1;1;;3;1;2;2;2;
27995-4435;2;22;1;2;;2;1;1;51;49;;41;6;7;2;3;2;1;2;7;;2;2;;;21;6;3;1;2;8;2;5;19;7;4;1;2;1;1;1;2;1;13;7;;4;1;1;3;3;1;;2;1;
31783-4433;1;7;;2;7;6;2;2;20;21;1;26;9;14;1;;;;;2;1;;2;2;1;2;1;3;1;1;2;;2;6;2;1;1;5;1;1;1;1;1;5;2;1;;1;1;4;4;;1;3;;
13405-5490;1;6;;6;5;4;;;23;22;;62;16;27;1;8;8;;;;;1;2;1;2;7;;3;1;2;4;1;5;2;;2;1;4;1;1;1;3;;13;4;;;;1;1;7;2;7;6;4;
31652-4434;2;8;;;;1;4;4;15;17;;31;2;1;3;1;2;;1;;;1;;;;3;1;1;1;3;2;1;4;7;2;1;3;5;1;1;1;2;1;9;4;2;2;;;;1;;;;;
36331-4917;;16;;12;35;14;2;1;30;33;5;21;9;12;;3;;2;;1;2;2;5;7;3;6;3;10;6;;15;4;4;12;4;5;1;5;1;;;2;2;3;;;2;1;2;5;;;3;2;1;
44195-6402;2;4;;;;1;;;4;4;;20;2;2;2;1;;1;;;;;;;;1;;;;1;;;2;1;;;;;;;;1;;2;1;;;;;;1;1;;1;;
24082-4603;;2;;;;;;;2;2;1;9;3;3;;1;;1;;;;;;;;;;;;;;;1;2;;;1;1;1;1;;1;1;6;2;2;1;1;1;1;1;;;;;
35799-5384;2;24;20;9;;5;;;9;19;13;55;10;15;2;5;2;1;2;;1;6;1;;2;;;2;1;;2;;1;4;;2;3;6;1;3;4;1;5;16;7;1;3;2;2;4;5;1;2;3;3;
37121-6401;4;37;37;1;20;8;2;1;20;24;9;26;5;2;4;4;;3;1;;3;4;1;4;1;4;2;2;2;;1;1;1;9;3;3;1;1;;;4;;1;3;2;;;;;;;;1;1;;
31570-5490;1;9;;;;;2;3;29;35;5;24;;;1;2;;;1;1;1;;;;;8;2;5;1;1;9;4;10;17;1;8;3;8;4;1;;6;3;6;1;;;;;;;;;;;
31826-4603;1;8;;;;;;;3;6;;17;1;;1;5;7;1;;1;;2;;;;;;;;;1;;1;;;;;3;;;2;;1;3;;;;;1;;;;;;;
39676-6030;2;17;6;2;9;7;2;;10;22;10;47;4;6;2;;;;1;;2;1;2;3;2;3;;2;;2;;;3;4;2;;2;3;;2;;1;5;13;6;3;2;2;2;2;2;;;2;1;
18607-4917;1;4;1;;2;1;;;2;3;;8;;;1;1;;;1;;;;;;;2;;;;1;;;;2;2;1;;;;;;;;3;2;;;;;;;;;;;
36170-5384;;1;;;3;1;;;;1;;9;4;6;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;1;;1;;1;1;3;;1;1;;
31604-4435;1;5;;1;6;5;;;6;5;;19;5;8;1;;;;;;1;2;1;;1;1;;;;2;1;;4;1;;;;2;1;;;2;;3;;;1;1;;2;3;1;;3;;
32895-6590;2;25;4;3;12;8;;;25;23;;37;5;4;2;16;2;3;3;2;;5;2;3;3;9;4;6;4;2;5;3;4;7;;3;1;4;;1;;2;2;9;4;2;1;1;1;1;2;;;1;;
41258-6590;;1;;;4;8;1;;13;12;2;10;1;;;5;;;1;;1;1;;;;3;1;;;;3;2;2;6;2;3;1;2;1;1;;1;1;2;;;1;;;;;;;;;
31888-4433;1;3;;;8;2;;1;12;14;2;13;5;6;1;10;1;;;1;;;;1;;;;3;;1;1;;3;6;;;2;4;2;1;;2;1;6;3;3;1;;;;3;1;;1;;
39946-6401;14;92;26;8;23;17;6;6;88;97;8;256;29;43;14;31;14;9;11;4;3;16;3;4;2;21;8;10;7;10;12;7;18;42;12;14;10;17;8;5;6;9;14;56;24;6;7;6;7;7;20;6;3;15;7;
35816-5799;;3;6;2;;1;;;7;6;2;3;3;3;;;;1;;1;2;;;;1;;;2;1;1;;;1;2;;;1;;;;;;;3;1;1;1;;1;;;;1;2;1;
41299-6401;2;17;;;;;;;18;9;;19;2;2;2;;;2;2;7;2;5;;;;4;1;;;3;1;1;5;4;1;;2;;;;;;1;3;;;1;1;1;1;;;;1;;
18398-5384;;1;;;;4;;1;34;30;;38;8;22;;5;5;;1;;1;;;;;8;1;6;3;3;10;3;11;11;;4;6;14;3;5;;4;3;8;1;1;1;2;2;5;2;1;3;9;3;
36057-7297;1;10;;;2;1;;;5;4;;19;2;2;1;;;;1;1;;2;;1;;1;1;;;1;;;2;1;;1;;1;;;1;;;1;;;1;;;1;1;;;;;
41590-6590;;;;3;6;4;1;;4;9;;7;;;;;;;;;;;;2;1;;;;;;1;;1;;;2;;1;;;;;;;;;;;;;;;;;;
22525-4435;;;;2;;1;;1;4;5;;3;1;3;;2;;;;;;;;;;;;1;;;1;;;1;;1;;1;;;;;1;2;1;1;;;1;;;;;1;;
35686-5489;1;12;11;8;14;11;2;3;43;35;26;41;13;15;1;6;;1;;4;4;;2;1;2;11;8;8;5;3;10;7;6;20;5;3;2;5;3;2;1;4;1;9;2;1;4;3;3;8;6;2;6;5;3;
33169-6402;2;5;;;1;;;;2;9;;27;9;13;2;3;;2;1;;;1;;;;;;;;;;;1;1;;;3;4;1;2;1;1;1;7;3;1;2;6;1;7;5;2;3;9;4;
40093-6590;1;3;;;;;;;;2;;6;;;1;1;;;;;;;;;;;;;;;;;;;;;2;1;;1;;;;1;1;1;;;;;;;;;;
30639-5489;1;9;7;;;;1;;20;12;;7;3;1;1;4;;;1;1;;1;;;;14;5;5;3;2;7;4;1;6;3;;;;;;2;;1;1;1;;1;;;;1;1;;1;;
24192-6401;1;5;;;;1;1;;2;7;;26;4;4;1;1;1;;;;;3;;;;;;;;;;;2;;;;;2;;;;;1;1;;;;1;2;2;2;1;1;1;1;
43058-6400;5;25;3;11;43;14;1;;11;27;;119;17;33;4;;;1;1;;;4;2;17;5;2;2;;;;1;1;2;4;1;4;;2;;;2;;2;17;5;1;;5;3;5;10;7;7;13;6;
41125-7114;;1;;;;;1;3;9;11;;4;;;;3;;;;;;;;;;1;;;;1;;;1;5;;1;1;1;1;1;;1;;4;2;1;;;;;;;;;;
36400-5799;1;15;;2;;2;;;8;10;;24;;;1;2;;;1;;;4;2;;2;2;;;;1;1;;;3;2;1;2;;;;1;;;7;3;;;;;;;;;;;
27350-6401;;5;;2;;1;;1;11;6;1;40;6;17;;1;;;;;;;;;;1;;;;3;;;4;2;1;;;;;;1;;;11;4;;;;2;3;2;;1;5;3;
32015-4917;2;9;;3;1;2;1;;4;13;;8;;;2;4;;;;1;1;;;;1;;;;;;2;;1;1;;1;1;1;;;;;1;3;;;;;;;;;;;;
30586-4434;2;12;6;;;1;1;1;20;14;;18;1;;2;6;;;1;3;;3;;;;7;4;3;2;3;8;5;6;7;1;;2;4;2;;1;4;;3;1;;;;;;;;;;;
28164-6590;2;14;;;;;3;1;24;27;;18;4;7;2;;;1;;2;3;;;;;9;4;3;1;2;4;3;5;11;5;2;2;2;;;;1;1;3;1;1;1;;;1;2;;1;2;1;
31358-4435;3;32;7;10;4;9;2;6;66;60;1;86;4;12;4;5;1;1;2;6;5;5;3;2;3;19;5;3;;8;17;9;10;26;11;6;7;12;4;3;3;6;3;20;6;3;;1;1;2;3;;;;;
39955-6401;3;31;10;3;;5;3;;19;25;6;89;12;24;3;10;2;2;4;;;5;1;;1;7;1;;;1;1;1;4;8;5;4;2;4;1;2;6;1;4;24;13;5;2;2;2;5;7;3;3;8;4;
31219-5490;1;4;;5;;4;3;2;18;29;;26;;;1;2;;;;1;2;1;5;;2;2;;3;2;;3;;6;9;2;2;5;8;2;2;;3;2;4;2;1;;;;;;;;;;
36054-5384;2;17;1;3;;1;1;;8;9;;21;4;8;1;5;;1;1;;;3;;;1;3;2;1;1;;2;1;1;4;2;1;1;2;1;;2;1;1;7;3;2;1;;1;2;2;;1;1;;
