aluno;1>;2>;3>;5>;6>;7>;16>;17>;30>;31>;32>;41>;43>;44>;46>;48>;49>;2>2>;2>41>;2 30>;2 31>;2 41>;5>5>;6>6>;7>5>;30>30>;30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 31>30>;30 41>;31>30>;31>30>30>;31>31>;31>41>;31 41>;31 41>30>;31 41>41>;41>2>;41>30>;41>31>;41>41>;41>41>41>;41>41>41>41>;41>43>;41>44>;41 43>;41 44>;43>44>;43>44>44>;43 44>;44>44>;44>44>44>;
41058-6590;1;15;;1;11;2;3;3;20;29;;47;12;21;1;2;9;;2;;1;6;1;5;1;4;1;;;1;1;1;4;10;2;3;2;1;;;;;2;14;5;1;1;4;1;9;5;2;5;9;4;
36383-6401;1;5;;;7;1;1;2;16;14;;10;1;1;1;1;;1;1;1;;1;;2;;8;3;;;1;3;3;1;10;3;1;3;4;2;3;1;2;1;3;1;1;;;;;1;1;1;1;1;
30777-4433;2;12;4;;;;1;;1;7;;10;2;3;2;2;3;1;1;;;;;;;;;;;;;;;;;2;2;1;;;;;2;1;;;1;;;;1;;1;1;;
23467-4433;;2;;;;;;;;1;;12;4;12;;;;;1;;;1;;;;;;;;;;;;;;1;;;;;1;;;1;1;;1;;1;;2;;;1;;
31735-4434;1;8;;3;;4;;;2;4;;35;5;6;1;;;;2;;;;2;;1;;;;;;;;1;;;;;1;;;2;;;7;1;;2;;;1;;;;5;3;
31520-5489;;1;1;1;;1;;;1;2;;12;;;;1;1;;;;;;1;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
30705-5799;1;10;;2;;2;;;8;7;;19;5;13;1;3;;3;;2;3;2;1;;1;3;1;1;1;;1;1;2;3;2;;1;2;1;1;1;2;2;4;2;2;1;1;1;1;3;;1;3;1;
31031-5384;1;10;5;2;12;4;1;1;9;10;7;32;9;19;1;2;1;1;;1;1;1;2;6;2;2;2;1;;;;;2;5;2;2;2;3;3;2;1;3;2;7;1;;1;3;3;1;7;2;2;4;1;
27352-6401;;1;;;8;1;1;2;9;4;;2;;2;;9;4;;;;;;;1;;;;1;;;1;;2;2;;1;;1;;;;;1;;;;;;;;;;;;;
30807-5489;2;20;;8;;5;1;;20;22;;23;3;9;2;6;4;1;3;7;5;6;2;;4;4;1;3;2;3;7;3;8;6;;;;6;;;1;2;2;6;2;1;;;1;3;1;1;2;3;;
31210-5799;1;6;;4;2;5;1;4;13;15;;16;;;1;2;;;;;1;;;;2;3;1;2;;1;4;1;3;5;;1;2;3;1;1;;1;;4;1;1;;;;;;;;;;
31805-6895;1;3;;;;;;1;3;5;;8;1;2;1;1;6;1;;;;;;;;;;;;;;;1;3;;;1;1;1;1;;1;1;3;;;;;;;1;;;;;
28043-4435;;3;;;;;;;3;4;;2;;;;;;;1;;;;;;;1;;;;;;;;3;1;;;1;1;;;1;1;;;;;;;;;;;;;
31806-5490;;1;;4;;2;;;3;8;;20;5;3;;1;4;;1;;;1;2;;1;1;;;;;1;;;;;;3;3;;2;;;1;10;6;6;4;2;2;2;2;1;1;2;2;
36131-7297;;;;;;1;;;;;;12;5;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;;3;2;1;4;1;
