aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
36194-5489;;4;1;;8;4;;20;;;9;8;10;;28;1;2;1;1;;9;;;;;;;;1;;1;1;;;;;1;;;1;;;;;1;1;;2;;1;1;3;;;;;;2;;;;;;1;;6;1;1;;;;;;;;;;;;;;2;;;;;;2;1;;;1;;;;;;;1;;;;;7;;;;;;2;;1;11;;;7;2;1;1;;;;1;;;;;1;1;;1;;1;1;1;;;;;;1;;;1;;1;;1;1;;;;;;9;;1;;;
31810-6400;;;;;;1;;10;;;;9;6;;12;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;2;;;;;;2;;1;;;;;;;;;;;;1;1;4;3;1;1;;1;;2;;1;5;;2;1;;;;;;;;;;;;;;;;;;4;;;2;;;;;;;;;;;1;;2;;1;;1;1;;1;;;;;4;1;;4;1;3;1;;;;;;;;;;;;;
21283-6895;1;12;;3;1;4;;21;;;;7;7;;17;;2;2;;1;1;1;1;;;;;;;;1;;;;;;;;3;;;;3;3;1;;;6;;;;;;;2;;;3;;2;;;2;;;1;;;;;;;;;;;1;;;;;2;1;1;3;3;3;;;;;4;;1;;;2;2;1;;;2;;;;;;;;2;;1;5;;2;2;1;1;;;;;;;;;;;2;;1;;1;1;1;;;;;;1;;;1;;1;;1;1;;1;1;;;;;;1;1;
22483-6030;;1;;;;3;3;5;;;;2;4;1;6;;2;4;;;2;1;;;;;;;;;1;;;;;;;;;;;;;;;1;3;1;1;;;;;;;;;2;1;;;;;;;1;;1;;;;;;;;;;;;;;1;;;1;;;;1;;;1;;1;;;;;1;;;;;;;1;1;;;;;;3;;;1;;;;;;;;;;;;;2;;1;;;;;1;;;;;1;;;;;;;;;;;;;;;;1;1;;
31572-5384;2;12;;;;;;23;1;1;;8;17;2;22;;;;;3;3;;2;1;1;1;1;1;1;;3;1;2;1;1;1;;;;;;;;;;;;6;3;;;;;;1;;;12;3;5;1;1;;;1;4;;;;;;;;;;;;1;;2;2;3;1;;;;;3;4;;;8;2;3;1;;;;;;;;;;1;;;1;;;;;4;;;4;3;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;;;2;;;;
30588-5799;1;2;1;1;4;6;3;8;;;;;;;4;;;;;1;1;;1;;;;;;;;1;;;1;1;1;1;;1;2;;;1;1;1;1;3;;;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
18432-5799;2;10;;;8;5;;33;;;;12;10;;27;;4;4;;2;11;3;2;;;;;;1;;1;;2;2;2;2;;;;4;2;1;;;1;;;4;;;;3;;;2;1;2;2;;2;;;1;;;15;;3;2;;;;1;1;;1;;;;3;;1;;;2;1;1;1;;;;9;3;;;;1;;;;;1;;;;;;3;;1;;;9;2;1;5;1;;;;1;1;1;1;;;;;4;1;2;1;1;;;2;2;;;;2;1;1;1;;;;;;;2;2;;;;;6;2;1;
31805-5489;;2;;;24;3;;28;1;;5;4;3;1;28;;4;3;1;;12;10;;;;;;;;;1;;1;;;;;;;7;4;;;;1;;;1;;;;1;;;;;;;;;;;;;1;7;;2;1;;;;;;;;10;1;;;;;;;;;;2;1;;;1;;;;;;;;;;;;1;;1;;1;;;;;5;1;;1;;;;;1;;1;;;;;;3;;1;;;;;;;;;;1;;;;;;;;;;;;;;4;;1;10;9;
31444-5061;3;18;2;4;18;14;9;99;2;1;;12;12;7;53;3;16;26;1;3;10;1;2;1;1;1;1;1;2;1;7;2;;1;1;1;1;1;4;4;2;1;4;4;1;3;5;11;3;1;;3;;;7;;4;4;;3;1;;1;;4;26;;7;2;;;;8;6;5;4;;2;1;6;1;1;1;1;1;;1;;2;1;;8;4;1;1;1;1;;1;;;1;;;4;3;3;1;5;2;;1;16;1;2;8;4;3;1;1;1;1;2;1;1;1;2;2;13;1;12;;9;4;3;7;4;2;4;3;14;6;1;10;5;4;1;3;1;;2;2;1;4;;;;1;1;
28101-4434;;2;;;2;1;;11;;;;1;1;;1;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;1;1;;;;;;2;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;1;;;;;;;1;;1;1;;;1;;;;;;;;;;;;;2;;;;;;;1;;;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;
30705-5489;;1;;;2;;;14;;;;2;5;;23;;8;14;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;2;;1;;;;;;;;;7;1;4;2;1;1;1;2;2;1;;;;;;;1;;;;;;;;;;1;;;;;;;;;;3;2;;;;;;1;3;;1;11;;2;3;2;2;1;;1;;2;1;1;;;;8;1;4;;3;3;3;1;1;1;1;1;5;1;1;3;1;3;1;3;2;;;;;;;;;;;
31469-6030;;11;3;10;;11;;54;;;;5;5;;31;;8;11;1;;2;1;;;;;;;;;2;1;1;;;;2;;5;;;;7;5;;1;;3;;2;2;7;5;4;4;;;1;;1;;;;;;10;;5;2;2;1;;1;1;1;;1;;;1;1;2;1;1;;;;;;;;3;1;1;;;;;;;;1;;;;;;1;1;2;;1;7;1;1;3;3;2;1;1;1;;3;1;;;;1;6;;3;;1;;;2;2;2;;;7;2;2;3;;1;;;;;;;;;;;1;1;;
35410-6895;1;3;1;1;;3;;46;;1;2;16;18;1;42;1;8;15;1;1;5;2;;1;1;1;1;1;1;;1;1;1;;;;;1;1;;;;1;1;;;;1;;1;;2;1;1;2;;;7;;4;1;1;;;;15;;5;2;1;;1;1;1;;;1;;1;2;2;5;2;1;2;1;;2;1;;1;11;1;2;1;;2;1;1;;1;1;;;1;;;3;2;2;;1;14;;;4;1;;;;2;2;5;3;2;;1;1;7;1;4;2;2;1;1;5;3;2;;;8;3;2;2;1;1;1;1;;1;;;1;;2;1;;;2;
35962-5384;1;2;5;;;1;1;21;;;;;;;21;1;7;13;1;1;;;1;;;;;;;1;;;;1;1;1;;3;;;;;;;;;;1;;2;;;;;3;;1;;;;;;;;;6;;2;1;1;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;5;3;1;1;;2;;5;2;1;;;3;3;;2;;1;;;1;;;;;4;;;1;;;;;;;1;1;;;;;;;;
21513-5384;3;13;2;2;;1;;24;1;1;;7;8;1;14;1;;;;3;1;;2;2;2;2;2;2;1;;5;2;2;2;2;2;2;;1;;;;1;1;;;;5;2;;;;;;1;;1;4;;1;;;1;1;;8;2;1;;;;;;;;1;;1;1;2;;2;2;1;1;1;;;2;;;4;1;1;1;1;1;1;2;;;;;;1;;;3;1;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;1;;;;;;
31810-4917;1;4;1;;;;;8;;;;;;;5;;;;;1;;;1;;;;;;;;1;1;;1;1;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;3;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
35936-6400;1;1;;;;2;;14;;;1;6;7;;11;1;3;4;;1;4;2;1;;;;;;;;1;;;1;1;1;;;;;;;;;;;;;;;;;;;1;;;2;1;1;;;;;;3;;;;;;;1;1;;1;;;;;;1;;;1;;;;1;;1;3;;1;;;;;2;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;3;;1;;;;;;;;;;1;;;;;;;;;;1;1;;;1;;;1;1;
36278-5490;2;9;4;1;7;7;1;44;;;;2;9;1;37;;4;1;3;2;5;3;1;1;1;;;;1;;1;;;1;1;;1;1;1;1;1;;1;1;;;;4;;1;1;2;;;2;1;;2;;;;;;;;14;;5;3;2;;;;;;;1;;;;;;;;;;;;1;;;1;;;;;;;;;;1;;1;;;;;;;;;13;;;5;3;1;1;1;1;1;1;1;1;1;1;;1;;1;;1;1;1;;;;;;1;;;1;;1;;1;;1;1;1;1;2;;1;2;2;2;
36057-5384;1;2;;;;1;;17;1;;;2;5;;19;;1;1;;1;1;;;1;1;1;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;;1;;2;1;;;;;;1;1;1;;;1;;1;1;;;;1;1;;;;;;1;;;;;;;1;;;1;1;1;;;;;;2;;;3;;;1;;;;;;;;;;;;;1;;1;1;1;1;1;1;;;1;1;1;1;;1;1;1;1;1;;;;;1;;;1;;;;
28386-5061;;;;1;;1;;6;;;1;2;2;1;6;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;1;2;;1;;;;;;;;;;;;;;;;;1;;1;;;;;2;;;;;1;;1;1;;;;1;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
31560-4435;;2;;2;2;10;;57;3;1;;17;23;;39;;13;20;2;;2;;;;;;;;;;;;;;;;;;2;;;;2;2;1;1;;1;;;;3;1;1;2;;1;16;;11;2;3;;;;10;1;3;1;;;;2;2;1;;;3;1;5;1;6;3;2;4;;3;2;2;;1;13;5;4;2;2;;;;;;3;;1;;;;;;1;;1;12;;;3;1;;;;1;1;2;2;1;;;;11;;7;1;2;2;1;2;;;;;10;2;;3;;3;;2;2;1;;;;;;2;;;;
33680-5799;;3;;;;;1;24;1;;;3;4;;18;;1;3;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;1;;;;;;;1;;1;3;1;1;;;1;;;8;1;3;2;2;1;;;;;;;1;;;;;;;2;;;;1;1;1;3;;;;;2;;;;;1;;;;;;1;1;1;;1;7;;;2;2;1;;;;;;;;;;;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
28062-7114;1;2;1;;7;1;;19;3;;;7;13;;21;;3;6;1;1;;;;1;1;1;1;1;;;;;;;;;;1;;2;;;;;1;;;2;;;;;;;1;;;4;;1;;;;1;;5;;;;;;;;;;;;3;;;;3;1;1;;;1;;3;1;1;6;;2;1;1;;;1;1;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;3;;2;1;;;;1;1;;;;2;1;1;;;;;;;1;;;1;;;;;;;
21283-7297;1;7;;1;4;2;;27;1;;1;15;19;;19;;8;8;1;1;3;2;;1;;;;;1;;;;;;;;;;1;2;1;;1;1;1;;;4;;;;2;1;1;1;;;5;1;3;1;2;;1;;6;;1;1;;;;3;2;2;;1;1;;3;;8;2;2;1;1;2;1;3;1;1;13;1;7;2;2;;;2;1;;;;1;;;;;;3;;2;5;;2;1;;;;;;;1;1;1;1;;;6;3;4;1;3;2;2;4;1;;2;2;4;3;1;3;2;2;2;2;2;1;;;;1;;;1;1;1;
36259-5490;2;9;1;7;14;14;4;71;1;1;1;11;24;2;41;;4;3;;2;4;2;2;1;1;1;1;1;3;;6;1;;2;2;2;;;6;8;6;5;6;5;;2;4;5;2;1;;7;5;5;5;;3;15;2;6;1;1;2;;;24;;3;;;;;;;;2;1;1;1;1;1;5;2;2;5;2;;;7;1;3;9;1;4;2;2;3;2;2;1;1;1;;;1;1;1;;1;3;1;;12;;1;4;2;1;1;1;;;1;1;;;;;3;2;1;1;;;;3;1;;;;1;1;;;;;;;;;2;2;1;1;1;;;;;
31595-4603;;;;1;;1;;25;2;1;;12;14;;23;;3;2;;;7;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;9;;9;1;2;2;;;5;;2;;;;;1;1;1;;;2;;3;1;3;1;;2;2;1;1;1;1;;12;3;3;1;;2;2;;;;1;;;;;;;;;;;3;;;;;;;;;;1;1;1;;;;2;;2;2;;;;2;2;;;;2;2;2;;;;;;;;;;;1;;;;2;;
27455-4434;;7;3;;28;4;2;63;4;;1;5;18;;42;2;16;17;4;;9;4;;;;;;;;2;2;;1;;;;1;1;;16;9;5;;;3;;2;4;1;;;2;;;3;;;5;;2;;1;;1;;16;1;4;1;;;2;4;4;3;;1;4;;1;;2;1;1;;;1;;7;2;1;5;1;2;1;1;;;3;1;;1;1;1;;;;1;2;4;1;1;13;;1;3;;;;;2;1;4;4;;;1;;14;2;6;1;6;1;;9;4;1;2;2;8;5;4;6;4;1;1;;;4;;;;2;;;;1;2;
36145-5384;1;3;;;3;5;1;34;;4;1;9;11;;24;;1;;;1;3;1;;1;1;1;1;1;;;;;;;;;;;;2;;;;;;1;;2;;;;2;;;12;7;4;7;1;5;2;;2;2;;11;2;2;1;;;;;;;;;;3;5;;1;;;3;3;;;1;;1;6;3;;;;3;3;2;1;;1;;2;;;;1;3;3;1;1;6;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;3;1;;
36244-5490;2;15;2;1;22;6;2;73;2;3;3;26;38;11;63;3;16;22;2;2;5;2;;;;;;;2;1;2;1;1;2;2;;2;;1;9;2;1;1;1;2;;2;6;;;;3;1;1;6;1;4;22;1;15;2;4;;2;3;21;;11;5;3;;;3;1;;;2;2;3;5;1;9;1;1;;;1;;7;2;2;20;2;5;;;;;5;;1;2;1;4;;9;4;;1;2;1;;32;;1;12;6;;;;4;4;6;6;5;;1;3;12;;10;1;1;1;;4;2;;1;;14;4;2;1;1;1;1;;;2;2;;;;3;1;;;2;
31380-4434;3;8;;;2;3;;49;3;1;;8;10;;42;;7;17;;3;7;;1;2;2;1;1;1;1;;1;1;2;1;1;1;;;;1;1;;;;;2;;3;;;;1;;;1;;1;3;;;;;;2;;11;;1;1;1;1;;2;2;;3;;2;1;2;;;;;;;1;;2;1;1;5;1;;;;;;3;1;;;;1;;;;1;1;1;;1;10;;;3;3;3;2;1;;;;;;;;1;6;1;2;;;;;2;2;1;;;3;;;;;;;;;;1;1;2;2;;1;;;;
35410-4917;1;3;;;1;3;;40;2;;;6;9;;43;;7;15;1;1;3;;;1;1;1;1;1;;;2;1;;;;;;;;;;;;;;;;1;1;;;2;;;1;1;;1;;;;;;;;14;1;4;;;;1;1;1;;;;2;;;;3;2;1;;;;3;4;;2;4;;2;1;1;;;1;1;;2;1;1;;;;;;5;;3;10;;2;4;2;1;1;1;;;2;1;;;1;1;5;1;1;;;;;1;;;;;1;;;;;;;;;1;;;1;;;1;;;;
27820-5061;4;26;4;3;;4;2;54;3;;;14;17;;38;;7;8;;4;1;;2;2;2;1;1;1;4;;5;1;2;1;1;1;3;;3;;;;3;3;;1;1;14;3;1;1;1;;;1;;1;4;;2;;1;1;1;;10;;;;;;;1;1;1;;;3;;5;1;3;1;1;1;1;1;;3;1;;9;3;3;1;1;1;1;2;1;;1;;1;;;;2;;3;;3;10;1;1;4;1;;;;1;1;3;3;;;;;7;3;3;1;1;1;1;3;1;;1;1;3;1;;1;;1;;1;1;;3;2;2;;;1;;;;
33168-4434;1;2;;;6;1;;16;;;;10;7;;9;1;3;5;;1;1;1;;1;1;1;1;1;;;;;;;;;;;;;;;;;1;;;;;;;1;;;1;;1;5;;4;;1;;;;6;;2;;;;1;1;1;;;;;;1;;6;4;1;1;1;2;;;;;5;;3;2;1;;;;;;;;1;;;;;;;;;4;;;;;;;;1;1;2;1;1;1;;;2;1;1;;1;;;2;;;1;1;3;2;;2;1;1;;1;1;;;;1;;;;;;1;
21629-5061;2;6;3;;9;3;;73;3;;;34;42;26;47;6;9;8;3;2;2;3;1;1;1;1;1;1;;1;3;3;;1;1;1;1;1;;1;1;;;;1;2;;3;1;2;1;1;;;9;2;3;12;;7;;2;3;3;15;23;1;11;7;3;2;2;1;1;;;;3;;7;;7;5;4;21;14;2;1;10;3;3;30;7;5;4;3;17;12;8;5;7;5;5;1;10;19;16;2;3;11;5;2;25;2;9;13;7;5;4;3;3;1;5;2;2;2;3;;5;1;4;;4;4;3;4;2;1;1;1;7;2;1;6;2;6;2;5;5;3;1;1;1;1;;1;;;2;
22271-4917;1;3;2;;;;;8;;;;;;;7;;1;4;;1;;;;1;1;1;1;1;;;1;;;;;;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
31456-4917;2;2;7;2;2;2;;19;1;;;2;3;;15;;3;12;;2;1;;1;1;1;1;1;1;;2;;;;1;1;1;;4;1;;;;1;1;1;;;1;;5;;1;1;1;6;;;;;;;;;;;4;;1;1;;;;1;1;;;;;;;;2;;;;;;;1;;;1;;1;;;;;;;;;;;;;;;;1;;;7;;1;3;1;1;1;1;1;1;1;1;;;;;3;;;;;;;;;;;;2;;;;;;;;;;1;1;1;;;;1;;;
35698-7297;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35950-5799;;3;2;;4;2;;26;;;;4;4;3;21;3;3;3;2;;2;;;;;;;;1;;2;2;;;;;1;1;;1;1;1;;;1;;;;;2;1;2;;;1;;;1;1;;;;;;3;11;1;;;;;;;;;;;;;1;;;;;1;;;;1;;1;3;1;;;;1;;;;1;;;2;;3;2;;;1;1;1;3;;;;;;;;1;;2;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;
22977-4434;1;13;2;4;6;7;1;61;;1;;35;39;4;48;;6;10;;1;;;;1;1;1;1;1;;1;4;;;;;;1;1;4;;;;2;2;1;4;1;9;2;1;;5;2;2;8;;3;18;1;16;4;;6;1;1;11;;5;5;2;2;;4;4;3;;;;1;15;;1;;;13;12;;;5;;1;33;14;1;;;12;10;1;;2;;;;2;2;1;2;;2;;2;16;2;;10;4;3;1;1;;;;;;;1;;5;;3;2;;;;3;;;1;1;5;3;;1;;;;;;;;;1;;;;;;;
23182-6030;;1;;;1;1;;4;1;;;2;3;;3;;1;4;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;3;;;1;;1;;;;;;;;;;;1;;;
32035-7114;;1;;;;;;6;1;;;4;4;;15;1;3;12;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;2;;1;;;;;;;;;;1;;;;2;;;;;;;1;;;3;;2;;;;;;;;;;;;;;;;;;;7;;;2;;;;;;;1;1;1;;;;3;;1;;;;;;;;;;3;;;1;;;;;;;;;;;;;;;;
21321-4434;2;12;1;2;1;3;;44;;;;7;9;2;35;;3;9;;2;4;1;1;1;1;1;1;1;1;1;4;1;2;1;1;1;1;;2;;;;1;1;1;;;8;2;1;1;2;1;1;3;1;1;4;;4;;1;1;;;15;1;4;2;1;;;;;;;;;;;;1;;;3;3;;;;;;6;;1;;;2;2;;;;1;;4;2;;;2;1;3;;;9;1;1;3;1;;;;1;;1;;;;2;;1;;;;;;;;;;;;1;;;1;;1;;1;1;;1;1;1;2;;1;;;;
35754-6895;1;13;2;4;6;3;1;31;1;;5;10;10;1;23;2;6;13;2;1;6;1;;1;1;;;;2;;3;2;2;;;;1;;1;2;;;3;1;;;1;4;1;1;1;;;;2;1;;4;;3;1;;1;;1;6;;1;1;1;1;;;;;;;1;;2;;2;;;2;2;3;1;1;1;;6;1;;;;2;2;;;;2;;2;;1;1;2;1;1;;1;12;1;1;4;4;3;3;3;3;3;3;3;1;1;1;1;4;;1;1;1;1;1;1;1;1;;;3;1;1;3;1;1;1;1;1;2;;;1;;5;;;;;
33521-4434;;7;3;2;15;2;;21;;1;;4;6;3;16;;2;5;2;;4;4;;;;;;;3;;1;;1;;;;2;;1;9;4;1;1;1;;;;1;;;;2;1;;1;;;2;;;;;;1;1;4;1;1;;;;;;;;1;2;;1;;;1;1;;1;1;1;;2;;1;1;;;;;;;1;;1;;;1;;1;;3;;2;1;;6;1;;3;3;1;1;1;1;1;1;1;;;;;2;;1;;1;;;1;;;;;2;;;2;;;;;;1;;;;1;;1;1;2;3;
36131-5489;2;15;2;5;21;9;;128;2;2;1;27;43;2;98;;22;33;1;2;3;4;1;1;1;1;1;1;2;1;8;3;;1;1;1;2;;4;10;5;3;5;4;2;1;;7;4;1;1;3;2;2;5;2;1;26;;15;;7;1;3;;34;;9;3;2;1;2;5;5;4;1;2;2;2;6;3;12;6;3;3;2;;;6;1;3;25;3;12;6;3;1;1;4;2;;4;1;1;1;1;;1;2;5;1;1;34;1;1;15;10;1;;;3;3;7;6;2;2;1;3;19;3;14;2;8;4;2;8;4;3;1;1;17;4;2;8;2;4;1;2;2;1;1;1;1;;1;;;;3;
27455-6030;;2;;;;;;4;;;;6;3;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;1;;;;;1;1;;;;;;;;;;;;;1;;2;2;1;;;;;1;;;2;1;1;1;1;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27455-5061;;2;;;13;4;1;15;;;;2;5;;11;;;;;;;;;;;;;;;;1;;;;;;;;;7;2;2;;;1;1;1;1;1;;;;;;;;;4;1;1;;;;1;;;;;;;;;;;;;;;;1;;1;;;;;;;1;;;2;;1;;;;;2;1;;;;;;;;;;;;;6;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36130-6401;1;4;;1;13;4;;49;;;1;9;16;;23;1;8;7;2;1;8;1;;1;1;;;;;;1;;2;;;;;;1;1;1;;1;1;1;;;3;;;;2;1;1;4;3;;13;;6;;3;;2;;10;2;4;2;1;1;1;2;1;;;;;;2;;4;2;;1;1;;2;2;;1;9;1;4;2;;1;1;2;1;;3;2;1;;;;1;1;3;1;1;11;1;1;4;3;2;1;1;3;2;5;5;4;3;;3;7;1;5;1;4;2;1;3;1;;;;5;2;1;4;2;2;;1;1;1;;;1;1;1;;7;;;
32895-6030;2;15;3;7;3;9;;92;1;;;36;31;;87;;27;41;3;2;1;;1;1;1;;;;;;;;5;1;1;1;2;;6;;;;5;4;;1;;5;;1;1;4;2;1;3;1;1;8;;5;;1;;;;31;1;6;;;;2;6;4;2;;;1;;3;2;15;8;3;3;1;1;1;3;1;;20;1;5;2;1;1;;1;1;;5;2;;;;;3;2;6;1;4;24;2;2;6;1;;;;3;;10;3;2;2;2;2;17;;11;;7;5;2;3;1;;2;1;26;3;1;11;3;8;2;4;2;1;1;1;1;;;1;;;;
34845-4434;1;11;1;2;;3;;34;2;;1;19;20;;20;;6;11;1;1;3;3;;1;;;;;;;;;1;;;;;;2;;;;2;2;;;;4;;;;1;;;;;;3;;2;;;;;;10;1;3;1;;;1;;;;;1;2;;;;10;3;;1;;;;1;;;11;;6;3;;;;;;;1;1;;;;;;;1;;;5;;;1;;;;;1;1;2;2;1;;;;5;;1;1;;;;1;1;1;;;3;1;1;1;;;;;;1;;;;1;1;;1;3;2;
32030-7297;1;8;;1;;1;;41;;;;8;13;;22;;4;7;;1;1;;;1;;1;1;;;;4;2;;;;;;;1;;;;1;1;;;;6;4;;;1;1;1;5;;1;7;2;4;1;;1;;;13;;5;;;;;;;;;;;;2;;;;;1;1;;1;4;;2;7;1;;;;1;1;;;;;;;;;;;;2;1;;11;;2;2;1;1;;;2;1;3;2;;;1;;3;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;
22977-5799;;1;1;;25;4;1;17;1;;;4;7;;11;1;;;;;2;;;;;;;;;;;;;;;;;;;7;5;3;;;3;;1;;;1;;1;;;1;;;4;;3;1;;2;1;;3;;1;1;;;;;;;;;1;;2;;;;;2;;;;2;;1;3;1;;;;2;;1;;;1;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
32030-6400;3;22;10;1;21;6;1;71;;;3;15;21;4;47;2;10;9;3;3;9;2;;3;2;2;2;2;5;5;8;;;;;;5;4;1;13;5;2;1;1;2;2;;10;2;5;1;1;;;5;;1;9;1;5;2;1;1;1;1;22;2;5;2;;;1;1;1;;2;;;;5;2;3;2;1;6;3;;3;7;1;2;14;4;3;2;1;5;2;1;1;1;1;;2;2;;;2;1;5;;5;12;;3;7;4;2;1;;1;;4;2;2;1;2;1;5;2;4;1;1;1;;4;2;;;;6;1;1;2;;2;;1;1;2;1;;2;3;3;1;;1;;
30985-4433;4;19;;3;17;2;;38;1;;;3;8;;30;;6;10;;4;1;;2;3;3;1;1;1;;;2;;1;2;2;2;;;2;11;6;4;2;1;;;;6;;;;;;;;;;2;1;1;1;;;;;12;;6;1;;;;1;;;;;1;;1;1;;;;2;2;;;3;2;1;3;1;;;;1;1;;;;;;;;;;2;;2;;1;14;2;2;5;3;2;1;1;2;;3;;;;;3;2;;2;;2;1;;1;;;;;8;;;5;;3;;2;2;;2;2;3;;;;1;;;
22433-4434;2;2;;1;;2;;21;;1;;6;7;1;17;;4;7;;2;;;;2;2;2;2;2;;;;;;;;;;;1;;;;1;1;;1;;;;;;1;1;1;1;;1;2;;;;;;1;;11;;1;1;1;1;2;;;;;;;1;1;1;2;1;;1;;;;1;;1;2;;1;1;;;;2;;1;;;;;1;;;;;;;1;;;1;1;1;1;;1;1;2;2;1;1;;1;3;;1;1;1;;;1;1;1;;;3;1;1;3;1;2;;;;;;;2;;;;;;;
