aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
27482-6590;;1;;;2;1;1;4;;;;;1;2;6;;2;7;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;1;1;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
31410-4603;1;6;1;;24;5;;23;;;;2;2;;5;;;;1;1;1;;;1;1;1;1;1;1;;1;;;;;;;;;7;2;2;;;3;;;4;;;;4;;;2;;;1;;1;;;;;;5;;4;4;3;3;;;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;;;;4;;;4;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
27781-4434;;2;3;;;1;;15;;;1;2;3;1;14;;3;4;;;3;1;;;;;;;;;;;1;;;;2;1;;;;;;;;;;;;1;1;1;;;;;;1;;;;;;;;3;;1;1;1;;;;;;;;;;;;1;;;;;;1;;;;2;;1;;;;;;;;;;1;1;;;1;;;;;2;1;;1;1;;;;;;2;1;1;1;;1;2;;1;;1;1;1;1;1;1;;;2;;;1;;1;;1;1;;;;;;1;;1;1;1;
33680-4434;1;2;2;2;;4;;19;1;2;;5;3;2;11;;6;9;;1;4;1;;1;1;1;1;1;;1;;;;;;;1;;2;;;;2;2;;1;;1;;;;;;;;;;;;;;;;;1;2;;1;;;;;1;;;2;;;2;1;;2;;;1;;1;;;;;2;;;;;1;;1;1;;;;;;1;;;;;;;3;;;2;;;;;1;;4;2;1;1;1;;5;;3;1;1;1;;2;1;1;;;5;2;1;1;1;1;1;;;;;;1;;;1;1;1;1;
36352-5489;;1;;;;;;5;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28146-4435;;3;;;4;1;;17;1;;;6;6;;14;;5;5;;;1;1;;;;;;;;;1;1;;;;;;;;2;1;;;;;;;1;;;;1;;;1;;;2;;1;;1;;1;;7;1;2;2;1;;;1;;;;;1;;1;;3;3;2;;;1;;1;1;;4;;2;2;1;;;1;1;;1;;1;;;;;1;2;;1;4;;1;3;2;;;;;;;;;;;;3;;3;;1;1;1;1;;;1;;4;1;;2;1;2;1;1;1;;;;;;;1;;;1;
30492-5384;;3;;;2;2;2;17;;;;22;18;;11;;1;1;;;;;;;;;;;;;1;;;;;;;;;1;1;;;;;;1;3;1;;;1;;;2;;;4;1;2;1;;;3;;4;1;1;;;;;;;;;;;;3;;7;3;1;5;4;1;;1;1;;15;1;7;3;1;3;3;3;2;;;;;;;;;;3;;3;3;;2;;;;;;;;;;;;;;1;;1;1;;;;1;1;1;;;1;1;1;;;;;;;;;;;;;;;;;
31566-5061;1;2;;;;1;;6;1;1;;5;5;1;4;;;;;1;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;1;1;1;;;;;3;;1;;;;;;;;;;1;1;2;2;1;;;1;1;;;1;;;3;1;;;;1;1;1;1;1;;;;;1;;1;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
30988-4603;;2;;3;3;4;;24;;;1;4;8;;22;;6;9;;;4;1;;;;;;;1;;1;;;;;;;;3;2;1;;2;2;1;;;1;;;;2;;;3;;;4;1;1;;;;;;7;;2;1;;;;2;2;2;2;;;;1;;1;;;;;;1;1;;1;3;;1;;;;;1;;;1;;1;;;;;;;;;3;;;1;;;;;;;1;1;;;;;6;2;5;;4;2;1;5;4;;1;1;5;3;2;4;3;2;1;1;;;;;;;1;;;;;
28164-5799;1;18;;8;3;10;;43;;1;;25;23;;39;;10;17;;1;;1;;1;1;;;;2;;4;3;1;;;;;;8;;;;7;7;;1;;9;3;;;3;2;2;2;1;1;8;1;5;;3;;2;;17;3;3;2;1;;;2;1;;;1;;1;3;1;12;8;6;1;1;5;;3;1;2;17;1;9;5;3;1;1;3;3;;1;;;;;;3;2;7;1;4;10;1;3;5;3;1;1;1;1;;1;;;;;1;7;;4;;2;2;1;3;1;;1;1;9;2;;5;2;3;1;2;2;;;;1;;;;;;1;
31476-6401;1;9;4;2;5;4;3;60;4;;;13;25;6;48;1;10;9;;1;2;;;1;1;1;1;1;1;2;;;;;;;3;1;1;1;1;1;1;1;;3;3;2;;4;3;1;1;1;5;1;;6;1;2;1;;;;2;12;1;5;3;2;2;;1;1;;1;;4;;4;1;1;;;2;2;;;4;1;1;12;3;1;;;1;1;1;1;4;2;1;1;;5;1;2;1;3;1;1;17;1;2;10;6;4;2;1;3;2;4;2;;;1;2;7;3;3;;3;3;2;4;1;1;;;4;;;4;;3;;2;1;;;;1;;;;;;;
