aluno;1>;2>;3>;5>;6>;7>;8>;13>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;46>1>2>;46>2>;48>14>;49>48>;49>49>;
31155-4433;3;20;;1;;1;;;43;;;4;4;;47;6;14;1;3;;;3;;;;;;;3;2;1;2;2;2;;;1;;;;1;1;;5;;;;;;;;4;1;2;;1;;;;;;;10;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;3;1;;;;;;;;;;;;3;;1;1;10;;4;4;2;2;;;1;;;3;1;;;1;;4;1;;2;;1;;1;3;3;;;;;
22423-4434;1;9;;;;;;;24;;;1;3;;29;8;24;2;1;;;1;;;;;;;1;;1;1;1;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;8;1;1;;;;2;1;1;;;;;;;;1;;1;;;1;;;;;;;1;;1;1;;;;2;;2;;;;1;;2;;7;;;;;;;;;;;7;3;1;1;3;2;5;1;1;1;;1;;;1;1;;;;;
27586-4435;4;16;;4;30;9;;;73;3;1;13;37;;27;5;4;;4;14;2;1;2;2;;;;1;3;1;;;;;;;4;6;3;2;4;4;1;9;1;2;;;6;3;3;3;3;24;9;11;3;1;1;4;;;11;1;2;2;2;2;2;1;;5;1;3;1;8;3;1;2;2;1;1;;5;5;;1;14;3;;13;6;1;1;1;5;5;1;;;3;;;1;;1;1;7;1;5;3;2;2;1;;1;;;2;1;;;;;1;;;;;;;;2;1;2;8;1;2;
39460-6401;3;12;;;;;;;15;;;2;3;;10;4;3;;3;;;2;2;2;1;1;1;2;1;;;;;;;;;;;;;;;7;1;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;2;;;;;2;1;;;1;;;;1;;1;;3;;1;;;;;1;2;;;2;1;1;;1;1;2;1;1;2;1;1;1;1;2;2;2;;;;
43981-6401;2;33;5;;;9;;;85;2;;34;43;1;86;20;42;;2;13;1;;2;2;2;2;2;8;7;2;3;;;;4;;;;;;;;;16;5;;2;1;;;;1;;17;1;7;2;1;;1;1;1;30;3;11;4;2;1;5;3;2;;1;2;;10;2;3;14;2;6;1;1;5;4;5;1;3;2;1;24;5;8;3;1;3;3;3;1;2;10;;;5;2;7;3;33;2;16;9;4;2;;4;5;4;2;17;8;5;4;12;8;17;8;5;12;5;6;3;5;;;2;;1;;
30813-5490;3;15;6;3;4;7;2;;63;1;1;21;23;1;71;2;3;1;3;4;1;2;1;1;1;1;1;1;5;1;3;;;;2;2;3;2;1;1;2;2;1;5;;1;5;2;3;1;1;5;1;9;1;6;1;2;1;1;1;;27;1;8;3;;;1;1;;1;;;1;3;1;1;6;1;1;;;5;4;;1;3;1;1;17;2;5;1;;5;4;2;1;1;;1;;3;2;4;2;18;;5;1;1;1;1;;;;;2;;;;1;;1;;;;;;;;2;2;1;2;;;
31872-4603;2;2;5;1;;2;;;40;;;4;6;;44;5;8;;2;16;2;;;;;;;;;;;2;2;;;;1;;;;1;1;;1;;;5;;;;;1;1;1;;1;1;;;;;;19;;6;4;2;;1;1;1;8;;;;1;;;2;;2;1;;;;2;;;;;4;1;2;2;1;;;;;2;;;;;1;3;1;17;2;9;4;1;;;;;;;4;2;2;;1;1;5;1;1;2;1;;;;2;;;3;2;1;
31340-4433;2;14;1;4;;4;;;37;1;;9;12;;49;11;20;;2;2;;2;;;;;;1;;;1;2;2;2;;1;4;;;;4;4;;3;1;;;;2;2;2;2;1;6;1;4;1;2;1;;1;;16;;5;3;2;1;;;;;;1;;1;;1;3;;2;1;1;1;;1;1;3;1;;6;1;3;2;1;1;;1;;2;1;;;2;;2;;23;1;12;7;4;3;1;4;5;4;2;10;6;2;1;5;4;7;3;3;2;1;1;1;1;2;2;;;;;
27616-4435;2;29;19;;;1;;;74;4;3;46;33;1;43;7;4;4;2;10;;1;1;1;1;1;1;1;4;;1;1;1;1;10;;;;;;;;;11;1;2;13;7;;;;2;;11;;9;;5;3;1;1;1;12;;4;1;;;;;;1;;4;3;4;;2;28;3;17;15;11;6;1;6;6;2;;1;26;;16;8;7;4;;2;1;3;1;1;;2;1;6;5;12;2;4;1;1;1;1;2;4;2;1;4;2;1;;2;2;2;1;1;1;1;;;;1;1;1;1;;;
40162-6401;2;31;;3;57;8;;;180;6;12;103;123;7;111;12;20;2;3;7;11;2;;;;;;1;3;;3;2;2;2;;;3;21;8;7;2;2;3;21;1;2;;;6;1;1;7;3;70;2;43;5;19;7;4;7;;40;1;16;6;4;1;2;1;;;4;6;11;16;8;2;29;3;11;7;3;12;8;2;;5;2;2;81;10;28;10;6;7;5;8;4;5;1;5;3;2;1;5;1;37;4;16;10;6;5;4;2;5;5;3;11;3;1;1;6;;7;4;;3;2;3;2;2;2;2;;;4;7;
41556-6400;4;17;9;1;;1;;;36;;;;3;;28;6;5;4;4;2;;2;2;2;1;1;1;3;5;1;2;1;1;1;3;2;1;;;;1;1;;3;2;;6;3;1;1;1;2;;2;;;;;;;;;10;4;1;1;1;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;5;1;1;;4;;2;1;1;1;;;;;;5;4;4;3;2;;4;2;;4;2;3;2;1;2;2;2;2;;;
31158-5799;2;4;;;2;1;;;16;1;;1;2;;14;1;3;;2;;;1;1;1;1;1;1;;1;;2;1;1;1;;;;1;1;1;;;1;3;;;;;1;;;;;1;;1;;;;1;;;5;;;;;;1;1;1;;;1;;;;;;;;;;1;;;;1;;;1;;;;;1;;;;;;;;;;;;1;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
15247-6400;2;7;3;;6;9;2;1;82;;1;49;49;;114;8;26;1;2;6;4;1;1;1;1;1;1;1;1;;4;1;1;1;;1;;2;;;;;1;3;;1;1;;6;;;13;4;22;2;14;;3;;4;2;;27;;5;2;;;1;1;;2;3;;1;3;1;2;17;;9;5;3;11;7;5;;6;2;2;37;;12;5;3;10;6;7;4;7;2;;;;2;8;2;34;2;10;6;3;2;1;;2;2;1;7;4;2;2;4;3;10;4;3;7;3;5;3;4;1;1;1;2;3;2;
32879-5489;2;5;3;;;1;;;18;;;5;4;;46;2;12;;2;;;;2;2;2;2;2;1;2;1;3;;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;9;;2;;;;;;;;;;;;;;2;;1;;;1;1;;;;;;3;;2;1;;1;1;;;;;;;2;1;;;14;;2;;;;;;1;1;;2;;;;;;1;;;1;;1;;;;;2;;;;
41126-6400;2;7;;1;;5;;;46;;;5;7;;37;14;24;;2;3;;1;1;1;1;1;1;3;;;3;1;1;1;;;1;;;;1;1;;4;1;;;;1;;;2;2;4;;;;;;;2;;11;1;2;1;;;9;7;4;1;;;;;;;3;;1;;;;;;;;;;;;;;;;;4;;2;2;;;1;2;2;;16;1;10;6;4;1;1;3;3;1;1;11;5;5;4;5;;10;4;;6;2;4;;2;1;1;1;;;;
35866-5489;4;29;1;8;49;17;;;265;6;2;53;137;;124;3;6;;4;10;3;;4;4;2;2;2;;1;;;;;;;;7;34;22;16;8;7;6;14;;1;;;13;6;6;22;3;107;32;25;11;6;2;;11;;59;3;12;4;2;2;1;1;;;3;6;2;27;11;10;10;5;5;2;;3;1;1;4;44;6;4;43;14;9;4;2;1;;15;7;2;2;;;4;2;9;5;30;3;13;8;5;5;5;2;2;2;;3;;;;3;3;1;;;;;;;;;;4;5;2;2;
44058-7297;2;6;2;4;10;6;;;55;3;;10;24;3;64;5;10;1;2;7;;1;1;;1;1;;1;2;;1;1;1;1;1;;4;4;1;;4;4;;2;;1;;;3;2;2;1;;6;;2;;;;;1;1;17;1;6;3;1;;1;1;;;;3;;;;;;;;;;1;;1;;1;;1;9;;;;;1;;1;;1;7;3;1;3;;4;1;19;1;10;5;3;2;2;;;;;3;1;;;2;1;3;1;1;2;1;2;1;2;1;1;;1;;;
22363-4114;2;6;;2;21;3;1;;80;4;4;33;36;;43;8;21;;2;15;10;1;1;1;1;1;1;1;4;;;1;1;1;;;1;3;1;;1;1;;1;;;;;2;;;1;;15;;13;2;1;1;2;1;;11;;1;;;;3;2;;3;2;4;4;6;;2;3;;2;2;;2;1;1;6;5;;1;28;3;3;2;2;2;1;3;1;;1;;;;;2;1;6;;;;;;;;;;;4;;;;1;;1;;;;;;;;1;1;1;2;5;3;
34845-5799;2;3;;;26;3;;;19;;;;;;47;;;;2;;;1;1;1;1;1;1;;;;;;;;;;;13;5;1;;;1;1;;;;;;;;2;2;;;;;;;;;;7;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;3;2;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;
32278-4434;2;38;13;3;4;8;2;;69;;;14;14;3;46;7;3;1;2;1;;2;;;;;;1;13;6;4;2;2;2;7;5;3;1;;;2;2;1;20;1;8;3;2;4;1;1;3;2;6;1;3;1;2;2;;;;29;3;13;8;3;2;;;;;;;;4;1;2;8;3;6;2;1;1;1;2;;1;;;11;1;8;6;2;;;;;1;;;;10;1;3;2;22;2;16;8;7;6;5;4;6;3;3;3;3;3;3;3;1;3;3;1;3;3;3;3;;2;2;;;;;
44258-7297;2;10;2;1;;1;;;24;;;2;3;;22;1;1;;2;;;;2;2;1;1;1;1;;;;;;;;1;1;;;;1;1;;1;;;1;;;;;3;1;1;1;;;;;;;;12;2;1;1;1;1;;;;;;;;;;;1;;;;;;;1;;1;1;1;2;;1;;;;;1;1;;;;;4;1;2;;6;1;6;5;3;3;3;;1;1;1;1;1;;;;;1;;;;;;;;;;2;;;;
27764-4603;2;10;;4;13;9;;;53;4;;13;25;;45;11;25;;2;1;;2;;;;;;;3;;;1;1;1;;;2;10;8;6;1;;1;4;;;;;5;1;;;;11;;2;;;;;2;;7;;7;4;3;2;3;1;;;;4;;1;;;2;;;;;2;;3;;4;1;1;7;;1;;;2;;2;1;;;;;;;1;;19;1;10;6;4;1;1;1;1;;;2;;;;2;;7;1;;3;;2;;;2;2;;;;;
31612-4603;2;6;;;4;2;;;37;;;4;3;2;33;6;10;;2;5;2;1;1;1;1;1;1;;1;;;;;;;;;2;2;2;;;1;4;;;;;1;;;;;3;;2;;;;2;1;;15;;4;3;2;1;4;3;2;;1;;;1;1;;1;;;;;2;1;;1;;;;3;1;1;;;2;1;1;1;;;;;;1;;;13;;5;3;2;2;2;1;2;2;1;5;3;;;4;3;5;3;2;1;1;;;;1;1;1;;1;1;
31170-5490;4;18;;4;11;12;1;;109;6;10;42;58;1;78;12;20;;4;;;2;2;2;1;1;1;;9;2;2;1;1;1;;;4;4;2;;3;3;3;9;;6;;;8;2;2;5;;21;2;16;2;5;3;;;;23;2;9;1;1;1;7;5;1;;;5;10;15;1;3;8;1;4;1;1;8;4;;;10;2;2;33;7;8;4;1;4;2;1;;1;;;;4;3;9;4;29;4;10;6;4;3;2;;;;;8;3;3;1;5;2;8;3;2;3;2;1;1;1;2;2;2;;;;
31510-5489;2;3;2;;;;;;25;1;;3;5;1;28;4;9;;2;;;2;;;;;;;2;;1;2;2;2;;;;;;;;;;2;;;1;;;;;1;;1;;1;1;;;;;;3;;1;1;1;1;2;2;2;;;1;;1;;;1;;1;1;;;;;;;;;2;1;;;;;;;;1;;;;;;1;1;12;;6;4;4;3;3;;;;;4;3;;;2;1;6;2;1;3;2;;;;2;2;;;;;
31637-4603;3;6;;;2;3;1;;65;6;3;20;33;3;31;7;9;1;3;2;;1;2;2;2;2;2;;2;;3;1;1;1;;;;2;2;1;;;1;2;;;;;2;;;2;;16;1;6;2;2;;;2;;9;;2;1;;;;;;;;4;3;3;1;;7;;1;;;1;;1;1;1;;;18;3;6;1;;1;;5;2;;1;3;3;;;1;;9;;3;1;;;;;2;2;1;6;2;2;;2;1;4;1;;4;1;1;;1;1;1;2;2;;;
29016-5061;2;14;14;2;;2;2;;50;3;2;14;25;12;31;1;1;;2;1;3;;2;2;1;1;1;;6;;;;;;3;8;1;;;;1;;;8;;4;10;3;;;;9;1;7;2;3;;;;1;;6;6;;;;;;1;1;1;;2;3;2;4;;1;1;1;;;;7;4;;;12;2;1;12;3;;;;6;4;1;;;;8;6;1;;;;6;;2;1;;;;;;;;1;1;;;1;1;1;1;;;;;;;;;2;;1;1;
31191-4434;3;34;;14;6;15;;1;122;;;37;44;;51;12;12;2;3;16;16;3;;;;;;4;13;1;2;2;2;2;;;11;;;;12;10;;19;4;5;;;7;4;4;9;3;21;;13;1;5;3;1;2;;23;1;12;8;7;4;1;1;1;1;11;;;6;2;1;17;2;9;5;2;7;5;3;2;7;2;2;29;4;13;7;4;1;;7;5;6;1;;;6;6;16;5;23;8;13;10;6;5;4;1;5;3;1;8;3;2;1;4;2;5;2;1;4;2;1;1;;3;3;;6;10;14;
