aluno;1>;2>;3>;5>;6>;7>;8>;13>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;46>1>2>;46>2>;48>14>;49>48>;49>49>;
22559-5384;2;13;1;;;;;;21;1;;2;7;;16;1;1;;2;1;;1;1;1;1;1;1;5;4;1;1;1;1;1;1;;;;;;;;;7;3;;1;1;;;;1;;1;;1;;;;;;;4;1;1;1;;;;;;1;;1;;1;;;;;;;;;;;;1;;;2;1;;;;;;;;1;1;;;2;1;1;1;4;1;1;;;;;;;;;1;;;;;;;;;;;;;;1;1;1;1;;;
27512-4435;2;15;;;;;;;48;3;1;25;26;;49;6;7;1;2;;;;2;2;2;2;2;1;2;;;;;;;;;;;;;;;7;;1;;;;;;1;;12;1;11;;8;4;;;;12;;3;2;1;1;2;2;2;;;3;1;3;2;1;13;;8;;;1;1;2;;1;;;18;1;10;6;;1;1;2;1;1;;;;;;2;;16;1;10;8;7;3;2;1;2;2;;6;3;2;1;5;3;3;2;1;2;;1;;;;;2;;;;
31747-5799;3;8;10;;;;;;17;;;1;2;;11;3;2;;3;;;2;1;1;1;1;1;;1;;3;1;1;1;6;1;;;;;;;;1;;;10;6;;;;1;1;1;;;;;;;;;4;1;1;;;;1;1;1;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;1;1;;;;1;;1;;6;1;2;1;;;;1;1;;;2;2;2;2;;;2;;;2;;2;;1;2;2;1;;;;
31453-4433;2;17;;2;;2;;;30;;;7;10;;23;2;2;1;2;;;;2;2;1;1;1;3;;;1;;;;;;2;;;;2;2;;7;;;;;;;;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;2;;1;1;1;;;1;;;;;6;;2;1;1;;;2;1;1;;;;;1;2;;8;1;8;2;;;;1;1;1;1;1;1;;;1;;1;1;;1;;;;;;;2;;;;
21361-4917;3;14;;3;;2;2;;81;1;;6;9;;83;12;39;;3;3;1;;3;3;2;2;2;1;3;;2;;;;;;1;;;;2;1;;8;1;;;;;;;2;1;5;;4;2;;;;;;26;;4;1;;;5;5;2;;;1;;2;1;2;;;;;;;;1;1;4;1;1;5;2;;;;;;;;;1;;;2;;2;1;14;;5;2;1;;;;;;;12;6;2;1;2;1;14;1;1;6;1;1;;1;;;3;;;;
31292-5384;3;8;;2;17;5;2;18;43;;1;13;17;2;23;7;7;1;3;36;2;1;2;2;2;2;2;;2;;;1;1;1;;;1;7;4;2;2;1;;2;;;;;1;;;1;1;11;3;8;1;;;4;;;12;1;6;3;3;2;4;2;1;3;1;;1;4;2;;;;;;;6;5;;;8;1;3;12;4;;;;6;5;;;1;;2;1;2;;4;1;10;2;7;6;4;4;3;3;4;3;2;5;3;2;2;4;3;3;2;1;2;2;2;2;1;1;1;2;15;1;1;
30812-5490;2;17;;1;;6;;;44;;;21;19;;84;3;2;;2;5;;2;;;;;;;1;;5;2;2;2;;;1;;;;1;1;;10;;1;;;;;;1;;;;;;;;;;;12;;6;1;1;;;;;;;;;1;;1;5;;2;2;1;1;;2;5;2;;;13;1;3;2;2;;;;;3;;;;2;2;4;2;24;2;11;3;1;;;;1;1;1;2;2;;;;;2;;;;;;;;2;2;;;;;
30687-4433;1;14;7;1;33;6;2;;50;3;1;13;19;10;48;8;13;2;1;5;2;1;;;;;;1;4;2;1;1;1;1;6;1;1;16;7;3;1;1;2;5;1;2;3;3;3;;;3;;;;;;;;;;7;17;;7;2;2;;2;1;;1;2;3;1;2;;;3;;3;1;1;3;2;;;3;;2;10;2;3;3;1;3;1;2;2;1;2;9;6;1;;;;16;;4;3;;;;1;3;3;1;6;2;2;;3;2;5;;;2;;;;;1;1;;2;1;;
35936-7297;2;5;1;;35;3;2;;48;;;4;7;;62;6;8;;2;9;10;2;;;;;;;3;;;2;2;2;;1;;11;2;;;;2;3;;1;1;;3;;;;;2;1;1;1;;;;;;16;;6;3;1;1;;;;;5;;;2;;;;;;;;;;1;;2;;2;4;2;;;;;;;;1;;;;1;1;3;2;21;1;11;5;3;2;1;1;4;3;2;5;3;2;2;1;1;6;1;1;3;1;3;1;2;2;2;;3;8;3;
31462-4448;2;12;3;;15;5;4;;40;;1;9;13;3;29;5;6;;2;4;;1;1;1;1;1;1;1;2;1;3;1;1;1;2;1;;11;4;2;;;2;7;;1;;;1;;;5;;5;1;;;;;;;1;10;;6;5;3;1;2;2;;1;;;1;1;;;;;;;;1;;;;1;;1;6;1;;;;1;;2;;3;2;1;;2;2;5;4;14;3;9;4;1;;;;3;3;3;5;4;2;1;3;1;5;3;1;2;2;1;1;;1;1;1;1;;;
31729-4448;2;12;;;;5;;;20;;;1;16;;31;9;8;;2;2;;;1;1;;;;;1;;1;;;;;;;;;;;;;4;;;;;3;;;3;1;5;2;1;;;;;;;4;;1;;;;2;1;1;;;;;;;;;;;;;;;1;;2;1;1;1;;;;;;;;;6;;;;;;;;7;;2;;;;;;2;2;2;8;5;4;4;2;1;5;2;1;4;2;4;2;4;1;;1;;;;
22787-4435;2;8;8;1;;1;;;31;;2;16;12;;38;5;4;;2;3;;2;;;;;;1;;;;2;2;2;5;3;1;;;;1;1;;2;1;;6;4;;;;1;;3;;;;;;;2;;7;;;;;;;;;;;;2;;;;5;;2;2;1;3;2;;1;5;3;;7;;1;;;2;1;2;1;2;2;;;2;;2;1;12;1;8;2;;;;;3;3;2;3;2;2;2;;;2;;;2;;2;;2;2;2;;1;;;
31336-4434;4;58;3;6;8;13;4;;176;;;21;43;3;106;16;32;1;4;13;5;;4;4;2;2;2;4;23;3;2;;;;3;;6;3;2;;5;5;4;29;3;12;;;4;2;2;7;2;18;;9;2;3;1;1;;3;32;3;14;6;4;2;5;3;3;4;5;;;7;1;1;11;3;6;2;;4;2;2;3;5;1;1;19;5;10;5;2;2;1;7;1;8;1;2;;8;3;6;3;31;3;11;7;2;1;1;1;4;3;3;12;10;6;5;4;3;22;1;1;11;1;7;1;5;;;4;3;4;3;
31728-4114;2;11;;5;13;10;11;40;101;3;;7;16;7;36;3;1;1;2;46;3;1;1;1;1;1;1;1;3;;2;1;1;1;;;3;7;4;2;2;2;1;8;1;1;;;4;1;1;3;;4;;1;;;;1;1;4;14;;6;2;2;1;;;;32;3;3;;1;;;;;;;;2;1;;1;3;;;2;;;;;1;1;3;;4;1;3;;1;1;2;;15;1;5;3;2;1;;;1;;;1;1;1;;;;1;;;1;;;;;1;1;1;3;2;1;
34011-6402;3;10;;;1;2;;;34;1;;3;4;;59;11;34;;3;3;2;1;3;3;1;1;1;1;4;1;2;1;1;1;;;;;;;;;1;2;;;;;2;;;;;;;;;;;;;;15;1;7;1;1;;3;2;;;2;1;;1;;;1;;;;;;;;;1;;;2;1;1;;;;;;;;;;;3;;;;19;;6;5;3;2;2;;1;1;;9;;;;3;1;9;1;;;;;;;1;1;3;;2;;
40010-6400;5;27;;2;48;8;;;232;6;18;68;66;;95;19;46;1;5;24;4;2;3;3;2;2;2;5;8;;4;1;1;1;;;1;24;11;8;2;1;4;22;5;4;;;5;1;;15;2;43;;27;3;6;3;1;3;;55;2;21;13;9;6;7;5;4;2;4;6;18;12;4;2;17;2;9;4;3;2;;;8;1;;1;40;5;10;5;2;1;;3;2;8;2;;;3;4;7;3;32;2;17;11;8;7;6;4;8;7;3;15;9;6;5;7;4;14;5;2;6;5;5;5;2;2;2;3;11;4;4;
31746-4434;2;14;;;;;;;47;1;;6;10;;71;8;18;;2;;;2;;;;;;;6;2;;1;1;1;;;;;;;;;;4;;3;;;;;;11;3;4;;3;3;;;;;;21;;3;1;;;4;4;1;;;1;;5;1;;;;;;;;;;;2;;2;5;4;;;;;;1;1;1;;;;3;;;;10;;2;;;;;;1;1;;7;2;;;2;2;3;;;;;;;;2;2;;;;;
36058-5490;2;6;4;;8;5;1;;78;;;19;25;1;71;12;19;2;2;5;1;1;1;;1;1;;;2;;;;;;1;1;;2;;;;;1;3;;2;4;1;5;;;9;4;10;;5;;1;;1;4;1;24;;10;4;1;1;1;;;;1;;;3;2;;7;2;3;1;;4;3;4;2;1;;;19;1;7;3;1;4;3;7;5;3;1;1;1;1;2;3;2;23;;7;2;2;2;2;;1;;;6;5;1;;1;1;13;1;1;2;;1;;1;1;1;;;1;1;
27129-7297;2;10;2;3;;3;;;40;1;1;12;12;;19;2;1;;2;2;4;;2;2;2;2;2;1;3;1;2;;;;;2;3;;;;3;3;;10;1;2;2;;1;1;1;4;1;8;1;5;;;;;1;;9;;4;4;3;3;1;1;;;3;1;1;3;;;1;1;1;;;;;;;2;;;10;1;1;1;;;;1;1;;;;;;3;1;;8;;7;5;5;4;1;1;1;;;1;;;;;;;;;;;;;;;;2;1;2;4;
28835-4435;3;14;;;;;;;18;;;3;4;;6;;;;3;;;2;1;1;;;;1;;;;1;1;1;;;;;;;;;;7;;;;;;;;2;;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;1;1;;;;;;3;;1;1;1;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;;;;
30696-4435;2;7;;;;;;;19;;;1;3;;8;2;10;;2;1;;;2;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;1;;1;;;;;;;;;2;;1;;;;2;2;1;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;1;1;3;1;;;;;;;;;;2;1;;;;;3;;;1;;;;;;;;;;;
40640-6402;2;8;;3;;3;;;31;;;15;12;;36;13;35;1;2;;;1;1;1;;;;1;3;;;1;1;1;;;3;;;;2;2;;2;;;;;1;;;1;;1;;1;;;;;;;11;;3;2;1;;3;3;2;;;;;;;;4;;1;1;1;2;1;1;;;;;5;;4;1;1;;;1;;1;;;;;;3;2;14;2;7;3;1;1;1;4;5;4;1;13;7;3;2;3;2;12;2;2;6;1;4;1;2;1;1;1;;;;
31316-5490;2;9;3;;7;4;;6;35;;;2;6;;19;2;2;1;2;6;;1;1;1;1;1;1;;2;1;;;;;1;1;;2;2;1;;;2;2;;;;;2;;;;;1;;;;;;;;;6;;1;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;3;1;;2;;1;;;;;;;;;1;1;;;;;1;;;;;;;;1;1;1;;;;
22700-5489;2;7;2;;;;;1;14;;1;3;2;;9;1;2;;2;6;;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;5;1;;;;;;;1;;1;;1;;;;;;;4;;1;1;;;;;;;;;1;1;1;;;;;;;;;;1;;;;1;1;;;;;;;;;1;;;1;;2;1;4;2;3;;;;;;;;;1;1;1;1;;;1;;;1;;1;;;1;1;1;1;;;
27532-4114;2;3;;;;;;1;25;;1;4;5;;32;3;4;;2;5;5;1;1;1;1;1;1;1;2;1;1;1;1;1;;;;;;;;;;2;1;;;;;;;1;;3;2;1;;;;;;;9;;4;;;;2;2;;;1;;1;;;;1;;;;;1;;1;1;3;;1;2;;1;;;1;;;;;1;;;;;2;1;11;;1;;;;;;;;;3;1;1;1;2;;3;2;;2;1;2;1;1;1;1;1;1;4;1;
31136-5799;2;8;2;12;7;10;;;73;;1;12;35;;87;12;25;;2;3;4;1;1;;1;1;;;2;1;1;1;1;1;;2;8;3;1;1;9;7;1;2;;;1;;3;1;1;2;;19;1;6;2;;;3;1;;25;3;7;3;2;;7;6;5;1;3;;1;5;1;;1;1;;;;4;1;;;5;;1;10;3;1;;;4;1;3;;7;;;;5;;4;;19;1;8;4;;;;1;6;5;4;11;9;3;2;5;4;21;5;4;8;2;6;1;1;1;1;;1;2;4;
30834-4435;2;25;1;3;;3;1;;68;1;8;61;47;;41;4;11;;2;1;;1;1;1;1;1;1;2;10;;1;1;1;1;;1;3;;;;3;3;;14;2;4;;;;;;7;1;28;2;22;;7;5;6;1;;13;;5;;;;;;;;;1;8;5;2;;16;2;10;2;1;10;6;5;1;5;2;1;39;1;11;8;2;10;6;1;1;1;;;;1;3;1;1;16;;3;1;;;;;1;1;;4;1;;;1;1;1;;;;;;;;1;1;1;;;;
38021-5489;2;6;2;1;;2;;;16;;;;3;;26;4;11;1;2;4;1;;2;2;1;1;1;;2;;;;;;2;1;;;;;1;;;1;;;2;2;2;1;;5;2;2;;;;;;;;;5;;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;2;;4;;1;;;;;;1;1;;3;;;;2;;3;2;;;;;;;;;2;2;;;
35864-5384;2;17;;;;;;;40;1;;21;18;;34;3;2;;2;;;;2;2;1;1;1;2;5;4;1;;;;;;;;;;;;;6;2;1;;;;;;2;1;6;;4;1;1;;;1;;16;;5;1;1;1;2;2;;;;1;;2;;;13;;7;3;2;2;;1;;1;1;;16;2;9;4;;;;2;2;1;;;;;1;3;3;10;2;3;2;2;;;;;;;2;1;1;1;1;;1;1;;1;1;1;1;1;;;2;;;;
31801-4603;4;7;7;4;4;5;;6;33;1;;9;5;;27;3;3;1;4;7;4;4;2;1;2;2;1;1;1;;1;3;3;3;1;1;3;2;1;;4;3;1;4;;;4;;1;1;1;1;;2;;2;1;;;;;;7;1;;;;;2;2;2;1;2;1;;4;1;1;3;1;2;1;1;;;;;;;;4;2;1;;;;;1;1;;;;;1;1;1;;5;;;;;;;;;;;3;3;2;1;3;;3;2;;2;1;1;1;;4;4;1;;4;;
31295-4433;4;17;;3;1;3;;;49;1;;6;18;;14;;;;4;4;;2;2;2;1;1;1;;3;;;;;;;;;1;1;1;1;;;5;;;;;2;1;;1;;11;;;;;;;1;;6;;4;;;;;;;;;1;;2;1;;;;;;;;;;2;3;2;;2;1;;;;;;3;;;;;;2;;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;
36413-5489;2;2;;3;;3;;;34;;;3;6;;31;2;1;;2;1;;1;1;1;1;1;1;1;1;;;1;1;1;;;3;;;;3;3;;2;1;;;;2;2;2;6;3;1;1;;;;;;;;17;1;3;;;;;;;;;;;2;;;;;;;;;;;;1;;;2;1;;;;;;;;;1;;;1;;2;1;6;1;;;;;;;1;;;1;1;;;;;1;;;;;;;;1;1;1;;;;
30492-6030;2;12;;3;7;6;2;;31;1;1;17;15;1;13;1;;;2;1;;;1;1;1;1;1;;4;;;;;;;;1;;;;;;;7;;2;;;2;;;1;;6;1;2;;1;1;;;1;2;;1;;;;;;;;;1;1;1;;;6;;2;1;;;;3;;1;;;9;;2;1;;;;;;1;1;1;;;1;1;1;5;;2;;;;;1;1;;;;;;;;;;;;;;;;;1;;1;;;;
26940-4917;2;14;;2;14;6;;;67;;;6;18;3;22;;;;2;3;3;2;;;;;;;6;4;;1;1;1;;;1;4;1;1;2;1;3;7;;3;;;3;;;14;1;13;6;2;1;;;1;1;;13;3;2;1;1;;;;;;2;;;4;1;;1;1;;;;2;1;;;11;2;2;5;3;1;;;2;1;1;;1;2;2;1;4;2;2;;3;;1;1;;;;;;;;;;;;;;;;;;;;;;2;2;;1;;;
20796-4435;2;11;6;8;;9;;;42;;;21;21;3;35;7;8;1;2;8;3;1;1;1;1;1;1;;4;1;1;1;1;1;2;1;5;;;;5;3;;4;;;2;2;4;2;1;2;;4;;2;;2;;;1;1;6;;2;1;1;;2;1;1;;1;;;1;;;12;1;3;2;1;2;1;;1;2;1;;5;;3;;;;;3;;3;2;1;;1;;4;;14;3;6;5;4;2;2;;1;1;;4;2;2;1;1;;4;1;;3;1;3;1;1;1;1;1;;1;1;
36444-5490;2;10;;5;3;5;4;;60;;;13;18;6;69;6;5;1;2;3;2;1;1;1;;;;1;3;;1;1;1;1;;;4;;;;4;4;;4;;1;;;1;;;3;3;8;1;5;2;1;1;;1;6;26;2;10;3;3;1;;;;1;2;;;8;3;3;2;1;1;1;;;;;;6;2;2;13;8;2;1;1;;;4;3;;2;4;2;3;2;5;4;25;2;11;8;5;3;2;1;3;2;2;4;3;3;2;2;1;4;2;1;3;2;2;1;;1;1;1;3;;2;
39719-6401;2;47;;12;33;12;5;;121;;;37;34;3;76;14;38;1;2;14;;1;1;1;1;1;1;2;18;;;;;;;;10;11;8;6;9;9;3;28;;10;;;5;3;3;9;1;10;;6;;1;1;5;1;1;21;2;8;4;3;2;4;2;1;2;;;;2;;1;5;1;3;2;2;14;12;;9;2;;;25;1;4;3;2;13;12;5;4;1;1;2;2;4;1;6;3;24;4;8;6;5;3;1;2;7;3;1;10;1;1;1;2;2;7;2;1;4;2;2;2;1;1;1;1;3;;;
31311-6030;3;18;;1;5;3;1;;27;1;1;11;14;;17;3;4;;3;;;1;;;;;;1;;;3;2;2;1;;;1;;;;1;1;1;6;;;;;;;;;;4;;2;;;;;2;;2;;;;;;;;;;;;1;;;;3;;3;2;1;1;1;;;;;;7;;1;1;;1;;2;;1;;;;2;;;;5;;;;;;;;1;1;;3;2;1;1;1;1;3;;;1;;1;;1;3;1;;;;;
27706-4435;2;29;;;;;;;65;5;5;26;36;;46;3;10;;2;;;1;1;;;;;1;6;;3;;;;;;;;;;;;;15;1;2;;;;;;1;;18;;8;;1;;;2;;13;1;6;2;1;1;1;1;;;;5;5;3;;;3;;1;1;1;1;1;2;;2;1;;17;;2;1;1;;;3;1;2;;;;2;;1;;16;;6;3;2;2;1;;1;;;2;1;;;2;1;4;1;1;;;;;;1;1;;;;;
31694-5384;2;11;;1;3;2;;;38;1;;3;6;1;8;;;;2;8;7;2;1;1;1;1;1;3;2;1;1;2;2;2;;;1;;;;1;1;;6;;;;;2;1;1;1;;3;1;1;;;;;;;5;;3;3;;;;;;;5;1;;1;;;;;;;;1;1;;;2;;1;3;1;;;;1;1;;;;;1;1;;2;;;6;;6;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;7;;
31589-4435;2;13;2;;20;2;;;29;1;;3;4;;18;4;11;;2;3;;2;;;;;;1;5;1;1;1;1;1;;2;;7;1;;;;1;6;1;1;2;;;;;5;2;2;;1;;;;;;;9;;5;2;1;;2;1;1;;;1;;1;1;;1;;1;1;;1;1;;1;1;;;3;1;1;1;1;;;;;;;;;3;;1;1;9;1;4;3;1;1;1;;;;;4;1;;;2;;4;1;;1;;;;;2;2;;;;;
36543-5384;1;14;5;1;;1;;4;40;1;2;12;16;2;17;2;3;;1;8;;1;;;;;;2;4;1;1;;;;1;3;1;;;;1;1;;7;1;3;2;1;1;1;1;3;3;6;;2;;;;;3;;8;;3;;;;;;;4;;1;2;1;;;2;;;;;2;1;;2;;;;8;1;1;;;1;1;4;1;;4;;;1;;3;;6;2;2;1;1;1;;;;;;2;;;;1;;;;;;;;;;1;1;;2;;;
36159-5490;2;13;3;2;26;11;2;;55;4;1;11;21;1;54;4;5;;2;3;;2;;;;;;1;4;;3;2;2;2;;2;1;8;4;4;2;1;2;6;1;2;1;;7;2;1;3;;8;1;3;;;;;1;;18;1;2;1;;;;;;;;4;1;;;;2;;1;1;;;;;3;3;1;;8;;2;1;1;;;1;;;;1;1;1;;1;;11;;7;5;4;3;1;;1;;;2;1;;;;;1;;;;;;;;2;2;;;;;
31447-4435;3;19;1;2;43;11;;;101;3;4;41;55;1;19;2;3;1;3;;1;;3;3;1;1;1;1;5;1;;;;;;;2;8;2;;1;1;3;11;;3;;;7;1;1;3;;27;2;19;4;8;5;;1;;8;;3;1;1;1;;;;;;3;4;8;2;1;14;1;7;5;1;1;1;;;5;;1;35;6;12;7;5;;;1;1;1;;1;1;;;2;1;4;1;1;1;1;;;;;;;1;;;;1;;;;;;;;;;;;3;;;1;
44065-6402;3;13;;11;7;15;3;;96;5;2;39;56;7;92;9;8;1;3;9;;2;1;1;;;;1;5;3;2;2;2;2;;;11;;;;11;11;1;7;1;1;;;7;5;5;3;;26;1;15;4;4;1;3;1;;38;1;14;7;2;;3;2;1;;;5;2;19;5;8;8;7;3;1;1;4;3;;2;5;1;1;33;11;7;3;1;4;3;6;2;4;4;5;4;3;;11;7;29;4;12;3;;;;;3;3;;8;2;2;2;6;4;2;1;1;2;1;2;1;1;2;2;1;;;;
31400-4448;2;19;;;;2;;;59;3;;13;19;;29;10;9;;2;;;1;1;1;1;1;1;1;3;1;;1;1;1;;;;;;;;;;14;;3;;;1;;;2;1;3;1;2;;1;;;;;13;;4;;;;3;1;;;;3;;1;;;4;;;;;1;1;;;1;1;;10;;4;;;1;1;;;1;;;;;;3;2;7;2;1;;;;;;1;1;1;7;5;2;1;;;6;;;3;;2;;2;1;1;1;;;;
37609-5489;2;3;;;1;1;;;29;1;2;4;6;;22;6;7;;2;;;1;;;;;;;1;;1;2;2;1;;;;;;;;;1;2;;;;;;;;1;1;4;;1;;;;;2;;13;;6;3;3;1;1;;;;;1;1;2;1;;;;;;;;;;;;;;3;1;;;;;;2;1;1;;;;;1;1;1;14;1;8;7;4;3;3;2;3;3;;4;;;;;;;;;;;;;;2;1;;;;;
31952-5490;2;4;1;2;;1;;;27;;;6;5;1;46;3;13;;2;1;;1;1;1;1;1;1;;1;;;1;1;1;1;;;;;;1;;;2;;;1;1;;;;6;4;2;;1;;;;1;1;;12;;4;2;1;1;2;2;1;;;;;1;;1;2;;1;1;1;1;1;;1;;;;4;;2;1;1;1;1;1;1;;;;;;2;;;8;;3;1;1;;;;;;;3;1;1;1;1;;3;1;;1;1;1;1;1;1;1;1;;;;
36758-5799;3;9;;3;;3;;;27;;2;6;8;1;34;6;5;;3;1;;;2;1;1;1;1;1;4;3;2;;;;;;3;;;;3;3;;3;1;1;;;;;;6;1;2;;1;;;;;;;10;2;4;1;1;1;;;;;;;2;;;;;;;;;;;;;1;;;2;;;;;;;1;1;1;1;1;;4;;;;22;;10;6;5;4;2;1;1;;;4;2;2;2;1;;4;;;2;;2;;1;1;;1;;;;
35920-5490;4;17;3;5;26;9;1;;75;1;;4;10;;93;16;23;2;4;1;3;;4;4;3;3;3;;7;1;2;;;;;1;3;1;;;3;2;2;6;;2;2;;4;2;1;7;2;4;;2;;2;1;;2;;23;;5;1;1;;6;5;3;;2;1;;1;;1;4;1;3;1;1;;;;;3;;;2;;2;1;;;;2;;;;;;2;2;2;;19;1;7;3;1;;;;;;;13;8;6;4;5;2;15;3;;9;2;6;1;5;;;4;;1;;
42004-6402;2;8;2;4;17;7;;;56;3;;8;23;;64;5;4;1;3;6;;2;1;1;1;1;1;2;5;3;;2;2;2;1;2;2;7;3;2;2;2;2;6;;2;1;1;4;;;2;;7;1;4;;;;1;;;16;1;4;2;2;;;;;4;;3;;2;;1;;;;;;1;1;;1;5;2;;8;2;;;;1;1;1;;3;1;;;3;1;6;1;17;3;10;6;4;3;1;1;2;1;;4;1;;;2;1;1;1;1;;;;;;2;2;1;4;;;
30940-4435;2;18;2;;;2;;;104;8;10;78;84;9;76;17;24;1;3;5;1;;2;2;2;2;2;1;7;;5;;;;;2;;;;;;;;7;;3;;;1;;;6;1;38;3;24;;7;4;2;5;;14;1;6;2;1;;3;2;1;;;8;8;9;1;;30;3;16;11;7;12;5;5;1;8;2;1;63;2;20;10;8;8;2;14;9;3;2;3;2;2;1;8;7;28;5;9;4;1;1;1;;4;3;2;15;7;4;1;4;3;8;1;1;4;1;1;1;1;;;2;2;;1;
31522-4917;2;9;2;;;;;;33;;;3;5;;26;10;31;2;2;1;;1;1;1;1;1;1;;3;;1;;;;;2;;;;;;;;1;;;;;;;;8;3;;;;;;;;;;13;1;2;1;;;3;3;3;;;;;1;;1;;;;;;1;;;;2;;;3;1;;;;1;;2;2;;;;;2;2;2;1;7;1;5;1;;;;;;;;10;3;3;1;5;1;10;2;1;6;1;1;;1;1;1;1;;;;
42250-6402;2;10;;;;;1;;36;;;3;3;;32;3;2;1;2;1;1;1;1;1;;;;3;4;2;2;1;1;1;;;;;;;;;;2;1;;;;;;;1;;2;;2;1;1;1;;;;17;;4;;;;1;1;1;;1;;;2;1;1;1;1;1;1;;;;;;1;;;2;2;1;1;1;;;1;;;;;;;;;;6;;;;;;;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;;1;1;
30968-4434;2;11;3;;;;;;29;2;;4;10;1;12;;;;2;;;1;1;1;1;1;1;2;2;;1;1;1;1;1;2;;;;;;;;4;;;;;;;;1;;3;;1;;;;;1;;8;;3;1;;;;;;;;2;;;;;1;;1;1;;;;1;;1;;;4;;1;1;1;;;1;1;1;;1;1;1;3;;;4;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;
31317-4114;4;19;;;;2;1;;55;;;7;20;2;48;3;3;;4;2;;2;2;2;1;1;1;;4;1;4;2;2;2;;;;;;;;;;8;;;;;1;;;3;2;7;1;1;;1;1;;;1;21;1;8;3;3;3;;;;;;;;3;;;5;3;2;1;1;2;1;;;6;1;2;6;;4;2;1;2;1;;;1;2;1;1;2;2;7;2;16;3;7;7;5;5;5;;1;;;2;;;;;;1;;;;;;;;2;2;2;;;;
27889-5061;3;14;4;;;2;;;36;1;;1;3;;9;;;;3;1;;1;2;2;1;1;1;;2;;;1;1;1;2;1;;;;;;;;12;;1;;;1;;;7;3;;;;;;;;;;7;;;;;;;;;1;;1;;;;;;;;;;1;;;;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;
36139-6030;2;21;;5;51;18;;6;99;4;3;22;44;;38;18;33;;2;12;;;2;1;1;1;1;1;2;;;;;;;;5;16;7;4;5;5;1;7;;;;;3;;;1;;15;;4;;2;;;1;;7;1;2;;;;8;6;;3;;4;3;1;;;7;;1;1;1;3;2;;;1;;;14;;5;1;1;2;1;5;2;2;2;;;1;;2;;9;;1;;;;;1;2;1;;14;1;1;;4;2;4;2;;2;2;;;;;;1;1;;;
35990-5489;3;14;;2;33;8;;;91;1;2;22;21;;76;7;5;1;3;;2;1;2;2;2;2;2;;11;3;;;;;;;1;6;1;;1;1;1;8;;6;;;6;1;1;12;;14;;14;1;6;3;7;;;31;4;6;3;2;;1;1;1;;1;1;2;9;1;3;10;7;6;3;2;12;5;;;11;1;4;19;2;9;5;2;10;5;;;;;;;4;3;3;2;26;1;14;5;2;1;1;;1;;;5;3;1;1;4;1;3;3;1;1;;1;;1;1;1;2;;;2;
