aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;16>31>;16>31>14>;17>30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
36331-4917;3;10;3;6;31;7;1;51;6;1;;14;27;11;43;3;11;;4;3;2;2;1;1;;;;;2;;1;1;1;1;6;10;4;2;3;3;;1;1;2;;2;2;1;1;2;;9;2;6;2;;;1;;2;13;2;;;;2;1;;;;2;2;6;1;1;3;;1;1;;;;;7;2;;;7;;12;3;1;;;;6;2;;1;;1;1;3;8;3;1;;2;1;10;1;4;;2;1;;;;;;;2;;1;1;1;;2;2;;;5;2;2;1;1;1;1;;;2;2;1;1;1;;;2;
31170-5490;2;10;;3;10;8;1;67;4;3;;20;33;1;42;12;20;;2;;;1;1;1;1;1;1;;5;2;1;1;1;;3;4;2;;2;2;2;2;1;5;3;;7;2;2;2;;14;2;10;1;4;3;;;;13;5;;;;7;5;1;1;;;;3;2;3;7;;1;5;;3;1;1;4;2;;;6;1;18;4;5;3;1;1;2;1;;1;;1;;;;;3;1;5;2;15;2;5;1;4;2;1;;;;;;8;1;3;3;1;1;5;2;2;1;8;3;2;3;2;1;1;1;;1;1;1;;;;;;
31510-5489;1;1;2;;;;;15;1;;;1;2;1;14;4;9;;1;;;1;;;;;;;1;;1;1;1;;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;2;1;1;1;;2;2;2;;;;;1;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;4;;3;3;2;;;;;;4;;3;;;;2;1;1;1;6;2;1;3;2;;;;;1;1;;;;;;;
24082-4603;1;2;;;;1;2;8;;;1;;;;2;;;;1;10;;1;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;2;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;3;;;;;
31637-4603;1;3;;;2;2;1;47;4;3;;18;28;3;18;6;8;1;1;2;;;1;1;1;1;1;;1;1;;;;;;2;2;1;;;1;;1;;;;2;;;1;;12;1;5;2;1;;;2;;4;2;1;;;;;;;;;;3;;3;3;1;;6;;1;;;1;;1;1;1;;16;3;5;1;;;1;;1;5;2;;;1;3;3;;;1;;6;;2;;;;;;1;1;1;;5;1;2;2;;;2;1;;;4;1;;4;1;1;;1;;;;1;2;;;;;
34088-6590;2;5;2;;7;1;1;24;4;1;;9;12;3;14;2;3;1;2;2;;1;2;2;1;1;1;;1;;1;1;1;;;1;1;;;;;;;2;;1;;;;3;;2;;2;;2;1;;;;5;1;;;;1;1;;;;;;4;;1;1;;;4;;2;;;1;1;;1;1;;7;;3;1;;;1;1;;2;;1;1;1;2;;1;;1;;5;1;2;1;1;1;;;;;;;2;;1;1;1;;;;;;1;;;1;;1;;;1;1;1;2;;;;;;
35799-5384;2;13;1;1;18;11;1;61;3;;3;11;21;2;48;11;18;1;2;6;2;1;2;2;1;1;1;;4;;1;1;1;1;;10;6;5;1;;2;5;1;5;1;1;3;;;2;;9;1;7;2;;;;;;15;5;1;1;2;4;3;1;1;1;;;3;1;;6;4;1;1;;1;1;1;;;;;4;1;9;5;;;;;;;;1;;1;;3;1;;2;;1;;12;;4;;1;1;1;;3;2;1;1;7;1;4;2;2;;7;2;3;2;5;3;2;2;2;2;2;;1;1;1;2;1;1;;;;
31570-5490;1;2;;2;4;3;;34;7;;;23;28;1;37;5;6;;1;4;2;1;;;;;;;;;1;1;1;;2;;;;1;1;2;;;1;;;1;;;1;;11;;6;;2;1;;2;;13;5;1;1;;;;;;;2;1;6;;;1;;;3;;1;1;;1;;1;2;1;;16;;2;1;1;;1;;1;3;1;3;1;1;1;1;;;2;;7;2;1;;1;1;;1;1;;;;3;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;1;
31826-4603;1;2;;;;1;;13;;;;;;;23;6;18;1;1;;;1;;;;;;;1;;1;1;1;;;;;;;;;1;;1;;;;;;2;;;;;;;;;;;6;2;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;6;;1;;;;;1;1;;;;5;;2;1;;;1;1;;;3;;;1;;;;;1;1;1;;;;;;;
39676-6030;1;10;3;8;2;13;3;51;3;10;1;29;33;3;32;13;15;5;1;9;;1;;;;;;1;2;;;;;1;6;;;;6;5;1;1;3;7;2;2;2;2;2;1;;18;;9;3;2;;;1;;7;5;2;1;2;1;1;;;1;;;2;1;9;8;3;1;11;3;5;1;;6;2;;2;5;1;20;3;6;2;;;;;;4;2;3;2;2;2;1;1;1;7;4;14;4;6;3;1;1;;3;7;6;4;2;8;1;4;1;1;1;4;2;;;7;3;2;4;2;4;2;2;4;1;1;;1;3;;;;
