aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;16>31>;16>31>14>;17>30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
35686-5489;2;9;;3;;4;;49;;;;9;14;;92;14;30;3;2;;;;2;2;1;1;1;;2;2;;;;;3;;;;3;3;;;;4;1;;2;2;2;7;1;5;1;3;;1;;;;;18;8;6;6;;4;2;2;1;;;;;;;;;;2;;1;1;;;;1;;1;;9;;2;1;1;;;;1;1;1;2;;;;;1;1;6;2;35;3;21;1;12;9;5;1;3;2;1;1;9;;6;2;2;2;3;1;1;1;13;3;1;3;2;2;2;2;1;;;2;;;;;;
22559-5384;1;5;;;;;;9;1;;;;3;;3;1;1;;1;;;;1;1;1;1;1;2;1;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;2;1;1;;;;;;;;;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;1;;;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;
40309-6590;2;11;;1;5;2;;53;1;3;;17;24;;50;13;14;1;2;5;;2;;;;;;1;;4;2;2;2;;1;;;;1;1;1;;;7;;;1;1;1;1;;11;;6;;3;;;2;;9;3;2;2;;9;9;8;2;;;;1;;3;4;1;;7;1;1;1;;1;;4;3;;;14;1;5;1;1;;1;;2;3;1;5;2;1;;;1;1;8;4;16;3;8;1;6;3;1;1;2;2;2;1;13;1;10;4;1;1;2;;;;10;1;;4;;1;;1;1;2;2;;;1;;;;
27512-4435;1;10;;;;;;30;3;1;;22;24;;17;3;4;1;1;;;;1;1;1;1;1;1;2;;;;;;;;;;;;;;;4;1;;;;;;;12;1;11;;8;4;;;;5;1;1;1;;2;2;2;2;;;;3;;1;3;2;1;11;;6;;;1;1;2;;1;;16;1;9;5;;;1;1;2;2;1;1;;;;;;;2;;3;1;1;1;1;1;1;;1;1;;;3;1;2;2;1;;2;1;1;1;2;1;;2;;1;;;;;;1;;;;;;
31747-5799;1;3;3;;;;;10;;;;1;2;;9;3;2;;1;;;;1;1;1;1;1;;;2;;;;3;;;;;;;;;;;;3;;;;1;1;1;;;;;;;;;4;1;;;;1;1;1;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;1;1;1;1;;;;;1;;1;;4;1;2;1;1;;;1;1;;;2;2;;2;2;2;1;;;;;2;;;2;;2;;1;;;;1;;;;;;
40086-6590;1;2;;2;12;12;;19;1;;;12;10;;9;;;;1;1;;1;;;;;;;;;1;1;1;;2;1;;;1;1;;5;;1;;;5;1;1;;;4;;2;;2;1;;1;;;;;;;;;;;;;;1;;;2;1;;9;1;3;1;1;;;1;1;;;8;;7;2;1;1;;;;2;1;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;
31453-4433;1;9;;1;;1;;14;;;;4;5;;17;1;1;1;1;;;;1;1;;;;1;;1;;;;;1;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;1;1;;;1;;;;3;;2;1;1;1;;;1;;;1;1;;;;;;2;;6;1;6;;1;;;1;1;1;1;;1;;1;;;;1;;;;1;1;;1;;;;;;;;1;;;;;;
40093-6590;1;3;;1;;1;;32;;;;5;7;;32;5;6;;1;;;;1;;1;1;;;;;;;;;1;;;;1;1;;;;1;;;1;1;1;2;1;1;;1;;;;1;;;11;4;1;;;3;3;1;1;;;;;;;4;;;;;;;;3;2;;;2;1;5;4;;;;;3;2;;;;;;;;;;;4;3;10;1;2;;1;1;1;;1;;;1;3;2;1;1;1;;3;2;1;1;1;;;1;;1;;;;;;;;;;;;
21361-4917;3;10;;3;;2;2;48;1;;;2;5;;45;8;22;;3;2;1;;3;3;2;2;2;1;3;2;;;;;1;;;;2;1;;;2;7;;;;;;;;2;;1;1;;;;;;15;2;1;;;5;5;2;1;;;;1;1;;1;;1;;;;;;;;;;4;1;1;1;;;;;;;;;;;;1;;;;;1;;4;;1;;;;;;;;;;8;1;4;1;1;1;1;;1;1;8;;;2;;1;;1;;;;3;;;;;;
30639-5489;1;3;;1;;1;;19;;;;6;10;;12;3;3;1;1;;;1;;;;;;;;;1;1;1;;1;;;;1;1;;;;1;;;;;;;;2;;;;;;;;;9;2;;;1;1;1;1;1;;;;;;;1;;;2;1;2;1;1;;;1;;;;6;;2;2;1;1;;;1;;;2;1;;;;1;;2;1;3;1;;;;;;;1;1;1;;3;;3;2;2;2;1;1;;;3;1;1;2;1;2;1;2;;1;1;;;;;;;
31292-5384;1;3;;2;10;4;2;32;;1;;13;16;2;20;7;7;1;1;22;2;;1;1;1;1;1;;1;;;;;;1;2;;;2;1;;;2;1;;;;;;1;1;10;2;8;1;;;4;;;10;5;3;3;;4;2;1;;2;1;1;;;1;4;2;;;;;;;6;5;;;7;2;12;4;;;;;6;5;;;;1;1;;2;1;1;;3;1;8;1;6;;5;3;3;3;4;3;2;1;5;1;3;2;2;1;4;3;;;3;2;1;2;2;2;2;1;;;;1;10;;1;1;1;
30812-5490;1;11;;1;;5;;22;;;1;13;12;;42;3;2;;1;2;;1;;;;;;;1;4;1;1;1;;1;;;;1;1;;;;6;1;;;;;;;;;;;;;;;;5;1;1;1;;;;;;;;;;;;;;;2;;1;1;1;1;;1;2;2;;8;;1;1;1;1;;;1;;;1;;;;;1;1;1;1;10;;6;;2;;;;1;1;1;1;2;;2;;;;;;;;2;;;;;;;;;1;1;;;;;;;
41125-7114;1;5;1;1;;2;;15;1;2;;9;9;;14;4;3;;1;1;;1;;;;;;;1;;;;;;1;;;;1;1;;;;3;1;;;;;1;1;1;;1;;;;;;;8;1;;;3;;;;;;;;1;;2;;;;;;;;;;;2;1;;;7;;;;;;;;2;;;;;;;;1;;2;2;3;;;;;;;1;4;3;;1;3;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;
35936-7297;1;3;;;5;1;1;24;;;;3;4;;30;6;8;;1;5;6;1;;;;;;;2;;1;1;1;;;1;1;;;;;;;2;1;;1;;;;;2;1;1;1;;;;;;7;1;;;1;;;;;;3;;;;;2;;;;;;;;;;1;;1;1;3;2;;;;;;;1;;;;;;;;1;;1;1;10;;6;;3;1;1;1;4;3;2;1;5;;3;2;2;1;1;1;;;6;1;1;3;1;3;1;2;;1;1;;3;;;4;2;
36400-5799;1;2;;3;2;3;;33;1;;;5;6;;21;8;9;1;1;;;1;;;;;;;2;;1;1;1;;2;;;;2;2;1;;;2;1;;2;1;1;1;;4;;2;;1;1;;;;14;4;2;;2;5;5;3;3;;;;1;;;3;1;1;3;2;1;;;1;;;;;;4;1;2;1;;;;;;;;;;;;;;2;1;1;5;;2;;;;;;3;3;3;;8;1;6;5;4;2;7;3;5;5;7;6;3;5;5;4;4;2;1;1;1;;;;;;;
30687-4433;;4;2;;20;3;;19;2;;;4;7;3;11;1;3;1;;3;1;;;;;;;1;;;;;;1;;10;4;2;;;1;2;;2;;;2;;;2;;;;;;;;;;3;4;3;1;1;;;;;;;1;;2;1;;;;;1;;1;;;1;1;;;1;;2;;1;1;;;1;1;;1;1;1;1;1;2;1;1;;;;5;;1;;1;;;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;;1;1;1;1;;
17491-6590;3;8;;;;;;20;;1;1;4;6;;6;1;;;3;2;4;1;2;2;1;1;1;;1;;1;1;1;;;;;;;;;;;1;;;;;;2;;4;;3;;1;;1;1;;3;1;1;;;;;;;1;3;2;;;1;;;;1;;;;;1;1;;;1;;3;;1;;;;1;1;;1;;;;;;;;;;;2;;2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;;;1;2;
32015-4917;1;4;;;;;;21;1;;;1;3;;20;1;1;;1;;;1;;;;;;1;3;1;1;1;1;;;;;;;;;;;2;;;;;;1;1;2;;1;;;;1;;;5;1;;;;;;;;;;;1;;;;;;;;;;;1;1;;;1;;1;;;;;;1;1;;;;;;;;;1;;1;;4;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
30586-4434;1;6;1;2;;1;;13;;;;2;2;;7;5;2;2;1;1;;1;;;;;;;4;;1;1;1;;2;;;;1;1;;;;3;3;1;;;;1;;1;;1;;;;;;;4;2;1;1;;3;1;1;;;;;;;;1;;;1;1;1;;;;;1;1;;;2;;1;1;;;;;;;;;;;;;1;;1;1;3;1;1;1;1;;;1;1;1;1;1;2;;2;1;1;;1;;;;2;1;;1;;1;;;2;1;1;;;1;;;;
31462-4448;1;6;1;;2;4;2;28;;;1;5;10;2;22;3;4;;1;3;;1;;;;;;;1;1;1;1;1;;;2;1;1;;;1;2;2;4;;;1;;;3;;4;1;;;;;;;1;7;4;3;2;;1;1;;;;;;;;;1;;;;;;;;1;;;;1;1;5;1;;;;;1;;;2;;2;2;2;1;;2;1;3;3;11;2;6;1;2;;;;2;2;2;;3;;2;1;1;;2;1;;;3;2;1;1;1;1;1;;;1;1;;1;;1;;;
28164-6590;;5;;;25;2;;29;;;;7;13;;9;;;1;;7;6;;;;;;;1;;1;;;;;;11;5;3;;;2;;;3;;;2;;;1;;7;;2;2;;;;1;;3;1;;;;;;;;2;5;5;;;;3;1;;;;;;;;;1;;;;5;3;;;;;;;1;2;;2;1;1;;;1;;2;1;2;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;4;6;
31358-4435;1;15;10;3;16;13;5;87;2;3;;39;35;28;53;15;22;4;1;6;;;1;1;;;;;;;;;;6;3;6;4;1;3;3;1;2;5;3;;9;6;1;1;4;1;;;;;;;;;21;17;6;2;;4;6;6;4;3;1;;;2;;3;2;;;19;1;12;9;5;6;4;1;3;1;;32;1;14;8;7;3;4;4;1;2;2;;;1;26;25;;3;1;1;18;1;6;;2;1;1;1;7;6;1;;12;1;6;5;4;3;4;3;2;2;11;4;2;7;3;4;2;3;4;;;1;1;1;;;;
31729-4448;1;7;;;;4;;14;;;;1;16;;29;7;6;;1;2;;;1;1;;;;;1;1;;;;;;;;;;;;;;1;;;2;;;3;1;5;2;1;;;;;;;2;;;;;2;1;1;1;;;;;;;;;;;;;;;;;1;;2;1;1;;;;;;;;1;;;6;2;;;;;;;;6;;2;;;;;;;;;;6;;3;2;2;2;1;;;;3;1;;2;1;2;1;2;;;;1;;;;;;
22787-4435;1;3;2;1;;1;;12;;;;7;4;;16;2;2;;1;1;;1;;;;;;;;;1;1;1;2;1;;;;1;1;;;;1;;2;;;;;;1;;;;;;;;;4;;;;;;;;;;;;;;;;;;2;;1;1;1;1;1;;1;2;;2;;;;;;;;;;;1;;;;;1;;1;1;3;;1;;;;;;2;2;2;;2;;2;2;2;2;;;;;2;;;2;;2;;2;;1;1;;;1;;;;
31219-5490;2;3;1;;;;;29;;;;6;6;;24;15;31;3;2;1;1;2;;;;;;;;;1;1;1;;;;;;;;;;;;;1;;;;1;;2;;2;;;;;;;10;3;1;;;9;9;;;;;;;;;;;;3;;1;1;1;1;1;4;;;;5;;2;1;1;1;1;1;2;;;;;;;;1;1;1;;5;;1;;;;;1;1;1;;;15;2;2;;;;5;1;1;1;7;3;;3;2;2;1;1;;2;2;;;;;1;1;
36054-5384;1;8;3;2;3;2;;20;1;;;3;4;;28;11;22;1;1;;;;1;1;;;;;1;;;;;2;1;;;;1;1;;;;3;;2;;;;1;1;2;1;1;;;;;;;8;4;;;;5;4;1;1;;;;1;1;;;;;2;;1;1;1;;;1;;1;;3;;2;1;1;1;;;1;;;;;;;;;2;;;12;;6;;1;;;2;3;3;1;1;11;1;5;3;2;1;3;2;1;1;7;1;;4;1;4;1;3;1;;;1;;;;;;
31336-4434;3;28;1;3;3;6;;89;;;1;14;20;1;52;10;22;1;3;7;1;;3;3;2;2;2;1;8;1;;;;1;3;;;;2;2;2;1;;16;4;;1;1;1;4;1;8;;4;;;;1;;1;15;9;4;3;1;3;3;3;1;2;1;1;;;;4;;1;7;2;5;2;;3;2;1;2;;;13;3;6;4;2;;2;1;1;3;1;5;4;1;1;;2;2;4;3;20;2;7;1;4;2;1;1;4;3;3;;8;;8;4;3;2;2;1;1;1;16;1;1;7;1;5;1;4;;;;3;1;1;3;1;1;
31728-4114;1;8;;4;13;8;11;63;2;;5;4;12;7;14;2;;1;1;23;3;1;;;;;;;2;2;1;1;1;;2;7;4;2;1;1;1;1;5;5;1;;2;1;1;3;;3;;;;;;;1;4;6;2;;;;;;;;15;3;1;2;1;;;;;;;;;;1;;;1;2;;1;;;;;;;;;3;;4;1;1;3;;1;;2;;6;1;2;1;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;1;1;;2;;1;2;1;
