aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>8>;14>14>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;16>31>14>;17>30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
44845-7114;;2;;1;;1;;15;1;;;2;9;;9;;;;;;1;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;5;3;;;1;;;4;1;2;1;;;;;;;;1;1;;;;;;;1;;;;;6;;2;2;;;;;1;;1;;;;;1;;;;;;1;1;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44090-6402;1;4;1;1;30;5;1;66;2;3;;27;41;9;40;3;9;8;2;1;2;;1;;;;;;;1;3;1;;1;1;1;1;;1;16;8;1;1;;;1;2;;;;4;1;;6;1;3;27;1;19;5;;2;2;19;;10;5;3;;1;;;;;2;1;3;5;1;11;2;2;3;2;6;1;;7;2;2;24;2;8;2;2;2;2;2;;1;;;1;;8;4;;1;1;1;;23;;;;12;6;1;1;1;4;4;4;4;4;;1;1;7;;7;1;1;;3;2;;;8;3;2;1;1;1;1;;;2;1;1;;;;1;;;;
44109-6402;;;;;2;4;4;18;1;;;3;8;1;18;;2;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;4;;;;;;;3;1;;1;3;1;1;;;;;12;;1;;;;;;;;;1;1;;;;1;;;1;;1;;;4;;2;3;;1;;;1;;1;1;1;;;;;1;1;;;3;1;;5;;1;;;;;;;;;1;1;;;;;2;2;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;
40918-6402;1;11;2;;;2;;57;2;1;;14;15;1;59;;16;38;;1;5;2;;1;;;;;1;;1;;;;;;2;;;;;;;;1;;3;;;;;;;2;1;1;5;;4;2;1;;;21;1;2;1;;;7;5;;;1;1;;1;6;1;5;3;1;1;1;;;4;1;;1;12;4;4;3;1;;;2;2;;;;;;1;1;1;4;2;;1;8;;1;;3;;;;;;;1;1;;;;1;12;;;;;;5;2;;2;4;1;;2;1;;;;;;;;;1;;2;;;1;
44033-6402;2;5;;1;30;6;2;29;1;;4;7;9;;29;1;3;2;;2;5;1;1;2;1;;;;;;;;;1;1;1;;;1;3;;1;1;1;;1;;;;;6;;;2;;;6;;2;;;;;11;2;5;2;1;;;;;;;1;1;;4;;;;;;;;;;2;;1;4;2;;;;;;;;;;;5;;;;;1;2;1;1;10;;;;3;1;1;;;1;;1;;;;1;;1;;1;1;;;2;1;1;;1;1;;1;1;;;;;;1;1;1;1;4;;;1;;
16014-6590;;;;;;;;2;;;;;;;2;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;1;;;;2;;;1;;1;;;;;;;;;;;;;;
31601-6401;3;17;;;26;4;2;66;1;;;43;37;;41;;9;8;;3;5;;2;1;1;;;;1;;3;;;;;;;;;10;3;;;1;;1;9;2;;;2;;1;4;1;;15;1;9;3;5;;;15;1;2;;;1;2;2;2;1;;;;;5;;13;5;1;9;5;;2;;5;1;2;28;2;12;5;1;5;3;7;4;;1;;;;;;;;5;1;4;5;;2;2;;;;;;;;1;1;1;1;3;;7;1;6;3;2;1;3;1;1;1;6;2;1;3;1;2;;1;;;2;2;1;;;;4;;;
22135-4114;1;5;1;1;2;2;2;13;1;;;1;4;1;14;;1;1;;1;4;2;;1;;;;;;;1;;;;;;1;;;1;1;1;;1;;1;1;;1;1;;;1;2;;;1;1;;;;;;3;;1;;;;1;1;;1;;1;;;;;;;;;;;;1;2;;;;;;;;;;2;;1;1;1;;;1;;1;;1;;;5;1;;;1;;;;;;;;;;;;;1;1;1;1;1;;1;1;1;1;1;1;;1;1;1;1;;;;;;;;;1;1;1;2;
44153-6895;1;2;;;;2;;14;;;1;;1;;22;;2;2;;1;3;;1;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;;1;;;1;;;;;;;;;;7;;4;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;11;;1;;5;3;2;2;1;1;1;1;1;1;1;;;2;;2;2;2;2;;;;;2;;;2;;2;;2;1;;1;1;;;1;;;;;
28177-4114;1;2;1;1;16;3;;14;;;1;4;6;1;14;;1;;;1;2;2;;1;1;1;1;1;1;;1;1;;;;;;;;4;2;1;;1;;;;;;;1;;;2;;2;1;;1;;;1;;5;;1;;;1;;;;;;;;;2;1;;;;;;;;;;;;2;1;;;;;;1;;;1;;1;;1;1;;;2;;;2;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;1;
36615-6895;;4;;;;;;19;;;;2;7;;14;;4;3;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;2;;;;;;;2;;1;4;1;;;;;;7;1;4;1;1;;;;;;;;;;;;;;;1;;;;;2;;;2;;;;;1;;1;;;1;;;;;;1;;1;;1;6;1;;;2;2;1;1;;1;1;3;3;3;2;;1;3;;3;2;1;1;3;2;1;;3;3;2;2;2;1;1;1;;;;;;;;;;;;
41124-6401;;2;2;;;;;6;;;;1;1;;3;;2;2;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;2;1;;;;1;;;1;;1;1;;;;2;;1;;;;;;;;;;;;;;1;;;;;;1;;;;;1;;1;;;;;;;;;;;;;;1;;;;;2;1;;;;;;;;1;1;1;1;1;1;;;2;;2;2;1;;2;1;;;2;2;1;2;2;1;1;;;1;;;;;;;;;;
35754-6030;;5;;;;;;17;1;;;;3;;13;;4;11;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;
41260-6400;1;6;;1;;2;;21;;;;2;4;;9;;;;;1;;;;1;1;;;;;;2;;1;;;;;;;;;1;;;;;3;1;;;2;1;;;;;2;;1;1;;;;5;;2;1;1;;;;;;;;;;;;2;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;1;;;;;2;1;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
44027-6402;1;3;;;4;5;;20;;;;12;13;1;36;;11;29;1;1;3;;1;;;;;;;;;;1;1;1;1;;;;;;;;;;;1;;;;;;;;;;4;;3;3;;;;2;;;;;;3;2;1;;;;;;1;;9;5;4;2;1;1;4;3;1;1;;9;;7;4;3;2;1;;;;1;;;;;;;;2;;2;8;;1;1;1;;;;;1;1;3;3;;;;2;9;1;3;;;;3;;;2;7;2;;2;2;2;2;1;;;1;1;;;;1;;;;
36173-5489;;;;;;;;6;1;;;2;3;1;3;;1;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
22659-5490;1;1;2;;;;;48;1;;;24;27;26;23;6;4;3;3;1;1;1;;1;1;1;1;1;;1;;;;;;;1;1;;;;;;;;;;;2;1;;;;9;2;3;6;;3;;3;14;10;11;1;5;3;2;1;;;;;;1;;;7;;3;2;1;18;13;11;;1;4;;1;23;7;2;2;1;16;12;6;4;7;3;3;;11;19;16;;4;5;;2;11;;3;1;6;4;4;3;2;1;;2;;;;1;;2;1;1;1;1;1;1;;;;3;;;2;;2;;2;2;3;;;1;1;;;;;;
28136-4114;1;2;;;;1;;7;;;;;;;5;;;;;1;1;;;1;;1;1;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;3;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36137-5384;1;5;1;;;;;20;;;1;;;;14;;1;1;;1;5;;1;;;;;;1;;3;2;;1;1;1;1;;;;;;;;;;2;;1;1;;;;5;;3;;;;;;;;9;;4;2;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;6;;;;2;;;;;1;1;1;1;1;1;;;1;;1;1;1;;;;;;1;;;1;;1;;;;;1;1;;;1;;;;;
37663-5490;;;;;;;;3;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31476-6895;1;2;;1;;1;;11;;;;;3;;12;;2;;;1;;1;1;;;;;;1;;1;;;1;1;1;;;1;;;1;1;;;;1;;;;1;1;;;;;2;1;;;;;;5;;;;;;1;;;;1;;;;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;;;;;1;;;;3;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
27482-6590;;1;;;;;;9;1;;;4;5;;3;;;;;;;1;;;;;;;1;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;4;;3;;1;;;1;;1;;;;;;;;;1;;;;;;;;;;;1;;;;;4;;;;;;;1;1;;;;;;;;;;;;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
40983-6030;1;14;2;5;6;4;1;42;2;;7;16;14;1;28;2;7;14;2;1;8;1;;1;1;;;;2;;3;2;2;;;;1;;2;2;;4;2;;;1;5;1;1;1;1;1;1;2;1;;8;;4;1;;1;1;8;;1;1;1;;;;;;;2;1;;2;;5;;;3;3;;3;1;1;1;;8;1;1;;;3;3;;;;2;;3;;1;1;2;1;1;;1;14;1;1;1;4;4;3;3;3;3;3;3;3;1;1;1;1;5;;1;1;1;1;1;1;1;;3;1;1;3;1;1;1;1;1;2;;;1;;7;;1;;;
43978-6401;;3;;;;5;;11;;;1;7;7;;11;;;;;;4;;;;;;;;;;;;1;;;;;;;;;;;;;;2;;;;2;;;;;;1;;;;;;;2;1;1;;;;;;;;;;;;1;;2;1;1;;;;;;;;;3;;1;;;;;;;;;;2;;;;;;4;;2;3;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;
36352-5489;;1;;;;;;11;;;;1;2;;18;;2;4;;;1;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;5;;2;;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;1;;1;;;;1;;1;;;7;1;1;;3;1;;;;;;;;;;;;2;;1;;;;;;;;2;;;;;;;;;;;;;;;1;1;;;
36694-5489;;;;;;;;5;;;;1;2;;5;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;3;1;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;;;1;1;;;;;;;2;;1;5;;1;;2;1;;;;;;;;;;;;1;;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
40392-6400;1;2;;;1;1;;21;1;;;1;3;;29;;3;10;1;1;;;;1;1;1;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;10;;2;;;;;;;;;1;1;;;;;;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;1;;1;4;;1;1;1;;;;;;;;;;;1;;2;;1;;;;;;;;1;;;;;;;;;1;;;1;;;;;;;
40067-7114;1;3;;;;;;10;;;;;;;7;;4;9;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;5;;1;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;1;1;1;;;4;;4;3;2;1;1;1;;;9;1;1;4;1;3;1;2;2;;;;1;;;;;;;
44127-6402;;1;2;;;1;;18;;;;6;7;;25;;8;24;;;3;1;;;;;;;;;;;;;;;1;;;;;;;;1;;;;2;1;;;;2;;1;3;;3;;;;;7;;3;1;;;2;1;;1;;;;;3;2;3;2;;;;;2;1;2;1;1;5;;2;1;;;;;;;1;1;1;;;;;;1;1;;11;;;;3;1;;;;1;1;2;2;2;1;2;1;5;1;3;1;1;1;5;2;1;;9;3;2;5;2;5;2;4;2;;;;;;;;1;;;
44332-6401;1;20;7;;;5;;58;;;2;13;16;10;25;;7;8;3;1;6;5;1;;;;;;;2;3;1;1;1;1;1;1;5;;;;;;;1;;12;2;1;;2;;;5;;;5;;3;;;1;1;13;1;3;;;;2;2;;1;1;;;;2;;;;;9;4;;;;1;;;11;2;;;;8;3;;;9;;;2;7;7;4;2;2;3;;3;7;;1;1;1;1;1;;;;;1;;;;;;6;2;2;;;;2;1;;;3;;;;;;;;;3;1;1;;2;2;;;2;;
30492-5384;;2;;;11;4;1;11;;;;2;2;;4;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;1;;1;1;;;;1;;1;;;;;;;;;;;2;;1;;;;;;;;;;;;;;1;1;1;;;;;;;;;2;;1;1;1;;;;;;;;;;;;;;1;;1;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31566-5061;;;;;;;;4;;;;;;;6;;2;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;2;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;3;3;2;1;1;;;;;;;;;2;;2;2;2;2;2;1;1;1;4;2;1;2;2;2;2;2;2;;;;;;;;;;;
28164-5799;1;4;;3;10;5;;27;1;;;8;20;;17;;1;3;;1;3;;;1;1;1;1;1;;;;;1;;;;;;3;8;6;3;3;1;;;2;;;;;;;;;;15;;5;;5;;;2;1;1;;;;;;;1;;1;;;;;;;;1;;;2;;;;;8;;;;;1;;5;2;;4;1;;;;;;;2;;;4;;;;;;;;;;;;;;;;;1;;;;;;1;1;1;;;;;;;;;;;;;;1;;;;1;;;
31476-6401;1;9;;1;;3;;17;;1;;9;6;;17;;2;2;;1;;;;1;1;;;;1;;3;3;1;;;;;;1;;;1;1;;1;;5;2;;;;;;2;1;1;4;;3;3;1;;;9;1;1;1;;;;;;;;;;1;2;1;6;4;4;;;;2;;;;;4;1;4;2;2;;;1;1;;;;;;;;3;1;3;;1;2;1;1;;1;;;;;;;;;;;;;2;;2;2;2;1;;;;;2;;;2;;2;;1;1;;;;1;;;;;;;
31410-5384;1;6;;;;1;;19;1;;;4;7;;12;;3;4;;1;;;1;;;;;;;;3;;;;;;;;;;;;;;1;;3;1;;;1;;;;;;2;;2;1;;;;6;;;;;;1;1;1;;;1;;;3;2;1;;;;;;;;1;1;;4;2;1;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;1;1;1;1;;;;;3;2;2;;;;2;1;;1;2;1;;;;;;;;;1;1;;;;;;;;
28391-5489;;;;;;;;2;;;;1;1;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31733-6030;;;;;3;7;1;13;1;;;7;6;1;10;;2;4;;;3;1;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;3;;;1;;;3;;2;;;;;2;;1;;;;;;;1;1;1;;;3;;;;;;;;;;;;;3;2;;;;;;;;;;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;
22957-6590;1;3;;;;;;9;1;;;7;6;;9;;;;;1;1;;1;;;;;;;;1;1;;1;1;1;;;;;;;;;;;2;;;;;;;;;;2;;2;1;;;;2;;1;;;;;;;;;1;;;;;3;2;2;1;;;2;;;;;5;;2;1;1;;;2;1;;;;1;;;;2;;1;;;4;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;
28101-7297;1;2;;2;1;2;;10;;;;;2;;11;;1;2;;1;;;1;;;;;;;;2;;;;;;;;1;;;1;1;1;;;1;;;;1;1;;;;;;;;;;;;4;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;;1;;;4;;1;;1;;;;;;;;;;;;;1;;1;1;1;;1;;;;1;;;1;;1;;;;;1;1;;;;;;;;
39869-6400;1;3;2;;1;1;;35;2;;;19;20;;38;1;5;14;;1;10;;;1;;1;1;;2;;;;1;;;;;1;;;;;;1;;;;;2;;;;;1;;;11;;8;3;1;;;15;;5;;;1;;;;;;2;2;;1;;6;2;;1;;;2;;2;;1;13;1;5;2;;1;;3;1;;;;3;;;;1;;3;;1;14;;2;;3;;;;;;;2;2;2;1;;;5;;3;2;2;1;1;1;;;5;1;1;3;1;2;1;1;;;;;;2;;1;1;;;
35699-5489;;;;;;;;18;1;1;;1;2;;13;;3;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;;;;6;;2;;;;1;1;;;;1;;1;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;1;1;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44176-7114;1;4;;1;6;2;;23;;;;1;6;;33;;13;14;1;1;;;;1;1;1;1;1;;;2;;1;;;;;;1;1;;1;1;1;;;;;;;;;;1;;;3;;1;;1;;;11;;3;1;;1;2;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;2;;;2;;;;;;2;;2;;;12;2;1;;7;2;1;1;1;1;;2;1;1;1;;2;9;;5;2;1;1;5;3;1;1;9;5;3;3;1;1;1;1;;1;;;1;;;;;;;
35491-5490;1;2;;3;;3;1;25;1;;;10;10;;32;;3;3;;1;;;;1;1;1;1;1;;;1;1;;;;;;;3;;;2;2;;1;1;;;;;;;1;1;;;1;;1;;;;;9;;3;;;;;;;;;1;;;1;;1;1;1;1;;;;;;;;6;;1;1;1;1;;1;;;1;;;;;;;1;3;;1;14;;2;;3;2;1;1;1;1;1;1;1;1;1;;;3;;3;2;1;1;1;;;;3;1;;2;1;1;;1;;;;;1;;;;;;;
27760-6895;1;1;1;;;;;9;;;;1;3;1;5;;;;;1;1;;;;;;;;;;1;;;1;1;;;;;;;;;;;;1;1;1;;;;;4;1;1;2;;;;2;1;;3;;3;2;2;;;;;;;;;;1;;;;;;;;;;1;1;;1;1;;;;;;3;1;;1;;;1;;;;;1;1;;3;;1;;2;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
42304-6402;;;;;;;;3;;;;;;;9;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;1;1;;;;;;;;;;;;1;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;
41425-6895;1;3;;;;;;10;;;;;1;;15;1;3;3;2;1;;;;1;1;;;;;;1;;1;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;4;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;3;2;1;1;;1;1;2;2;1;1;;;3;2;1;1;1;1;2;1;1;;1;;;1;;1;;1;1;2;;;1;;;;;;;
32035-5384;1;6;1;;16;4;;15;;;;2;2;;2;;;;1;1;1;;;1;1;1;1;1;1;;1;;;;;;;;;6;1;;;2;;;4;;;;3;;;1;;;1;;1;;;;;2;;2;2;2;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
35908-5799;2;2;;;;;;7;;;;;1;;6;;;;;2;3;;1;1;;;;;;;;;;1;1;1;;;;;;;;;;;1;;;;;;;;;;1;1;;;;;;6;;3;1;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;2;;;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;;;2;;;
40751-6402;;2;;;13;1;;11;;;;2;5;;15;;2;;;;2;;;;;;;;;;;;;;;;;;;3;1;;;1;;;;;;;1;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;2;;;;;1;;;;;;;;;;;;;1;;1;;;;;;;;;1;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
41128-6030;1;5;1;;;6;;32;;;2;7;11;;30;;14;19;3;1;5;1;1;;;;;;;;2;1;;1;1;1;;1;;;;;;;1;;2;1;1;;2;;;3;;1;4;;1;;;;;8;1;2;1;1;2;3;2;1;1;;;;;1;1;1;;;1;;;;;1;;;4;1;1;;;;;2;1;;2;1;1;;;;2;;2;;1;12;;1;;3;2;2;1;1;1;;4;2;1;1;1;1;10;2;6;4;2;1;6;3;;1;9;1;;6;;3;;2;1;3;1;1;;1;2;;;;1;
44060-6402;1;6;1;;8;7;2;30;;1;11;13;19;1;55;3;5;2;2;1;12;2;;;;;;;2;;1;1;1;1;1;;1;;;1;;;;1;1;1;2;;1;1;3;;;;;;6;;;;4;;;8;1;3;;;;;;;;;;;1;;;3;;;1;;1;;2;1;;;3;;;;;1;;4;;;2;1;10;;;;;;4;;2;25;;2;1;8;3;1;1;;1;;2;;;;;1;2;;2;2;2;2;1;1;1;;2;1;1;2;1;2;1;2;2;;1;;;;11;;3;1;1;
35751-5490;;;;;;;;6;1;;;6;6;;2;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;4;1;;;;;;;;;;;;;;;1;1;;;;3;2;;;;;1;3;1;1;;6;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;
31810-6400;1;3;5;;;3;1;12;;;;;;;9;;;;;1;;;;;;;;;;;;;2;1;1;;3;;;;;;;;;;;;4;2;2;;1;1;;;;;;;;;;3;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
36194-5489;;1;;;7;1;1;19;;;;3;3;;23;1;5;2;1;;;;;;;;;;;;;;1;;;;;;;2;;;;1;;1;;;;;;;1;;;;1;;1;1;;;;7;;2;;;;;;;;;;;;;;2;1;;;;;2;;;;;3;;2;1;;;;;;;;;;;;;1;;1;;1;8;;;;3;1;1;1;1;1;;3;1;;;;1;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
36430-5489;;1;;;;;;6;;;;1;2;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;3;2;;;;;;;;;;;;;1;;;;;;;;;;;1;;1;;;;;;;;1;;;;;;1;;1;;1;3;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36589-6895;;;;;;1;;4;;;2;1;3;;6;;1;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;1;;;1;;;;;;;;;;;;;;;;1;1;;;;;1;1;;;;1;;;;;;;2;1;;;;2;;;;;;1;;;1;;1;;1;1;;;;;;;;;;;;1;;1;1;;;1;;;;2;1;;1;;;;;;;;;;;2;1;1;;;
39429-6400;1;7;3;;;1;;25;1;;;23;14;2;25;;4;6;;1;;1;;1;1;;;;2;;;;4;;;;;;;;;;;;;;4;;2;;;;;1;;;7;;3;;3;;;9;;2;1;1;;;;;;;1;;;1;;10;7;3;2;2;;;;;;;9;;6;4;3;2;2;3;1;1;3;2;;1;1;1;2;2;2;;2;13;;2;2;4;3;2;2;1;1;;2;1;1;;;1;3;;3;;;;2;1;;;5;2;1;;;;;;;;;;1;;;;;;1;
24082-4114;1;6;2;;4;1;2;7;;;;;1;;8;;;;;1;;2;1;;;;;;1;;1;1;2;1;1;1;1;;;1;;;;;;1;2;;1;;;;1;;;;;;;;;;;2;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;2;;;;;4;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;2;
21283-6895;1;2;;;;;;16;2;;;3;7;1;15;;;;;1;;;1;;;;;;;;;;;1;1;1;;;;;;;;;;;1;;;;;;;1;;;1;;;;;;;7;1;2;;;;;;;;;2;1;;1;1;;;;2;1;;;;3;1;;3;1;;;;2;;;;1;1;;;1;;;1;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
22483-6030;1;6;3;;1;1;;7;;;;1;1;1;2;;;;;1;1;;1;;;;;;1;1;1;;2;1;1;1;3;;;;;;;1;;;4;;1;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;;;1;;1;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;
31572-5384;;1;;;;;;6;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
