aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>2>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;8>7>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>14>;14>14>2>;14>14>14>;14>14>41>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>48>;49>48>;49>49>;
17491-5799;2;5;2;;;;;22;;;;1;4;;17;;;;;2;;;1;1;1;1;1;1;1;1;3;;1;;;;;1;;;;;;;;;1;;;;;;5;;;3;3;;;;;;11;;4;;;;;;;;;;1;1;;;;;;;;;;1;1;;;;;;;;1;;1;;;;;1;1;;;5;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;
36383-5490;1;3;5;1;28;5;;51;;;;12;11;6;39;;1;1;;1;3;;1;;;;;;1;1;1;1;;1;1;1;1;1;4;1;2;;1;1;1;;3;1;;3;;5;2;;;1;;;;;2;2;17;1;9;4;2;2;;;;;;;2;;4;1;3;2;4;4;4;;;1;1;10;1;2;2;2;4;4;;;;;;6;5;1;1;1;;14;;;;4;2;2;1;;1;1;1;1;1;;1;;1;1;1;;;1;;;1;;1;;;1;1;;1;;2;;;
35962-6895;2;5;1;3;;2;;30;;;;3;4;1;10;;3;6;;2;;;1;1;1;;;;;;4;1;1;;1;1;1;;;2;;;2;2;;;1;;1;;;1;12;;1;2;3;2;;;;;9;;;;;;1;1;;;;;1;1;;;;;;;1;;;2;;2;1;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;3;;1;1;1;1;1;2;1;1;1;1;1;;;1;1;1;;;;;;
24407-6030;4;24;7;;4;7;7;37;;;;5;6;1;34;1;5;16;;4;4;2;3;3;3;2;2;2;2;2;3;1;1;2;1;1;1;2;;;2;;;;1;7;8;2;1;3;;;;;;;3;1;;;;;8;;4;1;1;1;1;1;;;;;1;1;1;;;;1;;;;;1;;3;1;1;;;;;1;;;;;1;1;2;1;;;12;1;;;3;2;2;;;2;1;2;1;;;4;;1;;;3;1;4;1;1;1;1;1;1;;3;3;3;;;2;1;1;
30588-5490;1;1;;;;;;10;;;;;1;;19;;1;3;;1;;;1;;;;;;;;1;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;1;;8;;;;2;1;1;1;1;;;;;;;1;1;;;;1;;;;;;;;;;1;1;;;;;;;
40647-6400;2;4;2;;;4;;73;4;2;;29;35;1;109;1;11;20;1;2;4;;1;1;1;1;1;1;;;2;1;1;;1;1;1;;1;;;;;;;;3;;1;1;;3;2;;;;11;6;1;1;1;1;22;1;7;4;1;;3;3;;;3;2;3;2;9;1;4;1;8;4;;4;2;3;1;22;1;5;2;1;6;2;3;3;4;1;;1;1;2;4;8;6;41;;4;3;20;7;3;2;2;;;5;3;1;2;9;1;3;2;1;3;;7;1;;2;1;1;1;1;1;1;1;;;;;;
35754-5489;;1;;;;4;;30;1;;;2;5;;14;;2;7;;;7;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;4;2;;1;;1;1;;;;;5;;1;1;1;1;;;;;1;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;1;;;;1;1;1;1;1;;;;;;;2;;;;;;;;;;;;;;;;;;1;;;2;;
41123-6400;1;1;3;;;;;22;;;;5;2;1;14;4;4;2;2;1;2;1;;1;1;1;1;1;;1;1;;;;;;;1;;;;;;;;;;;;3;1;;1;;;;;;;;1;;8;;5;4;4;3;1;1;1;;;;;;1;;;;1;1;;;;1;;1;;;;;1;1;1;1;;;;;;;4;;;8;;;;6;5;5;3;2;2;1;2;1;;1;2;;1;1;1;;;1;;;1;;1;;1;;;1;1;;;;;
22279-4114;2;12;9;;;;1;22;1;;;3;3;6;7;;;;;2;;;1;1;1;;;;1;;1;;;1;1;1;1;5;2;;;;;;;;3;1;;9;5;;3;1;;1;1;1;;;3;1;2;;1;;;;;;;;1;;2;;;;;;2;1;1;;;;;3;2;;;;2;1;;;;;;3;3;1;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;
41483-6590;1;10;;4;13;7;;85;;;3;21;31;;35;;12;12;2;1;11;2;1;;;;;;;;6;1;;3;1;1;1;;;3;1;1;4;3;1;;6;;2;;;4;7;;5;1;22;11;5;3;;;17;2;10;6;3;1;4;3;;1;;;4;1;10;2;5;;5;3;;1;3;4;1;18;2;9;4;;3;2;5;1;7;1;;;;3;2;8;3;20;2;4;2;11;8;4;2;1;4;3;6;6;4;3;11;1;7;5;3;4;2;7;3;2;5;2;3;1;1;1;1;;2;3;7;1;1;
17228-6401;1;14;;;;;;31;1;2;;13;10;;14;;6;6;;1;2;2;;1;1;1;1;1;;;6;;4;;;;;;;;;;;;;;9;;4;;;;5;1;;;5;5;3;;;;9;;5;5;2;;5;4;;2;1;2;2;;5;1;3;1;1;1;;3;;1;1;10;1;5;3;1;;;;;;;;;;2;;1;1;6;2;;;5;2;;;;1;1;2;2;;1;6;3;2;2;1;3;1;2;1;1;2;1;1;1;;;;1;;;;2;2;
27482-5799;3;3;;;;;;15;;;;1;3;;7;;;;;3;;1;3;;;;;;;;3;;;;3;3;3;;;;;;;;;;3;;;;;;1;;;1;2;;;1;;;5;;1;1;1;1;;;;1;;;;;;;;;1;;;;;;;1;;;;;1;;1;;2;;;;;;;;;3;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;1;
36699-4917;;1;1;;;5;3;14;1;;1;4;9;2;17;;4;3;2;;1;2;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;2;;;;;;5;;3;;;;;;1;1;1;;;;3;;2;1;;;;;;;;4;;3;2;1;;;;;2;;;2;2;;1;2;1;6;;1;1;3;1;1;;;;;;;;;3;;1;1;1;;;1;;;1;;1;1;1;;;;;1;;;1;
40217-6030;2;14;1;;1;2;;27;1;;;;2;;21;;5;6;1;2;3;;1;;;;;;2;1;5;1;2;1;;;;1;;;1;;;;1;;7;1;1;;;1;5;2;2;1;1;;;;;;11;;4;1;;;1;1;2;;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;;1;;7;;;;4;1;;;;1;1;2;1;1;1;4;;3;3;3;1;1;5;1;1;5;1;4;2;;2;1;;3;;1;;;
31410-6400;2;4;;1;;1;;22;2;1;;5;10;;10;;1;1;;2;2;1;1;1;1;;;;1;;2;;1;;1;1;1;;;1;;;1;1;;;2;1;;;;1;2;;;1;5;2;1;;;;5;;3;3;2;2;1;1;;1;2;1;2;;2;;1;1;;;;;;4;;3;1;1;1;1;;;1;1;1;;;;;1;;1;;5;;;;4;3;2;1;1;;;;;;;1;;1;1;1;1;;1;1;;1;1;1;1;;1;1;1;;;;1;1;
41314-6401;2;15;2;;13;4;;71;;;;13;15;1;42;;10;19;;2;18;7;;1;1;1;1;;1;;2;;;;;;;;;;1;;;;3;;9;;2;;;3;3;1;1;;4;3;;;;;19;1;3;;;;3;2;6;1;;;1;;3;;1;1;;;;1;2;1;;10;1;1;;;;;2;;2;;1;;;1;;5;2;6;;;;1;1;;;;;;1;1;;;10;1;2;;;3;;3;;;;;;;;1;;1;2;;8;7;3;
18444-4114;2;4;5;;;;;20;1;;1;3;2;2;19;;5;17;2;2;2;;1;1;1;1;1;1;;;;;;;1;1;1;;2;;;;;;;;3;;;2;;;1;;;;1;;;1;;;5;;2;1;;;1;1;1;;1;;;;1;;1;1;1;;;;1;1;;2;;1;1;1;1;;1;;1;;1;;;;2;;;7;;;;5;2;;;;1;;1;;;;5;;1;;;1;1;4;1;1;1;1;;;1;1;1;1;;1;;;;
40165-5799;2;12;8;8;15;11;;72;1;4;3;12;26;7;77;1;11;15;3;2;17;6;1;1;1;1;1;1;4;1;1;;;2;1;1;1;5;;6;9;4;6;6;;;3;1;;2;1;3;7;;3;2;7;;;1;2;1;19;2;4;1;;;1;;4;2;1;4;1;;3;1;2;;3;1;;1;;4;2;5;;1;1;;1;;4;1;4;7;1;4;;3;;4;;26;1;1;;14;6;1;1;1;4;2;6;3;1;;8;;5;1;;3;;8;2;;2;;;;1;1;1;1;3;2;3;4;5;
38994-5384;2;8;3;;22;3;1;32;1;1;2;5;10;3;10;;2;1;;2;5;1;;2;;1;1;;3;3;3;2;1;1;;;;2;1;;13;6;;;2;;4;2;2;;;2;4;1;;;7;2;1;1;;;7;1;2;;;;1;1;1;;1;1;1;;1;;1;;3;1;1;;2;6;4;5;1;1;1;;2;;2;1;;2;2;2;;1;;1;1;3;1;;;;;;;;;;1;;;;1;1;;;;1;;;;;;;;;;1;;;1;2;;;;
41179-7114;1;11;1;2;3;5;;46;;1;;7;10;;25;;2;2;;1;2;1;1;;;;;;;;2;;1;;;;;1;;2;2;;2;2;;;6;;1;1;1;4;15;1;4;6;1;;;;;;19;3;8;3;2;1;;;1;1;;1;2;;5;2;2;1;1;;;;;1;;6;;5;2;1;;;;;2;;;;;2;6;5;4;10;1;2;2;3;2;1;1;;;;;;;;2;;2;1;1;1;;2;1;;1;;1;1;;1;1;;1;;1;1;;
39095-6400;2;7;;1;;1;;48;;;;16;20;;42;;2;6;;2;1;;;2;2;1;1;1;1;;2;;1;;;;;;;1;;;1;1;;;3;;1;;;1;8;;1;3;8;5;;;;;15;;6;1;;;1;1;;;;;2;;2;1;1;;;;;1;1;4;2;14;;1;;;;;1;1;;;;;;3;;3;1;14;1;3;1;4;1;1;1;;;;;;;;2;;;;;1;1;1;;;;;;;;;;2;;;;;;
35962-6401;3;9;;1;;3;;29;;;;10;9;1;20;1;5;2;;3;;2;1;1;1;;;;;;2;2;;;2;2;1;;;1;;;1;1;;;5;;1;;;2;4;;1;;3;3;;;;;9;;3;2;2;;1;1;;2;;;2;;1;1;;;5;5;1;;;;;9;;1;;;5;5;;;;;1;;;2;;;;10;1;;;7;4;1;;;;;2;;;2;2;;1;;;1;1;1;1;1;;;;;;2;1;1;;;;;1;
30588-6590;;;;;;;;3;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31311-5489;1;7;;4;;3;;25;1;;;2;10;;19;;3;2;;1;;;;1;1;;;;3;;;;;3;;;;;;3;;;2;2;;;2;;;;;2;1;;;;5;2;;;;;5;;2;;;;;;;;1;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;5;;;;;;;;;1;1;2;1;1;;2;;2;;;1;;2;1;;;;;;;;;1;;;;;;
40067-6400;1;2;;;;3;;23;1;;;3;5;;28;;3;12;;1;;;1;;;;;;;;;;;1;1;1;1;;;;;;;;;;1;;;;;2;;;;;1;1;1;;;;11;;2;;;;1;1;;;1;;2;1;1;1;;;;;;;;3;;3;1;1;;;;;;;1;;;;;1;1;2;1;6;1;1;1;1;;;;;;;;;;;3;;2;;;;;9;;;2;;2;1;;1;1;;;;;;;
36089-5384;1;18;;;;;;34;1;;3;;4;;45;;1;3;;1;3;;;;;;;;;;8;1;5;;1;1;;;;;;;;;;;9;;4;;;;2;;;;3;;;;;;15;;3;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;1;;;;2;1;;;14;;;;4;2;2;;;;;;;;;1;;1;;;;;3;;;;;;;;1;;;;3;;;;
27482-4917;2;6;;1;;1;;25;;;;1;1;;7;;;;;2;;1;;1;1;1;1;1;;;3;1;;3;1;1;;;;1;;;1;1;;;4;;1;;;;2;1;1;;1;1;1;;;;2;;1;1;;;;;;1;;;;;1;;1;1;1;1;;;;;;1;;1;1;1;1;;;;1;;;;;1;;1;;3;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;1;
32035-5799;3;6;7;;25;2;;38;;;;;;;13;3;;;;3;1;;;2;2;1;1;1;;;3;;;;;;;3;3;;5;1;;;2;;2;;1;5;2;2;7;;;;;;;;;;8;;6;4;3;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;8;;;;4;3;2;2;2;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;
40061-6400;2;8;1;2;;3;;58;;;;31;29;;48;;11;11;2;2;;;2;;;;;;;;;;;1;1;1;1;;;2;;;1;1;;;2;;;;;1;3;;;2;8;6;2;1;;;16;1;3;1;1;1;3;1;;;;;2;1;12;;7;1;5;3;;4;;1;;18;;6;4;1;3;2;2;1;3;;;;;2;2;5;2;12;;1;1;4;2;1;1;1;;;4;2;1;1;6;;3;3;2;2;;5;2;;4;2;2;1;1;2;2;;;;;;;
36139-5384;1;13;;4;;4;;37;;;;26;25;;19;;4;5;2;1;10;;;1;1;1;1;1;;;1;;;;;;;;;3;;;4;3;;;5;;;;;1;;;;;8;5;2;;;;3;1;1;1;1;1;2;2;1;;;;3;;10;3;3;1;2;1;;1;;;;14;;5;2;;1;1;4;3;2;;;;;1;;5;3;5;1;3;2;1;1;1;1;1;;;1;1;;1;3;;2;1;1;2;1;3;2;1;1;1;1;;;;;1;1;;;;;
40086-6401;2;16;2;6;;6;;58;;;;50;42;;46;;5;7;1;2;3;;;2;2;2;2;2;1;;3;;;1;;;;2;;6;;;4;4;;;6;;2;1;1;1;4;1;1;1;11;7;1;;;;9;;1;;;;1;1;;;;;3;;25;2;14;8;10;6;;2;;2;;30;1;15;6;4;2;1;7;7;2;2;;;;;;5;2;13;;1;;5;1;;;;;;2;;;;3;;;;;1;;1;1;;;;;;;;;2;;;;;;
33457-5490;2;4;12;4;;4;2;54;;;;1;2;1;37;3;4;8;;2;3;1;1;1;1;1;1;1;;3;;;;;1;1;1;;6;3;;;3;3;;1;2;;;10;;2;8;;;1;;;;;1;1;11;;2;;;;1;;;;;;;;1;;1;1;;;;;;;;1;;1;1;1;;;1;;1;;;1;1;;4;1;;12;;1;;4;3;2;1;1;;;1;;;1;2;;1;1;;;;1;;;1;;;;;1;1;1;;;;1;1;
27630-6895;2;3;;3;;2;;27;2;1;;8;12;;19;;1;1;;2;;;;2;2;2;2;2;;;1;;1;;;;;;;3;;;2;2;;;2;;;;;;6;1;2;4;7;4;;;;;14;1;5;3;;;1;1;;;2;1;3;1;1;1;;;1;;;1;;6;3;7;2;;;;1;;;;;;;;;;;3;2;7;;2;1;3;;;;;;;;;;;1;;1;;;1;1;1;1;1;;;;;;;;2;;;;;;
41132-6400;2;7;7;;22;4;;69;;;;4;7;3;56;5;4;3;3;2;6;2;2;;;;;;1;1;4;;2;;2;2;2;1;4;;6;3;;;1;;2;;1;4;1;4;5;;;1;2;;;;3;3;22;1;2;1;;;1;;;1;;;1;;;;;;1;;1;;;3;3;3;1;;;;1;;;;;3;;3;2;;;1;1;7;;;;2;1;;;;1;;2;;;;1;;;;;;;;;;;;;;;2;2;;2;;;2;1;
44196-6400;2;7;5;;4;3;;19;;;1;4;9;4;18;;1;3;;2;2;2;1;1;1;1;1;1;;4;1;1;;;1;1;1;;5;;;;;;;;4;;;;;2;2;;1;2;4;1;;;1;1;8;1;2;;;;1;1;;1;;;1;;;;;;;;1;;;2;;3;;;;;;;;;;1;1;1;;2;;2;;4;;;;;;;;;;;;;;;1;1;1;;;2;;3;1;;1;1;;;;1;1;1;;1;;;;
27630-4114;2;5;;;;;;37;2;;;6;9;;36;;3;2;1;2;3;6;;2;2;2;2;2;2;;4;1;2;;;;;;;;;;;;;;2;;;;;;1;;;;3;2;1;;;;13;1;5;3;;;1;1;;5;2;;;;2;;2;;3;2;;;;3;1;6;;2;2;;3;2;;;;;;;;1;;2;2;17;;1;1;12;8;5;3;1;1;;2;;;;1;;1;1;1;;;1;;;1;;1;1;1;;;2;;;;3;3;
44006-6895;1;4;;;;1;;14;;;;4;7;;14;;3;1;1;1;2;;;1;1;;;;;;1;1;;1;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;4;;2;1;1;;;;;;;;;;1;;;;;;;;;1;;2;;1;;;;;1;;1;2;;;;1;;;;4;;;;1;1;;;;1;;1;;;2;1;;1;;;;;1;;;;;;;1;;;1;;;;;;
36306-5490;2;5;3;;;;;19;1;;1;4;3;;14;;;;;2;7;4;2;;;;;;1;;;;;1;2;2;2;;;;;;;;;;3;1;;2;;;1;1;;;1;1;1;;;;4;;1;;;;;;;3;1;;;;2;;1;1;1;1;;2;;;;2;;2;1;1;;;1;1;1;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;1;1;;4;1;
36914-5490;;;;4;;5;1;26;;;;10;10;;38;;4;4;;;2;2;;;;;;;;;;;;;;;;;;3;;;3;3;;1;;;;;;1;;;;;4;3;;;;;8;;2;;;;2;2;;1;;;2;1;;;;;2;2;;2;;1;;8;;;;;1;1;;;;1;;;;;;2;1;17;;2;1;5;3;2;2;2;1;1;1;1;;;4;;;;;;;;;;;;;;;;;;;;1;1;2;
