aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>2>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;8>7>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>14>;14>14>2>;14>14>14>;14>14>41>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>48>;49>48>;49>49>;
31601-4917;;3;;3;;4;1;37;1;;;5;8;2;25;;10;12;1;;;;;;;;;;;;1;1;;2;;;;;;3;;;3;3;;1;3;;;;;1;2;;;;5;2;;1;;;10;;1;1;;;2;2;;;1;;;;3;;3;;1;1;;1;;3;1;4;;2;2;;;;1;1;1;;1;1;1;;1;1;;6;;;;3;1;1;;;1;1;1;1;1;;10;2;6;3;1;8;4;6;5;3;3;3;1;;1;;;;;;;;;
31572-4448;;1;1;;;;;15;1;;1;1;4;2;5;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;1;1;;;2;1;1;;1;;;;;;;;1;;1;1;;;;;;;;;;1;;1;1;;;;;;2;;1;1;;1;;;1;1;;3;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
36328-5061;;15;6;;3;1;;36;1;1;2;8;10;3;33;;9;23;1;;5;;;;;;;;;5;3;1;2;2;;;;5;4;;2;2;;;;;5;;2;1;;1;2;;;;4;2;;;;;12;;4;3;2;1;2;2;;;1;1;2;;;;;;3;2;2;;1;2;;7;1;;;;1;;;;;;2;;;4;4;1;1;14;1;1;1;6;5;2;;;3;3;6;5;2;;8;1;3;1;;4;2;10;3;2;3;1;2;1;;;;;2;;;;;
44060-6590;1;10;1;1;2;3;;28;;;7;7;9;2;29;;7;14;;1;7;2;;;;;;;1;;;;;;1;1;;1;;;;;1;;2;;5;;;;;2;3;;1;1;1;;;;2;1;5;;1;;;;2;1;;2;;;;;3;;1;1;1;;;;;;;1;;;;;;;1;;2;5;;1;;;;1;;8;;1;;2;;;;;;;2;2;1;2;5;;3;;;1;;6;1;;;;;;;1;;;;7;;;2;
44530-6402;;2;;;;;;5;;;;2;1;;7;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;
35936-5489;;;;;4;5;;23;;;;2;4;;24;;1;1;;;3;2;;;;;;;;;;;;;;;;;;;1;1;;;2;;;;;;;2;;;;;;;;;;;9;;4;1;1;;;;;1;;;1;;;;;;1;1;;;1;1;;1;1;;;;;;;;;1;;;;;1;;;8;;;;2;2;;;;;;1;1;;;1;1;;;;1;1;;;;;;;;;;;;1;;;2;;
35908-5490;8;19;11;;;;;29;1;2;6;6;12;4;42;1;1;1;;8;11;1;5;6;5;6;6;5;3;5;6;1;1;;2;2;2;10;2;;;;;;;;4;1;1;7;6;;2;;;2;1;;;;2;1;11;;5;1;;;1;1;;;1;2;1;1;1;;;;;;1;;;1;;;;;;;;;;;3;5;1;2;;;;2;;10;;1;;2;;;;;;;;;;;1;;;;;;;;;;;;;;;5;5;5;2;6;;;;
44389-6402;;12;8;;;1;2;40;2;1;;15;21;11;25;2;3;2;1;1;2;;;;;;;;;1;;;;5;;;;7;1;;;;;;;;2;;;8;7;;4;;;1;7;5;;1;8;5;8;;1;1;;;1;1;;;1;1;2;;4;1;2;1;4;3;1;1;1;3;;12;1;2;;;2;2;4;2;;;;9;2;;;;;8;;;;5;3;1;;;;;;;;;2;;1;1;;1;;1;1;;1;1;;;;;;;;;;;;
21894-4114;4;10;14;;10;3;;33;2;;;3;8;7;46;4;6;10;3;4;1;;1;3;2;2;2;1;1;3;1;;1;1;1;1;1;6;5;;6;2;;;;;1;;;11;5;1;3;;;;;;;;3;2;11;2;3;1;1;;;;;;2;;;;;;;;;;2;;;3;;2;;;;;;;1;1;;1;4;4;1;;;3;;8;;1;;4;2;1;1;1;1;1;2;2;;;6;1;4;;;4;3;4;2;2;;;;;3;1;1;2;;;;;;
27587-4917;;1;;;;;;3;;;;;;;3;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
