20;14 -1 2 -2
21;2 -2
22;46 -1 1 -1 2 -1 14 -2
23;14 -2
24;41 -2
25;48 -2
26;31 -2
27;16 -1 31 -1 48 -1 48 -2
28;14 -2
29;48 -2
30;8 -1 7 -2
31;14 -2
32;32 -1 48 -2
33;8 -1 48 -1 32 -1 48 -2
34;8 -1 7 -1 48 -2
35;32 -1 48 -2
60;14 -2
635;14 -1 2 -2
636;46 -1 1 -1 2 -1 3 -1 2 -1 14 -1 41 -1 31 -1 14 -1 41 -2
637;41 -2
638;41 -1 41 -1 41 -2
639;14 -1 41 -2
640;2 -1 2 -1 14 -2
671;14 -1 2 -1 46 -1 1 -1 2 -2
1041;14 -1 3 -1 2 -1 14 -1 41 -1 41 -1 41 -1 41 -1 41 -1 2 -1 14 -2
1042;42 -1 14 -1 45 -1 14 -1 32 -1 31 -1 48 -1 14 -1 32 -1 31 -1 30 -1 32 -1 31 -1 30 -2
1043;14 -2
1044;14 -1 41 -2
1045;14 -1 3 -1 2 -1 3 -1 2 -1 3 -1 2 -1 3 -1 14 -1 41 -2
1131;14 -1 31 -1 30 -1 30 -1 30 -1 41 -1 31 -1 30 -1 30 -1 30 -1 30 -1 17 -1 30 -2
1132;14 -1 31 -1 30 -1 30 -2
1133;30 -2
1134;30 -2
1135;17 -1 30 -1 31 -1 30 -1 14 -2
1136;14 -1 31 -1 30 -2
1137;30 -1 41 -2
1138;2 -1 1 -1 46 -1 2 -2
1139;14 -1 14 -2
1214;14 -1 7 -1 41 -1 41 -1 41 -1 41 -2
1215;48 -2
1216;14 -1 32 -2
1217;14 -2
1218;32 -1 32 -1 25 -1 32 -2
1219;41 -2
1220;41 -2
1221;14 -2
1222;14 -2
1223;41 -2
1224;14 -1 32 -1 32 -1 25 -1 32 -1 14 -2
1225;14 -2
1226;41 -2
1227;41 -2
1228;41 -1 41 -2
1229;41 -1 41 -1 41 -1 41 -2
1230;41 -1 41 -2
1276;14 -1 2 -2
