837;14 -1 31 -2
838;14 -2
839;38 -2
840;41 -1 41 -2
841;14 -1 38 -1 33 -2
842;37 -1 34 -1 36 -2
843;14 -2
844;31 -1 30 -1 30 -1 30 -1 30 -2
1616;14 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -2
1617;14 -1 38 -2
1618;14 -1 38 -1 41 -1 41 -2
1619;38 -1 33 -2
1620;41 -1 14 -1 38 -1 36 -2
1621;36 -1 36 -1 34 -1 37 -2
1622;38 -1 33 -2
1623;34 -1 36 -1 37 -2
1624;38 -1 33 -2
1625;34 -1 36 -1 37 -1 38 -2
1685;14 -1 31 -2
1686;17 -1 31 -2
1687;14 -1 38 -2
1688;14 -2
1689;14 -2
1757;14 -1 14 -1 11 -2
2054;14 -1 41 -1 41 -2
2055;41 -2
2056;14 -1 41 -2
2057;31 -2
2058;14 -1 31 -2
2059;17 -1 31 -2
2060;14 -2
2061;14 -2
2062;14 -2
2063;14 -1 2 -1 11 -2
2064;12 -1 14 -1 41 -2
2065;11 -2
2066;31 -2
2067;14 -1 11 -1 38 -1 14 -1 31 -1 14 -1 41 -1 31 -2
2068;30 -2
2069;14 -1 38 -1 31 -1 16 -1 31 -1 14 -1 11 -1 14 -2
2070;14 -1 11 -1 11 -1 9 -1 14 -1 31 -1 31 -1 14 -2
2071;14 -1 11 -2
2072;31 -1 30 -1 14 -1 11 -2
2073;14 -1 38 -1 31 -1 38 -2
2074;14 -1 14 -1 11 -2
2075;31 -2
2076;30 -2
2077;26 -1 31 -2
2152;14 -1 31 -1 41 -2
2153;41 -2
2154;41 -2
2155;41 -2
2156;38 -1 33 -2
2157;34 -1 37 -1 36 -1 38 -2
2158;39 -1 14 -1 31 -1 30 -1 30 -2
2159;16 -1 31 -1 30 -1 31 -1 30 -1 30 -1 30 -2
2160;17 -1 30 -1 48 -1 31 -1 30 -1 31 -1 14 -1 11 -1 48 -1 11 -1 9 -1 48 -1 49 -1 14 -1 11 -2
2161;14 -1 11 -1 48 -1 14 -1 31 -1 30 -1 31 -1 30 -1 30 -1 48 -1 14 -1 31 -2
2179;14 -1 38 -1 14 -2
3223;14 -2
3224;14 -2
3225;14 -1 14 -1 14 -1 41 -1 41 -1 41 -1 41 -1 41 -1 41 -2
3226;11 -1 38 -2
3227;14 -1 38 -1 14 -1 38 -1 11 -1 9 -1 11 -1 14 -2
3575;14 -1 31 -1 14 -1 31 -2
3576;14 -2
3577;14 -1 31 -1 11 -1 9 -1 11 -1 12 -1 14 -2
3578;14 -1 11 -2
3579;14 -1 14 -1 11 -1 48 -1 14 -1 38 -1 31 -1 14 -2
3580;14 -1 2 -1 11 -2
3581;31 -1 30 -2
3582;30 -1 38 -1 2 -1 3 -1 31 -1 38 -1 38 -2
3583;14 -2
3584;33 -2
3585;36 -2
3586;36 -2
3587;36 -2
3588;36 -1 36 -1 34 -1 37 -1 38 -1 14 -1 31 -1 11 -1 48 -1 48 -1 48 -1 48 -1 48 -1 48 -1 48 -1 14 -2
3959;49 -1 14 -2
3960;41 -2
3961;41 -2
3962;49 -2
4295;14 -1 41 -1 41 -1 41 -2
4339;14 -2
4340;14 -2
4341;41 -1 41 -1 41 -2
4342;41 -1 38 -1 14 -1 31 -1 31 -2
4343;2 -1 31 -1 48 -2
4344;30 -1 30 -1 30 -2
4345;14 -1 38 -1 33 -2
4346;34 -1 37 -1 36 -1 38 -1 38 -1 33 -1 14 -1 31 -2
4347;30 -1 31 -2
4348;16 -1 31 -1 30 -2
4349;28 -1 30 -2
7091;14 -1 14 -2
7092;14 -1 11 -1 48 -1 29 -2
7093;14 -2
7094;14 -1 11 -1 48 -1 29 -2
7095;14 -1 48 -1 29 -1 29 -1 14 -2
8655;14 -2
10141;14 -1 31 -1 31 -1 30 -2
10142;41 -2
10143;41 -2
10144;31 -2
10145;41 -2
10146;31 -1 31 -2
10147;14 -1 41 -1 41 -2
10148;14 -1 31 -2
10149;14 -1 31 -2
10150;17 -1 31 -1 28 -1 31 -2
10151;48 -2
10152;31 -1 31 -2
10153;31 -1 30 -2
10154;17 -1 31 -2
10155;14 -2
10156;14 -2
10157;41 -1 41 -2
10158;41 -2
10159;38 -2
10160;41 -1 41 -1 41 -1 41 -2
10161;41 -2
10162;14 -1 41 -1 31 -2
10163;30 -1 30 -1 30 -1 30 -1 30 -2
10164;31 -2
10165;16 -1 31 -1 14 -1 38 -1 33 -2
10166;36 -1 14 -1 41 -1 41 -2
10167;36 -2
10168;36 -2
10169;36 -1 36 -1 37 -1 34 -1 38 -2
10170;14 -2
10171;14 -1 31 -2
10172;14 -2
10173;14 -2
10673;14 -1 14 -1 14 -2
10674;14 -2
10675;38 -2
10676;14 -1 41 -2
10677;41 -2
10678;41 -2
10679;14 -1 41 -2
10680;41 -2
10681;41 -1 31 -1 48 -1 29 -1 31 -2
10682;30 -2
10683;30 -1 30 -1 30 -1 38 -2
10684;31 -2
10685;14 -1 38 -1 33 -2
10686;36 -2
10687;34 -1 36 -1 37 -2
10688;33 -2
10689;36 -1 34 -1 37 -2
10690;38 -1 14 -1 31 -1 30 -2
10691;16 -1 31 -1 31 -1 30 -2
10692;17 -1 30 -1 30 -1 14 -2
10693;14 -2
11680;14 -1 14 -2
11681;14 -1 14 -2
11682;14 -2
11683;14 -2
11684;14 -1 14 -2
11685;14 -2
11686;14 -1 14 -1 38 -1 14 -1 39 -1 38 -1 33 -2
11687;36 -1 36 -1 34 -1 37 -2
11688;38 -1 33 -2
11689;36 -1 37 -1 36 -1 34 -2
11690;38 -1 33 -2
11691;36 -1 36 -1 34 -1 37 -2
11692;14 -2
11933;14 -1 31 -2
11934;14 -2
11935;14 -1 41 -1 7 -1 14 -1 41 -2
11936;14 -1 38 -2
11937;14 -1 41 -1 41 -2
11938;41 -2
11939;38 -1 33 -2
11940;36 -2
11941;36 -1 34 -1 37 -2
11942;38 -1 33 -2
11943;36 -1 34 -1 36 -1 37 -2
11944;38 -1 33 -2
11945;36 -1 36 -1 37 -1 34 -1 38 -1 14 -1 31 -2
11946;30 -2
12004;14 -1 38 -1 33 -2
12005;34 -1 36 -1 37 -2
12006;38 -1 33 -2
12007;37 -1 36 -1 34 -1 38 -1 33 -1 36 -2
12008;36 -1 34 -1 37 -1 38 -1 14 -1 31 -2
12031;14 -1 31 -2
12272;14 -2
12273;14 -1 7 -1 14 -1 31 -1 14 -1 31 -1 30 -2
12274;30 -2
12275;14 -2
12276;14 -1 38 -2
12277;31 -1 31 -1 14 -1 41 -1 41 -1 31 -1 30 -1 30 -1 30 -1 14 -1 38 -1 41 -1 41 -2
12278;41 -1 41 -2
12279;31 -1 30 -1 30 -2
12280;30 -2
12281;14 -2
12282;30 -1 14 -2
12283;14 -1 38 -1 33 -2
12284;37 -1 34 -1 36 -2
12285;38 -2
12286;38 -1 33 -2
12287;36 -1 34 -1 37 -1 38 -2
22165;30 -2
22166;17 -1 31 -2
24365;14 -1 39 -1 38 -1 14 -1 14 -1 14 -1 41 -2
24366;31 -2
24367;14 -1 31 -1 30 -1 14 -1 41 -2
24368;41 -2
24369;41 -2
24370;41 -1 31 -1 14 -1 42 -1 14 -1 38 -1 14 -2
24371;14 -1 14 -1 14 -1 31 -1 30 -1 32 -1 31 -1 30 -1 32 -1 31 -1 30 -2
24372;17 -1 30 -1 31 -1 14 -2
24373;14 -1 31 -1 30 -1 31 -1 30 -1 31 -1 30 -1 31 -1 30 -1 31 -1 30 -1 31 -2
24374;14 -1 31 -1 38 -2
24375;33 -1 14 -1 41 -1 42 -1 41 -2
24376;41 -1 14 -2
24377;31 -2
24378;36 -2
24379;36 -1 37 -1 34 -2
24380;38 -1 33 -2
24381;30 -2
24382;36 -1 37 -1 34 -1 38 -2
24383;14 -1 31 -1 14 -1 31 -2
24384;16 -1 31 -1 14 -1 31 -1 30 -1 14 -1 31 -1 30 -1 31 -1 30 -1 31 -1 30 -1 14 -2
24385;14 -1 31 -1 30 -1 31 -2
24386;16 -1 31 -1 30 -1 31 -1 30 -1 31 -1 30 -1 14 -2
24387;14 -1 31 -1 30 -2
24388;14 -1 31 -1 30 -1 31 -1 30 -1 31 -1 30 -2
24389;14 -1 31 -1 30 -2
24390;17 -1 30 -1 14 -1 31 -2
24391;14 -1 31 -1 30 -1 17 -1 30 -1 31 -1 32 -1 31 -1 30 -1 31 -1 30 -1 31 -2
24392;32 -2
24393;14 -1 14 -1 41 -2
24394;41 -1 31 -1 30 -2
24395;14 -2
24396;30 -2
24397;17 -1 30 -2
24398;14 -1 14 -1 14 -1 14 -2
24399;14 -1 41 -1 41 -2
24400;14 -1 31 -1 14 -2
24401;14 -2
24402;14 -1 31 -2
24403;32 -1 31 -1 30 -1 31 -2
24404;16 -1 31 -1 30 -1 31 -1 32 -1 14 -1 14 -1 31 -1 31 -1 14 -1 14 -1 31 -1 30 -1 28 -1 30 -2
24405;14 -1 14 -2
24406;14 -1 31 -2
24407;17 -1 31 -1 14 -2
26762;14 -1 31 -2
26763;14 -1 31 -2
26764;14 -2
26765;14 -2
26766;41 -2
26767;41 -2
26768;41 -2
26769;38 -2
26770;33 -2
26771;14 -2
26772;14 -2
26773;31 -2
26774;30 -1 30 -2
26775;30 -2
26776;31 -1 30 -1 31 -1 30 -2
26777;31 -2
26778;30 -1 30 -2
26779;31 -1 30 -2
26780;31 -2
26781;16 -1 31 -2
26782;14 -1 48 -1 14 -1 38 -1 36 -2
26783;36 -2
26784;36 -2
26785;36 -1 36 -2
26786;36 -2
26787;36 -2
26788;36 -2
26789;36 -1 34 -1 36 -1 37 -1 38 -1 33 -2
26790;36 -1 37 -1 34 -1 36 -1 38 -1 14 -1 31 -2
26791;14 -1 31 -1 30 -2
26792;14 -2
26793;31 -2
26794;14 -2
26795;31 -2
26796;14 -1 41 -2
26797;41 -2
26798;41 -2
26799;41 -2
26800;31 -1 30 -1 17 -1 30 -2
26801;17 -1 30 -2
26866;14 -2
26867;38 -2
26868;14 -2
26869;14 -1 38 -2
26870;33 -2
26871;36 -2
26872;36 -1 36 -1 34 -1 37 -2
27083;14 -1 41 -2
27084;31 -1 30 -1 30 -1 30 -1 31 -2
27085;31 -2
27086;16 -1 31 -1 14 -2
27087;14 -1 14 -1 31 -1 30 -2
27088;41 -1 41 -2
27089;14 -2
27090;14 -1 41 -2
27091;41 -2
27092;41 -1 41 -1 38 -2
27093;33 -1 36 -1 36 -2
27094;36 -2
27095;36 -2
27096;34 -1 36 -1 37 -2
27097;38 -1 14 -1 31 -1 30 -2
27098;30 -1 30 -1 30 -1 30 -2
27099;30 -2
27100;30 -2
27101;16 -1 31 -1 30 -2
27102;30 -2
27103;30 -1 30 -2
27104;14 -1 31 -1 30 -2
27105;17 -1 30 -1 31 -1 30 -2
27106;31 -1 30 -2
27107;31 -1 30 -1 30 -2
27108;31 -2
27109;14 -2
28295;14 -2
28296;41 -2
28297;14 -1 41 -1 41 -1 31 -1 41 -2
28298;14 -2
28299;38 -2
28300;14 -1 41 -1 41 -2
28301;14 -1 38 -2
28302;41 -1 31 -1 31 -2
28303;14 -2
28304;41 -2
28305;41 -2
28306;41 -2
28307;41 -2
28308;41 -2
28309;38 -2
28310;41 -2
28311;38 -1 33 -2
28312;37 -1 36 -1 34 -2
28313;38 -1 33 -2
