511;14 -1 31 -1 30 -1 14 -1 31 -1 41 -2
512;17 -1 30 -2
513;14 -2
514;14 -1 31 -1 30 -2
515;14 -1 31 -1 30 -1 17 -1 30 -2
516;2 -1 14 -1 31 -2
517;14 -2
518;14 -1 38 -1 38 -1 31 -2
519;41 -1 31 -1 30 -2
520;17 -1 30 -2
521;14 -2
522;41 -1 41 -2
523;14 -1 31 -1 41 -2
524;41 -2
525;31 -2
526;14 -1 41 -2
527;31 -2
528;17 -1 31 -1 14 -1 38 -1 33 -1 14 -2
529;36 -1 37 -1 34 -1 36 -2
530;38 -1 33 -1 14 -1 38 -1 36 -2
531;36 -1 36 -1 34 -1 37 -1 38 -1 14 -2
532;31 -1 30 -1 14 -1 31 -1 30 -2
533;17 -1 30 -2
534;30 -2
535;30 -2
536;14 -1 31 -1 30 -2
537;41 -1 41 -1 41 -1 31 -1 30 -1 31 -1 31 -1 30 -1 2 -2
538;2 -1 17 -1 30 -2
539;17 -1 30 -2
540;14 -2
541;31 -1 30 -2
542;17 -1 30 -2
543;30 -2
950;2 -2
951;14 -1 31 -2
952;14 -1 41 -2
953;41 -1 41 -1 41 -2
954;41 -1 14 -1 41 -2
955;41 -2
956;41 -2
957;41 -1 41 -2
958;41 -2
959;41 -2
960;41 -2
961;38 -1 14 -2
962;31 -1 31 -1 30 -1 30 -2
963;7 -1 41 -2
964;14 -1 31 -1 30 -2
965;17 -1 30 -2
966;41 -1 14 -1 31 -1 30 -2
967;31 -1 14 -2
968;14 -1 31 -1 30 -2
969;14 -1 31 -1 30 -2
970;14 -1 31 -1 30 -2
971;17 -1 30 -1 48 -2
972;14 -1 31 -1 30 -2
973;14 -1 31 -2
974;31 -2
975;14 -1 31 -1 30 -2
976;17 -1 46 -1 30 -2
977;14 -1 31 -1 41 -2
978;7 -1 41 -2
979;38 -1 33 -2
980;36 -1 41 -2
981;41 -2
982;41 -2
983;38 -1 36 -2
984;34 -1 37 -1 36 -2
985;38 -1 33 -2
986;36 -1 37 -1 34 -1 38 -1 14 -1 31 -2
987;14 -1 31 -1 30 -2
988;48 -1 48 -1 48 -1 48 -2
1241;14 -1 38 -1 31 -1 41 -2
1242;41 -2
1243;41 -2
1244;41 -2
1245;38 -1 33 -2
1246;36 -2
1247;36 -1 14 -1 41 -2
1248;36 -2
1249;36 -1 36 -1 36 -2
1250;36 -2
1251;36 -2
1252;36 -2
1253;36 -2
1254;36 -2
1255;36 -2
1256;36 -1 36 -1 37 -1 34 -2
1257;38 -2
1258;38 -2
1259;14 -2
1260;33 -1 36 -1 36 -1 36 -1 36 -2
1261;14 -1 41 -2
1262;36 -1 36 -2
1263;36 -2
1264;36 -2
1265;36 -1 37 -1 34 -1 36 -1 38 -1 14 -1 31 -2
1266;17 -1 31 -2
1267;14 -1 31 -2
1268;7 -1 31 -1 14 -2
1511;14 -1 38 -1 33 -2
1512;36 -2
1513;14 -1 38 -1 36 -2
1514;34 -1 36 -1 37 -2
1515;37 -1 34 -1 33 -1 38 -2
1516;14 -2
1517;14 -1 7 -2
1518;14 -1 31 -2
1519;41 -2
1520;41 -1 41 -2
1521;14 -1 7 -2
1522;14 -2
1523;41 -2
1524;14 -1 31 -1 30 -2
1525;31 -1 30 -2
1526;17 -1 30 -1 30 -2
1527;14 -1 31 -1 30 -2
1528;17 -1 46 -1 30 -2
1529;14 -2
1530;31 -1 30 -2
1531;17 -1 46 -1 30 -1 30 -2
1532;14 -1 31 -1 30 -2
1533;46 -1 17 -1 30 -1 30 -1 31 -1 14 -1 11 -2
1534;31 -1 30 -2
1535;14 -1 31 -1 30 -2
1536;31 -2
1537;14 -1 31 -1 30 -2
1538;17 -1 30 -2
