aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>2>14>;2>2>41>;2>3>;2>14>;2>14>31>;2>31>;2>31>30>;2>32>;2>32>31>;2>41>;2>41>41>;2 14>;2 14>2>;2 14 41>;2 31>;2 41>;3>2>;3>32>;3 14>;6>6>;7>5>;7>14>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>3>32>;14>7>;14>14>;14>14>31>;14>31>;14>31>30>;14>31>30>30>;14>32>;14>32>31>;14>32>31>30>;14>32>31>31>;14>38>;14>41>;14>41>41>;14>41>41>41>;14 30>;14 30>31>;14 30>31>30>;14 30>32>;14 30>32>31>;14 30 31>;14 31>;14 31>2>;14 31>31>;14 31>32>;14 31>32>31>;14 31 41>;14 32>;14 33>;14 36>;14 38>;14 38 41>;14 41>;14 41>41>;14 48>;16>31>;16 31>;17>30>;17 30>;17 30>30>;30>2>;30>3>;30>14>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>32>;30>32>31>;30>41>;30>48>;30 31>;30 41>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>30>30>;31>32>;31>32>31>;31>41>;31>48>;31 41>;32>31>;32>31>30>;32>31>30>30>;32>31>31>;33>36>;33 36>;34>38>;36>14>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36 41>;38>14>;38>36>;38>41>;38 41>;39>38>;41>2>;41>2>41>;41>14>;41>14>41>;41>30>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41 48>;46>2>;48>30>;48>48>;
18700-5469;1;15;2;;;;;25;2;7;11;13;1;1;;;2;;7;1;1;;1;;1;1;;1;1;1;3;2;;;;;7;;;1;1;;;1;;;;;;4;;;;;;;;;6;3;3;1;;;;;;;;5;3;2;;;1;3;;1;;;1;;1;;2;1;4;;;1;;4;2;1;1;;2;4;6;1;2;1;1;;4;3;3;;;;;1;1;;1;6;;5;2;;;;;2;1;1;;;;1;1;1;;;1;;;;;;;;;;;;;;;1;;2;;;;;;;;1;;;;;;;1;;;
22256-4605;1;7;1;;;;;7;;;2;1;;;;;1;;7;1;;;;;2;;1;;1;;;;;;1;1;4;1;3;;4;;;1;;;;;;1;;;;;;;;;;;;;;;;1;2;1;1;1;;;;;;;;;;;;;;;;;5;1;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;;1;1;1;3;;1;2;2;1;;;;;
18201-4605;;8;12;;;;1;23;;;5;12;13;;;2;3;1;4;;;;;;;;;2;;;;;;;;;4;;;;;2;3;3;;;;;;1;;;7;2;1;;1;;1;;;4;3;;;;1;1;1;2;;;1;1;;4;1;;;;;4;;;1;;2;;;;;;;;;2;;;1;;;;;;1;;;1;1;;;1;;1;1;3;;;;;;1;;;;;;;;;;6;2;;;;;;1;;;;;;;;;2;;;1;;;1;;;1;;;1;;;1;1;;;;;;
19904-4605;;10;;;10;3;1;24;2;5;12;19;1;;1;3;2;;30;;15;1;;;2;;1;;1;;1;;;;3;2;3;;;1;4;;;;6;;;;2;1;;;;;;1;;;5;4;1;;;;;;4;2;2;;;;;;;7;;1;;;3;;;;;;10;1;;1;;4;2;2;;;2;1;6;;4;2;2;1;3;;;;;1;2;;;;;7;1;2;2;2;2;1;;2;1;;;;2;2;6;;;;;;;;1;;1;;;;;1;;1;;1;;2;;3;1;2;3;;;6;1;;4;2;1;1;;1;3;
22946-7274;1;8;;;;;;13;1;3;8;8;1;;;;;;11;1;;;;;2;1;1;;2;1;;;;;2;;2;;;;4;;;;;;;;;1;1;;;;;;5;2;5;;;;;;;;2;1;;2;;;;;1;3;1;1;;;;;;;;;3;;;;;1;3;1;1;;;;2;;1;1;1;;;;;1;;;;1;1;1;1;3;;1;1;1;1;;;4;3;1;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1;2;;;1;;;2;;;;;;;;;;
17356-5388;;9;8;1;;2;;49;1;1;47;48;41;;;;;;11;;6;2;;;4;;;;1;;1;;4;3;;;5;1;;1;;3;4;2;;1;;;;2;1;;4;1;3;1;1;;7;4;2;28;21;8;4;;;;;21;4;3;10;6;1;10;;1;7;7;;2;;;;;4;;2;;;1;1;1;;4;2;;14;1;4;4;2;2;12;8;1;12;8;3;2;5;1;;5;21;;9;2;2;;4;4;11;3;1;7;7;2;1;2;31;13;5;7;;;;;;;;;;;;;;;;;;;2;;1;2;;;3;;1;2;1;;;;1;1;
24676-7274;;2;1;;;;;3;;;5;1;1;;;;;;1;;;;;;;;;;;;1;1;;;;;1;;;;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;;;;;;1;1;;;;;;;1;;;;;;;;1;1;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18081-5468;;12;9;;;;;20;;;10;11;10;;;;;;13;;3;;;;1;;1;1;;;1;1;2;2;2;;5;;;;5;2;3;1;;;;;;1;;;5;1;2;;;;2;1;;8;5;3;2;;;;;2;1;1;;;1;5;;1;2;2;;1;;;;;5;;1;;;;;;;;;;3;;2;1;;;2;1;;1;;1;1;1;;1;;8;;3;2;1;;1;;3;2;1;2;2;;;;6;4;1;2;;;;;;;;;;;;;;;;;1;1;;;;;;;2;;;;;;;;;;
13179-5388;;;;;;;;4;;;1;1;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22801-5468;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
