aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>2>31>;2>3>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;2 3>;2 14>;2 14>2>;2 14>31>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3>2>;3>14>;3 14>;5 14>;6 14>;7>5>;7 14>;7 41>;14>2>;14>2>14>;14>2>31>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>38>;14>39>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14 30>;14 30>2>;14 30>31>;14 30 31>;14 31>;14 31>31>;14 31 41>;14 33>;14 36>;14 38>;14 41>;14 41>2>;14 41>31>;14 41>41>;14 48>;16>31>;16 30>;16 31>;17>30>;17 30>;17 30>30>;30>2>;30>14>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>32>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;32>31>30>;33 36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>38>;38>14>;38>36>;38>41>;38 41>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>48>;49>49>;
23184-6389;2;6;;;;1;;13;;;;4;3;;;;;1;;10;2;2;2;1;1;1;2;1;;;;2;;;;;2;1;;2;;;;;1;;1;;;;;;;1;;2;;;;;;;1;;;;;;1;;2;;1;1;2;;;1;2;;2;;;;5;;;;;;;;;;;;1;;;;;;;;;;;;;1;2;;;;;;;;;;;;;2;;;;;;;;;;1;;1;;;;1;;;;;;1;;1;;1;1;2;1;;2;
27997-5714;;3;3;2;;1;2;18;1;;;8;7;;2;1;4;6;3;11;1;2;1;;;;;;;;;1;;;;;;;;2;;;;;;;;;1;;1;;1;;;;;;2;;;2;3;2;1;;;;4;1;1;1;;;1;;;;;;;1;;1;6;;1;1;2;;;;;;;1;;;4;;1;;;;;;;1;;1;;1;4;;3;1;;;;1;1;;;2;1;;;1;1;;;;2;1;1;1;;;;1;1;2;1;;1;2;1;;;;;;;;1;
22256-6388;1;5;;;;1;;11;;;;;1;;1;1;5;3;;13;1;;;1;1;;1;1;;;;;;;;;1;;;3;;;1;2;;1;3;;;;;;;;;1;;;;;;;;;;;;;1;;3;;;;;;;;1;;1;;1;1;7;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;2;;1;;1;;;;;;;;;;1;2;;;;1;1;1;;;;
20306-7274;1;8;;;6;;;6;;;;3;4;;2;2;2;3;;6;1;;;;;;;;1;;;1;1;;;1;1;1;;2;1;;;;;;;;;;;1;;;;3;1;;;;;;;;;;;;;;1;;1;1;1;;;;1;;1;;;1;1;;;;;;;;;;;;1;;1;;1;;;;;;;;;1;;1;;;;;;;;;;;;2;;;;2;1;1;1;1;;;;;;1;;;;;;;;2;;1;;1;;;;;;
18926-4605;;6;;;3;1;;19;;;;6;8;;;;;1;;19;;;;;;;;;;;;2;;;;;;;;5;;;1;4;;1;5;;;;;1;;1;1;1;;;;;1;2;3;2;1;;;;;;3;;2;1;1;;;;2;;1;;;;12;;1;1;;;;;;;;;2;;1;1;;;;;;;;;;;;1;4;1;1;;;;;1;;;;1;;;;;;;;;;1;;;;;1;2;;4;4;1;1;3;3;2;1;;;;;;;
27658-4604;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
18047-6398;9;64;28;3;3;7;;143;3;7;1;52;61;11;4;3;14;21;5;62;7;8;6;6;3;2;4;2;11;2;7;4;8;4;2;3;3;;3;29;4;2;2;7;2;3;8;6;1;11;1;1;2;2;;18;;4;5;2;3;3;23;12;7;3;4;2;11;;12;1;;;16;1;5;;20;6;4;1;5;5;37;2;6;3;5;1;2;;5;6;4;1;4;2;20;2;11;4;2;2;10;3;4;1;;3;2;4;23;1;12;8;4;2;;10;6;2;2;7;;4;1;4;3;4;3;3;2;4;5;1;1;4;;2;;7;2;1;5;6;1;1;1;2;2;3;1;1;3;
27916-7118;;;;;;1;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
22522-4604;;10;5;2;;2;1;24;1;;;6;10;5;;;1;4;3;17;;;;;;;;;2;;2;1;;;;1;;;1;7;1;;;;;;1;1;;1;1;;1;1;;1;;;4;1;;;;;;;5;3;2;1;3;;1;;2;;;;2;;2;;;;8;;;1;;1;;1;;;;;2;;1;1;1;1;;;;;1;;;1;;2;2;1;;;;;;1;;1;;4;1;3;;;;;;;1;1;1;;1;1;;;1;1;1;;1;4;1;3;1;;;;;;;
28022-4605;2;23;5;1;;1;;42;;;1;6;9;;1;;2;11;2;31;2;10;7;1;1;1;1;1;1;;;4;1;;;;1;1;2;13;;;;3;3;1;4;1;;4;;;1;;1;1;1;;1;;;2;2;;;;;;2;2;4;;1;1;3;;;;2;;1;;1;4;17;;;1;7;;;;;;;;1;;3;1;;;;1;1;;;;;;1;;3;;3;;;;;1;;;;1;;;;1;;;;;;1;;2;5;;;5;;2;2;2;;3;1;2;1;1;1;1;2;1;3;
110-7098;;5;2;;;;;8;;1;;12;5;3;;;;;1;4;;2;;;;;;;;;;1;1;1;1;1;;;;1;;;;1;1;;2;;1;1;;;;;;3;;1;1;;;;3;3;3;2;1;1;;;2;;1;1;2;;;;1;;;;;;2;;;1;;;;;;1;;;2;;6;1;3;3;3;;;;1;1;;;1;;5;;5;2;2;2;;;;;;;;2;2;;;;;;;;;;;;;2;;1;1;1;;2;1;1;;;;;;;;
18184-7098;;;;;;;;10;;8;;16;10;;;;;1;;2;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;1;;;;;;;;;;;7;;3;2;2;;;;;1;;;;;1;;;;2;8;2;;2;;2;1;;;;;3;1;;;;2;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
21367-4605;;7;2;4;;6;2;31;1;4;;19;24;8;;;;;;9;;1;;;;;;;1;1;1;1;1;;;1;;;;5;;;2;;1;2;;1;;1;2;;2;4;;;;;;;2;1;6;3;1;;3;2;;;3;2;;;8;;1;2;7;1;;;;;2;;1;;;;;1;2;3;2;;2;1;7;1;4;1;;2;6;3;2;1;1;3;;2;9;1;3;2;;;2;3;;;;2;1;6;3;;;;;;;;;;;1;1;;1;4;3;1;;1;;;;;;;;;;
10088-5714;;3;1;5;;2;;18;1;4;;15;14;1;;;;;;6;;3;;;;;;;1;;;1;;;;1;;;;1;;;1;1;;1;1;;;1;2;;2;1;;2;;;;;1;1;6;3;3;3;;;;;2;;1;;5;1;2;;3;;1;;;;3;;;1;1;;1;1;2;2;1;1;1;2;8;;5;5;3;2;4;2;;;;3;;2;7;;6;5;5;3;1;2;;;;3;2;;;;;;;;;;;;;;1;;2;;;;;2;;1;;;;;1;;;
28126-4605;1;5;1;;;;;9;;;2;3;2;1;;;;3;;4;1;6;4;1;1;1;1;1;1;;;;;;;;1;1;;3;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;1;2;;;1;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;;;1;;;;1;;1;;1;;
11848-6398;1;20;8;;;;;36;;3;1;11;11;3;;;;5;2;28;1;4;;;1;1;1;1;2;;1;4;2;1;1;2;1;;2;7;;;1;2;;1;4;3;2;1;;;;;;5;1;1;4;1;;2;4;2;2;;2;;2;2;6;1;;;2;1;;;1;;1;;;2;16;2;2;2;3;;;;1;3;1;1;3;;5;2;;;;1;1;1;;;1;2;;2;4;1;3;;;;1;1;;;;1;;;;;;;;;;2;;1;;3;;3;1;3;1;1;1;4;;;;;;1;;;;
31095-4605;1;14;3;;;;;51;2;12;;39;38;1;3;2;3;9;1;16;4;7;1;;1;1;1;1;1;1;1;;10;10;8;;;;;4;;3;1;;;1;;1;1;1;;;;;;6;;4;1;1;;5;14;11;10;2;;;3;;8;2;3;2;9;1;1;;8;;2;;;3;8;;2;2;3;1;;1;6;4;1;1;11;8;25;7;12;3;2;1;2;2;;2;1;2;;1;25;1;22;9;3;2;;2;;1;;2;1;;;1;;;;;2;1;;;1;2;;2;1;5;4;4;;4;1;3;2;;;1;1;1;1;
29300-4605;;7;;;;;;8;1;1;;8;8;1;;;;;;5;;1;;;;;;;2;1;;1;2;1;;;;;;2;1;;;1;;2;2;;;;;;;;;2;;;;;;;1;1;1;1;;;;;1;;1;;2;;;1;1;;;;;;2;;1;;;1;1;;1;1;1;;1;;2;;1;1;1;;1;;1;1;1;2;;;2;;1;1;1;1;;;;;1;1;;;;;;;;;;;;;;;;1;;1;1;1;;1;;;;;;;;1;;
