aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>2>31>;2>3>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;2 3>;2 14>;2 14>2>;2 14>31>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3>2>;3>14>;3 14>;5 14>;6 14>;7>5>;7 14>;7 41>;14>2>;14>2>14>;14>2>31>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>38>;14>39>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14 30>;14 30>2>;14 30>31>;14 30 31>;14 31>;14 31>31>;14 31 41>;14 33>;14 36>;14 38>;14 41>;14 41>2>;14 41>31>;14 41>41>;14 48>;16>31>;16 30>;16 31>;17>30>;17 30>;17 30>30>;30>2>;30>14>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>32>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;32>31>30>;33 36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>38>;38>14>;38>36>;38>41>;38 41>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>48>;49>49>;
24676-6388;;5;;;;;;15;1;1;;7;6;1;1;1;6;5;1;5;3;;;;;;;;;;;;1;;;;;;;3;;1;;;1;;;;;;;;;;;2;;;;;;;4;1;;;1;1;1;;;;;;4;;1;;1;;1;;1;2;4;;;;;1;;;;;;;;1;;;;;;;1;;;;;;;2;1;;;;;;;;;;;1;;1;;1;1;4;3;3;1;1;1;;2;;;;;;;;1;;;;;;;;;;;
22946-7274;1;8;3;3;2;3;1;16;;;;3;5;;;;;1;1;9;1;1;3;1;;;;;;;;4;;;;;1;1;;4;;;;1;;;2;1;;1;2;2;1;1;;1;1;;2;1;1;;3;2;;;;;;1;;;;;;;;;1;;1;;;;5;1;1;;1;;;;;;;;1;;1;;;;;1;2;2;;;;1;;1;3;1;;;;;2;;;;;1;;;;;;;;;;1;;;;1;;1;;1;;;;2;;1;1;1;1;;;;1;
24676-7274;2;3;1;;;;;4;;1;;3;2;2;1;;3;1;;3;1;;;1;1;1;1;;;;;;1;1;;;1;1;;;;;;;;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;1;1;1;;;;1;;1;;;;;;1;;;;;;1;;;;;;;;;;;;;2;;1;;2;;;;;;;;;;;;1;1;;;;;;;1;;1;;;;
30760-4604;2;11;2;5;;4;;24;1;;;9;9;;1;1;4;3;;23;3;3;;1;1;;1;1;2;;;;;;;1;;;;6;1;;1;2;;1;3;;;2;2;;3;1;1;2;;;;;1;1;2;;;;;;;;;;;;1;1;;;3;;3;;;1;14;;1;;2;;1;;;;;1;;;4;;4;4;2;;;;;1;;;1;;3;;2;2;2;1;;;;;;5;2;;;1;1;2;2;2;;1;;;2;;2;;2;2;1;;;;;;;;;;1;;;
27980-4604;1;12;1;1;2;4;;25;1;4;;19;17;;;;;2;;12;1;1;;;1;1;1;1;2;2;;1;5;2;1;;;;;5;;3;;1;;1;3;1;;;;1;1;;;2;;;1;1;2;;7;3;1;1;;;;;;;;;9;1;1;1;2;1;;;;;3;1;;;;;1;1;2;3;2;1;3;;6;2;2;2;;;2;2;;1;1;2;;;8;1;4;2;2;;1;1;1;;;2;;;;;;;;;;;;1;1;2;1;;;;;;1;2;;;;;;1;;;;
27916-5714;;2;;;;;;4;1;;;4;4;;;;;;;2;;;;;;;;;;;;2;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;1;;;;1;;;;;;;;;;;;1;1;;;;;;;1;;1;1;;;;;;;;1;1;1;1;;1;1;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
30907-4604;1;18;4;4;;5;4;34;1;;6;6;10;5;4;4;8;11;1;11;1;13;;1;;;;;3;;;2;;;;;1;1;;6;1;;;;1;1;2;2;;;;;4;;;3;1;;4;1;2;4;;;;;3;3;5;;;;;;1;1;;;;;;1;;;3;;;;2;1;;1;;;;1;2;;3;;1;;;1;1;1;;;;;;1;4;1;3;1;;;;3;2;;;3;1;5;2;2;3;1;;;1;4;1;;3;1;;;1;;;;;;;;;1;1;;9;4;;
23038-6398;;11;1;1;5;5;;35;3;4;;20;18;2;1;1;2;4;2;14;;7;1;;;;;;2;2;1;2;2;2;1;1;;;;7;;;;;;;;1;;;;1;;;1;2;1;;1;1;2;2;4;2;;;;;2;;4;1;2;1;6;;1;1;5;1;;;;1;7;;1;;1;2;1;2;3;3;3;2;1;1;4;;3;2;1;;4;2;;1;;2;;;8;1;1;1;1;1;2;4;2;;2;;;;;1;;;;;1;1;;;1;1;2;;;2;2;;;2;;1;1;;;;;;1;
28283-6389;;;;;;;;2;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18163-4605;;9;;5;;2;;20;;7;;15;11;;;;;1;;9;;6;2;;;;;;1;;;;3;2;1;2;;;;4;;1;;;;1;;;;;3;;1;;;2;;;;;1;;4;2;;;;;1;;2;;;;2;;1;;1;;1;;;;4;;;;3;;;;3;6;3;;2;;4;2;1;;;;1;;;;2;1;1;;5;;1;;;;;1;;;;2;1;;;;;;;;;;;1;;2;;;1;;;;;1;;;;;;;;;1;
18571-4604;;1;1;;;1;;3;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;3;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29800-4130;;8;;;;2;;11;;;;3;9;1;;;;2;;11;;;;;;;;;2;2;;;3;1;;2;;;;2;;;;;1;1;;;;;;;;1;1;2;;;;;1;;;;;;;;;;;;;;1;;;;4;;1;;;;4;1;;;;;;;;;;1;;;;;;;;;;;;1;;;;;1;;;;;;;;;1;;2;;;;;;;;;;;;1;1;2;;;;;;;;2;;;;;;;;;;
13342-4130;1;5;;;;;;29;;11;;28;23;;;;;1;;14;4;2;;;1;1;1;;;;;1;;;;;1;;;2;;;;1;1;1;2;;;;;;;;;2;;;;;;;14;5;1;;;;;;1;;1;;15;1;6;;4;2;1;;;1;5;;1;;1;;;;4;6;2;1;4;2;3;2;;;;;7;2;;3;;;;;6;2;1;;;;1;3;2;;;3;;;;;;;;;;;;;;;;;;2;;;;2;;1;1;;;1;;;;
18900-7118;2;18;13;10;;8;;42;1;2;;13;13;2;2;1;9;8;1;29;1;2;2;1;1;;1;;6;;3;8;2;1;1;;1;1;;7;2;1;1;1;;1;3;6;4;2;4;;5;1;;8;4;1;8;3;4;1;4;4;3;3;1;1;4;;2;1;;;3;;;;2;;1;1;1;;17;2;;;2;1;;1;2;1;1;;4;1;9;3;7;6;5;2;4;2;1;1;;1;;1;9;;7;6;5;4;2;1;1;;;2;;2;2;1;1;1;1;1;1;3;2;;;2;2;1;;2;1;;3;1;;1;;1;;;;;2;
23725-4605;2;18;5;2;1;3;1;41;3;7;;34;33;6;2;1;1;3;1;25;2;5;1;2;;;1;;1;;2;2;4;1;;3;2;2;1;7;;1;;;2;;4;;4;;1;1;1;1;2;3;1;1;2;;;;13;5;2;2;3;2;;;2;;;;9;1;1;;4;1;2;1;;;9;1;3;;2;3;1;2;4;6;4;1;5;2;7;;3;1;1;1;6;1;3;;1;1;2;1;14;5;2;2;1;1;1;7;5;1;1;4;1;4;;;;;;;;;1;;1;3;1;;1;6;2;1;;1;;;;2;2;;;;;
22614-4604;2;14;2;;;1;;25;;5;;12;10;;3;1;2;5;;14;2;5;2;1;1;1;1;;2;1;;3;2;;;2;2;1;;5;1;;;1;1;;1;1;;2;;;;1;;5;1;1;1;1;;;3;;;;;;;;1;;1;;4;1;2;;2;1;1;2;;2;7;1;;;5;;;;1;5;1;2;;;1;;;;;1;4;;;;;2;;;;;;;;;;1;;;;1;;;;;1;2;;;1;;1;1;1;2;;;;;;;1;6;;3;;1;;1;;;2;
31005-6398;1;6;6;;;;1;8;;;;1;1;1;;;;1;3;3;1;4;;;1;;1;1;1;;1;1;;;;;;;1;3;;;;1;;;1;3;1;1;;;;;;;;;3;3;;1;;;;;1;1;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;;4;2;;
18297-6388;;4;;;;;;14;2;1;;8;8;1;;1;2;3;;7;1;1;1;;;;;;;;;;2;1;1;;;;;1;;;;1;;;2;;;;;;;;;2;;2;;;;1;1;;;;;;2;;1;1;;;4;1;;;;;;;;;4;;;;;;;1;1;1;1;1;1;;3;;1;;;1;1;1;1;1;;1;;1;3;1;2;1;;;1;;;;;1;1;1;1;;;1;;;1;1;1;;;;;;1;1;;;1;;;;;;;;;;1;
22316-4130;;14;1;;1;2;;26;1;;;11;14;;;;;;;24;;3;;;;;;;2;;1;1;;;;3;;;1;6;1;;;3;;;5;1;;;;1;;;1;2;1;;;;1;;4;3;1;;;;;;4;;2;;4;;2;;5;;1;;;;12;;2;1;1;;;1;;;;;;;1;;;;;;2;1;;;1;;2;1;6;;1;;;;;;;1;;3;1;;;;;;;;;;;;;1;;1;1;2;1;1;;2;;1;;;;;;1;;
28338-6388;;6;;5;5;4;1;26;1;;;4;7;;;;;;;18;;5;;;;;;;2;;;;;;;2;;;;4;1;;;1;;;1;;;;2;2;3;1;2;3;;;;;;;2;;;;;;;;2;1;1;;;;;;3;1;;;;;13;1;1;;3;;1;;;;;;1;;1;;1;1;1;;;;;;;1;;1;2;;1;1;1;1;;1;;1;1;1;1;;;;;;;;;;;;;2;;;1;3;1;;;2;;;;;;;;;;
31168-4604;2;6;;1;5;3;;16;;3;1;11;8;;2;1;1;5;1;13;2;6;1;;1;1;;;;;;2;;;;;1;;;2;;;;;;;1;;;;;2;;3;2;1;1;;;;;;2;2;;;;;1;1;2;;;;3;;1;1;1;;;;;3;4;;;;2;;;;1;1;1;;;2;5;;2;2;;;1;1;;;1;1;;;3;;1;;;;1;;;;;2;;;;;1;1;1;1;1;;;;2;1;;1;;1;;;;;;;;;;1;;;1;
30887-4604;;2;;;1;1;;12;1;;;5;4;;1;;;1;;8;;1;;;;;;;;;;;;;;;;;;2;;;;2;;;2;;;;;1;;1;1;;;;;;;3;2;;;;;;;;1;;;;1;;;;;;;1;;1;6;;;;;1;1;;;;;;1;;;;;;;;1;;;;;;;1;1;1;;;;;;;;;1;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;
27881-4604;;2;1;;;;;5;;;;4;4;1;;;;;;5;;2;;;;;;;;;;;;;;;;;1;1;;;;1;;;2;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;;;1;;;;;;2;;;;;;;;;;;;1;;2;1;2;1;1;;;;;;1;;;;2;;2;2;1;1;;;;;1;1;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;1;;
30876-4604;4;29;;;1;3;;38;;;1;6;9;;3;2;4;8;;50;5;5;2;1;3;1;2;1;1;1;;;1;1;;2;1;1;;15;1;;1;9;;1;14;;;;;1;;2;1;5;;1;;;1;;2;;;;;;2;;3;;1;;2;;;;2;;1;2;;3;25;2;2;2;1;;;;;;;;;;;;;;;;;;;1;;;2;;1;;;;;;;;;;4;4;;;;1;2;3;3;2;;2;;;6;2;;2;;2;;;;6;;4;2;1;1;1;;1;;
28149-6388;;13;1;4;1;3;1;35;;;1;17;16;;;;;;;20;;7;;;;;;;1;;1;1;4;2;;3;;;;9;1;2;;;2;;;1;;;2;1;2;;;3;1;1;1;1;1;2;4;1;;;;;;;6;2;1;1;10;1;;;5;;1;;;;10;;;;2;;;;;;;2;2;;2;1;1;;;;;;;1;4;;4;;5;;2;1;;;;;;1;;2;2;;;;;;;;;;;;;1;1;1;2;2;;;;3;;3;2;;;;1;1;;
30811-4605;;7;;;4;6;1;25;3;1;;8;19;;;;;;;20;;;1;;;;;;1;1;;1;2;1;;1;;;;4;;1;1;1;;1;1;;;;;3;;4;1;2;1;;;;1;1;7;2;1;1;;;;;3;1;;;2;;;1;7;3;2;;;;8;;1;1;;1;1;2;1;;;1;;1;2;;1;1;1;;1;1;;1;;2;2;1;5;;2;1;1;1;1;3;1;2;;7;1;;;;;;;;;;;;;1;1;;1;2;;;;6;1;2;2;;;;;;;
23038-7274;1;5;;;;1;;14;;6;;18;10;;1;;3;3;;3;1;3;;;;;;;1;1;;;3;1;1;;1;1;;1;;;;;;;;;;;;;;;;3;;1;;;;;3;1;1;1;;;1;;;;;;8;2;1;1;1;;;;1;2;3;1;1;;1;;;;2;5;2;2;1;1;5;1;2;1;1;;1;;;;1;2;1;;5;;2;2;1;1;;1;;;1;;;;;1;;1;;;;;;;1;1;;;;1;1;1;;;;;;1;;;;2;;
18208-7098;;5;1;2;;1;;10;;;;3;3;;1;;2;1;;7;;1;3;;;;;;;;;;;;;1;;;1;4;;;;3;1;;3;;;;1;;1;;;;;;;;;;1;;;;;;;;1;;1;;3;;;1;1;;;1;2;;5;;;;1;;;;;;;;;;1;;1;;;;;;;;;1;1;;1;;1;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;1;;;;;;;;;2;
22513-4605;;3;;;;;;7;;;;2;1;;2;1;7;5;2;6;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;1;;;;;;1;;;;1;;1;;3;1;2;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;2;;3;;1;;;;;;;;;;;;;;;;;;;
22522-6398;2;9;9;;;1;;21;;1;;14;10;5;1;;;2;6;5;2;;;1;1;1;2;1;;;3;2;;;;;1;1;;5;;;;;;;;2;1;1;;;;;;;;;3;1;1;;2;1;;;3;2;;6;;;;;7;;1;;;;;1;;;4;;;;;;;;;1;;;1;;3;;1;1;1;1;3;1;1;;;1;1;;5;1;2;1;1;1;;;;1;;;;4;1;;;;;;;;;;;;;;;1;1;;;1;1;1;1;1;1;1;;;;
28212-4605;;17;;1;1;4;;36;1;1;3;7;12;2;3;2;8;7;1;19;;3;;;;;;;2;;;3;1;1;;3;;;;11;1;;2;2;1;2;3;;;;;1;1;2;1;3;1;1;;;2;3;6;1;1;1;;;1;;5;1;2;;4;1;;1;6;1;;1;2;3;9;;;1;1;;1;;1;;;1;2;1;1;;1;;;;1;1;2;;;1;;2;3;1;1;1;;;1;1;;1;1;;;2;1;1;1;4;3;3;1;2;;;2;1;2;2;;1;1;;;3;;2;;;;;;;;
13298-7098;1;2;;;;1;;9;;2;;6;6;;;;;1;;2;1;;;;;;;;;;;;;;;;;;;1;;;1;;1;1;;;;;;;;;;1;;;;;1;;4;2;;;;;;;1;;;;3;;1;1;1;;;;;1;;;;;;;;;1;1;;;;1;;;;;;;1;1;;1;;2;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22460-7274;1;5;1;;;;;6;;;;2;1;;;;;2;;8;1;;;;1;1;1;1;3;;1;;;;;1;;;;3;2;;;;;;;1;1;;;;;;;3;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;3;1;;;;;;;;;;1;;;1;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;3;;;;1;1;;;2;1;;;;;1;;;;
15396-4130;1;4;;;;1;;20;;;;7;11;;2;1;3;6;;11;1;;;1;;;;;;;;3;;;;;1;1;;1;;;;;;;2;;;;;;;1;;1;1;;;;;1;4;;;;;;2;;2;;;;4;;2;1;5;1;1;1;1;1;3;;;;;;;;;;;;1;;2;;1;;;1;3;1;;1;;1;1;;3;1;2;1;;;1;1;;;;3;2;;;1;1;3;2;2;1;;1;;1;;;1;2;1;;;;1;1;;;1;1;;;;;
19850-6398;;5;;;;2;;9;;;;2;7;;2;2;5;7;;15;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;;;;;;1;1;1;;;;;;1;;;;;;;1;;2;;1;;;;;;3;;;;1;;2;1;;;;;;;;;;;1;;1;;1;1;;;;;;;;;;;1;;1;1;1;;;;;1;;1;;;;1;1;2;1;;2;2;;1;3;1;;2;;1;;;;6;1;1;;;;;;;;
29128-6389;;4;2;;;;;4;;;;;1;;;;;;;3;;;1;;;;;;1;;1;;;;;;;;1;2;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;1;
18201-4605;;6;1;4;2;4;3;21;2;3;;14;16;;;;;1;;9;1;2;;;;;;;1;;1;;1;;;;;;;3;1;;;;;;1;;1;;1;1;1;2;1;2;;;;;1;;4;2;;;;;;;2;;1;1;5;;3;2;6;;2;;;;3;;;;2;2;1;1;;1;;;1;1;2;;1;;;1;5;1;;;;4;;2;4;1;1;;;;;1;;;;2;;;;;;;;;;;;;1;1;1;;;1;;;;1;;1;;;;;;;;
13564-6388;4;27;3;;;1;2;38;3;1;;21;28;1;1;1;2;5;;19;3;3;2;1;1;1;2;1;3;3;1;;10;5;1;3;2;2;1;14;2;1;1;2;;1;2;;;1;;;;1;;8;;3;;;;;6;2;;;;;;;3;1;;;8;2;2;1;3;;;1;;2;8;2;1;;2;2;2;1;;1;;2;1;;3;;1;;;1;5;2;;1;;1;;1;12;1;3;1;;;;2;1;1;1;2;1;1;1;;1;1;1;1;;;;;;3;;;1;4;2;1;1;1;;1;;2;1;1;;;1;
27794-4604;3;12;4;2;;2;;18;1;;1;1;7;3;2;2;6;3;;6;3;4;;2;1;1;3;1;;;1;1;;;;;2;;2;5;;;;;;;;1;;1;;;2;;;2;;;;;1;1;2;;;;1;1;;;1;;;;;;;;3;;;;1;1;3;1;;1;2;;;1;;;;;1;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;2;1;1;1;1;;;1;;;;;1;;;;;;;;1;;;;2;1;3;;2;;
30749-4130;2;23;9;7;;10;1;56;2;1;1;18;25;;1;;4;4;12;35;2;2;1;;1;1;;;3;1;1;5;3;1;;3;1;1;;10;;2;;4;;;4;2;1;5;2;;4;2;1;5;2;;2;;4;4;6;2;1;;;;;8;7;1;4;2;4;1;1;;4;;;;2;;15;1;1;1;1;1;2;;;1;;1;2;;5;1;1;;;;2;;;3;;3;1;4;9;1;4;;;;;1;1;2;;2;;;;1;;;;;;1;;;1;4;1;1;;5;4;2;;10;1;5;3;1;;1;;1;;
26721-4130;4;8;2;;;;;7;;;;;;;1;;1;1;;3;4;;;1;;;3;;1;;;1;;;;;;;1;5;1;;;3;;;3;1;;1;;;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;;;;;;;;;;;;3;1;;;;;
30609-7274;2;8;5;;;;;19;1;;;5;5;2;;;;1;1;8;2;;;;2;2;2;2;1;;1;1;;;;1;;;;6;1;;;;;;;2;;3;;;;;;1;;;1;1;;;;;;;1;1;1;;1;;;;;;;;2;;;;;;5;;;;;;1;1;;;;;;;;;;;;;;;;;;2;1;;2;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;
27970-4130;;10;1;4;;2;;31;;1;1;11;13;3;1;1;3;4;;19;;4;2;;;;;;2;;1;2;3;1;1;1;;;;6;;2;;1;1;1;1;1;;;1;;2;;;2;;;;;1;;4;2;;;1;1;;;5;1;2;1;5;;;1;4;;1;1;1;1;10;1;1;2;2;;;;;1;;1;1;;1;;;;;;;;;3;;1;1;;5;1;1;;;;;;;;1;1;;1;;;;;;;;;1;;1;2;;3;;3;1;;;6;1;4;1;;;;;;2;
29232-4604;2;6;2;;;;;21;1;;;11;13;1;3;2;4;5;;13;2;1;;2;;;1;;1;;;;;;;;1;1;;2;;;;1;;;2;;;1;;;;;;2;;;;;;;4;1;1;;;;;;1;;1;1;3;1;1;;1;;;2;;1;7;;1;1;1;;;1;;;;1;;;4;;1;;;1;2;;;;;1;;1;1;;1;;;;;;;;;3;;1;;;2;1;;;;2;2;;1;;;;;2;;;;1;;1;1;1;1;;;;;
