aluno;1>;2>;3>;5>;6>;7>;13>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>14>;2>31>;2>31>30>;2>41>;2>46>;2 14>;2 14>31>;2 14 41>;2 31>;2 41>;3>2>;3 14>;6 14>;7>5>;7 14>;14>2>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>38>;14>41>;14>41>41>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 36>;14 38>;14 38 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;17>30>;17 30>;17 30>30>;17 31>;30>2>;30>14>;30>14>31>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;33 36>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;36 38>;36 41>;38>14>;38>33>;38>36>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>38>;41>41>;41>41>41>;41>41>41>41>;46>1>;48>14>;48>29>;48>30>;48>48>;49>49>;
18030-4130;;2;;;;;;17;1;;;7;12;1;1;2;8;4;1;16;;1;2;;;;;1;;1;;1;1;;;;;;;;;;;;;4;1;1;1;2;2;1;;2;1;1;;;2;;1;;1;;7;1;;;1;;;;;;;4;1;;2;2;1;1;;;;1;1;1;;;;1;1;4;1;2;1;1;;;;;;;5;1;1;;1;6;1;5;4;3;3;3;1;;;1;;1;;;1;1;1;;1;4;2;;;;;;;;
22034-4605;;1;;;;;;25;1;5;1;16;13;2;;;40;10;;6;;5;1;;;;;;;1;;;;;;;;;;;;1;;;1;7;4;1;;9;;;;7;3;2;1;;3;;;7;1;;4;;;;1;;1;4;;;;2;1;1;2;;1;;;;;3;2;1;;1;2;;;6;1;1;;;;;2;1;;1;;;1;;;13;;5;3;1;;;5;;;;;3;;;1;;;;3;1;;;;1;;1;1;;
10127-5469;;10;;6;2;7;;22;;2;;20;15;;;;;1;;20;;;;;;1;;2;2;1;;5;1;3;1;4;;;2;4;1;1;;3;;7;4;3;2;1;1;;;5;3;;1;;4;1;1;;;;8;1;1;;;;1;2;1;;1;3;2;;8;1;5;4;4;4;1;5;1;1;2;;1;2;;8;;7;5;4;4;;1;;3;;1;;;;;;;;;;;;;;;;;;;1;1;;3;3;;5;1;1;;;;;;;
21888-7274;1;22;;;9;5;;48;2;5;;18;21;;3;1;11;7;;19;1;;;1;1;3;3;6;2;1;;12;3;2;2;2;;;2;;2;5;;1;4;8;2;1;;2;3;;;7;1;;;1;5;;1;3;4;1;9;1;1;;;2;1;2;1;2;;2;;1;7;1;2;;;;2;5;2;1;1;;;1;1;7;1;5;1;;;;6;4;1;;2;1;;2;1;3;;1;;;;;;2;1;1;;;1;1;2;1;3;1;;2;;;;;;;;;
22677-5469;;6;3;4;;2;;11;1;4;;10;10;;1;;1;6;;17;;1;1;;;;;;;4;;1;;1;;2;1;1;;2;;;3;;1;2;2;2;2;;1;;;3;;;;;1;;;;2;;3;;;;;;2;3;2;;;;;1;6;;5;3;3;3;3;3;3;3;2;;;;;7;;6;5;3;3;;;;;;1;1;;;;1;;1;;;;;1;;;;1;;;3;;1;3;2;1;5;;;;;;1;;1;
18267-4130;1;12;;2;;4;;45;2;2;2;29;27;4;;1;38;10;;15;1;5;2;;;2;;6;3;;1;7;2;2;1;2;;;;1;2;1;;1;4;11;9;5;3;5;3;1;;9;2;2;;;6;2;;6;4;;7;;;;;2;1;1;1;;1;3;2;;11;;8;4;1;;1;6;4;2;1;2;2;;3;16;;9;6;3;1;;2;1;1;;;;2;;1;13;;8;5;3;3;2;3;;;;;5;;;;;3;1;;1;1;;1;;1;1;;1;
27881-5388;1;16;1;1;1;2;;41;2;2;;18;23;;2;3;10;14;1;28;1;5;;1;1;5;2;6;2;2;;5;1;;1;4;;;;1;;6;1;;3;8;1;1;;3;2;;;7;2;1;2;1;7;;2;2;7;;7;1;;;1;2;;2;;;2;2;;;2;;1;1;1;;;4;1;;2;1;2;3;1;5;1;1;;;;1;1;1;4;2;3;;;1;3;3;2;2;2;;;;;1;;;1;1;1;4;3;;1;;1;4;2;;1;;;2;1;;
21788-5469;2;15;;2;;1;;28;1;;;7;10;;1;1;2;5;;17;2;;3;1;;1;;;;1;1;9;;2;1;3;;;;1;;1;;;1;2;2;;;2;1;;;3;1;1;1;;4;;;;1;;12;;;1;;;;;;;1;;;;2;;;;;;;1;1;;;;1;;1;3;;;;;;1;;;;;1;1;;;;2;;2;2;2;1;1;1;;;;;1;;;1;1;;;1;1;;;2;;;;;1;
22212-4604;1;8;;;;;;27;1;4;;8;21;;2;3;11;6;;16;1;2;;;1;;4;;;;;6;;1;2;2;;;;;;;;;8;6;4;2;2;3;2;1;;1;1;1;;;9;;5;;;;10;;;;2;1;1;;;2;;4;;2;6;3;2;1;;;;2;2;2;;;2;;2;5;1;4;2;1;;1;1;1;;;6;;;;1;5;;2;1;;;;2;1;1;;1;1;2;;3;;;;;1;;;1;;;;;;
26702-4605;4;38;6;3;6;13;1;139;8;28;2;121;109;6;4;5;52;22;;81;5;8;;2;;1;1;11;6;2;2;12;5;1;6;7;2;1;3;1;5;6;2;5;1;43;19;7;3;5;7;1;;37;16;6;4;4;17;3;8;8;8;7;39;8;4;2;2;1;11;18;8;;5;18;7;8;31;7;17;10;8;8;4;26;7;4;2;1;14;9;8;46;4;19;9;5;5;3;11;4;;;14;3;1;1;4;20;2;16;11;10;7;6;2;2;4;1;1;1;10;2;1;3;12;6;1;9;2;;;2;1;1;1;;
