aluno;1>;2>;3>;5>;6>;7>;13>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>14>;2>31>;2>31>30>;2>41>;2>46>;2 14>;2 14>31>;2 14 41>;2 31>;2 41>;3>2>;3 14>;6 14>;7>5>;7 14>;14>2>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>38>;14>41>;14>41>41>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 36>;14 38>;14 38 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;17>30>;17 30>;17 30>30>;17 31>;30>2>;30>14>;30>14>31>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;33 36>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;36 38>;36 41>;38>14>;38>33>;38>36>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>38>;41>41>;41>41>41>;41>41>41>41>;46>1>;48>14>;48>29>;48>30>;48>48>;49>49>;
22788-5468;2;27;7;7;19;14;5;88;;12;;34;39;1;4;2;5;10;;46;2;25;;2;1;2;3;1;1;1;1;15;1;2;4;3;2;2;4;4;3;3;1;3;4;14;9;5;3;3;6;3;;13;4;3;2;2;12;2;3;;2;2;19;1;1;;3;;5;6;2;5;;5;1;3;12;3;7;4;1;;1;7;4;1;1;4;5;4;1;14;2;8;3;1;;;5;;;2;11;1;1;1;1;3;1;2;2;2;1;1;2;;;2;;1;3;1;4;1;2;1;2;4;3;2;;3;;4;3;;
27708-4605;;7;;2;;2;;42;2;11;;35;34;;1;;2;5;;10;;1;;;;;2;1;1;;;3;1;;;2;;;;1;;1;;1;6;21;8;;;1;3;1;;16;9;2;1;;8;;;;2;;3;2;1;1;1;1;4;8;3;;;7;2;2;4;3;;;;;;14;6;;1;;2;;6;13;4;;;;;5;2;;;;2;2;;1;;1;;1;;;;;;1;;4;;;;;1;2;3;1;;2;;;;;;;;;
26983-4605;1;2;4;;;;;8;1;3;1;12;11;;;;;;;3;2;3;1;;;;;1;1;;1;;;;;;1;2;;;;;;;1;4;1;1;1;;;;;2;1;;;;1;;;;;;;;;;;;1;2;1;;;1;;1;3;1;1;;;;;2;1;;;1;1;1;1;3;;2;1;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;1;;;;
22507-4130;2;20;9;1;;6;;39;;4;;24;29;;;1;1;9;;34;2;1;1;1;1;5;4;2;2;2;;11;;1;1;1;3;4;;1;1;3;5;3;3;3;3;2;1;3;4;1;;7;;;1;1;5;;1;;1;;10;1;1;;;;1;3;1;2;1;1;;;12;;8;4;3;1;2;2;2;1;2;1;2;2;;15;;10;8;4;3;;1;;1;;5;2;;;1;;;;;;;;;;;2;;;3;3;;2;7;6;2;6;5;3;1;;;;;1;
22440-4604;4;7;;;13;1;;10;;;1;1;3;;;;;3;;8;3;9;;2;3;;;;;1;1;3;;;;;;;;;;2;;;;;;;;;2;;;;;;;;;;;;1;;3;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;;;;;;1;;;1;1;1;;;;;;;;;;;;;;;;;;;;1;;;1;3;1;;2;;;;5;;
27328-4130;3;28;13;;;3;;44;;1;;16;15;3;3;1;12;18;11;32;3;6;5;3;;5;3;3;3;2;3;10;2;3;;7;4;1;;;;3;8;1;;5;3;;;3;5;1;1;7;1;;;;3;;;3;4;;10;;;2;1;;;;;;1;1;;;3;;1;;;;1;3;;;2;2;;1;1;8;1;3;1;;;;;;1;;1;1;3;1;;5;;2;2;1;1;1;;4;;;1;1;3;4;2;1;2;;;5;1;1;;;;;;2;
15396-5469;;1;;;;;;9;;;;4;5;;1;;11;6;;9;;2;;;;;;;;;;1;;;;;;;;;;;;;;1;1;;;2;4;2;;2;;;;;;;;2;1;;3;;;;;;;;;;;1;1;;2;1;;;;;;;;;;1;1;;;1;1;;;;;;;;;;1;;;;;4;;1;;;;;;1;1;1;;;2;;1;;;;2;2;1;1;;;;;;;
27941-4130;4;22;1;;;2;;58;4;4;2;29;39;6;9;7;28;20;1;40;4;13;1;4;3;4;4;5;5;2;1;9;;3;;7;;;;;1;7;;;1;14;8;8;6;6;11;3;;3;;;2;;11;1;3;4;3;1;17;3;3;3;3;4;3;1;1;1;1;6;4;2;19;6;13;8;5;;5;7;4;3;;6;3;;3;22;2;16;11;7;5;2;5;1;3;6;6;1;2;6;3;12;1;6;4;4;4;3;5;2;1;1;1;4;1;4;4;1;4;4;4;7;3;2;;1;2;5;1;1;
15432-5469;1;12;;;1;1;1;50;3;9;2;38;37;2;;1;6;2;;26;1;18;;;;2;1;3;1;;1;4;1;;;3;;;;;;3;;;2;17;10;1;1;;2;;;14;4;3;1;4;9;2;4;;1;1;13;1;1;;9;2;5;4;1;1;;7;4;4;7;;3;;;;2;8;5;;2;8;3;6;;16;2;1;1;;;;4;3;;1;8;;;;1;1;;1;;;;;1;;;;;1;1;2;3;1;2;2;;;;;1;5;2;1;4;;
27804-4605;;;;;;;;2;;;;;;;;;11;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;4;;;;;2;;;;;;;;;;;;;;;;;;;;;;
27503-4130;2;22;;1;8;8;;54;1;8;;33;43;;4;4;8;17;;36;1;13;;;1;2;;5;3;1;1;10;1;4;2;6;;;2;1;3;3;;1;1;13;6;3;2;2;7;1;;10;5;4;2;1;13;1;2;;5;1;12;1;1;1;3;1;4;5;3;1;1;3;1;1;15;2;6;3;2;1;2;8;4;3;3;3;3;3;2;17;;8;5;3;2;;2;;1;5;4;;;3;4;3;2;1;;;;;;;;1;;1;3;3;2;;2;1;1;7;3;1;1;;;2;6;;
27601-7118;1;20;1;;;;3;57;1;1;10;22;32;;5;5;17;13;;47;1;14;3;;;4;3;4;2;1;1;9;4;4;1;6;;;;;;3;;;3;13;8;4;1;3;3;2;1;5;;;1;;9;1;5;;4;1;20;3;3;;7;;;;;;1;3;;;7;;2;1;1;1;1;3;2;;3;1;3;;1;14;2;6;2;1;1;3;3;;2;2;9;2;;1;4;8;2;7;3;3;1;1;4;1;;3;3;2;2;4;;2;7;4;2;11;6;4;1;;5;;5;;
17813-4130;1;31;3;12;3;9;;87;4;8;1;47;50;2;5;3;18;20;;33;1;13;4;1;;2;7;5;4;2;1;13;1;1;3;3;3;;1;4;3;10;1;4;3;27;14;4;3;10;4;1;2;12;6;3;;;9;1;1;1;5;1;16;2;1;2;5;3;5;4;2;;1;10;6;2;14;4;6;5;3;3;1;10;5;1;;2;1;;3;25;3;9;6;5;3;2;3;1;3;;4;2;1;2;3;5;2;5;2;2;2;2;1;;;4;1;3;1;;;2;4;1;6;7;1;;;;1;2;;3;
17083-4604;3;27;12;;25;6;;46;2;1;2;19;31;10;2;1;14;10;7;46;3;20;4;2;1;;1;3;;1;2;12;1;2;2;8;1;;4;;1;1;5;;;6;;;;;2;2;3;1;;;;;6;2;4;3;1;;15;3;;;3;2;1;1;1;;1;;;;2;;1;;;;2;8;2;1;;1;2;1;5;6;;1;1;;;3;6;3;2;5;13;;2;2;;5;;3;1;1;1;1;;2;1;1;;1;2;2;2;;5;2;1;10;5;;1;;1;4;4;2;
