aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14>31>;2 14 30>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3>2>;5 14>;6>6>;6 14>;7>5>;7 14>;7 41>;14>2>;14>3>;14>7>;14>14>;14>30>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>38>;14>41>;14>41>41>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 36>;14 38>;14 38 41>;14 41>;14 41>31>;14 41>41>;14 48>;14 49>;16>31>;16 31>;16 31>31>;17>30>;17>30>30>;17 30>;17 30>30>;30>2>;30>14>;30>14>31>;30>14>31>30>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>31>30>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;30 31>;30 31>30>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;33 36>;36>34>;36>36>;36>36>36>;36>36>36>36>;38>14>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>38>;41>41>;41>41>41>;41>41>41>41>;41 48>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>49>;
29492-7118;3;14;;4;;2;58;2;;3;;26;28;;1;1;5;4;;29;3;7;18;2;1;;1;;3;;2;5;3;3;3;1;1;7;1;2;;;2;;;2;;2;;;2;;1;3;;1;;;10;4;2;;2;6;;7;10;3;1;2;3;8;2;2;;1;1;17;;3;4;9;;2;;;;;;3;3;1;1;;10;3;5;1;3;3;2;2;;;3;1;1;1;;3;;4;;;1;8;;6;3;2;2;2;;3;2;2;;4;;;;1;1;;;;1;3;;;1;1;1;4;;;;1;;1;;;1;5;
15669-6398;3;15;1;;;1;23;3;3;;;17;19;1;1;;;2;;20;5;;;1;2;1;3;2;1;;1;3;1;;2;1;1;6;1;1;2;2;;5;2;3;;;;;;;;1;1;;;;3;1;1;;;3;1;;6;3;1;1;1;3;;;;;;12;;1;;;1;2;1;;;2;;2;;;;;2;;;;;;;;;;6;3;1;1;;3;;1;;1;;5;;2;;;;;;3;;;;1;;1;;;;;;;;;;;4;1;;3;;;;1;1;1;;;;;
19260-6389;;6;;4;3;3;32;;;;;12;17;;3;1;4;8;;24;;7;10;;;;;;;;;;;;;;;2;;;;;2;;;2;;2;;;1;1;2;2;;;1;;2;1;1;1;5;3;;6;1;;;1;;5;;2;2;2;2;16;;1;4;1;;;;;;;;;1;;;;2;;1;;1;1;1;;1;1;5;3;;1;;6;1;;;;2;6;;1;1;1;1;1;4;;;;;2;;;1;1;1;;;4;2;;1;;1;1;1;4;2;2;;;;;;;1;5;
30676-6388;2;18;3;;1;1;24;;1;;;5;8;;2;1;4;3;;29;2;;;1;;;1;;4;;1;3;;;4;1;1;6;;;;2;3;;2;5;2;;;1;;;;1;;1;;;1;1;1;;;5;2;;1;;;;;2;;1;;1;1;12;;3;;;;;;1;1;1;1;1;;;;;2;;1;;1;1;1;;;;;;;2;;;;1;;;1;2;;1;;;;;;;;;;2;;;1;1;2;1;1;;2;5;2;;1;;;7;2;1;;1;1;;;;;;
28170-7118;;11;1;;2;1;18;;4;;;26;18;2;;;;;;12;;1;;;;;;;;;1;;;;2;;;5;;;2;1;1;2;2;3;;;;;;;;;;;;;7;5;3;3;;;;;8;3;2;1;1;3;;;;;;2;;;;;;;;1;;3;1;2;2;2;2;1;7;;5;;4;2;;;;;3;2;1;1;1;2;;3;;;;7;;4;4;3;2;;;;;;;5;1;;;;;;;;;;;2;1;1;;2;;;;;;;;;;;
28450-4604;1;12;7;;;;19;2;1;;;7;9;6;1;;1;2;1;9;1;;;;1;;1;1;2;1;2;2;1;1;;;;7;1;1;;;3;;;3;4;;;;;;;2;3;;1;;1;1;1;1;2;1;1;;;;;;;1;;1;;;;8;;1;;;2;1;1;1;;;;;4;;;1;3;2;2;1;1;1;1;1;;;1;;;;;;;;;;;5;1;3;2;1;1;1;;4;2;1;;1;;5;;;1;1;1;;;2;2;;;;1;1;;;;;;;;;;;
22554-6398;;2;;;6;2;23;;1;1;;16;16;;1;;3;1;;16;;4;;;;;;;;;1;;;;;;;2;;;;;;;;;;;3;2;;;;;;1;2;;7;2;;;;3;;;7;3;1;;;2;;;1;;;6;3;1;2;;;;;;;1;;;3;1;;;1;;1;;;;;;;;3;1;;;;;;2;1;;;5;2;1;1;;;;;;;;1;3;1;;1;;;;;;1;;;1;3;1;;1;;;;;;;1;1;;;
13179-5714;1;13;;;2;2;18;;;;;3;5;1;;;;;;8;1;;;1;;;;;1;;3;2;1;;;1;1;6;1;1;;1;1;;1;1;;;;2;;2;;3;;;2;;2;2;;;;1;;;1;;;;;2;;;;;;5;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;;2;1;;;;;;;;;;;;;;;;;;;;;2;1;;;;;2;1;1;;1;1;;;;;;
28026-7118;4;22;;7;12;9;66;4;3;;;41;44;1;;;;5;;37;3;14;1;3;1;;2;1;2;;2;6;3;2;3;2;1;9;1;2;2;3;2;4;4;5;;1;;3;2;5;2;4;;3;2;;16;10;4;2;;3;;;18;5;3;2;2;15;2;5;;3;2;16;3;;6;1;2;2;;2;1;3;2;2;2;;;;14;1;7;;6;2;2;2;;;7;3;2;;1;4;1;3;1;;3;17;;9;6;5;2;2;1;2;1;2;1;7;1;;;;;;;;2;2;1;2;6;3;1;2;;;5;3;3;1;;2;;;
28231-6388;;6;1;;;;27;1;7;1;1;20;18;3;2;1;6;9;1;16;;1;1;;;;;;2;;1;1;1;;;;;;;;;;;;;1;1;;;;;;;2;;;3;;8;2;;;4;4;3;1;11;;;1;;5;;2;2;2;2;6;2;1;;;1;;;3;;5;1;2;4;1;;2;1;;;;;;;;;;;;;1;;1;;;;;2;4;2;;;;;;;2;;1;;2;;1;;1;2;;;3;3;2;4;;4;1;1;6;;;;;;;;;;;
18027-4130;4;19;1;;11;2;43;;;;;9;12;;1;1;1;4;;22;3;3;;2;1;1;1;1;1;1;7;1;;;2;2;2;8;;;;;1;;;3;;;1;3;;;;5;;;1;;6;5;;;;4;2;;2;;;;;4;1;;;3;;8;1;1;;;;;;;;;;;1;;;;1;;;;;;;;;;1;1;;1;2;;;;;;1;6;1;;;;;;1;1;;;1;;;;1;1;;;;1;;2;1;;1;1;;5;2;;;2;2;1;1;2;2;;
26859-6398;5;39;7;;5;11;100;4;12;;;73;71;1;2;2;12;12;1;49;5;13;2;2;2;2;3;1;6;1;3;8;2;1;4;4;3;20;2;2;1;2;7;5;4;15;2;;;3;;4;1;4;2;2;3;;27;11;3;;3;5;;;34;11;5;2;1;21;5;3;2;5;2;22;;1;2;1;3;3;2;3;3;9;2;2;4;2;1;1;13;;8;;6;5;;;;;14;8;4;4;3;6;1;6;;;2;20;1;8;3;2;2;;;10;2;;4;7;1;;;1;3;2;;1;3;2;3;1;4;1;2;4;2;;;3;2;2;1;2;1;1;
18875-7118;3;18;;;10;3;58;4;2;1;1;33;37;3;1;1;1;7;;19;4;5;5;1;2;1;3;2;2;;4;3;2;1;2;;;9;1;2;1;;;1;;1;;;1;5;;2;;8;;1;3;1;23;14;3;2;1;3;;4;15;7;4;1;;7;3;1;;3;;8;3;1;2;1;3;1;;1;;;;1;7;3;3;2;6;3;5;3;;;;;;;13;7;2;;;2;1;;;1;2;20;5;5;3;;;;5;3;2;;;3;;3;;;;;;;1;1;1;;3;2;;2;;;;;;1;1;;;3;
22906-7098;1;7;2;;21;2;39;1;3;;;25;23;11;1;;;1;;21;1;1;;;1;;;;;;2;1;;;1;;;4;;1;1;;2;1;;2;;;10;4;;;1;1;2;;3;1;6;1;1;;1;3;1;;13;3;1;1;2;3;;3;;;;12;;1;;;1;1;1;;;3;;;;;;;4;;1;;;;;;1;;6;2;1;;;3;1;4;;;2;6;;2;1;;;;2;2;;;;4;1;8;;;;;;;;;3;1;2;1;;2;;;;;;;1;;;;
271-7274;3;8;1;;2;2;36;2;;;;18;24;2;;1;3;3;1;26;2;5;2;;1;;1;;;;;1;;;;1;;5;;1;1;;1;2;;1;;;;2;;1;;;;1;4;1;7;2;;;1;1;;1;5;1;;1;;8;;1;;;;12;;1;1;;2;;;;;;;;3;;;;3;1;2;1;1;1;1;;;;6;2;2;1;2;2;;;;;1;7;;3;2;1;1;1;1;2;;;1;4;2;1;;;3;3;3;;;;2;2;1;;;4;1;1;;;;;;1;1;1;
28034-4604;;4;;;;;25;;3;1;;13;14;;1;1;6;7;;15;;1;;;;;;;;;;;;;1;;;3;;;;;1;;;2;;;;;;;;;;;;;9;3;2;1;1;2;;;7;3;1;1;2;4;2;1;;5;2;11;3;1;;;;;;1;1;3;1;;1;1;1;;2;1;2;1;;;;;;;3;1;;;;1;;2;;;;3;;2;1;;;;;2;;;;1;;;1;1;3;2;2;;2;;;;4;1;;1;;;;;;;;;;;
22189-4604;1;18;9;2;10;3;41;1;;;2;13;11;;;;;2;;20;1;14;7;;;;;;1;1;1;1;;;1;1;1;10;;1;2;1;3;3;1;4;1;;2;2;1;;;3;2;;;;5;;;;1;3;2;4;6;;;;2;3;1;1;;1;1;9;;1;6;1;;1;;;;;;1;2;;;;1;;;;;;;;;;;;;;;;;4;2;;1;1;1;;;;;;;1;;;5;2;;;;;;;;;1;;1;;;;;3;3;1;1;1;;;;1;;5;
27794-6398;2;14;;7;4;7;33;1;6;2;2;33;16;3;;;;4;;18;3;9;4;1;2;2;1;1;4;;1;2;1;1;;;;6;;;;;2;2;;4;;;1;2;1;2;1;1;;1;2;2;4;3;1;1;1;1;;;12;2;1;1;;3;1;;;;;6;;;2;1;1;;;2;1;3;;1;;;;2;7;;2;;2;1;1;;;;5;2;;;2;4;2;;4;;;9;;2;2;2;1;1;1;3;2;;;1;;2;;;;;;;;;1;;;;1;2;1;1;;1;1;2;1;1;1;2;
17604-4130;2;26;7;6;;7;91;2;24;;18;95;74;1;4;2;12;10;4;40;7;30;3;;1;;;;3;2;6;4;1;;;;;11;1;3;1;2;2;1;3;3;4;1;;;1;2;2;6;2;3;7;4;33;8;4;3;3;9;6;2;30;9;1;4;2;12;1;1;2;2;;18;4;;7;1;1;1;1;6;3;19;6;1;7;2;1;5;29;2;18;1;7;5;4;4;1;1;11;3;2;3;3;14;7;4;4;3;4;25;2;11;6;5;4;3;;3;1;;14;6;2;;2;1;2;2;1;1;2;2;7;2;7;;1;10;7;2;5;1;;;1;;6;2;
13142-6388;4;27;2;;7;6;57;2;11;2;;36;30;2;2;1;3;6;;21;8;12;1;2;3;1;3;3;2;;1;3;1;1;2;1;;11;1;2;1;;1;2;1;2;;;1;2;;1;1;7;;2;;;11;4;;;1;6;3;;15;4;2;;;6;1;;;5;1;5;;1;1;;;1;;4;;5;3;2;5;1;1;5;5;2;;;;;;;;;6;4;;4;;6;;1;2;;1;9;1;1;;;;;2;2;1;;;2;2;;;1;2;1;1;;1;3;1;2;2;;;5;3;1;;1;1;1;1;;2;1;
13511-6389;3;24;4;4;;4;72;3;9;1;2;48;52;2;3;2;10;16;3;35;5;16;4;1;3;3;3;3;5;3;4;5;3;1;1;1;1;7;2;2;2;;1;3;2;3;1;;;;2;1;;7;;;1;1;23;9;1;1;3;7;2;1;20;7;3;3;3;8;;1;2;5;1;16;5;2;6;1;1;1;;3;1;4;3;4;6;1;1;4;10;5;6;3;5;4;3;2;3;3;12;7;3;3;2;6;3;4;;1;4;24;1;7;5;4;3;2;2;6;4;;;2;;1;2;2;4;3;3;2;1;6;1;1;6;1;2;7;2;1;;2;1;3;;;;2;
18163-6398;1;12;;1;1;2;20;1;1;;;9;9;;;;;;;14;1;3;2;;;;;;1;;;;;;;;;8;1;;;;1;;;3;;;;1;1;;;1;;2;;;;;;;;;;;5;;;1;2;3;;1;;;;7;;;;1;;;;;;1;;;;;;;3;;3;;3;2;2;2;;;;;;1;;1;;2;1;;;1;;1;1;1;1;1;;;;1;1;3;;;;;;;;;;;1;;;;;2;2;2;;;;;;2;2;1;
27934-7098;6;19;4;2;;1;27;1;4;;;18;15;2;2;1;4;8;;26;6;1;;2;3;1;3;1;4;3;1;4;;;1;3;1;6;3;1;;1;;1;1;6;1;1;;;1;;;5;1;1;1;2;2;1;1;;2;3;;;3;;;;;3;;1;1;3;2;8;;;;;1;1;1;4;1;3;3;;3;;;1;9;3;5;;3;3;1;1;4;3;4;4;4;;;;;2;;;;10;1;6;3;2;2;1;;2;1;1;;3;2;1;2;1;;;;;3;3;1;2;1;;2;;;;1;2;2;3;1;;;;
13005-6398;1;8;;;3;1;19;2;6;;;14;9;;;;;;;11;1;4;;;1;1;;;;;1;;;;2;;;2;;;;;;;;2;;;;2;;1;;2;;;;;3;2;;;;;;;4;1;1;1;;2;;;;;;4;;;2;;2;1;1;1;;3;1;1;1;;;2;1;;;;;;;;;;2;2;;;;2;;;1;;;5;;;;;;;2;1;1;;;1;1;;;;;;;;;1;;1;;;;2;1;1;;;;1;;;;;
22475-4605;2;38;1;8;2;11;84;1;4;;;24;42;2;4;2;5;19;;51;2;10;3;1;1;1;;;5;;6;10;5;2;5;1;1;16;3;4;;;1;;1;5;;3;;;3;5;1;11;;2;2;1;14;8;3;1;5;13;7;2;5;2;2;;;9;2;2;1;5;;25;1;2;4;1;1;1;1;1;;4;1;1;6;2;1;;9;3;3;2;3;1;1;1;;;4;3;1;;1;3;1;;;4;1;15;4;7;3;3;1;1;3;4;1;4;2;5;1;1;1;2;2;2;1;1;1;6;8;1;4;1;3;13;4;4;;1;1;1;1;;2;2;
28517-4604;8;54;9;13;8;12;81;;6;;2;49;41;;5;4;13;18;;65;10;5;1;4;2;2;3;1;6;1;4;8;7;5;8;4;4;26;1;2;1;;8;3;;11;1;5;3;1;5;1;1;10;2;6;;1;9;4;1;1;5;10;2;1;17;1;;;3;3;;;1;2;1;20;;2;1;;;;;1;;5;1;4;6;;;1;10;4;5;1;4;2;2;1;;;1;;;4;;2;;4;;2;1;16;2;6;4;4;2;2;;;;3;2;5;2;;2;2;7;5;3;1;3;6;2;3;7;1;2;14;6;3;1;4;4;3;1;;;;
28313-4604;;3;;;;3;29;;6;;;18;20;1;;;5;6;;9;;;;;;;;;;;1;1;;;;;;3;;1;;;;;;;;;;;;1;1;;;;2;1;13;4;;;2;2;1;;6;2;;1;;2;;;1;1;;4;2;;;;;;;1;;4;1;;2;;;2;2;1;1;1;1;1;1;;;;2;;;;;1;1;;;;1;6;1;1;1;1;1;;;1;;;;;;;;;1;1;1;;2;;;;4;1;;1;;;;;;;;;;;
11091-6388;5;29;1;;;1;61;3;2;;;14;25;1;5;4;8;19;1;36;6;4;2;3;4;2;4;2;9;1;3;3;2;2;3;4;4;14;3;;1;;3;1;;5;1;;;;;;;7;;1;2;;4;1;1;1;3;9;3;;2;;;1;;10;1;2;1;8;2;17;;3;;1;3;2;2;2;;2;2;1;4;;;;5;2;2;;1;;;;1;1;4;2;1;;;4;;2;1;1;3;9;1;5;2;1;;;2;4;2;;;5;;;2;4;4;3;2;1;2;4;;;4;1;;11;4;1;1;4;3;3;2;;;1;
23953-6388;1;37;2;5;11;15;114;3;2;;2;44;45;;4;3;9;20;;58;2;42;2;;;;;;2;;5;11;9;8;2;1;1;18;1;3;;2;2;;2;4;;2;2;3;2;7;4;8;1;5;8;2;13;5;5;1;6;16;8;;14;3;2;;1;13;3;1;;9;;29;1;7;22;1;1;1;;1;1;1;1;1;3;;;1;28;2;23;2;14;11;10;9;2;1;7;5;5;1;4;5;3;1;2;1;;24;1;23;17;11;10;8;;3;1;3;1;1;;;3;1;4;3;2;5;2;6;5;;4;3;1;12;4;2;5;1;;;8;4;2;;
22293-7098;;2;;1;;1;28;1;2;;;16;21;1;3;2;11;4;;14;;11;2;;;;;;;;;;;;;;;2;;;;;1;;;1;;;;;1;;;;;;;;8;5;3;1;;4;2;2;6;2;1;;;7;1;3;;1;1;8;1;1;4;;;1;;1;;;;;1;;;2;4;;2;;;;;;;;3;1;1;;2;2;1;;4;;;8;;4;1;;;;;1;;;;4;;;2;1;3;2;1;;2;;1;;4;2;;3;1;1;2;;;;1;2;3;2;
13420-6398;2;31;;6;4;13;83;2;1;;2;35;42;5;1;1;3;5;;45;2;4;2;;1;1;1;;4;;2;5;4;2;1;2;2;15;1;2;;2;2;;3;6;;3;;2;2;5;4;6;;2;2;1;12;3;;;;8;1;1;16;3;2;1;2;8;;2;1;4;1;21;2;2;3;;;2;;;;1;;3;1;;;;8;1;5;;3;;;;;;7;4;;4;1;3;;2;;2;2;14;;7;4;2;;;2;2;;4;1;5;2;2;1;;;;;;2;3;3;3;5;2;;4;2;1;;2;;1;1;1;2;;
21911-4130;;4;;1;1;2;18;1;;;;10;10;3;3;3;14;9;;11;;1;;;;;;;;;;;;;;;;2;;;1;;;1;;;;;;1;;1;2;;;;;;2;1;;;2;2;1;;1;;;;;1;;1;3;2;2;5;;;1;;1;1;1;;;;;;2;;;;1;1;;;;;;;;;3;1;;;;1;;;;;;6;1;1;;;;;;2;2;;;1;;3;1;2;3;1;1;2;3;1;1;;;;1;2;1;1;;;;;;;;;
22222-4130;2;16;1;3;2;6;57;1;3;;2;17;15;1;2;1;13;6;2;35;1;8;10;1;;;2;;1;;2;2;2;1;2;;;9;;1;1;1;2;1;1;3;;1;;1;;4;;4;1;1;4;;2;2;;;1;10;4;4;7;;;1;;6;;2;2;1;;14;;3;3;3;1;1;;3;2;1;1;;7;;;2;2;2;2;2;1;;;;1;1;2;1;1;;;1;;2;1;;1;5;2;1;1;1;;;1;2;;1;1;6;;1;;;5;4;2;;3;2;1;;2;;;7;5;3;;1;1;;1;;;3;
18070-6388;2;10;1;;1;2;23;1;1;;;13;12;;1;1;1;5;;9;2;1;1;;1;1;;;;;1;;;;1;1;;4;;;1;;;1;1;;;;;;;1;1;2;;1;;;5;1;1;;4;;;;9;2;1;1;2;3;1;1;1;;;7;1;;1;;;;;;;;;1;;;;;2;;1;;1;;;;;;2;1;1;;;1;;2;;;1;4;;2;1;1;;;;1;;;;2;;;1;1;1;1;;;;1;;;1;;;;;;;;;1;;;;;
30763-4605;5;18;;;;3;32;1;1;;;14;13;;3;2;8;11;;27;3;;;2;2;1;2;2;1;;;;;;2;3;3;7;;;;;4;1;1;7;;;;;;1;1;1;;;2;;3;1;1;;2;5;1;;5;1;1;;;2;;2;1;2;;14;;3;;;;;;;;1;;;2;1;;;2;;;;;;;;;;1;1;1;;;2;;;;;;4;1;1;;;;;;1;;;;5;2;;1;1;5;4;4;;1;3;1;2;;;3;6;2;1;;3;2;1;;;;;
23754-6398;;4;;4;;4;20;1;;;4;14;19;;;;;;;17;;12;;;;;;;1;;;;;;;;;1;;;;;;;;1;;1;;;3;;;1;;1;;;6;3;;;;3;;;4;;;;1;3;1;;;;;9;3;2;3;;1;;;;;;;;;;;;2;;;;;;;;1;;2;;;1;4;;;1;1;;;9;;1;;;;;1;2;1;1;3;1;;;;;;;;;;1;;;4;3;;7;2;2;2;;;;1;1;5;;
18523-7274;2;32;1;4;2;6;79;3;17;;;73;66;4;2;2;6;13;;46;5;4;4;1;1;1;1;;2;1;2;6;3;2;4;1;1;17;1;1;2;2;5;2;3;7;;;;1;2;1;;6;1;2;5;;25;6;3;;2;13;3;2;27;13;3;1;3;6;1;1;1;2;1;23;6;4;3;2;2;2;1;3;;12;3;;6;1;;6;18;1;6;1;4;3;2;1;3;3;18;6;2;1;;9;2;6;;1;3;22;2;12;6;3;2;2;1;4;1;1;1;7;3;;2;1;2;1;1;1;4;5;3;3;11;3;1;8;3;3;;1;;1;;1;;3;
18399-6388;4;14;1;;;;14;;;;;2;2;;1;1;3;3;;13;4;;;1;2;1;3;2;2;1;;;;;;1;1;9;;;;;2;;;5;1;;;;;;;2;;;;;;;;;1;1;;;;;;;;;;;;1;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;1;;;1;1;;;;1;1;;1;;;;1;1;;;2;;2;;;;;
27708-4605;2;6;;1;6;3;15;2;2;;;11;17;;1;1;4;4;;11;2;5;;;;;;;2;;;1;;;;1;;3;;;;2;2;;2;2;;;1;1;1;1;1;;;2;;;4;2;2;;1;;;;6;2;2;3;1;6;;3;;2;1;6;1;;1;;1;2;1;1;;2;1;;1;;;;4;1;;;;;;;;;2;2;2;1;;3;;1;;;;3;;2;;;;;;2;;1;;5;;;1;;;;;1;1;;;1;1;;;2;2;2;1;;;1;;;2;;
26983-4605;;4;5;;3;2;9;;2;;;11;10;4;1;;;1;3;3;;;;;;;;;1;1;;2;2;;;;;2;;;;;;;;;2;;;;;;2;;1;;2;;3;;;;;;;;5;1;;1;;1;;;;;;;;;;;;;;1;1;2;1;;2;1;;;1;;1;;;;;;;;2;1;;;;2;;;;;;3;;;;;;;;1;1;;;;;2;;;;;;;;;;;1;;;;;;;;;;;;;;
28022-6388;;2;;2;;3;20;2;3;1;;19;17;1;3;1;9;8;;13;1;;;;;;;;;;;;;;;;;2;;;;1;2;;1;2;;;;;1;;;;;2;1;;5;3;;;2;;;;5;1;;1;1;3;;2;3;2;2;8;1;;;;2;;;1;;3;1;;1;;;;3;1;;;;;;;;;3;1;;;;1;;2;;;1;6;;1;;;;;;2;1;1;;4;;;1;1;3;3;2;;3;;;;1;1;;;;;;;;;;;;;
22507-4130;;6;;3;;2;49;2;8;;;32;33;1;1;1;2;4;;19;2;6;2;;;;;;;;3;1;;;1;;;2;;1;;;1;;;2;;1;;;2;;;3;;1;2;;20;4;;;1;2;;1;15;8;3;;;2;1;;1;1;;8;2;1;4;;2;1;1;4;;6;2;2;2;1;;2;4;2;;;;;;;2;;14;5;;;1;3;1;;;;2;8;1;;;;;;4;2;1;;;4;;;1;1;1;;;2;1;;;1;3;1;;3;1;;;;;;;;;;
28383-4604;;2;;;;;8;;2;;;7;6;1;;;;;;5;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;1;;;2;;;;;1;;1;;;;1;;;;;;;;2;;2;2;;2;;;;2;2;;;;;;;;;1;;;;;;;;;;1;1;;;;;;;;;;;;2;1;1;;;;;;;;1;;1;;;;1;1;;;;;;;;;;
30743-4605;;9;;1;15;5;26;1;2;;1;15;17;;;1;3;8;;32;1;11;;;;;;;;;;1;;;;;;2;;1;;;;;1;4;;;5;3;1;;1;1;;;4;;8;4;;;;2;1;;4;2;;;1;3;;1;2;2;1;10;2;1;1;;1;;;1;1;1;1;;1;;;1;2;;1;;;;;;1;1;4;1;1;1;;;;1;;1;;10;1;2;;;;;1;1;1;1;;2;;;;1;;;;;5;1;1;;2;2;1;4;1;1;;;;;;;3;;
22440-4604;;4;;;;;18;1;8;5;;24;17;;;;;1;;10;;;;;;;;;2;;1;;;;;;;1;;;;;;;1;2;;;;;;;;;;;;;6;1;1;;1;2;;;7;3;;3;1;5;2;1;;;;2;;;;;1;1;1;6;3;8;6;;4;1;1;;11;3;4;;;;;;1;;4;;;;;3;;1;;;1;1;;1;;;;;;6;1;;;4;;;;;;;;1;;2;;;2;;;1;1;1;;;;;;;;;
27328-4130;3;27;1;2;;3;46;3;7;3;;34;29;;1;1;4;8;;24;4;9;2;1;;;1;;4;1;2;7;3;;3;;;12;3;1;3;1;1;3;3;3;1;1;;;1;1;;9;;1;2;;12;8;2;;2;7;1;;13;2;2;;;4;1;;;1;;8;3;;4;;2;2;1;4;1;3;2;2;6;;;4;6;1;3;;1;;;;;;4;3;;1;3;1;;1;2;2;3;11;2;2;;;;;1;2;1;2;1;;;;1;1;2;1;1;2;1;4;2;;7;2;;3;;;;2;1;;2;1;2;;
21340-6398;1;16;;4;10;3;43;4;12;2;1;55;41;;1;;;4;;22;1;6;4;;;;;;2;;;6;4;1;2;1;1;7;1;2;3;1;2;3;2;2;;1;2;;1;1;;3;;2;1;;14;6;3;1;;5;2;2;22;5;1;1;1;6;;2;;2;;7;;1;4;1;2;1;;5;;11;4;3;2;;;1;15;;6;;5;3;2;2;;;7;2;;5;;3;;2;;;;15;2;7;4;3;2;1;;;;2;;5;1;;;;;;;;;5;1;1;4;3;;4;3;1;1;1;;;;;;3;
27941-4130;1;14;;12;13;10;33;2;3;;;28;25;1;;;;2;;23;1;1;;1;;;;;;;;2;1;1;;;;8;;1;3;1;5;4;3;7;;3;1;2;1;1;2;;;2;;;3;1;1;1;;;;;10;1;;5;4;11;;4;;;;14;1;;;;2;1;1;2;2;3;2;;;;;;6;;6;;1;1;;;;;2;;;1;1;7;;4;;;;2;;1;1;;;;;1;;1;;6;;;;;;;;;1;1;;;1;;;1;;;;;;;;;;;
27804-4605;;2;;;;;3;;;;;3;2;;;;;;;3;;;1;;;;;;;;;;;;;;;1;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;2;;;;1;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;
27503-4130;4;26;1;10;;5;58;4;1;;;32;35;;2;2;5;16;;46;4;1;;2;1;1;3;1;3;1;3;3;1;;4;2;2;11;1;1;;;3;;2;9;1;4;;;5;;1;3;;2;6;;10;3;1;;2;5;1;;10;1;;;1;6;;1;;7;3;17;2;2;1;;3;2;1;;;1;;3;3;1;;;6;;3;;2;2;2;1;;;2;1;;3;;2;;2;;1;;12;1;5;3;2;2;2;;3;1;1;;7;3;;1;2;3;1;1;2;4;7;2;3;3;3;3;3;1;;;3;1;2;;;;;
27601-7118;1;15;1;5;5;9;64;1;1;;;31;32;1;2;1;2;4;2;39;1;13;2;1;;;;;;1;3;4;3;2;;;;8;;2;1;1;1;1;2;3;1;2;;3;3;4;3;1;;;2;;11;10;2;2;;5;1;1;8;1;1;3;2;9;1;2;;;;24;2;1;5;1;1;1;1;1;;;;;3;1;;;8;;6;;4;4;3;1;;;2;1;;1;3;4;;2;2;1;3;15;1;7;5;3;3;2;1;2;2;1;2;3;1;;1;1;;;;;;1;;1;3;2;1;3;;;;1;1;;1;3;1;1;
17813-4130;4;16;;6;10;5;53;1;3;;;22;21;;1;1;2;4;;55;3;35;;2;1;;2;1;2;;1;1;;;;1;;8;;1;1;;6;2;;7;;1;1;3;2;;4;1;;1;2;2;4;;;;;6;;;6;2;;2;1;6;;2;1;2;1;25;;3;11;;;;;1;;3;1;;3;;;;3;1;;;;;;;;;2;;;;;5;;3;3;1;;3;;1;;;;;;1;1;;;5;;;1;1;1;1;1;;2;1;4;;;;;5;1;;20;2;2;;10;;;;
30749-7118;;27;1;;;3;69;4;11;;1;52;48;;2;1;3;8;;32;;23;3;;;;;;5;;1;10;4;1;1;;;17;2;4;2;;3;2;1;4;;;;;;2;;6;1;;1;1;22;8;2;1;2;2;1;1;25;12;5;2;;6;1;1;1;5;;14;1;1;11;1;4;;;6;;5;2;2;2;1;;3;10;1;3;;3;2;1;1;;;15;8;2;1;4;2;;;2;;;20;1;4;1;1;;;;3;2;2;7;4;1;;1;1;1;1;1;;;1;;1;7;2;2;3;2;1;1;;;;1;5;2;2;
