aluno;1>;2>;5>;6>;7>;14>;16>;17>;28>;29>;30>;31>;41>;46>;48>;49>;2>2>;2>2>31>;2>14>;2>30>;2>31>;2>31>2>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;2>41>41>41>;2 14>;2 14>2>;2 14>31>;2 14 30>;2 14 31>;2 14 41>;2 30>;2 30 31>;2 31>;2 31>30>;2 41>;6>6>;6 14>;7>6>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>7>;14>14>;14>31>;14>31>2>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>31>48>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14 30>;14 30>2>;14 30>2>31>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31>31>30>;14 31 41>;14 31 48>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;16 30>;16 30 31>;16 31>;16 31>31>;16 41>;17>30>;17>30>14>;17>30>31>;17 30>;17 30>30>;17 30>30>31>;30>2>;30>2>31>;30>14>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>17>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>30>;30>31>30>31>;30>41>;30>41>41>;30>41>41>41>;30>48>;30>48>14>;30 31>;30 31>30>;30 31>31>;30 31 41>;30 41>;30 48>;31>2>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>48>;31>48>30>;31 41>;31 41>31>;31 48>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>31>48>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;48>14>;48>29>;48>30>;48>30>30>;48>31>;48>41>;48>48>;48>48>48>;
13342-4130;;4;;1;1;5;1;;;;5;4;4;;9;;;;;1;;;;;1;1;1;1;;;;;;1;;;;2;;;1;;1;;;;;;;3;;;;;;;;1;1;;1;1;1;1;;;1;;1;;2;2;;;;;;;;2;;1;;;;;;;;;;;;;;;;3;;;1;1;1;;;;;1;1;;;;;;2;;1;;1;;;;;;;;;;;;;;;;;;;;2;;;;2;1;;;;;;;1;;;1;1;1;1;1;1;;;2;2;1;;4;3;
19850-6398;;4;;;;6;1;4;;;12;11;;;;;2;2;;;3;;1;1;;;;2;;1;;;;;;;;;;;;;;2;2;;;;;2;;1;1;;;;;;;;;;;2;1;;1;1;;;1;;;;;;;;;;;1;;;;;3;;;4;3;;1;;;;;7;;;5;;;;;4;1;;5;2;;;;;;;1;1;;;;;;2;1;6;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18700-5469;;7;;;;12;1;;;;5;8;2;;;;;;1;;1;;1;;;;;5;;1;;;;;;;;;;;;;;2;;1;;;;3;;;2;;;;1;;;;;;;3;;;1;1;1;;2;;;;;2;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;2;;;;;;1;;;2;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21340-5468;;1;;;;7;1;2;;;10;9;9;;1;;;;;;;;;;;;;1;;;1;1;;1;1;1;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;3;;;;;2;1;4;1;1;2;;5;1;1;;;;1;1;1;;;1;;1;2;1;1;;;;;;1;;;;;;;;1;1;;1;1;;1;1;1;;;4;;;1;2;1;;;;2;;;;;;;;;;;1;;1;1;;;;;5;1;1;;;;1;1;;;1;;1;;;;;;;;;;;
18297-6388;;1;;3;1;6;;1;1;;3;4;3;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1;;;;;;;;;1;;;1;1;1;1;;;;;;;;1;;;;;1;1;2;;;2;;3;;;;;;;;;;;1;;;;;;;;1;1;1;1;;1;1;1;;;;;;;;;;;;;;;1;;;1;1;;;;;2;1;;;1;1;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
18201-4605;;12;2;;3;21;2;1;;;10;16;10;;2;;3;1;;;5;2;1;1;1;;;6;1;2;1;;2;1;;1;;2;;;;1;;5;1;;1;;;5;1;;1;;;;1;1;1;;;;;4;2;1;;;;2;3;;;;;6;;;;;2;;;2;2;1;;;;;;;2;1;;1;;4;;1;2;;;;;;;;1;;;1;1;;;;1;1;;;2;;3;1;;5;;;;2;;;;;;1;1;;3;1;;;2;2;1;1;;;;;3;2;;;1;1;;;;;;2;2;;;;;
21367-4605;;5;;;;4;;;;;2;3;5;;;;;;;1;1;;;;;;;2;;;;;2;;;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
13564-6388;1;9;;;3;17;2;5;;;23;21;10;1;7;3;3;;;1;;;;;;;;2;;;1;;1;2;1;2;1;2;;;;2;1;;;;;1;1;4;;;;;;;;;4;2;1;1;1;7;;;3;;3;1;5;;;1;1;4;;;1;3;2;1;1;2;2;;3;1;;4;2;;;;1;;;6;1;;1;1;1;1;1;;;2;4;;;;;;3;;8;;1;;1;1;;1;1;2;;;;2;1;1;1;1;1;;;;3;1;1;;;;2;1;1;;;;4;;;;3;2;2;1;1;;;2;1;;2;2;1;
19904-4605;;7;;5;1;11;;;;1;9;9;4;;1;1;;;;1;3;;1;1;;;;4;;1;1;1;1;2;2;3;1;1;1;1;;;;;;;;1;;4;;;;;;;;;;;;;;5;;;1;;1;1;1;;;;;3;1;;;;;;;;;;;;;;;;1;1;;;;2;;;2;;;;;;;;3;1;;;;;1;;2;;1;;1;;;;;3;;;;2;2;;;;;1;;;1;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;
18208-6389;;;;;;10;;;;;7;6;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;2;1;;;;;;;;;;4;;;2;;;;2;1;;;;4;2;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;3;;;;;;;;;;;;;;;;;2;;;;1;;;;;;1;;;1;;;1;;;;;;;;1;2;2;1;;;;;;;;;;;;;;;
10088-5714;;6;;2;2;8;1;4;;1;11;11;2;;5;;1;;;;1;;1;;;;;2;;;;;;;;2;;;;;1;;;1;;;1;1;;1;1;;;;;;;;;;;;;3;1;1;;;;1;2;1;;;;1;;;;;1;1;;;;;3;;2;1;1;1;2;1;;2;2;6;;1;3;3;1;1;1;1;;1;3;;;;;;1;;1;1;;;1;1;1;;;4;;1;1;2;2;2;1;1;1;;;;1;;;1;1;;;;1;;;;;;;;;;;;;;1;2;2;1;;1;1;
17356-5388;3;12;;;;20;1;1;;;8;10;10;3;4;2;3;;3;;2;1;1;;;;;6;3;2;;;;;;;;;;;;;;5;;2;;;1;5;1;1;2;;;;1;;4;;3;2;2;2;;;;;;;3;;;1;1;4;1;1;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;1;1;1;2;1;1;3;1;;;;;;;2;1;;5;;;;;;;;;;1;1;3;2;1;;;;;1;;1;1;1;;2;2;;;3;;2;;2;1;;;;;;;;
11848-6398;;;;3;2;8;;;;2;1;4;5;;5;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;1;3;;;;1;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;1;;1;;;;;;;;2;;;;;1;1;;;;;1;;
